Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
F8A2	6.684791453079453	2.6039853316588393	4.080806121420613	1.4753755366780918E-4	0.04843772546149621
CXCL5	10.479986890813716	7.2106726830720795	3.269314207741637	0.0011265980993946378	0.06097761685839944
TTR	7.423485836636978	4.856892676031742	2.566593160605236	0.01402772138165509	0.14392837284659296
AC010327.2	5.524989845133291	2.9729577840287846	2.5520320611045064	0.02169474649748826	0.17615012180662334
CSAG1	6.389697213818823	3.8580825649246595	2.5316146488941635	0.008966990464823743	0.11765621782807638
NPIPB15	8.020811163268535	5.59188297413563	2.428928189132905	0.002252814013043558	0.0694307183142962
MAGEA2	5.132306911201194	2.743949167966874	2.3883577432343204	0.048392535822798455	0.25420388301263497
ELF5	4.828463976262017	2.5290351635089303	2.299428812753087	0.0022839937218940287	0.06979210346163431
MAGEA2B	4.584173155069098	2.311043656383764	2.273129498685334	0.08099238009439669	0.3259741936528514
PRAP1	9.183329336344121	6.963275139920895	2.2200541964232263	0.012939536490608639	0.13894742840033286
MAGEA12	4.875726041793643	2.676633962856931	2.1990920789367125	0.03915095670668678	0.22919229300616512
FGB	5.9748029004373615	3.795765684889059	2.1790372155483024	0.020654914316997508	0.17255380712897184
ARHGAP40	4.66616749550919	2.5277650426276383	2.1384024528815515	0.004808807739759446	0.09326731262672955
NLRP2	7.767502685675653	5.651197012733279	2.1163056729423735	0.0189133165003188	0.16640063773130723
AL590714.1	3.5349901982766934	1.4259068135259894	2.1090833847507042	0.10409306321919831	0.36682331024536374
ORM1	7.113517369050598	5.040662389387797	2.072854979662801	0.1316164175179808	0.4078608466628325
FGA	5.9101183094150604	3.8623024960813614	2.047815813333699	0.014353115736111755	0.14603292948942306
PRSS1	8.56838374865547	6.589725205502249	1.9786585431532222	0.05353370633318222	0.26806594988724625
RP13-512J5.1	3.56081873436397	1.5924582186258327	1.9683605157381372	0.04410469621519053	0.2439218729034467
F8A3	8.333335880929022	6.372287622068214	1.9610482588608082	0.001301774239394038	0.0615189368083693
RP11-599B13.6	4.70833576261608	2.747853947708831	1.9604818149072485	0.05534570248457882	0.2716862354849459
