Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
F8A2	6.021106751656469	2.2549419671261886	3.7661647845302806	3.279117599674919E-8	1.9906429908426543E-4
IHH	5.861400794444121	2.9900452806606514	2.8713555137834694	3.9181578227576175E-5	0.02229921570876929
MS4A8	5.444432064547243	3.2700278616131557	2.1744042029340873	6.69729449021883E-4	0.0655758748687448
TEKT1	5.252532971114408	3.1391109775801382	2.1134219935342697	1.1802232768653997E-4	0.03160915635040097
GSTM1	7.813105464507189	5.772355326816566	2.0407501376906234	0.004808130358715967	0.1412349517627987
TMEM190	5.616413579579756	3.584163576334692	2.032250003245064	9.213988071857804E-4	0.07697483980030932
PGR	7.139951215679735	5.1672415179105915	1.9727096977691438	1.0755857286026682E-4	0.03160915635040097
C20orf85	6.109362920616987	4.149694976938137	1.9596679436788502	0.009945521012120873	0.18336964489488072
F8A3	7.635011587194533	5.684742543207321	1.9502690439872126	2.577794578351167E-6	0.006165060998950145
NPIPB15	7.195984215889822	5.373499494164321	1.822484721725501	2.547787958506742E-5	0.019333464291801994
SCGB1D2	9.40817275187974	7.589430055296698	1.8187426965830413	3.204003483446849E-4	0.04797744749026687
ALPPL2	6.37717498076251	4.56076742159009	1.8164075591724202	8.887388004751307E-4	0.07634769355779754
C1orf64	2.9413047959383354	1.135659462012378	1.8056453339259573	3.1457711009541534E-5	0.021218808626139642
TUBA3E	2.837403668035364	1.0496784504052954	1.7877252176300686	9.416355775115903E-7	0.004287266784410271
FAM150B	7.211100991564478	5.436207352369292	1.7748936391951853	2.9073381263577946E-4	0.046042123441067964
C1orf194	7.3550035688859	5.66820938700474	1.6867941818811598	0.0038813325209348104	0.13163282657591205
SNTN	4.25947886932211	2.6044051024525507	1.6550737668695592	0.009380241232039843	0.1809671115655822
GP2	2.665911515730394	1.011206003193602	1.6547055125367918	0.009659195379154717	0.18268474689292083
C1orf189	4.038527226764021	2.385658088719846	1.6528691380441751	0.0018588273601335414	0.10075286869866683
UPK1B	6.7469590210103	5.09507326663568	1.6518857543746197	0.002994704244198232	0.11986715097876527
DMBT1	4.474604517382893	2.8320592181648077	1.6425452992180856	2.2519628090988952E-4	0.041012746679309084
OMG	5.63247452236384	3.9901592489637063	1.642315273400134	0.0037587686657452046	0.1301420055904024
TRH	2.497357175047901	0.8561227882069955	1.6412343868409056	2.2969803499417463E-4	0.041418421913999096
DNAI2	3.482514017026562	1.8622324211031902	1.6202815959233718	4.5232082697643783E-4	0.056447556031993786
CRISP3	4.415896219091125	2.813764935260228	1.602131283830897	0.0031197838897476515	0.12261724681217481
SLC47A1	7.715205980342301	6.121971028033135	1.5932349523091656	0.0011020323913188967	0.08165081271017167
VWA3A	4.819440705148965	3.2321179607089543	1.5873227444400109	5.161469494304738E-4	0.05838551703743968
