Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	12	Hartigans' dip test for unimodality / multimodality	0.0658567846330975	0.9543	black or african american	Breast	1
A2M	12	Hartigans' dip test for unimodality / multimodality	0.0688406037373894	0.9270	black or african american	Breast	1
A2ML1	12	Hartigans' dip test for unimodality / multimodality	0.112270265391761	0.1764	black or african american	Breast	1
A4GALT	12	Hartigans' dip test for unimodality / multimodality	0.0732757003720814	0.8706	black or african american	Breast	1
A4GNT	12	Hartigans' dip test for unimodality / multimodality	0.115427368752941	0.1477	black or african american	Breast	1
AAAS	12	Hartigans' dip test for unimodality / multimodality	0.0620594247532295	0.9756	black or african american	Breast	1
AACS	12	Hartigans' dip test for unimodality / multimodality	0.0833349514468848	0.6877	black or african american	Breast	1
AADAC	12	Hartigans' dip test for unimodality / multimodality	0.0732842496409727	0.8704	black or african american	Breast	1
AADAT	12	Hartigans' dip test for unimodality / multimodality	0.0906934948735436	0.5067	black or african american	Breast	1
AAED1	12	Hartigans' dip test for unimodality / multimodality	0.0944025196294234	0.4220	black or african american	Breast	1
AAGAB	12	Hartigans' dip test for unimodality / multimodality	0.0795441852567937	0.7635	black or african american	Breast	1
AAK1	12	Hartigans' dip test for unimodality / multimodality	0.0977211785957841	0.3639	black or african american	Breast	1
AAMDC	12	Hartigans' dip test for unimodality / multimodality	0.109435394372552	0.2030	black or african american	Breast	1
AAMP	12	Hartigans' dip test for unimodality / multimodality	0.0790233875162546	0.7737	black or african american	Breast	1
AANAT	12	Hartigans' dip test for unimodality / multimodality	0.0938615778760046	0.4342	black or african american	Breast	1
AAR2	12	Hartigans' dip test for unimodality / multimodality	0.0851849397435436	0.6445	black or african american	Breast	1
AARD	12	Hartigans' dip test for unimodality / multimodality	0.0783403296568837	0.7869	black or african american	Breast	1
AARS	12	Hartigans' dip test for unimodality / multimodality	0.101743548155099	0.3020	black or african american	Breast	1
AARS2	12	Hartigans' dip test for unimodality / multimodality	0.0833333333333333	0.6877	black or african american	Breast	1
AARSD1	12	Hartigans' dip test for unimodality / multimodality	0.0826467528737892	0.7031	black or african american	Breast	1
AASDH	12	Hartigans' dip test for unimodality / multimodality	0.0771776106177627	0.8079	black or african american	Breast	1
AASDHPPT	12	Hartigans' dip test for unimodality / multimodality	0.0763892993765732	0.8206	black or african american	Breast	1
AASS	12	Hartigans' dip test for unimodality / multimodality	0.0624624330979033	0.9734	black or african american	Breast	1
AATF	12	Hartigans' dip test for unimodality / multimodality	0.102776827738576	0.2884	black or african american	Breast	1
AATK	12	Hartigans' dip test for unimodality / multimodality	0.0906570167365732	0.5077	black or african american	Breast	1
ABAT	12	Hartigans' dip test for unimodality / multimodality	0.0955327036516953	0.3976	black or african american	Breast	1
ABCA1	12	Hartigans' dip test for unimodality / multimodality	0.0833333333333333	0.6877	black or african american	Breast	1
ABCA2	12	Hartigans' dip test for unimodality / multimodality	0.0520820135894843	0.9938	black or african american	Breast	1
ABCA3	12	Hartigans' dip test for unimodality / multimodality	0.101792833435864	0.3013	black or african american	Breast	1
ABCA4	12	Hartigans' dip test for unimodality / multimodality	0.0649729396907289	0.9593	black or african american	Breast	1
ABCA5	12	Hartigans' dip test for unimodality / multimodality	0.110416473360903	0.1932	black or african american	Breast	1
ABCA6	12	Hartigans' dip test for unimodality / multimodality	0.0664066840687516	0.9512	black or african american	Breast	1
ABCA7	12	Hartigans' dip test for unimodality / multimodality	0.0846973370566905	0.6559	black or african american	Breast	1
ABCA8	12	Hartigans' dip test for unimodality / multimodality	0.106665965854678	0.2385	black or african american	Breast	1
ABCA9	12	Hartigans' dip test for unimodality / multimodality	0.0903311142321691	0.5161	black or african american	Breast	1
ABCA10	12	Hartigans' dip test for unimodality / multimodality	0.078282860306139	0.7881	black or african american	Breast	1
ABCA12	12	Hartigans' dip test for unimodality / multimodality	0.0882625832378274	0.5696	black or african american	Breast	1
ABCA13	12	Hartigans' dip test for unimodality / multimodality	0.0744079284991012	0.8524	black or african american	Breast	1
ABCB1	12	Hartigans' dip test for unimodality / multimodality	0.0727729123348101	0.8787	black or african american	Breast	1
ABCB4	12	Hartigans' dip test for unimodality / multimodality	0.153322278126977	0.0064	black or african american	Breast	0.7618091503267974
ABCB5	12	Hartigans' dip test for unimodality / multimodality	0.0810766774287516	0.7337	black or african american	Breast	1
ABCB6	12	Hartigans' dip test for unimodality / multimodality	0.0772363246330526	0.8070	black or african american	Breast	1
ABCB7	12	Hartigans' dip test for unimodality / multimodality	0.0694461102734983	0.9207	black or african american	Breast	1
ABCB8	12	Hartigans' dip test for unimodality / multimodality	0.0688362671991421	0.9271	black or african american	Breast	1
ABCB9	12	Hartigans' dip test for unimodality / multimodality	0.0806592367386565	0.7418	black or african american	Breast	1
ABCB10	12	Hartigans' dip test for unimodality / multimodality	0.0628488266756547	0.9712	black or african american	Breast	1
ABCB11	12	Hartigans' dip test for unimodality / multimodality	0.0750335621014832	0.8423	black or african american	Breast	1
ABCC1	12	Hartigans' dip test for unimodality / multimodality	0.057971006991641	0.9896	black or african american	Breast	1
ABCC2	12	Hartigans' dip test for unimodality / multimodality	0.070867925818069	0.9060	black or african american	Breast	1
ABCC3	12	Hartigans' dip test for unimodality / multimodality	0.101568182581887	0.3047	black or african american	Breast	1
ABCC4	12	Hartigans' dip test for unimodality / multimodality	0.0900005590450749	0.5247	black or african american	Breast	1
ABCC5	12	Hartigans' dip test for unimodality / multimodality	0.0694448692547676	0.9208	black or african american	Breast	1
ABCC6	12	Hartigans' dip test for unimodality / multimodality	0.0863724395051604	0.6167	black or african american	Breast	1
ABCC8	12	Hartigans' dip test for unimodality / multimodality	0.072531911084662	0.8825	black or african american	Breast	1
ABCC9	12	Hartigans' dip test for unimodality / multimodality	0.0848442920665167	0.6524	black or african american	Breast	1
ABCC10	12	Hartigans' dip test for unimodality / multimodality	0.0759002689355641	0.8284	black or african american	Breast	1
ABCC11	12	Hartigans' dip test for unimodality / multimodality	0.117549950083092	0.1285	black or african american	Breast	1
