Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	41	Hartigans' dip test for unimodality / multimodality	0.0437337473368836	0.8299	black or african american	Colon	1
A2M	41	Hartigans' dip test for unimodality / multimodality	0.0365853947200324	0.9726	black or african american	Colon	1
A2ML1	41	Hartigans' dip test for unimodality / multimodality	0.0581061425875608	0.3492	black or african american	Colon	1
A4GALT	41	Hartigans' dip test for unimodality / multimodality	0.0456595280433302	0.7721	black or african american	Colon	1
A4GNT	41	Hartigans' dip test for unimodality / multimodality	0.0739359486886452	0.0730	black or african american	Colon	0.5698568366909558
AAAS	41	Hartigans' dip test for unimodality / multimodality	0.055559985189644	0.4258	black or african american	Colon	1
AACS	41	Hartigans' dip test for unimodality / multimodality	0.108874550284968	3e-04	black or african american	Colon	0.007141960784313725
AADAC	41	Hartigans' dip test for unimodality / multimodality	0.0599781150847888	0.2964	black or african american	Colon	1
AADAT	41	Hartigans' dip test for unimodality / multimodality	0.066096071755315	0.1711	black or african american	Colon	0.9802054734193143
AAED1	41	Hartigans' dip test for unimodality / multimodality	0.0520707406463101	0.5451	black or african american	Colon	1
AAGAB	41	Hartigans' dip test for unimodality / multimodality	0.0815913696968802	0.0285	black or african american	Colon	0.2814761388286334
AAK1	41	Hartigans' dip test for unimodality / multimodality	0.052303046707891	0.5368	black or african american	Colon	1
AAMDC	41	Hartigans' dip test for unimodality / multimodality	0.0460070790588554	0.7604	black or african american	Colon	1
AAMP	41	Hartigans' dip test for unimodality / multimodality	0.058070027984162	0.3503	black or african american	Colon	1
AANAT	41	Hartigans' dip test for unimodality / multimodality	0.0853658536585366	0.0163	black or african american	Colon	0.17765146618791142
AAR2	41	Hartigans' dip test for unimodality / multimodality	0.0410194257733817	0.9027	black or african american	Colon	1
AARD	41	Hartigans' dip test for unimodality / multimodality	0.0474766116606399	0.7108	black or african american	Colon	1
AARS	41	Hartigans' dip test for unimodality / multimodality	0.0376907262301317	0.9599	black or african american	Colon	1
AARS2	41	Hartigans' dip test for unimodality / multimodality	0.0665162637337184	0.1647	black or african american	Colon	0.9586182166826462
AARSD1	41	Hartigans' dip test for unimodality / multimodality	0.0449102204546538	0.7974	black or african american	Colon	1
AASDH	41	Hartigans' dip test for unimodality / multimodality	0.0536491756122092	0.4892	black or african american	Colon	1
AASDHPPT	41	Hartigans' dip test for unimodality / multimodality	0.0398850875706071	0.9244	black or african american	Colon	1
AASS	41	Hartigans' dip test for unimodality / multimodality	0.0457936760171234	0.7676	black or african american	Colon	1
AATF	41	Hartigans' dip test for unimodality / multimodality	0.0518278770365883	0.5539	black or african american	Colon	1
AATK	41	Hartigans' dip test for unimodality / multimodality	0.0458771962352427	0.7648	black or african american	Colon	1
ABAT	41	Hartigans' dip test for unimodality / multimodality	0.049886283718136	0.6240	black or african american	Colon	1
ABCA1	41	Hartigans' dip test for unimodality / multimodality	0.054837078247676	0.4498	black or african american	Colon	1
ABCA2	41	Hartigans' dip test for unimodality / multimodality	0.0348436317075859	0.9868	black or african american	Colon	1
ABCA3	41	Hartigans' dip test for unimodality / multimodality	0.0518999117960944	0.5513	black or african american	Colon	1
ABCA4	41	Hartigans' dip test for unimodality / multimodality	0.0692926935139123	0.1227	black or african american	Colon	0.7926968428520752
ABCA5	41	Hartigans' dip test for unimodality / multimodality	0.039295718214758	0.9357	black or african american	Colon	1
ABCA6	41	Hartigans' dip test for unimodality / multimodality	0.055550655578531	0.4261	black or african american	Colon	1
ABCA7	41	Hartigans' dip test for unimodality / multimodality	0.075018959960547	0.0637	black or african american	Colon	0.5176726461401161
ABCA8	41	Hartigans' dip test for unimodality / multimodality	0.039401098687048	0.9337	black or african american	Colon	1
ABCA9	41	Hartigans' dip test for unimodality / multimodality	0.0462030471847726	0.7538	black or african american	Colon	1
ABCA10	41	Hartigans' dip test for unimodality / multimodality	0.0396404916086681	0.9291	black or african american	Colon	1
ABCA12	41	Hartigans' dip test for unimodality / multimodality	0.0460759676600261	0.7581	black or african american	Colon	1
ABCA13	41	Hartigans' dip test for unimodality / multimodality	0.041949742056995	0.8785	black or african american	Colon	1
ABCB1	41	Hartigans' dip test for unimodality / multimodality	0.0488408547045409	0.6620	black or african american	Colon	1
ABCB4	41	Hartigans' dip test for unimodality / multimodality	0.0479255425741905	0.6953	black or african american	Colon	1
ABCB5	41	Hartigans' dip test for unimodality / multimodality	0.0531340258888707	0.5069	black or african american	Colon	1
ABCB6	41	Hartigans' dip test for unimodality / multimodality	0.0377738057694851	0.9589	black or african american	Colon	1
ABCB7	41	Hartigans' dip test for unimodality / multimodality	0.047365092008165	0.7145	black or african american	Colon	1
ABCB8	41	Hartigans' dip test for unimodality / multimodality	0.0373464718652867	0.9638	black or african american	Colon	1
ABCB9	41	Hartigans' dip test for unimodality / multimodality	0.0326896180627467	0.9915	black or african american	Colon	1
ABCB10	41	Hartigans' dip test for unimodality / multimodality	0.0532195636520857	0.5038	black or african american	Colon	1
ABCB11	41	Hartigans' dip test for unimodality / multimodality	0.109756097560976	3e-04	black or african american	Colon	0.007141960784313725
ABCC1	41	Hartigans' dip test for unimodality / multimodality	0.0401533772440279	0.9193	black or african american	Colon	1
ABCC2	41	Hartigans' dip test for unimodality / multimodality	0.0323567505361235	0.9918	black or african american	Colon	1
ABCC3	41	Hartigans' dip test for unimodality / multimodality	0.131268329668747	0.0000	black or african american	Colon	0
ABCC4	41	Hartigans' dip test for unimodality / multimodality	0.0546149881376805	0.4572	black or african american	Colon	1
ABCC5	41	Hartigans' dip test for unimodality / multimodality	0.0537849636828857	0.4847	black or african american	Colon	1
ABCC6	41	Hartigans' dip test for unimodality / multimodality	0.0745547254445525	0.0677	black or african american	Colon	0.5405315212626042
ABCC8	41	Hartigans' dip test for unimodality / multimodality	0.0482629175490744	0.6830	black or african american	Colon	1
ABCC9	41	Hartigans' dip test for unimodality / multimodality	0.058490639989759	0.3382	black or african american	Colon	1
ABCC10	41	Hartigans' dip test for unimodality / multimodality	0.0556343923029205	0.4233	black or african american	Colon	1
ABCC11	41	Hartigans' dip test for unimodality / multimodality	0.0609756097560976	0.2735	black or african american	Colon	1
ABCC12	41	Hartigans' dip test for unimodality / multimodality	0.0227016569872656	1.0000	black or african american	Colon	1
ABCD1	41	Hartigans' dip test for unimodality / multimodality	0.0478912260150844	0.6965	black or african american	Colon	1
ABCD2	41	Hartigans' dip test for unimodality / multimodality	0.0444122831892925	0.8115	black or african american	Colon	1
ABCD3	41	Hartigans' dip test for unimodality / multimodality	0.0481389699937984	0.6875	black or african american	Colon	1
ABCD4	41	Hartigans' dip test for unimodality / multimodality	0.0365853658536585	0.9726	black or african american	Colon	1
ABCE1	41	Hartigans' dip test for unimodality / multimodality	0.0406550793419742	0.9097	black or african american	Colon	1
ABCF1	41	Hartigans' dip test for unimodality / multimodality	0.0503011838744264	0.6089	black or african american	Colon	1
ABCF2	41	Hartigans' dip test for unimodality / multimodality	0.0668716150590572	0.1593	black or african american	Colon	0.9391944318549693
ABCF3	41	Hartigans' dip test for unimodality / multimodality	0.0731752502871962	0.0796	black or african american	Colon	0.587150749291211
ABCG1	41	Hartigans' dip test for unimodality / multimodality	0.0460724476007352	0.7582	black or african american	Colon	1
ABCG2	41	Hartigans' dip test for unimodality / multimodality	0.0372603468586865	0.9648	black or african american	Colon	1
ABCG4	41	Hartigans' dip test for unimodality / multimodality	0.0528525039073351	0.5170	black or african american	Colon	1
ABHD1	41	Hartigans' dip test for unimodality / multimodality	0.0657983236663533	0.1756	black or african american	Colon	0.9904079281511304
ABHD2	41	Hartigans' dip test for unimodality / multimodality	0.053406928497305	0.4973	black or african american	Colon	1
ABHD3	41	Hartigans' dip test for unimodality / multimodality	0.0785365713559266	0.0417	black or african american	Colon	0.37877326683291773
ABHD4	41	Hartigans' dip test for unimodality / multimodality	0.0591010371259468	0.3206	black or african american	Colon	1
ABHD5	41	Hartigans' dip test for unimodality / multimodality	0.0335371632296962	0.9907	black or african american	Colon	1
ABHD6	41	Hartigans' dip test for unimodality / multimodality	0.036036299092104	0.9789	black or african american	Colon	1
ABHD8	41	Hartigans' dip test for unimodality / multimodality	0.043647391285928	0.8323	black or african american	Colon	1
ABHD10	41	Hartigans' dip test for unimodality / multimodality	0.0602621952370079	0.2899	black or african american	Colon	1
ABHD11	41	Hartigans' dip test for unimodality / multimodality	0.116982631269996	0.0000	black or african american	Colon	0
ABHD12	41	Hartigans' dip test for unimodality / multimodality	0.0401535305117726	0.9193	black or african american	Colon	1
ABHD12B	41	Hartigans' dip test for unimodality / multimodality	0.0392590447807252	0.9364	black or african american	Colon	1
ABHD13	41	Hartigans' dip test for unimodality / multimodality	0.0390453282213321	0.9405	black or african american	Colon	1
ABHD14A	41	Hartigans' dip test for unimodality / multimodality	0.0301660404460294	0.9938	black or african american	Colon	1
ABHD14A-ACY1	41	Hartigans' dip test for unimodality / multimodality	0.0431914885658389	0.8447	black or african american	Colon	1
ABHD14B	41	Hartigans' dip test for unimodality / multimodality	0.0431532796864774	0.8457	black or african american	Colon	1
ABHD15	41	Hartigans' dip test for unimodality / multimodality	0.0609834811047563	0.2733	black or african american	Colon	1
ABHD16A	41	Hartigans' dip test for unimodality / multimodality	0.0365878150707096	0.9726	black or african american	Colon	1
ABHD16B	41	Hartigans' dip test for unimodality / multimodality	0.0461590379146684	0.7553	black or african american	Colon	1
ABHD17A	41	Hartigans' dip test for unimodality / multimodality	0.0540070438798123	0.4774	black or african american	Colon	1
ABHD17B	41	Hartigans' dip test for unimodality / multimodality	0.052773831383628	0.5198	black or african american	Colon	1
ABHD17C	41	Hartigans' dip test for unimodality / multimodality	0.108136887200489	4e-04	black or african american	Colon	0.008927450980392158
ABI1	41	Hartigans' dip test for unimodality / multimodality	0.0467448605925669	0.7355	black or african american	Colon	1
ABI2	41	Hartigans' dip test for unimodality / multimodality	0.0609783029378527	0.2735	black or african american	Colon	1
ABI3	41	Hartigans' dip test for unimodality / multimodality	0.0552749410013989	0.4353	black or african american	Colon	1
ABI3BP	41	Hartigans' dip test for unimodality / multimodality	0.0399804815772455	0.9226	black or african american	Colon	1
ABL1	41	Hartigans' dip test for unimodality / multimodality	0.0425330434872342	0.8626	black or african american	Colon	1
ABL2	41	Hartigans' dip test for unimodality / multimodality	0.0414170647405739	0.8930	black or african american	Colon	1
ABLIM1	41	Hartigans' dip test for unimodality / multimodality	0.0447115526536505	0.8033	black or african american	Colon	1
ABLIM2	41	Hartigans' dip test for unimodality / multimodality	0.0365853658536585	0.9726	black or african american	Colon	1
ABLIM3	41	Hartigans' dip test for unimodality / multimodality	0.0352504012189567	0.9843	black or african american	Colon	1
ABR	41	Hartigans' dip test for unimodality / multimodality	0.0846832662435506	0.0177	black or african american	Colon	0.19040307147076196
ABRA	41	Hartigans' dip test for unimodality / multimodality	0.044550849300307	0.8077	black or african american	Colon	1
ABRACL	41	Hartigans' dip test for unimodality / multimodality	0.0971562869105566	0.0026	black or african american	Colon	0.04078484065460809
ABT1	41	Hartigans' dip test for unimodality / multimodality	0.0373011610511341	0.9644	black or african american	Colon	1
ABTB1	41	Hartigans' dip test for unimodality / multimodality	0.0589411974112519	0.3252	black or african american	Colon	1
ABTB2	41	Hartigans' dip test for unimodality / multimodality	0.0500209739339306	0.6191	black or african american	Colon	1
AC002310.13	41	Hartigans' dip test for unimodality / multimodality	0.0392221108075336	0.9371	black or african american	Colon	1
AC002365.1	41	Hartigans' dip test for unimodality / multimodality	0.102021695767748	0.0011	black or african american	Colon	0.020738302277432716
AC002398.9	41	Hartigans' dip test for unimodality / multimodality	0.0975609756097561	0.0024	black or african american	Colon	0.038073867595818815
AC002985.3	41	Hartigans' dip test for unimodality / multimodality	0.0858260485940491	0.0153	black or african american	Colon	0.17725419847328244
AC003002.4	41	Hartigans' dip test for unimodality / multimodality	0.0121951219512195	1.0000	black or african american	Colon	1
AC003002.6	41	Hartigans' dip test for unimodality / multimodality	0.109756097560976	3e-04	black or african american	Colon	0.007141960784313725
AC003005.4	41	Hartigans' dip test for unimodality / multimodality	0.0326455550695814	0.9915	black or african american	Colon	1
AC003006.7	41	Hartigans' dip test for unimodality / multimodality	0.0907858154489714	0.0073	black or african american	Colon	0.09690058309037901
AC003101.1	41	Hartigans' dip test for unimodality / multimodality	0.0366005279908307	0.9724	black or african american	Colon	1
AC003102.1	41	Hartigans' dip test for unimodality / multimodality	0.0473365757485954	0.7155	black or african american	Colon	1
AC004017.1	41	Hartigans' dip test for unimodality / multimodality	0.0975609756097561	0.0024	black or african american	Colon	0.038073867595818815
AC004076.7	41	Hartigans' dip test for unimodality / multimodality	0.0231668920189486	1.0000	black or african american	Colon	1
AC004076.9	41	Hartigans' dip test for unimodality / multimodality	0.134146341463415	0.0000	black or african american	Colon	0
AC004381.6	41	Hartigans' dip test for unimodality / multimodality	0.0499539606852575	0.6215	black or african american	Colon	1
AC004466.1	41	Hartigans' dip test for unimodality / multimodality	0.0361079131122241	0.9781	black or african american	Colon	1
AC005003.1	41	Hartigans' dip test for unimodality / multimodality	0.0408041413903037	0.9068	black or african american	Colon	1
AC005082.1	41	Hartigans' dip test for unimodality / multimodality	0.0145969934506667	1.0000	black or african american	Colon	1
AC005481.5	41	Hartigans' dip test for unimodality / multimodality	0.054258240271958	0.4690	black or african american	Colon	1
