Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
A2M	5	Hartigans' dip test for unimodality / multimodality	0.141666632257767	0.3434	black or african american	ESCA	0.9029
A2ML1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
A4GALT	5	Hartigans' dip test for unimodality / multimodality	0.183703172369664	0.0640	black or african american	ESCA	0.9029
A4GNT	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AAAS	5	Hartigans' dip test for unimodality / multimodality	0.137613252067118	0.3746	black or african american	ESCA	0.9029
AACS	5	Hartigans' dip test for unimodality / multimodality	0.138613342198332	0.3669	black or african american	ESCA	0.9029
AADAC	5	Hartigans' dip test for unimodality / multimodality	0.143838672543419	0.3267	black or african american	ESCA	0.9029
AADAT	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AAED1	5	Hartigans' dip test for unimodality / multimodality	0.104766839333437	0.7373	black or african american	ESCA	0.9029
AAGAB	5	Hartigans' dip test for unimodality / multimodality	0.111127558958259	0.5813	black or african american	ESCA	0.9029
AAK1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AAMDC	5	Hartigans' dip test for unimodality / multimodality	0.164348008537706	0.1793	black or african american	ESCA	0.9029
AAMP	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AANAT	5	Hartigans' dip test for unimodality / multimodality	0.137659560234717	0.3743	black or african american	ESCA	0.9029
AAR2	5	Hartigans' dip test for unimodality / multimodality	0.105655386626567	0.7065	black or african american	ESCA	0.9029
AARD	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AARS	5	Hartigans' dip test for unimodality / multimodality	0.125333167988755	0.4704	black or african american	ESCA	0.9029
AARS2	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AARSD1	5	Hartigans' dip test for unimodality / multimodality	0.11428303840277	0.5567	black or african american	ESCA	0.9029
AASDH	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AASDHPPT	5	Hartigans' dip test for unimodality / multimodality	0.147172427958313	0.3010	black or african american	ESCA	0.9029
AASS	5	Hartigans' dip test for unimodality / multimodality	0.15715109280438	0.2285	black or african american	ESCA	0.9029
AATF	5	Hartigans' dip test for unimodality / multimodality	0.110813857607986	0.5837	black or african american	ESCA	0.9029
AATK	5	Hartigans' dip test for unimodality / multimodality	0.148978160915931	0.2878	black or african american	ESCA	0.9029
ABAT	5	Hartigans' dip test for unimodality / multimodality	0.135719728092058	0.3892	black or african american	ESCA	0.9029
ABCA1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCA2	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCA3	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCA4	5	Hartigans' dip test for unimodality / multimodality	0.1427899030418	0.3347	black or african american	ESCA	0.9029
ABCA5	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCA6	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCA7	5	Hartigans' dip test for unimodality / multimodality	0.135413743263598	0.3916	black or african american	ESCA	0.9029
ABCA8	5	Hartigans' dip test for unimodality / multimodality	0.125327579901207	0.4705	black or african american	ESCA	0.9029
ABCA9	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCA10	5	Hartigans' dip test for unimodality / multimodality	0.15502095568714	0.2440	black or african american	ESCA	0.9029
ABCA12	5	Hartigans' dip test for unimodality / multimodality	0.101970911167371	0.8344	black or african american	ESCA	0.9029
ABCA13	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCB1	5	Hartigans' dip test for unimodality / multimodality	0.169931622835238	0.1437	black or african american	ESCA	0.9029
ABCB4	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCB5	5	Hartigans' dip test for unimodality / multimodality	0.106947303470314	0.6616	black or african american	ESCA	0.9029
ABCB6	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCB7	5	Hartigans' dip test for unimodality / multimodality	0.10587492949884	0.6988	black or african american	ESCA	0.9029
ABCB8	5	Hartigans' dip test for unimodality / multimodality	0.178942951397345	0.0889	black or african american	ESCA	0.9029
ABCB9	5	Hartigans' dip test for unimodality / multimodality	0.127560259089052	0.4530	black or african american	ESCA	0.9029
ABCB10	5	Hartigans' dip test for unimodality / multimodality	0.163284040415993	0.1860	black or african american	ESCA	0.9029
ABCB11	5	Hartigans' dip test for unimodality / multimodality	0.164768066071245	0.1766	black or african american	ESCA	0.9029
ABCC1	5	Hartigans' dip test for unimodality / multimodality	0.171133277672961	0.1361	black or african american	ESCA	0.9029
ABCC2	5	Hartigans' dip test for unimodality / multimodality	0.157877247792044	0.2233	black or african american	ESCA	0.9029
ABCC3	5	Hartigans' dip test for unimodality / multimodality	0.115324727581965	0.5486	black or african american	ESCA	0.9029
ABCC4	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCC5	5	Hartigans' dip test for unimodality / multimodality	0.146818414573138	0.3037	black or african american	ESCA	0.9029
ABCC6	5	Hartigans' dip test for unimodality / multimodality	0.104860219835756	0.7341	black or african american	ESCA	0.9029
ABCC8	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCC9	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCC10	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCC11	5	Hartigans' dip test for unimodality / multimodality	0.113785385361281	0.5606	black or african american	ESCA	0.9029
ABCC12	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCD1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCD2	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCD3	5	Hartigans' dip test for unimodality / multimodality	0.135486898685069	0.3910	black or african american	ESCA	0.9029
ABCD4	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCE1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABCF1	5	Hartigans' dip test for unimodality / multimodality	0.13334542604886	0.4076	black or african american	ESCA	0.9029
ABCF2	5	Hartigans' dip test for unimodality / multimodality	0.11707288527811	0.5350	black or african american	ESCA	0.9029
ABCF3	5	Hartigans' dip test for unimodality / multimodality	0.116667943744523	0.5381	black or african american	ESCA	0.9029
ABCG1	5	Hartigans' dip test for unimodality / multimodality	0.117872405043864	0.5287	black or african american	ESCA	0.9029
ABCG2	5	Hartigans' dip test for unimodality / multimodality	0.142696035251859	0.3355	black or african american	ESCA	0.9029
ABCG4	5	Hartigans' dip test for unimodality / multimodality	0.119835464767278	0.5135	black or african american	ESCA	0.9029
ABHD1	5	Hartigans' dip test for unimodality / multimodality	0.180667226675473	0.0799	black or african american	ESCA	0.9029
ABHD2	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD3	5	Hartigans' dip test for unimodality / multimodality	0.137320897349059	0.3769	black or african american	ESCA	0.9029
ABHD4	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD5	5	Hartigans' dip test for unimodality / multimodality	0.191666893884574	0.0281	black or african american	ESCA	0.9029
ABHD6	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD8	5	Hartigans' dip test for unimodality / multimodality	0.126879472443941	0.4583	black or african american	ESCA	0.9029
ABHD10	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD11	5	Hartigans' dip test for unimodality / multimodality	0.114288305483205	0.5566	black or african american	ESCA	0.9029
ABHD12	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD12B	5	Hartigans' dip test for unimodality / multimodality	0.111219772500938	0.5805	black or african american	ESCA	0.9029
ABHD13	5	Hartigans' dip test for unimodality / multimodality	0.182369423190075	0.0710	black or african american	ESCA	0.9029
ABHD14A	5	Hartigans' dip test for unimodality / multimodality	0.174572846371153	0.1142	black or african american	ESCA	0.9029
ABHD14A-ACY1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD14B	5	Hartigans' dip test for unimodality / multimodality	0.10232394022748	0.8221	black or african american	ESCA	0.9029
ABHD15	5	Hartigans' dip test for unimodality / multimodality	0.109080936686049	0.5972	black or african american	ESCA	0.9029
ABHD16A	5	Hartigans' dip test for unimodality / multimodality	0.157142283467543	0.2286	black or african american	ESCA	0.9029
ABHD16B	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD17A	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD17B	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABHD17C	5	Hartigans' dip test for unimodality / multimodality	0.144388589571261	0.3224	black or african american	ESCA	0.9029
ABI1	5	Hartigans' dip test for unimodality / multimodality	0.191111702121471	0.0304	black or african american	ESCA	0.9029
ABI2	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABI3	5	Hartigans' dip test for unimodality / multimodality	0.127264951598761	0.4553	black or african american	ESCA	0.9029
ABI3BP	5	Hartigans' dip test for unimodality / multimodality	0.172585214664037	0.1269	black or african american	ESCA	0.9029
ABL1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABL2	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABLIM1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABLIM2	5	Hartigans' dip test for unimodality / multimodality	0.101692201948793	0.8441	black or african american	ESCA	0.9029
ABLIM3	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABR	5	Hartigans' dip test for unimodality / multimodality	0.122222888528936	0.4948	black or african american	ESCA	0.9029
ABRA	5	Hartigans' dip test for unimodality / multimodality	0.146417548799547	0.3068	black or african american	ESCA	0.9029
ABRACL	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABT1	5	Hartigans' dip test for unimodality / multimodality	0.108567650320635	0.6053	black or african american	ESCA	0.9029
ABTB1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
ABTB2	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC002310.13	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC002365.1	5	Hartigans' dip test for unimodality / multimodality	0.190580848899391	0.0326	black or african american	ESCA	0.9029
AC002398.9	5	Hartigans' dip test for unimodality / multimodality	0.100000234384459	0.9028	black or african american	ESCA	0.9029
AC002985.3	5	Hartigans' dip test for unimodality / multimodality	0.2	0.0000	black or african american	ESCA	0
AC003002.4	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC003002.6	5	Hartigans' dip test for unimodality / multimodality	0.108069544637226	0.6226	black or african american	ESCA	0.9029
AC003005.4	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC003006.7	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC003101.1	5	Hartigans' dip test for unimodality / multimodality	0.2	0.0000	black or african american	ESCA	0
AC003102.1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC004017.1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC004076.7	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC004076.9	5	Hartigans' dip test for unimodality / multimodality	0.139681567454159	0.3587	black or african american	ESCA	0.9029
AC004381.6	5	Hartigans' dip test for unimodality / multimodality	0.142046901273595	0.3405	black or african american	ESCA	0.9029
AC004466.1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC005003.1	5	Hartigans' dip test for unimodality / multimodality	0.13245516467066	0.4146	black or african american	ESCA	0.9029
AC005082.1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC005481.5	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC005544.1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC005609.1	5	Hartigans' dip test for unimodality / multimodality	0.17999679453085	0.0834	black or african american	ESCA	0.9029
AC005779.2	5	Hartigans' dip test for unimodality / multimodality	0.143739097019109	0.3274	black or african american	ESCA	0.9029
AC005841.1	5	Hartigans' dip test for unimodality / multimodality	0.132204528803393	0.4166	black or african american	ESCA	0.9029
AC006116.20	5	Hartigans' dip test for unimodality / multimodality	0.173165530971272	0.1232	black or african american	ESCA	0.9029
AC006126.3	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC006132.1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC006449.1	5	Hartigans' dip test for unimodality / multimodality	0.1	0.9029	black or african american	ESCA	0.9029
AC006486.1	5	Hartigans' dip test for unimodality / multimodality	0.124864981757931	0.4741	black or african american	ESCA	0.9029
AC006486.9	5	Hartigans' dip test for unimodality / multimodality	0.139703760813424	0.3585	black or african american	ESCA	0.9029
