Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	292	Hartigans' dip test for unimodality / multimodality	0.0157293894770638	0.9353	black or african american	GTEX	1
A2M	292	Hartigans' dip test for unimodality / multimodality	0.0112253536404982	0.9958	black or african american	GTEX	1
A2ML1	292	Hartigans' dip test for unimodality / multimodality	0.0349807731459124	0.0126	black or african american	GTEX	0.10783421052631578
A4GALT	292	Hartigans' dip test for unimodality / multimodality	0.0148022305005349	0.9676	black or african american	GTEX	1
A4GNT	292	Hartigans' dip test for unimodality / multimodality	0.0341206902035114	0.0169	black or african american	GTEX	0.13857847816298963
AAAS	292	Hartigans' dip test for unimodality / multimodality	0.0150480225344697	0.9606	black or african american	GTEX	1
AACS	292	Hartigans' dip test for unimodality / multimodality	0.0135819175261899	0.9904	black or african american	GTEX	1
AADAC	292	Hartigans' dip test for unimodality / multimodality	0.0420068707313984	8e-04	black or african american	GTEX	0.009591573403554971
AADAT	292	Hartigans' dip test for unimodality / multimodality	0.0184255433268715	0.7557	black or african american	GTEX	1
AAED1	292	Hartigans' dip test for unimodality / multimodality	0.0152012358442128	0.9562	black or african american	GTEX	1
AAGAB	292	Hartigans' dip test for unimodality / multimodality	0.0154151594663842	0.9501	black or african american	GTEX	1
AAK1	292	Hartigans' dip test for unimodality / multimodality	0.0144176361495492	0.9786	black or african american	GTEX	1
AAMDC	292	Hartigans' dip test for unimodality / multimodality	0.0191485071027513	0.6933	black or african american	GTEX	1
AAMP	292	Hartigans' dip test for unimodality / multimodality	0.0147269984506663	0.9698	black or african american	GTEX	1
AANAT	292	Hartigans' dip test for unimodality / multimodality	0.0565068493150685	0.0000	black or african american	GTEX	0
AAR2	292	Hartigans' dip test for unimodality / multimodality	0.019875883533383	0.6269	black or african american	GTEX	1
AARD	292	Hartigans' dip test for unimodality / multimodality	0.036354284282001	0.0078	black or african american	GTEX	0.07113350025037556
AARS	292	Hartigans' dip test for unimodality / multimodality	0.0137006005863218	0.9901	black or african american	GTEX	1
AARS2	292	Hartigans' dip test for unimodality / multimodality	0.0179442537958107	0.7970	black or african american	GTEX	1
AARSD1	292	Hartigans' dip test for unimodality / multimodality	0.019517953629979	0.6596	black or african american	GTEX	1
AASDH	292	Hartigans' dip test for unimodality / multimodality	0.0179784582588451	0.7941	black or african american	GTEX	1
AASDHPPT	292	Hartigans' dip test for unimodality / multimodality	0.0169628666213083	0.8657	black or african american	GTEX	1
AASS	292	Hartigans' dip test for unimodality / multimodality	0.0102034721278666	0.9982	black or african american	GTEX	1
AATF	292	Hartigans' dip test for unimodality / multimodality	0.0189167392137037	0.7136	black or african american	GTEX	1
AATK	292	Hartigans' dip test for unimodality / multimodality	0.0142770855876949	0.9814	black or african american	GTEX	1
ABAT	292	Hartigans' dip test for unimodality / multimodality	0.0124477010235403	0.9930	black or african american	GTEX	1
ABCA1	292	Hartigans' dip test for unimodality / multimodality	0.0147466499156508	0.9692	black or african american	GTEX	1
ABCA2	292	Hartigans' dip test for unimodality / multimodality	0.0164561011498215	0.9006	black or african american	GTEX	1
ABCA3	292	Hartigans' dip test for unimodality / multimodality	0.0177688572231464	0.8097	black or african american	GTEX	1
ABCA4	292	Hartigans' dip test for unimodality / multimodality	0.0145208678248425	0.9756	black or african american	GTEX	1
ABCA5	292	Hartigans' dip test for unimodality / multimodality	0.0195348473786656	0.6580	black or african american	GTEX	1
ABCA6	292	Hartigans' dip test for unimodality / multimodality	0.0126885747619743	0.9924	black or african american	GTEX	1
ABCA7	292	Hartigans' dip test for unimodality / multimodality	0.01267620612084	0.9925	black or african american	GTEX	1
ABCA8	292	Hartigans' dip test for unimodality / multimodality	0.0135236408098187	0.9905	black or african american	GTEX	1
ABCA9	292	Hartigans' dip test for unimodality / multimodality	0.015597467359224	0.9415	black or african american	GTEX	1
ABCA10	292	Hartigans' dip test for unimodality / multimodality	0.0195727817035893	0.6546	black or african american	GTEX	1
ABCA12	292	Hartigans' dip test for unimodality / multimodality	0.0384469597522696	0.0036	black or african american	GTEX	0.03606336633663366
ABCA13	292	Hartigans' dip test for unimodality / multimodality	0.0327156895780743	0.0284	black or african american	GTEX	0.22065733788395905
ABCB1	292	Hartigans' dip test for unimodality / multimodality	0.0155877714242046	0.9420	black or african american	GTEX	1
ABCB4	292	Hartigans' dip test for unimodality / multimodality	0.0127533651706798	0.9923	black or african american	GTEX	1
ABCB5	292	Hartigans' dip test for unimodality / multimodality	0.0381706760012395	0.0040	black or african american	GTEX	0.03961283306144644
ABCB6	292	Hartigans' dip test for unimodality / multimodality	0.0124577630939801	0.9930	black or african american	GTEX	1
ABCB7	292	Hartigans' dip test for unimodality / multimodality	0.0208794310089078	0.5362	black or african american	GTEX	1
ABCB8	292	Hartigans' dip test for unimodality / multimodality	0.020208953107925	0.5965	black or african american	GTEX	1
ABCB9	292	Hartigans' dip test for unimodality / multimodality	0.0110105407823697	0.9963	black or african american	GTEX	1
