Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
A2M	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
A2ML1	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
A4GALT	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
A4GNT	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AAAS	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AACS	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AADAC	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AADAT	4	Hartigans' dip test for unimodality / multimodality	0.185861121127296	0.1052	black or african american	KICH	0.782
AAED1	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AAGAB	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AAK1	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AAMDC	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AAMP	4	Hartigans' dip test for unimodality / multimodality	0.233872571004584	0.0081	black or african american	KICH	0.782
AANAT	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AAR2	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AARD	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AARS	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AARS2	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AARSD1	4	Hartigans' dip test for unimodality / multimodality	0.191860985058069	0.0888	black or african american	KICH	0.782
AASDH	4	Hartigans' dip test for unimodality / multimodality	0.147711395263778	0.2392	black or african american	KICH	0.782
AASDHPPT	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AASS	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AATF	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
AATK	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABAT	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA1	4	Hartigans' dip test for unimodality / multimodality	0.187894631818863	0.0988	black or african american	KICH	0.782
ABCA2	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA3	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA4	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA5	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA6	4	Hartigans' dip test for unimodality / multimodality	0.161053584882963	0.1881	black or african american	KICH	0.782
ABCA7	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA8	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA9	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA10	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA12	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCA13	4	Hartigans' dip test for unimodality / multimodality	0.141491435211079	0.2642	black or african american	KICH	0.782
ABCB1	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCB4	4	Hartigans' dip test for unimodality / multimodality	0.142158279261035	0.2615	black or african american	KICH	0.782
ABCB5	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCB6	4	Hartigans' dip test for unimodality / multimodality	0.209548679100333	0.0459	black or african american	KICH	0.782
ABCB7	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCB8	4	Hartigans' dip test for unimodality / multimodality	0.213699913160561	0.0383	black or african american	KICH	0.782
ABCB9	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCB10	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCB11	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
ABCC1	4	Hartigans' dip test for unimodality / multimodality	0.21629276091353	0.0336	black or african american	KICH	0.782
ABCC2	4	Hartigans' dip test for unimodality / multimodality	0.125	0.7820	black or african american	KICH	0.782
