Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	46	Hartigans' dip test for unimodality / multimodality	0.0385728074890202	0.9110	black or african american	KIRC	1
A2M	46	Hartigans' dip test for unimodality / multimodality	0.0380433913650859	0.9216	black or african american	KIRC	1
A2ML1	46	Hartigans' dip test for unimodality / multimodality	0.0872525419984307	0.0063	black or african american	KIRC	0.20688330464716007
A4GALT	46	Hartigans' dip test for unimodality / multimodality	0.0375210842644972	0.9320	black or african american	KIRC	1
A4GNT	46	Hartigans' dip test for unimodality / multimodality	0.0411969299766096	0.8404	black or african american	KIRC	1
AAAS	46	Hartigans' dip test for unimodality / multimodality	0.0440486774258196	0.7484	black or african american	KIRC	1
AACS	46	Hartigans' dip test for unimodality / multimodality	0.0457445026235229	0.6871	black or african american	KIRC	1
AADAC	46	Hartigans' dip test for unimodality / multimodality	0.0620751170785117	0.1830	black or african american	KIRC	1
AADAT	46	Hartigans' dip test for unimodality / multimodality	0.0478127142918412	0.6080	black or african american	KIRC	1
AAED1	46	Hartigans' dip test for unimodality / multimodality	0.0463692817209075	0.6632	black or african american	KIRC	1
AAGAB	46	Hartigans' dip test for unimodality / multimodality	0.0448423311853247	0.7201	black or african american	KIRC	1
AAK1	46	Hartigans' dip test for unimodality / multimodality	0.0399769114305257	0.8754	black or african american	KIRC	1
AAMDC	46	Hartigans' dip test for unimodality / multimodality	0.0326107491389484	0.9900	black or african american	KIRC	1
AAMP	46	Hartigans' dip test for unimodality / multimodality	0.0403221173580001	0.8655	black or african american	KIRC	1
AANAT	46	Hartigans' dip test for unimodality / multimodality	0.0365843351092295	0.9505	black or african american	KIRC	1
AAR2	46	Hartigans' dip test for unimodality / multimodality	0.0446767239068931	0.7260	black or african american	KIRC	1
AARD	46	Hartigans' dip test for unimodality / multimodality	0.0597938882157642	0.2291	black or african american	KIRC	1
AARS	46	Hartigans' dip test for unimodality / multimodality	0.0347218011518488	0.9729	black or african american	KIRC	1
AARS2	46	Hartigans' dip test for unimodality / multimodality	0.0426382716317084	0.7986	black or african american	KIRC	1
AARSD1	46	Hartigans' dip test for unimodality / multimodality	0.0442530871062186	0.7411	black or african american	KIRC	1
AASDH	46	Hartigans' dip test for unimodality / multimodality	0.0329545668109599	0.9878	black or african american	KIRC	1
AASDHPPT	46	Hartigans' dip test for unimodality / multimodality	0.0411107632347713	0.8428	black or african american	KIRC	1
AASS	46	Hartigans' dip test for unimodality / multimodality	0.0333006220508659	0.9855	black or african american	KIRC	1
AATF	46	Hartigans' dip test for unimodality / multimodality	0.0461251580679048	0.6725	black or african american	KIRC	1
AATK	46	Hartigans' dip test for unimodality / multimodality	0.0452027200540935	0.7073	black or african american	KIRC	1
ABAT	46	Hartigans' dip test for unimodality / multimodality	0.052794746167625	0.4258	black or african american	KIRC	1
ABCA1	46	Hartigans' dip test for unimodality / multimodality	0.0505621561265372	0.5041	black or african american	KIRC	1
ABCA2	46	Hartigans' dip test for unimodality / multimodality	0.0443974699462048	0.7360	black or african american	KIRC	1
ABCA3	46	Hartigans' dip test for unimodality / multimodality	0.048921966433109	0.5660	black or african american	KIRC	1
ABCA4	46	Hartigans' dip test for unimodality / multimodality	0.0383080715092395	0.9163	black or african american	KIRC	1
ABCA5	46	Hartigans' dip test for unimodality / multimodality	0.033448776693936	0.9845	black or african american	KIRC	1
ABCA6	46	Hartigans' dip test for unimodality / multimodality	0.0397377876026721	0.8823	black or african american	KIRC	1
ABCA7	46	Hartigans' dip test for unimodality / multimodality	0.0349174454433876	0.9706	black or african american	KIRC	1
ABCA8	46	Hartigans' dip test for unimodality / multimodality	0.0450329058986754	0.7133	black or african american	KIRC	1
ABCA9	46	Hartigans' dip test for unimodality / multimodality	0.0407259332126321	0.8539	black or african american	KIRC	1
ABCA10	46	Hartigans' dip test for unimodality / multimodality	0.0432455247183484	0.7770	black or african american	KIRC	1
ABCA12	46	Hartigans' dip test for unimodality / multimodality	0.0392569023481405	0.8962	black or african american	KIRC	1
ABCA13	46	Hartigans' dip test for unimodality / multimodality	0.0927456060636464	0.0025	black or african american	KIRC	0.10277652370203161
ABCB1	46	Hartigans' dip test for unimodality / multimodality	0.0423851319042111	0.8062	black or african american	KIRC	1
ABCB4	46	Hartigans' dip test for unimodality / multimodality	0.0774453730940055	0.0293	black or african american	KIRC	0.6670145
ABCB5	46	Hartigans' dip test for unimodality / multimodality	0.10586534954927	2e-04	black or african american	KIRC	0.014927868852459017
ABCB6	46	Hartigans' dip test for unimodality / multimodality	0.0398544534262252	0.8790	black or african american	KIRC	1
ABCB7	46	Hartigans' dip test for unimodality / multimodality	0.0576811834384183	0.2799	black or african american	KIRC	1
ABCB8	46	Hartigans' dip test for unimodality / multimodality	0.0448438496777172	0.7201	black or african american	KIRC	1
ABCB9	46	Hartigans' dip test for unimodality / multimodality	0.0550092697926597	0.3555	black or african american	KIRC	1
ABCB10	46	Hartigans' dip test for unimodality / multimodality	0.0351263840980911	0.9681	black or african american	KIRC	1
ABCB11	46	Hartigans' dip test for unimodality / multimodality	0.0733119205246289	0.0479	black or african american	KIRC	0.873228028028028
ABCC1	46	Hartigans' dip test for unimodality / multimodality	0.0328991925400355	0.9881	black or african american	KIRC	1
ABCC2	46	Hartigans' dip test for unimodality / multimodality	0.0356271210976584	0.9620	black or african american	KIRC	1
