Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	15	Hartigans' dip test for unimodality / multimodality	0.0875815829115797	0.4120	black or african american	LIHC	1
A2M	15	Hartigans' dip test for unimodality / multimodality	0.0583332885022739	0.9712	black or african american	LIHC	1
A2ML1	15	Hartigans' dip test for unimodality / multimodality	0.0647471537431001	0.8903	black or african american	LIHC	1
A4GALT	15	Hartigans' dip test for unimodality / multimodality	0.0875844662379205	0.4119	black or african american	LIHC	1
A4GNT	15	Hartigans' dip test for unimodality / multimodality	0.0870872016358067	0.4230	black or african american	LIHC	1
AAAS	15	Hartigans' dip test for unimodality / multimodality	0.0892101100019939	0.3782	black or african american	LIHC	1
AACS	15	Hartigans' dip test for unimodality / multimodality	0.0609705400357612	0.9503	black or african american	LIHC	1
AADAC	15	Hartigans' dip test for unimodality / multimodality	0.0612017953505982	0.9470	black or african american	LIHC	1
AADAT	15	Hartigans' dip test for unimodality / multimodality	0.0751915788506673	0.6861	black or african american	LIHC	1
AAED1	15	Hartigans' dip test for unimodality / multimodality	0.0800086488389909	0.5818	black or african american	LIHC	1
AAGAB	15	Hartigans' dip test for unimodality / multimodality	0.0629658079753979	0.9200	black or african american	LIHC	1
AAK1	15	Hartigans' dip test for unimodality / multimodality	0.0859804717460522	0.4476	black or african american	LIHC	1
AAMDC	15	Hartigans' dip test for unimodality / multimodality	0.0750012634349384	0.6902	black or african american	LIHC	1
AAMP	15	Hartigans' dip test for unimodality / multimodality	0.0916671851829014	0.3291	black or african american	LIHC	1
AANAT	15	Hartigans' dip test for unimodality / multimodality	0.120674065231634	0.0443	black or african american	LIHC	1
AAR2	15	Hartigans' dip test for unimodality / multimodality	0.0869564088271358	0.4259	black or african american	LIHC	1
AARD	15	Hartigans' dip test for unimodality / multimodality	0.117012759863636	0.0601	black or african american	LIHC	1
AARS	15	Hartigans' dip test for unimodality / multimodality	0.0806070154822986	0.5682	black or african american	LIHC	1
AARS2	15	Hartigans' dip test for unimodality / multimodality	0.065798139014053	0.8691	black or african american	LIHC	1
AARSD1	15	Hartigans' dip test for unimodality / multimodality	0.0674403638817049	0.8360	black or african american	LIHC	1
AASDH	15	Hartigans' dip test for unimodality / multimodality	0.090438970828199	0.3537	black or african american	LIHC	1
AASDHPPT	15	Hartigans' dip test for unimodality / multimodality	0.0681798407454863	0.8210	black or african american	LIHC	1
AASS	15	Hartigans' dip test for unimodality / multimodality	0.071689888617215	0.7537	black or african american	LIHC	1
AATF	15	Hartigans' dip test for unimodality / multimodality	0.0641975353960721	0.9010	black or african american	LIHC	1
AATK	15	Hartigans' dip test for unimodality / multimodality	0.0665084582869544	0.8548	black or african american	LIHC	1
ABAT	15	Hartigans' dip test for unimodality / multimodality	0.0612805872401641	0.9458	black or african american	LIHC	1
ABCA1	15	Hartigans' dip test for unimodality / multimodality	0.0615413703233135	0.9418	black or african american	LIHC	1
ABCA2	15	Hartigans' dip test for unimodality / multimodality	0.082981287902921	0.5145	black or african american	LIHC	1
ABCA3	15	Hartigans' dip test for unimodality / multimodality	0.0643717229681124	0.8979	black or african american	LIHC	1
ABCA4	15	Hartigans' dip test for unimodality / multimodality	0.0798497446605718	0.5854	black or african american	LIHC	1
ABCA5	15	Hartigans' dip test for unimodality / multimodality	0.0945672138150049	0.2780	black or african american	LIHC	1
ABCA6	15	Hartigans' dip test for unimodality / multimodality	0.08072845135159	0.5655	black or african american	LIHC	1
ABCA7	15	Hartigans' dip test for unimodality / multimodality	0.0666635051620466	0.8516	black or african american	LIHC	1
ABCA8	15	Hartigans' dip test for unimodality / multimodality	0.0803302092708538	0.5745	black or african american	LIHC	1
ABCA9	15	Hartigans' dip test for unimodality / multimodality	0.0815327041208957	0.5473	black or african american	LIHC	1
ABCA10	15	Hartigans' dip test for unimodality / multimodality	0.075701008195555	0.6752	black or african american	LIHC	1
ABCA12	15	Hartigans' dip test for unimodality / multimodality	0.114434052571567	0.0749	black or african american	LIHC	1
ABCA13	15	Hartigans' dip test for unimodality / multimodality	0.0819020140818833	0.5389	black or african american	LIHC	1
ABCB1	15	Hartigans' dip test for unimodality / multimodality	0.0637633703327526	0.9077	black or african american	LIHC	1
ABCB4	15	Hartigans' dip test for unimodality / multimodality	0.0809874175405166	0.5596	black or african american	LIHC	1
ABCB5	15	Hartigans' dip test for unimodality / multimodality	0.0634423941816708	0.9126	black or african american	LIHC	1
ABCB6	15	Hartigans' dip test for unimodality / multimodality	0.079674834962755	0.5893	black or african american	LIHC	1
