Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	48	Hartigans' dip test for unimodality / multimodality	0.0605316873246304	0.1894	black or african american	LUAD	1
A2M	48	Hartigans' dip test for unimodality / multimodality	0.0447304168967617	0.6934	black or african american	LUAD	1
A2ML1	48	Hartigans' dip test for unimodality / multimodality	0.113568383877313	0.0000	black or african american	LUAD	0
A4GALT	48	Hartigans' dip test for unimodality / multimodality	0.0427058851590434	0.7674	black or african american	LUAD	1
A4GNT	48	Hartigans' dip test for unimodality / multimodality	0.0858227034190966	0.0061	black or african american	LUAD	0.1983807142857143
AAAS	48	Hartigans' dip test for unimodality / multimodality	0.0455988897988488	0.6596	black or african american	LUAD	1
AACS	48	Hartigans' dip test for unimodality / multimodality	0.0420244914849144	0.7922	black or african american	LUAD	1
AADAC	48	Hartigans' dip test for unimodality / multimodality	0.0542014539789211	0.3490	black or african american	LUAD	1
AADAT	48	Hartigans' dip test for unimodality / multimodality	0.0409580338202795	0.8250	black or african american	LUAD	1
AAED1	48	Hartigans' dip test for unimodality / multimodality	0.0399929927017037	0.8533	black or african american	LUAD	1
AAGAB	48	Hartigans' dip test for unimodality / multimodality	0.0276182675151337	0.9945	black or african american	LUAD	1
AAK1	48	Hartigans' dip test for unimodality / multimodality	0.0406335973048637	0.8345	black or african american	LUAD	1
AAMDC	48	Hartigans' dip test for unimodality / multimodality	0.0395843540489279	0.8653	black or african american	LUAD	1
AAMP	48	Hartigans' dip test for unimodality / multimodality	0.041668692461953	0.8041	black or african american	LUAD	1
AANAT	48	Hartigans' dip test for unimodality / multimodality	0.0520833333333333	0.4163	black or african american	LUAD	1
AAR2	48	Hartigans' dip test for unimodality / multimodality	0.039767028863492	0.8600	black or african american	LUAD	1
AARD	48	Hartigans' dip test for unimodality / multimodality	0.0525607133275295	0.3995	black or african american	LUAD	1
AARS	48	Hartigans' dip test for unimodality / multimodality	0.0471174879859307	0.6004	black or african american	LUAD	1
AARS2	48	Hartigans' dip test for unimodality / multimodality	0.0294116523090858	0.9926	black or african american	LUAD	1
AARSD1	48	Hartigans' dip test for unimodality / multimodality	0.047038646418689	0.6035	black or african american	LUAD	1
AASDH	48	Hartigans' dip test for unimodality / multimodality	0.0287389853418929	0.9933	black or african american	LUAD	1
AASDHPPT	48	Hartigans' dip test for unimodality / multimodality	0.0425159838683342	0.7743	black or african american	LUAD	1
AASS	48	Hartigans' dip test for unimodality / multimodality	0.0459989571110769	0.6440	black or african american	LUAD	1
AATF	48	Hartigans' dip test for unimodality / multimodality	0.0354161617719706	0.9564	black or african american	LUAD	1
AATK	48	Hartigans' dip test for unimodality / multimodality	0.0357940598540831	0.9518	black or african american	LUAD	1
ABAT	48	Hartigans' dip test for unimodality / multimodality	0.0422874728343045	0.7826	black or african american	LUAD	1
ABCA1	48	Hartigans' dip test for unimodality / multimodality	0.0364539316792455	0.9396	black or african american	LUAD	1
ABCA2	48	Hartigans' dip test for unimodality / multimodality	0.0288476560115947	0.9932	black or african american	LUAD	1
ABCA3	48	Hartigans' dip test for unimodality / multimodality	0.0420040170326951	0.7929	black or african american	LUAD	1
ABCA4	48	Hartigans' dip test for unimodality / multimodality	0.0351572089639468	0.9596	black or african american	LUAD	1
ABCA5	48	Hartigans' dip test for unimodality / multimodality	0.0426751894954895	0.7686	black or african american	LUAD	1
ABCA6	48	Hartigans' dip test for unimodality / multimodality	0.0354864031243259	0.9556	black or african american	LUAD	1
ABCA7	48	Hartigans' dip test for unimodality / multimodality	0.0438761357307493	0.7249	black or african american	LUAD	1
ABCA8	48	Hartigans' dip test for unimodality / multimodality	0.0288412347432394	0.9932	black or african american	LUAD	1
ABCA9	48	Hartigans' dip test for unimodality / multimodality	0.0464924218731362	0.6248	black or african american	LUAD	1
ABCA10	48	Hartigans' dip test for unimodality / multimodality	0.0576132922940585	0.2555	black or african american	LUAD	1
ABCA12	48	Hartigans' dip test for unimodality / multimodality	0.0569643042421345	0.2714	black or african american	LUAD	1
ABCA13	48	Hartigans' dip test for unimodality / multimodality	0.034467749965774	0.9681	black or african american	LUAD	1
ABCB1	48	Hartigans' dip test for unimodality / multimodality	0.0502140732594015	0.4828	black or african american	LUAD	1
ABCB4	48	Hartigans' dip test for unimodality / multimodality	0.0329545778112643	0.9837	black or african american	LUAD	1
ABCB5	48	Hartigans' dip test for unimodality / multimodality	0.0652368856564108	0.1134	black or african american	LUAD	1
ABCB6	48	Hartigans' dip test for unimodality / multimodality	0.0354177909870362	0.9564	black or african american	LUAD	1
ABCB7	48	Hartigans' dip test for unimodality / multimodality	0.0516144624385379	0.4330	black or african american	LUAD	1
ABCB8	48	Hartigans' dip test for unimodality / multimodality	0.038198830036658	0.9041	black or african american	LUAD	1
ABCB9	48	Hartigans' dip test for unimodality / multimodality	0.0321110942882282	0.9893	black or african american	LUAD	1
ABCB10	48	Hartigans' dip test for unimodality / multimodality	0.0382857795573492	0.9024	black or african american	LUAD	1
ABCB11	48	Hartigans' dip test for unimodality / multimodality	0.085318207553065	0.0067	black or african american	LUAD	0.21482464788732397
ABCC1	48	Hartigans' dip test for unimodality / multimodality	0.0354162332719074	0.9564	black or african american	LUAD	1
ABCC2	48	Hartigans' dip test for unimodality / multimodality	0.028403994121577	0.9937	black or african american	LUAD	1
ABCC3	48	Hartigans' dip test for unimodality / multimodality	0.0390827929041787	0.8800	black or african american	LUAD	1
ABCC4	48	Hartigans' dip test for unimodality / multimodality	0.040364218368542	0.8424	black or african american	LUAD	1
ABCC5	48	Hartigans' dip test for unimodality / multimodality	0.0422491642608323	0.7840	black or african american	LUAD	1
ABCC6	48	Hartigans' dip test for unimodality / multimodality	0.0305224329913272	0.9915	black or african american	LUAD	1
ABCC8	48	Hartigans' dip test for unimodality / multimodality	0.044526271133371	0.7013	black or african american	LUAD	1
ABCC9	48	Hartigans' dip test for unimodality / multimodality	0.0419092911835088	0.7964	black or african american	LUAD	1
ABCC10	48	Hartigans' dip test for unimodality / multimodality	0.0364642964378788	0.9394	black or african american	LUAD	1
ABCC11	48	Hartigans' dip test for unimodality / multimodality	0.0318671040331759	0.9901	black or african american	LUAD	1
ABCC12	48	Hartigans' dip test for unimodality / multimodality	0.0556054275300416	0.3059	black or african american	LUAD	1
ABCD1	48	Hartigans' dip test for unimodality / multimodality	0.0528306080777861	0.3912	black or african american	LUAD	1
ABCD2	48	Hartigans' dip test for unimodality / multimodality	0.0481599683079165	0.5604	black or african american	LUAD	1
ABCD3	48	Hartigans' dip test for unimodality / multimodality	0.0441466361917201	0.7151	black or african american	LUAD	1
ABCD4	48	Hartigans' dip test for unimodality / multimodality	0.0489580022872653	0.5297	black or african american	LUAD	1
ABCE1	48	Hartigans' dip test for unimodality / multimodality	0.0389244748708562	0.8847	black or african american	LUAD	1
ABCF1	48	Hartigans' dip test for unimodality / multimodality	0.0375887699138794	0.9165	black or african american	LUAD	1
ABCF2	48	Hartigans' dip test for unimodality / multimodality	0.040456626690756	0.8397	black or african american	LUAD	1
ABCF3	48	Hartigans' dip test for unimodality / multimodality	0.0505954953218869	0.4693	black or african american	LUAD	1
ABCG1	48	Hartigans' dip test for unimodality / multimodality	0.034454275740309	0.9683	black or african american	LUAD	1
ABCG2	48	Hartigans' dip test for unimodality / multimodality	0.0335074804703568	0.9799	black or african american	LUAD	1
ABCG4	48	Hartigans' dip test for unimodality / multimodality	0.0343236093563908	0.9699	black or african american	LUAD	1
ABHD1	48	Hartigans' dip test for unimodality / multimodality	0.0398895039582439	0.8564	black or african american	LUAD	1
ABHD2	48	Hartigans' dip test for unimodality / multimodality	0.0328901315363089	0.9841	black or african american	LUAD	1
ABHD3	48	Hartigans' dip test for unimodality / multimodality	0.036456620713007	0.9395	black or african american	LUAD	1
ABHD4	48	Hartigans' dip test for unimodality / multimodality	0.0540438979267132	0.3539	black or african american	LUAD	1
ABHD5	48	Hartigans' dip test for unimodality / multimodality	0.0433595145354501	0.7437	black or african american	LUAD	1
ABHD6	48	Hartigans' dip test for unimodality / multimodality	0.0329099168431434	0.9840	black or african american	LUAD	1
ABHD8	48	Hartigans' dip test for unimodality / multimodality	0.0454030043717878	0.6672	black or african american	LUAD	1
ABHD10	48	Hartigans' dip test for unimodality / multimodality	0.0381931649835554	0.9043	black or african american	LUAD	1
ABHD11	48	Hartigans' dip test for unimodality / multimodality	0.0457594019582302	0.6533	black or african american	LUAD	1
ABHD12	48	Hartigans' dip test for unimodality / multimodality	0.0351581122802672	0.9596	black or african american	LUAD	1
ABHD12B	48	Hartigans' dip test for unimodality / multimodality	0.0453902685439134	0.6677	black or african american	LUAD	1
ABHD13	48	Hartigans' dip test for unimodality / multimodality	0.0324412516992112	0.9871	black or african american	LUAD	1
ABHD14A	48	Hartigans' dip test for unimodality / multimodality	0.035904233523525	0.9505	black or african american	LUAD	1
ABHD14A-ACY1	48	Hartigans' dip test for unimodality / multimodality	0.0314024334938137	0.9906	black or african american	LUAD	1
ABHD14B	48	Hartigans' dip test for unimodality / multimodality	0.0355030896672471	0.9554	black or african american	LUAD	1
ABHD15	48	Hartigans' dip test for unimodality / multimodality	0.0349217753144997	0.9625	black or african american	LUAD	1
ABHD16A	48	Hartigans' dip test for unimodality / multimodality	0.0386528811851219	0.8927	black or african american	LUAD	1
ABHD16B	48	Hartigans' dip test for unimodality / multimodality	0.0438440840506956	0.7261	black or african american	LUAD	1
ABHD17A	48	Hartigans' dip test for unimodality / multimodality	0.0467780944309054	0.6137	black or african american	LUAD	1
ABHD17B	48	Hartigans' dip test for unimodality / multimodality	0.0391353664938919	0.8785	black or african american	LUAD	1
ABHD17C	48	Hartigans' dip test for unimodality / multimodality	0.0598634933790114	0.2003	black or african american	LUAD	1
ABI1	48	Hartigans' dip test for unimodality / multimodality	0.0387900861545431	0.8886	black or african american	LUAD	1
ABI2	48	Hartigans' dip test for unimodality / multimodality	0.0510627230326641	0.4526	black or african american	LUAD	1
ABI3	48	Hartigans' dip test for unimodality / multimodality	0.0395848826575628	0.8653	black or african american	LUAD	1
ABI3BP	48	Hartigans' dip test for unimodality / multimodality	0.0391250311462438	0.8788	black or african american	LUAD	1
ABL1	48	Hartigans' dip test for unimodality / multimodality	0.0492054494014871	0.5202	black or african american	LUAD	1
ABL2	48	Hartigans' dip test for unimodality / multimodality	0.0496236162419904	0.5041	black or african american	LUAD	1
ABLIM1	48	Hartigans' dip test for unimodality / multimodality	0.0536457158227138	0.3661	black or african american	LUAD	1
ABLIM2	48	Hartigans' dip test for unimodality / multimodality	0.0378880003512624	0.9105	black or african american	LUAD	1
ABLIM3	48	Hartigans' dip test for unimodality / multimodality	0.0490006335130164	0.5281	black or african american	LUAD	1
ABR	48	Hartigans' dip test for unimodality / multimodality	0.0517976225303715	0.4265	black or african american	LUAD	1
ABRA	48	Hartigans' dip test for unimodality / multimodality	0.131513474516696	0.0000	black or african american	LUAD	0
ABRACL	48	Hartigans' dip test for unimodality / multimodality	0.038690811613034	0.8915	black or african american	LUAD	1
ABT1	48	Hartigans' dip test for unimodality / multimodality	0.046867051860166	0.6102	black or african american	LUAD	1
ABTB1	48	Hartigans' dip test for unimodality / multimodality	0.0343794828907404	0.9692	black or african american	LUAD	1
ABTB2	48	Hartigans' dip test for unimodality / multimodality	0.0428346730942456	0.7628	black or african american	LUAD	1
AC002310.13	48	Hartigans' dip test for unimodality / multimodality	0.0201646778577389	1.0000	black or african american	LUAD	1
AC002365.1	48	Hartigans' dip test for unimodality / multimodality	0.0801169857531382	0.0155	black or african american	LUAD	0.3840625850340136
AC002398.9	48	Hartigans' dip test for unimodality / multimodality	0.0520833333333333	0.4163	black or african american	LUAD	1
AC002985.3	48	Hartigans' dip test for unimodality / multimodality	0.0878823861397861	0.0044	black or african american	LUAD	0.15090922787193975
AC003002.4	48	Hartigans' dip test for unimodality / multimodality	0.0216793556092588	1.0000	black or african american	LUAD	1
AC003002.6	48	Hartigans' dip test for unimodality / multimodality	0.09375	0.0015	black or african american	LUAD	0.06280000000000001
AC003005.4	48	Hartigans' dip test for unimodality / multimodality	0.0411367474240494	0.8198	black or african american	LUAD	1
AC003006.7	48	Hartigans' dip test for unimodality / multimodality	0.106413469957484	1e-04	black or african american	LUAD	0.008755769230769232
AC003101.1	48	Hartigans' dip test for unimodality / multimodality	0.0323567404174827	0.9877	black or african american	LUAD	1
AC003102.1	48	Hartigans' dip test for unimodality / multimodality	0.0783878911273222	0.0193	black or african american	LUAD	0.45412351421188635
AC004017.1	48	Hartigans' dip test for unimodality / multimodality	0.135416666666667	0.0000	black or african american	LUAD	0
AC004076.7	48	Hartigans' dip test for unimodality / multimodality	0.0237361876375142	0.9984	black or african american	LUAD	1
AC004076.9	48	Hartigans' dip test for unimodality / multimodality	0.135416666666667	0.0000	black or african american	LUAD	0
AC004381.6	48	Hartigans' dip test for unimodality / multimodality	0.0410116942455356	0.8234	black or african american	LUAD	1
AC004466.1	48	Hartigans' dip test for unimodality / multimodality	0.0385989641274404	0.8942	black or african american	LUAD	1
AC005003.1	48	Hartigans' dip test for unimodality / multimodality	0.0410301320641244	0.8229	black or african american	LUAD	1
AC005082.1	48	Hartigans' dip test for unimodality / multimodality	0.0234490802237485	0.9987	black or african american	LUAD	1
AC005481.5	48	Hartigans' dip test for unimodality / multimodality	0.0729166666666667	0.0436	black or african american	LUAD	0.7769502935420745
AC005544.1	48	Hartigans' dip test for unimodality / multimodality	0.0617741403957254	0.1694	black or african american	LUAD	1
AC005609.1	48	Hartigans' dip test for unimodality / multimodality	0.0635991095951973	0.1399	black or african american	LUAD	1
AC005779.2	48	Hartigans' dip test for unimodality / multimodality	0.0904912757055579	0.0029	black or african american	LUAD	0.10844928131416837
AC005841.1	48	Hartigans' dip test for unimodality / multimodality	0.0484817958582076	0.5480	black or african american	LUAD	1
AC006116.20	48	Hartigans' dip test for unimodality / multimodality	0.0571240685402186	0.2675	black or african american	LUAD	1
AC006126.3	48	Hartigans' dip test for unimodality / multimodality	0.0793331394410052	0.0172	black or african american	LUAD	0.4159978751660027
AC006132.1	48	Hartigans' dip test for unimodality / multimodality	0.0324988846974336	0.9867	black or african american	LUAD	1
AC006449.1	48	Hartigans' dip test for unimodality / multimodality	0.0413972405538911	0.8121	black or african american	LUAD	1
AC006486.1	48	Hartigans' dip test for unimodality / multimodality	0.0413576767977747	0.8133	black or african american	LUAD	1
AC006486.9	48	Hartigans' dip test for unimodality / multimodality	0.0206039939822897	1.0000	black or african american	LUAD	1
AC006538.4	48	Hartigans' dip test for unimodality / multimodality	0.15625	0.0000	black or african american	LUAD	0
AC006547.14	48	Hartigans' dip test for unimodality / multimodality	0.0490505168884958	0.5261	black or african american	LUAD	1
AC007040.11	48	Hartigans' dip test for unimodality / multimodality	0.0936049566300042	0.0016	black or african american	LUAD	0.06652785388127855
AC007382.1	48	Hartigans' dip test for unimodality / multimodality	0.173182894756457	0.0000	black or african american	LUAD	0
AC007390.5	48	Hartigans' dip test for unimodality / multimodality	0.0394289845827774	0.8699	black or african american	LUAD	1
AC007401.2	48	Hartigans' dip test for unimodality / multimodality	0.133473772213067	0.0000	black or african american	LUAD	0
AC007405.2	48	Hartigans' dip test for unimodality / multimodality	0.0334480452445506	0.9803	black or african american	LUAD	1
AC007461.1	48	Hartigans' dip test for unimodality / multimodality	0.0689368835465028	0.0737	black or african american	LUAD	1
AC007557.1	48	Hartigans' dip test for unimodality / multimodality	0.0104166666666667	1.0000	black or african american	LUAD	1
AC007773.3	48	Hartigans' dip test for unimodality / multimodality	0.0436614445830212	0.7327	black or african american	LUAD	1
AC007919.2	48	Hartigans' dip test for unimodality / multimodality	0.052675723004122	0.3959	black or african american	LUAD	1
AC007952.5	48	Hartigans' dip test for unimodality / multimodality	0.0312766081821367	0.9907	black or african american	LUAD	1
AC007952.6	48	Hartigans' dip test for unimodality / multimodality	0.0416666666666667	0.8042	black or african american	LUAD	1
AC007956.1	48	Hartigans' dip test for unimodality / multimodality	0.0638556601595177	0.1357	black or african american	LUAD	1
AC008132.13	48	Hartigans' dip test for unimodality / multimodality	0.0362834291934648	0.9430	black or african american	LUAD	1
AC008443.1	48	Hartigans' dip test for unimodality / multimodality	0.104166666666667	2e-04	black or african american	LUAD	0.014511553784860558
AC008948.1	48	Hartigans' dip test for unimodality / multimodality	0.040648720145299	0.8341	black or african american	LUAD	1
AC008964.1	48	Hartigans' dip test for unimodality / multimodality	0.0471464370660707	0.5993	black or african american	LUAD	1
AC009060.1	48	Hartigans' dip test for unimodality / multimodality	0.0693476708453723	0.0699	black or african american	LUAD	1
AC009065.1	48	Hartigans' dip test for unimodality / multimodality	0.0826168872465307	0.0100	black or african american	LUAD	0.2670381231671554
AC009403.2	48	Hartigans' dip test for unimodality / multimodality	0.0500003819539567	0.4904	black or african american	LUAD	1
AC010327.2	48	Hartigans' dip test for unimodality / multimodality	0.125	0.0000	black or african american	LUAD	0
AC010336.1	48	Hartigans' dip test for unimodality / multimodality	0.0625	0.1576	black or african american	LUAD	1
AC010441.1	48	Hartigans' dip test for unimodality / multimodality	0.0387225123672547	0.8906	black or african american	LUAD	1
AC010536.1	48	Hartigans' dip test for unimodality / multimodality	0.0380850640862258	0.9065	black or african american	LUAD	1
AC010547.9	48	Hartigans' dip test for unimodality / multimodality	0.0368849730470795	0.9308	black or african american	LUAD	1
AC010642.1	48	Hartigans' dip test for unimodality / multimodality	0.0377714420140814	0.9128	black or african american	LUAD	1
AC010646.3	48	Hartigans' dip test for unimodality / multimodality	0.0159821986966046	1.0000	black or african american	LUAD	1
AC011239.1	48	Hartigans' dip test for unimodality / multimodality	0.0206386594809166	1.0000	black or african american	LUAD	1
AC011298.1	48	Hartigans' dip test for unimodality / multimodality	0.0389462750153279	0.8840	black or african american	LUAD	1
AC011484.1	48	Hartigans' dip test for unimodality / multimodality	0.104166666666667	2e-04	black or african american	LUAD	0.014511553784860558
AC011530.4	48	Hartigans' dip test for unimodality / multimodality	0.123008737150056	0.0000	black or african american	LUAD	0
AC011551.3	48	Hartigans' dip test for unimodality / multimodality	0.133061999332625	0.0000	black or african american	LUAD	0
AC011897.1	48	Hartigans' dip test for unimodality / multimodality	0.0434021782727846	0.7421	black or african american	LUAD	1
AC011997.1	48	Hartigans' dip test for unimodality / multimodality	0.0795047260779483	0.0168	black or african american	LUAD	0.4079488
AC012215.1	48	Hartigans' dip test for unimodality / multimodality	0.0896239630313794	0.0034	black or african american	LUAD	0.12285873015873014
AC012414.1	48	Hartigans' dip test for unimodality / multimodality	0.0557956593683796	0.3000	black or african american	LUAD	1
AC013449.1	48	Hartigans' dip test for unimodality / multimodality	0.111728250293166	0.0000	black or african american	LUAD	0
AC015688.3	48	Hartigans' dip test for unimodality / multimodality	0.057302680867097	0.2631	black or african american	LUAD	1
AC015987.2	48	Hartigans' dip test for unimodality / multimodality	0.0335076208975323	0.9799	black or african american	LUAD	1
AC016251.1	48	Hartigans' dip test for unimodality / multimodality	0.0104166666666667	1.0000	black or african american	LUAD	1
AC016559.1	48	Hartigans' dip test for unimodality / multimodality	0.0197311020613348	1.0000	black or african american	LUAD	1
AC016586.1	48	Hartigans' dip test for unimodality / multimodality	0.0625	0.1576	black or african american	LUAD	1
AC016722.1	48	Hartigans' dip test for unimodality / multimodality	0.09375	0.0015	black or african american	LUAD	0.06280000000000001
AC016722.2	48	Hartigans' dip test for unimodality / multimodality	0.0332618917837848	0.9816	black or african american	LUAD	1
AC016745.1	48	Hartigans' dip test for unimodality / multimodality	0.0540531959605897	0.3536	black or african american	LUAD	1
AC016757.3	48	Hartigans' dip test for unimodality / multimodality	0.0318581107794672	0.9902	black or african american	LUAD	1
AC016885.1	48	Hartigans' dip test for unimodality / multimodality	0.0510732569242036	0.4523	black or african american	LUAD	1
AC017028.1	48	Hartigans' dip test for unimodality / multimodality	0.0104166666666667	1.0000	black or african american	LUAD	1
AC017081.1	48	Hartigans' dip test for unimodality / multimodality	0.0179685925894647	1.0000	black or african american	LUAD	1
