Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	15	Hartigans' dip test for unimodality / multimodality	0.0816753923531956	0.5440	black or african american	Liver	1
A2M	15	Hartigans' dip test for unimodality / multimodality	0.0642701510882368	0.8999	black or african american	Liver	1
A2ML1	15	Hartigans' dip test for unimodality / multimodality	0.0702323202982405	0.7810	black or african american	Liver	1
A4GALT	15	Hartigans' dip test for unimodality / multimodality	0.0757861414565781	0.6734	black or african american	Liver	1
A4GNT	15	Hartigans' dip test for unimodality / multimodality	0.1	0.1968	black or african american	Liver	1
AAAS	15	Hartigans' dip test for unimodality / multimodality	0.0571521306047466	0.9803	black or african american	Liver	1
AACS	15	Hartigans' dip test for unimodality / multimodality	0.0933202107254991	0.2970	black or african american	Liver	1
AADAC	15	Hartigans' dip test for unimodality / multimodality	0.0650794955934963	0.8836	black or african american	Liver	1
AADAT	15	Hartigans' dip test for unimodality / multimodality	0.0662034648774954	0.8609	black or african american	Liver	1
AAED1	15	Hartigans' dip test for unimodality / multimodality	0.0761579749719423	0.6654	black or african american	Liver	1
AAGAB	15	Hartigans' dip test for unimodality / multimodality	0.0590982573097565	0.9651	black or african american	Liver	1
AAK1	15	Hartigans' dip test for unimodality / multimodality	0.0618694191739458	0.9368	black or african american	Liver	1
AAMDC	15	Hartigans' dip test for unimodality / multimodality	0.0900917270168205	0.3606	black or african american	Liver	1
AAMP	15	Hartigans' dip test for unimodality / multimodality	0.0720945467201746	0.7461	black or african american	Liver	1
AANAT	15	Hartigans' dip test for unimodality / multimodality	0.106819168266008	0.1314	black or african american	Liver	1
AAR2	15	Hartigans' dip test for unimodality / multimodality	0.104173545453619	0.1568	black or african american	Liver	1
AARD	15	Hartigans' dip test for unimodality / multimodality	0.0949505084199392	0.2721	black or african american	Liver	1
AARS	15	Hartigans' dip test for unimodality / multimodality	0.0704646047962093	0.7767	black or african american	Liver	1
AARS2	15	Hartigans' dip test for unimodality / multimodality	0.0627347045505842	0.9235	black or african american	Liver	1
AARSD1	15	Hartigans' dip test for unimodality / multimodality	0.085327964674719	0.4621	black or african american	Liver	1
