Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	7	Hartigans' dip test for unimodality / multimodality	0.146889856513663	0.0915	black or african american	PRAD	0.99
A2M	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	PRAD	0.99
A2ML1	7	Hartigans' dip test for unimodality / multimodality	0.116278407075941	0.5223	black or african american	PRAD	0.99
A4GALT	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	PRAD	0.99
A4GNT	7	Hartigans' dip test for unimodality / multimodality	0.183675710949537	0.0105	black or african american	PRAD	0.99
AAAS	7	Hartigans' dip test for unimodality / multimodality	0.12406687108146	0.4023	black or african american	PRAD	0.99
AACS	7	Hartigans' dip test for unimodality / multimodality	0.133000971549325	0.2584	black or african american	PRAD	0.99
AADAC	7	Hartigans' dip test for unimodality / multimodality	0.0941768619146376	0.7987	black or african american	PRAD	0.99
AADAT	7	Hartigans' dip test for unimodality / multimodality	0.0952403464926741	0.7871	black or african american	PRAD	0.99
AAED1	7	Hartigans' dip test for unimodality / multimodality	0.126753537830898	0.3590	black or african american	PRAD	0.99
AAGAB	7	Hartigans' dip test for unimodality / multimodality	0.0816254502627292	0.9006	black or african american	PRAD	0.99
AAK1	7	Hartigans' dip test for unimodality / multimodality	0.0937635810844627	0.8024	black or african american	PRAD	0.99
AAMDC	7	Hartigans' dip test for unimodality / multimodality	0.118226719353557	0.4935	black or african american	PRAD	0.99
AAMP	7	Hartigans' dip test for unimodality / multimodality	0.116724514691229	0.5158	black or african american	PRAD	0.99
AANAT	7	Hartigans' dip test for unimodality / multimodality	0.09026311135383	0.8308	black or african american	PRAD	0.99
AAR2	7	Hartigans' dip test for unimodality / multimodality	0.107156492402123	0.6493	black or african american	PRAD	0.99
AARD	7	Hartigans' dip test for unimodality / multimodality	0.101232499557256	0.7219	black or african american	PRAD	0.99
AARS	7	Hartigans' dip test for unimodality / multimodality	0.0748298292469307	0.9377	black or african american	PRAD	0.99
AARS2	7	Hartigans' dip test for unimodality / multimodality	0.0816371127640393	0.9005	black or african american	PRAD	0.99
AARSD1	7	Hartigans' dip test for unimodality / multimodality	0.116886565490065	0.5135	black or african american	PRAD	0.99
AASDH	7	Hartigans' dip test for unimodality / multimodality	0.164446670431905	0.0411	black or african american	PRAD	0.99
AASDHPPT	7	Hartigans' dip test for unimodality / multimodality	0.116529623634439	0.5187	black or african american	PRAD	0.99
AASS	7	Hartigans' dip test for unimodality / multimodality	0.119043355415749	0.4807	black or african american	PRAD	0.99
AATF	7	Hartigans' dip test for unimodality / multimodality	0.0892834687403661	0.8387	black or african american	PRAD	0.99
AATK	7	Hartigans' dip test for unimodality / multimodality	0.175912253045908	0.0192	black or african american	PRAD	0.99
ABAT	7	Hartigans' dip test for unimodality / multimodality	0.0722677644266553	0.9606	black or african american	PRAD	0.99
ABCA1	7	Hartigans' dip test for unimodality / multimodality	0.100841970714259	0.7262	black or african american	PRAD	0.99
ABCA2	7	Hartigans' dip test for unimodality / multimodality	0.119897223010384	0.4674	black or african american	PRAD	0.99
ABCA3	7	Hartigans' dip test for unimodality / multimodality	0.0758871517023226	0.9319	black or african american	PRAD	0.99
ABCA4	7	Hartigans' dip test for unimodality / multimodality	0.0950460667599808	0.7893	black or african american	PRAD	0.99
ABCA5	7	Hartigans' dip test for unimodality / multimodality	0.109892370697852	0.6139	black or african american	PRAD	0.99
ABCA6	7	Hartigans' dip test for unimodality / multimodality	0.093237063527979	0.8067	black or african american	PRAD	0.99
ABCA7	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	PRAD	0.99
ABCA8	7	Hartigans' dip test for unimodality / multimodality	0.121631131733165	0.4403	black or african american	PRAD	0.99
ABCA9	7	Hartigans' dip test for unimodality / multimodality	0.108065409354252	0.6376	black or african american	PRAD	0.99
ABCA10	7	Hartigans' dip test for unimodality / multimodality	0.0880198401734046	0.8490	black or african american	PRAD	0.99
ABCA12	7	Hartigans' dip test for unimodality / multimodality	0.187337732339987	0.0077	black or african american	PRAD	0.99
ABCA13	7	Hartigans' dip test for unimodality / multimodality	0.123087221129514	0.4176	black or african american	PRAD	0.99
ABCB1	7	Hartigans' dip test for unimodality / multimodality	0.0714731172507028	0.9884	black or african american	PRAD	0.99
ABCB4	7	Hartigans' dip test for unimodality / multimodality	0.134145408774769	0.2400	black or african american	PRAD	0.99
