Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	13	Hartigans' dip test for unimodality / multimodality	0.0994612544659485	0.2882	black or african american	Prostate	1
A2M	13	Hartigans' dip test for unimodality / multimodality	0.0893492843322369	0.4741	black or african american	Prostate	1
A2ML1	13	Hartigans' dip test for unimodality / multimodality	0.0663337599044645	0.9287	black or african american	Prostate	1
A4GALT	13	Hartigans' dip test for unimodality / multimodality	0.0840955087060882	0.6010	black or african american	Prostate	1
A4GNT	13	Hartigans' dip test for unimodality / multimodality	0.101212382793431	0.2643	black or african american	Prostate	1
AAAS	13	Hartigans' dip test for unimodality / multimodality	0.0745212733573697	0.8002	black or african american	Prostate	1
AACS	13	Hartigans' dip test for unimodality / multimodality	0.0961528605252741	0.3410	black or african american	Prostate	1
AADAC	13	Hartigans' dip test for unimodality / multimodality	0.0871819638454128	0.5250	black or african american	Prostate	1
AADAT	13	Hartigans' dip test for unimodality / multimodality	0.115053443424907	0.1155	black or african american	Prostate	1
AAED1	13	Hartigans' dip test for unimodality / multimodality	0.0622451107327799	0.9643	black or african american	Prostate	1
AAGAB	13	Hartigans' dip test for unimodality / multimodality	0.103548917322573	0.2325	black or african american	Prostate	1
AAK1	13	Hartigans' dip test for unimodality / multimodality	0.0856049173405479	0.5639	black or african american	Prostate	1
AAMDC	13	Hartigans' dip test for unimodality / multimodality	0.0732572339326765	0.8222	black or african american	Prostate	1
AAMP	13	Hartigans' dip test for unimodality / multimodality	0.0641023373057975	0.9526	black or african american	Prostate	1
AANAT	13	Hartigans' dip test for unimodality / multimodality	0.111290508426648	0.1503	black or african american	Prostate	1
AAR2	13	Hartigans' dip test for unimodality / multimodality	0.0726377750237339	0.8329	black or african american	Prostate	1
AARD	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Prostate	1
AARS	13	Hartigans' dip test for unimodality / multimodality	0.0795445945058609	0.7036	black or african american	Prostate	1
AARS2	13	Hartigans' dip test for unimodality / multimodality	0.098742330439163	0.2980	black or african american	Prostate	1
AARSD1	13	Hartigans' dip test for unimodality / multimodality	0.0656092414149765	0.9372	black or african american	Prostate	1
AASDH	13	Hartigans' dip test for unimodality / multimodality	0.0701000270728297	0.8770	black or african american	Prostate	1
AASDHPPT	13	Hartigans' dip test for unimodality / multimodality	0.107433378144701	0.1861	black or african american	Prostate	1
AASS	13	Hartigans' dip test for unimodality / multimodality	0.0737826592020208	0.8130	black or african american	Prostate	1
AATF	13	Hartigans' dip test for unimodality / multimodality	0.0656099511866772	0.9372	black or african american	Prostate	1
AATK	13	Hartigans' dip test for unimodality / multimodality	0.0738240044051887	0.8123	black or african american	Prostate	1
ABAT	13	Hartigans' dip test for unimodality / multimodality	0.0773747076796754	0.7453	black or african american	Prostate	1
ABCA1	13	Hartigans' dip test for unimodality / multimodality	0.0829525579622835	0.6270	black or african american	Prostate	1
ABCA2	13	Hartigans' dip test for unimodality / multimodality	0.0769236064112423	0.7540	black or african american	Prostate	1
