Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	497	Hartigans' dip test for unimodality / multimodality	0.0181147023123866	0.3363	black or african american	TCGA	1
A2M	497	Hartigans' dip test for unimodality / multimodality	0.0113138193769329	0.9742	black or african american	TCGA	1
A2ML1	497	Hartigans' dip test for unimodality / multimodality	0.0322287936107859	0.0010	black or african american	TCGA	0.00775969322539412
A4GALT	497	Hartigans' dip test for unimodality / multimodality	0.0120730263644911	0.9436	black or african american	TCGA	1
A4GNT	497	Hartigans' dip test for unimodality / multimodality	0.046097227100999	0.0000	black or african american	TCGA	0
AAAS	497	Hartigans' dip test for unimodality / multimodality	0.0116002877099934	0.9636	black or african american	TCGA	1
AACS	497	Hartigans' dip test for unimodality / multimodality	0.0114206773551983	0.9703	black or african american	TCGA	1
AADAC	497	Hartigans' dip test for unimodality / multimodality	0.0268770077251847	0.0142	black or african american	TCGA	0.09086802529866479
AADAT	497	Hartigans' dip test for unimodality / multimodality	0.015287086293262	0.6418	black or african american	TCGA	1
AAED1	497	Hartigans' dip test for unimodality / multimodality	0.013606148524416	0.8256	black or african american	TCGA	1
AAGAB	497	Hartigans' dip test for unimodality / multimodality	0.0111222343531597	0.9807	black or african american	TCGA	1
AAK1	497	Hartigans' dip test for unimodality / multimodality	0.0123536388103201	0.9262	black or african american	TCGA	1
AAMDC	497	Hartigans' dip test for unimodality / multimodality	0.00974394328695239	0.9930	black or african american	TCGA	1
AAMP	497	Hartigans' dip test for unimodality / multimodality	0.0132214794756818	0.8601	black or african american	TCGA	1
AANAT	497	Hartigans' dip test for unimodality / multimodality	0.0643863179074447	0.0000	black or african american	TCGA	0
AAR2	497	Hartigans' dip test for unimodality / multimodality	0.014978729971949	0.6783	black or african american	TCGA	1
AARD	497	Hartigans' dip test for unimodality / multimodality	0.0222059506375013	0.0928	black or african american	TCGA	0.5160530076335877
AARS	497	Hartigans' dip test for unimodality / multimodality	0.0113651530387767	0.9723	black or african american	TCGA	1
