Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	25	Hartigans' dip test for unimodality / multimodality	0.0619997736318931	0.6316	black or african american	THCA	1
A2M	25	Hartigans' dip test for unimodality / multimodality	0.04	0.9922	black or african american	THCA	1
A2ML1	25	Hartigans' dip test for unimodality / multimodality	0.0811767582416433	0.1855	black or african american	THCA	1
A4GALT	25	Hartigans' dip test for unimodality / multimodality	0.0615401319178895	0.6453	black or african american	THCA	1
A4GNT	25	Hartigans' dip test for unimodality / multimodality	0.0761792536922305	0.2711	black or african american	THCA	1
AAAS	25	Hartigans' dip test for unimodality / multimodality	0.0438489509965754	0.9846	black or african american	THCA	1
AACS	25	Hartigans' dip test for unimodality / multimodality	0.0571343992619045	0.7700	black or african american	THCA	1
AADAC	25	Hartigans' dip test for unimodality / multimodality	0.0626439988729316	0.6124	black or african american	THCA	1
AADAT	25	Hartigans' dip test for unimodality / multimodality	0.0495319381910113	0.9265	black or african american	THCA	1
AAED1	25	Hartigans' dip test for unimodality / multimodality	0.0710228127479056	0.3829	black or african american	THCA	1
AAGAB	25	Hartigans' dip test for unimodality / multimodality	0.0636931122848673	0.5814	black or african american	THCA	1
AAK1	25	Hartigans' dip test for unimodality / multimodality	0.0472351964234823	0.9563	black or african american	THCA	1
AAMDC	25	Hartigans' dip test for unimodality / multimodality	0.0900000115750861	0.0869	black or african american	THCA	1
AAMP	25	Hartigans' dip test for unimodality / multimodality	0.0545453884322833	0.8318	black or african american	THCA	1
AANAT	25	Hartigans' dip test for unimodality / multimodality	0.12	0.0027	black or african american	THCA	0.16897731958762888
AAR2	25	Hartigans' dip test for unimodality / multimodality	0.0553918531310499	0.8137	black or african american	THCA	1
AARD	25	Hartigans' dip test for unimodality / multimodality	0.0612185627013121	0.6549	black or african american	THCA	1
AARS	25	Hartigans' dip test for unimodality / multimodality	0.0713039837469899	0.3764	black or african american	THCA	1
AARS2	25	Hartigans' dip test for unimodality / multimodality	0.0573965385612168	0.7629	black or african american	THCA	1
AARSD1	25	Hartigans' dip test for unimodality / multimodality	0.0610496267074533	0.6599	black or african american	THCA	1
AASDH	25	Hartigans' dip test for unimodality / multimodality	0.0415975220206161	0.9910	black or african american	THCA	1
AASDHPPT	25	Hartigans' dip test for unimodality / multimodality	0.0540507786116965	0.8424	black or african american	THCA	1
AASS	25	Hartigans' dip test for unimodality / multimodality	0.0546056894278171	0.8305	black or african american	THCA	1
AATF	25	Hartigans' dip test for unimodality / multimodality	0.0838789254357211	0.1522	black or african american	THCA	1
AATK	25	Hartigans' dip test for unimodality / multimodality	0.058749500104963	0.7260	black or african american	THCA	1
ABAT	25	Hartigans' dip test for unimodality / multimodality	0.0471771490416108	0.9568	black or african american	THCA	1
ABCA1	25	Hartigans' dip test for unimodality / multimodality	0.0749877753460123	0.2932	black or african american	THCA	1
ABCA2	25	Hartigans' dip test for unimodality / multimodality	0.052941168638326	0.8661	black or african american	THCA	1
ABCA3	25	Hartigans' dip test for unimodality / multimodality	0.0818201186830073	0.1776	black or african american	THCA	1
ABCA4	25	Hartigans' dip test for unimodality / multimodality	0.0682001488117302	0.4544	black or african american	THCA	1
ABCA5	25	Hartigans' dip test for unimodality / multimodality	0.0445450874391824	0.9807	black or african american	THCA	1
ABCA6	25	Hartigans' dip test for unimodality / multimodality	0.0405334890723748	0.9918	black or african american	THCA	1
ABCA7	25	Hartigans' dip test for unimodality / multimodality	0.0541483226338701	0.8403	black or african american	THCA	1
ABCA8	25	Hartigans' dip test for unimodality / multimodality	0.0579865232581787	0.7468	black or african american	THCA	1
ABCA9	25	Hartigans' dip test for unimodality / multimodality	0.0493373065552016	0.9294	black or african american	THCA	1
ABCA10	25	Hartigans' dip test for unimodality / multimodality	0.0733668700485098	0.3289	black or african american	THCA	1
ABCA12	25	Hartigans' dip test for unimodality / multimodality	0.0850031076077999	0.1383	black or african american	THCA	1
ABCA13	25	Hartigans' dip test for unimodality / multimodality	0.0423570141270471	0.9904	black or african american	THCA	1
ABCB1	25	Hartigans' dip test for unimodality / multimodality	0.0538214324171408	0.8473	black or african american	THCA	1
ABCB4	25	Hartigans' dip test for unimodality / multimodality	0.0660403175314575	0.5123	black or african american	THCA	1
ABCB5	25	Hartigans' dip test for unimodality / multimodality	0.113704181981151	0.0061	black or african american	THCA	0.31293859154929576
ABCB6	25	Hartigans' dip test for unimodality / multimodality	0.0594731380469554	0.7063	black or african american	THCA	1
ABCB7	25	Hartigans' dip test for unimodality / multimodality	0.076925600553982	0.2572	black or african american	THCA	1
ABCB8	25	Hartigans' dip test for unimodality / multimodality	0.0600005589285958	0.6912	black or african american	THCA	1
