Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	54	Hartigans' dip test for unimodality / multimodality	0.050332094126435	0.3819	black or african american	UCEC	1
A2M	54	Hartigans' dip test for unimodality / multimodality	0.053465521098168	0.2843	black or african american	UCEC	1
A2ML1	54	Hartigans' dip test for unimodality / multimodality	0.0357381044521439	0.9138	black or african american	UCEC	1
A4GALT	54	Hartigans' dip test for unimodality / multimodality	0.0326254808696672	0.9684	black or african american	UCEC	1
A4GNT	54	Hartigans' dip test for unimodality / multimodality	0.102053028379813	1e-04	black or african american	UCEC	0.006390175438596491
AAAS	54	Hartigans' dip test for unimodality / multimodality	0.0469364402972833	0.5069	black or african american	UCEC	1
AACS	54	Hartigans' dip test for unimodality / multimodality	0.0439121979209569	0.6299	black or african american	UCEC	1
AADAC	54	Hartigans' dip test for unimodality / multimodality	0.0462962962962963	0.5329	black or african american	UCEC	1
AADAT	54	Hartigans' dip test for unimodality / multimodality	0.035715676046029	0.9143	black or african american	UCEC	1
AAED1	54	Hartigans' dip test for unimodality / multimodality	0.0371558014158801	0.8760	black or african american	UCEC	1
AAGAB	54	Hartigans' dip test for unimodality / multimodality	0.0303836385385319	0.9895	black or african american	UCEC	1
AAK1	54	Hartigans' dip test for unimodality / multimodality	0.0563434017341818	0.2099	black or african american	UCEC	1
AAMDC	54	Hartigans' dip test for unimodality / multimodality	0.0378431685923288	0.8546	black or african american	UCEC	1
AAMP	54	Hartigans' dip test for unimodality / multimodality	0.0350239464398893	0.9291	black or african american	UCEC	1
AANAT	54	Hartigans' dip test for unimodality / multimodality	0.0462962962962963	0.5329	black or african american	UCEC	1
AAR2	54	Hartigans' dip test for unimodality / multimodality	0.0361930610680874	0.9040	black or african american	UCEC	1
AARD	54	Hartigans' dip test for unimodality / multimodality	0.0377300636229774	0.8582	black or african american	UCEC	1
AARS	54	Hartigans' dip test for unimodality / multimodality	0.0411876565971808	0.7392	black or african american	UCEC	1
AARS2	54	Hartigans' dip test for unimodality / multimodality	0.0420175687245888	0.7073	black or african american	UCEC	1
AARSD1	54	Hartigans' dip test for unimodality / multimodality	0.0462981447710165	0.5328	black or african american	UCEC	1
AASDH	54	Hartigans' dip test for unimodality / multimodality	0.0370485523955823	0.8793	black or african american	UCEC	1
AASDHPPT	54	Hartigans' dip test for unimodality / multimodality	0.034660149035185	0.9368	black or african american	UCEC	1
AASS	54	Hartigans' dip test for unimodality / multimodality	0.0540742839069055	0.2685	black or african american	UCEC	1
AATF	54	Hartigans' dip test for unimodality / multimodality	0.0285483515688423	0.9919	black or african american	UCEC	1
AATK	54	Hartigans' dip test for unimodality / multimodality	0.0358482424693052	0.9114	black or african american	UCEC	1
ABAT	54	Hartigans' dip test for unimodality / multimodality	0.0383755345535679	0.8381	black or african american	UCEC	1
ABCA1	54	Hartigans' dip test for unimodality / multimodality	0.0296245580673488	0.9908	black or african american	UCEC	1
ABCA2	54	Hartigans' dip test for unimodality / multimodality	0.0314135968031596	0.9822	black or african american	UCEC	1
ABCA3	54	Hartigans' dip test for unimodality / multimodality	0.0325844143797295	0.9689	black or african american	UCEC	1
ABCA4	54	Hartigans' dip test for unimodality / multimodality	0.0409190146973278	0.7495	black or african american	UCEC	1
ABCA5	54	Hartigans' dip test for unimodality / multimodality	0.0302442454000574	0.9901	black or african american	UCEC	1
ABCA6	54	Hartigans' dip test for unimodality / multimodality	0.046128359406875	0.5397	black or african american	UCEC	1
ABCA7	54	Hartigans' dip test for unimodality / multimodality	0.040740248480784	0.7564	black or african american	UCEC	1
ABCA8	54	Hartigans' dip test for unimodality / multimodality	0.0368110260546105	0.8867	black or african american	UCEC	1
ABCA9	54	Hartigans' dip test for unimodality / multimodality	0.0417898793944128	0.7161	black or african american	UCEC	1
ABCA10	54	Hartigans' dip test for unimodality / multimodality	0.05146705561282	0.3451	black or african american	UCEC	1
ABCA12	54	Hartigans' dip test for unimodality / multimodality	0.0521182641087689	0.3240	black or african american	UCEC	1
ABCA13	54	Hartigans' dip test for unimodality / multimodality	0.0423165613568056	0.6955	black or african american	UCEC	1
ABCB1	54	Hartigans' dip test for unimodality / multimodality	0.0416659389279707	0.7208	black or african american	UCEC	1
ABCB4	54	Hartigans' dip test for unimodality / multimodality	0.0432832897750751	0.6558	black or african american	UCEC	1
ABCB5	54	Hartigans' dip test for unimodality / multimodality	0.0721671467725939	0.0288	black or african american	UCEC	0.5024
ABCB6	54	Hartigans' dip test for unimodality / multimodality	0.0307378942634833	0.9870	black or african american	UCEC	1
ABCB7	54	Hartigans' dip test for unimodality / multimodality	0.0397896388253131	0.7929	black or african american	UCEC	1
ABCB8	54	Hartigans' dip test for unimodality / multimodality	0.0370424493563028	0.8795	black or african american	UCEC	1
ABCB9	54	Hartigans' dip test for unimodality / multimodality	0.0304932050183258	0.9888	black or african american	UCEC	1
ABCB10	54	Hartigans' dip test for unimodality / multimodality	0.0472853459699994	0.4933	black or african american	UCEC	1
ABCB11	54	Hartigans' dip test for unimodality / multimodality	0.0811194315223241	0.0064	black or african american	UCEC	0.16121272475795298
ABCC1	54	Hartigans' dip test for unimodality / multimodality	0.0378782617449398	0.8536	black or african american	UCEC	1
ABCC2	54	Hartigans' dip test for unimodality / multimodality	0.0398714791864628	0.7897	black or african american	UCEC	1
ABCC3	54	Hartigans' dip test for unimodality / multimodality	0.0460060839394402	0.5446	black or african american	UCEC	1
ABCC4	54	Hartigans' dip test for unimodality / multimodality	0.0408567386222381	0.7519	black or african american	UCEC	1
ABCC5	54	Hartigans' dip test for unimodality / multimodality	0.0309891405614736	0.9852	black or african american	UCEC	1
ABCC6	54	Hartigans' dip test for unimodality / multimodality	0.0334888597842243	0.9572	black or african american	UCEC	1
ABCC8	54	Hartigans' dip test for unimodality / multimodality	0.0644502165831536	0.0821	black or african american	UCEC	1
ABCC9	54	Hartigans' dip test for unimodality / multimodality	0.0532437218124127	0.2900	black or african american	UCEC	1
ABCC10	54	Hartigans' dip test for unimodality / multimodality	0.0363247792416243	0.9012	black or african american	UCEC	1
ABCC11	54	Hartigans' dip test for unimodality / multimodality	0.0395325269763048	0.8022	black or african american	UCEC	1
ABCC12	54	Hartigans' dip test for unimodality / multimodality	0.0596372167625663	0.1504	black or african american	UCEC	1
ABCD1	54	Hartigans' dip test for unimodality / multimodality	0.0387848131222774	0.8254	black or african american	UCEC	1
ABCD2	54	Hartigans' dip test for unimodality / multimodality	0.0569793043147735	0.1957	black or african american	UCEC	1
ABCD3	54	Hartigans' dip test for unimodality / multimodality	0.0328644885381374	0.9653	black or african american	UCEC	1
ABCD4	54	Hartigans' dip test for unimodality / multimodality	0.0333296006017973	0.9593	black or african american	UCEC	1
ABCE1	54	Hartigans' dip test for unimodality / multimodality	0.0408374687589257	0.7526	black or african american	UCEC	1
ABCF1	54	Hartigans' dip test for unimodality / multimodality	0.045405487276077	0.5690	black or african american	UCEC	1
ABCF2	54	Hartigans' dip test for unimodality / multimodality	0.0477878881568536	0.4745	black or african american	UCEC	1
ABCF3	54	Hartigans' dip test for unimodality / multimodality	0.0493817252559599	0.4147	black or african american	UCEC	1
ABCG1	54	Hartigans' dip test for unimodality / multimodality	0.0314600904045468	0.9819	black or african american	UCEC	1
ABCG2	54	Hartigans' dip test for unimodality / multimodality	0.0314664914560767	0.9819	black or african american	UCEC	1
ABCG4	54	Hartigans' dip test for unimodality / multimodality	0.039939850493233	0.7871	black or african american	UCEC	1
