Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	674	Hartigans' dip test for unimodality / multimodality	0.00833215079830341	0.9933	white	BRCA	1
A2M	674	Hartigans' dip test for unimodality / multimodality	0.0111275856597952	0.8879	white	BRCA	1
A2ML1	674	Hartigans' dip test for unimodality / multimodality	0.0274480712166172	0.0012	white	BRCA	0.008590566037735848
A4GALT	674	Hartigans' dip test for unimodality / multimodality	0.00929437871992394	0.9877	white	BRCA	1
A4GNT	674	Hartigans' dip test for unimodality / multimodality	0.0840201480225467	0.0000	white	BRCA	0
AAAS	674	Hartigans' dip test for unimodality / multimodality	0.0139236903071834	0.5396	white	BRCA	1
AACS	674	Hartigans' dip test for unimodality / multimodality	0.0122271674473941	0.7671	white	BRCA	1
AADAC	674	Hartigans' dip test for unimodality / multimodality	0.0331919225731599	0.0000	white	BRCA	0
AADAT	674	Hartigans' dip test for unimodality / multimodality	0.00918816580405986	0.9900	white	BRCA	1
AAED1	674	Hartigans' dip test for unimodality / multimodality	0.0138417030969378	0.5507	white	BRCA	1
AAGAB	674	Hartigans' dip test for unimodality / multimodality	0.0118685244472907	0.8107	white	BRCA	1
AAK1	674	Hartigans' dip test for unimodality / multimodality	0.0104701171686428	0.9388	white	BRCA	1
AAMDC	674	Hartigans' dip test for unimodality / multimodality	0.011080473351739	0.8928	white	BRCA	1
AAMP	674	Hartigans' dip test for unimodality / multimodality	0.012211716725085	0.7691	white	BRCA	1
AANAT	674	Hartigans' dip test for unimodality / multimodality	0.0614247431085905	0.0000	white	BRCA	0
AAR2	674	Hartigans' dip test for unimodality / multimodality	0.0127827592059825	0.6954	white	BRCA	1
AARD	674	Hartigans' dip test for unimodality / multimodality	0.0088520713906029	0.9913	white	BRCA	1
AARS	674	Hartigans' dip test for unimodality / multimodality	0.012494215398032	0.7328	white	BRCA	1
AARS2	674	Hartigans' dip test for unimodality / multimodality	0.0124178109344472	0.7426	white	BRCA	1
AARSD1	674	Hartigans' dip test for unimodality / multimodality	0.0104272174145232	0.9419	white	BRCA	1
AASDH	674	Hartigans' dip test for unimodality / multimodality	0.0147786136383374	0.4301	white	BRCA	1
AASDHPPT	674	Hartigans' dip test for unimodality / multimodality	0.0104059446405307	0.9435	white	BRCA	1
AASS	674	Hartigans' dip test for unimodality / multimodality	0.0163652062067737	0.2642	white	BRCA	1
AATF	674	Hartigans' dip test for unimodality / multimodality	0.00964391691394659	0.9789	white	BRCA	1
AATK	674	Hartigans' dip test for unimodality / multimodality	0.0124595448546205	0.7372	white	BRCA	1
