Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	75	Hartigans' dip test for unimodality / multimodality	0.0494819050878903	0.1842	white	Breast	1
A2M	75	Hartigans' dip test for unimodality / multimodality	0.0244445152744746	0.9921	white	Breast	1
A2ML1	75	Hartigans' dip test for unimodality / multimodality	0.0466666666666667	0.2607	white	Breast	1
A4GALT	75	Hartigans' dip test for unimodality / multimodality	0.0326766231813292	0.8472	white	Breast	1
A4GNT	75	Hartigans' dip test for unimodality / multimodality	0.06	0.0399	white	Breast	0.5227761151079137
AAAS	75	Hartigans' dip test for unimodality / multimodality	0.0363427975598065	0.6939	white	Breast	1
AACS	75	Hartigans' dip test for unimodality / multimodality	0.0311178230770818	0.9026	white	Breast	1
AADAC	75	Hartigans' dip test for unimodality / multimodality	0.0396284708886679	0.5373	white	Breast	1
AADAT	75	Hartigans' dip test for unimodality / multimodality	0.0291350404169821	0.9513	white	Breast	1
AAED1	75	Hartigans' dip test for unimodality / multimodality	0.0433294867113927	0.3766	white	Breast	1
AAGAB	75	Hartigans' dip test for unimodality / multimodality	0.0219075621860851	0.9954	white	Breast	1
AAK1	75	Hartigans' dip test for unimodality / multimodality	0.0257647729071246	0.9903	white	Breast	1
AAMDC	75	Hartigans' dip test for unimodality / multimodality	0.0247623448346825	0.9917	white	Breast	1
AAMP	75	Hartigans' dip test for unimodality / multimodality	0.0346694490354073	0.7691	white	Breast	1
AANAT	75	Hartigans' dip test for unimodality / multimodality	0.0466666666666667	0.2607	white	Breast	1
AAR2	75	Hartigans' dip test for unimodality / multimodality	0.0266700693088529	0.9846	white	Breast	1
AARD	75	Hartigans' dip test for unimodality / multimodality	0.0364323612262208	0.6896	white	Breast	1
AARS	75	Hartigans' dip test for unimodality / multimodality	0.0307397627862544	0.9121	white	Breast	1
AARS2	75	Hartigans' dip test for unimodality / multimodality	0.023349590554413	0.9935	white	Breast	1
AARSD1	75	Hartigans' dip test for unimodality / multimodality	0.0259982502798732	0.9900	white	Breast	1
AASDH	75	Hartigans' dip test for unimodality / multimodality	0.0401909896718105	0.5107	white	Breast	1
AASDHPPT	75	Hartigans' dip test for unimodality / multimodality	0.0353029649296143	0.7408	white	Breast	1
AASS	75	Hartigans' dip test for unimodality / multimodality	0.0286112521511876	0.9592	white	Breast	1
AATF	75	Hartigans' dip test for unimodality / multimodality	0.0281492000095646	0.9661	white	Breast	1
AATK	75	Hartigans' dip test for unimodality / multimodality	0.0316872241691708	0.8831	white	Breast	1
ABAT	75	Hartigans' dip test for unimodality / multimodality	0.0371420969220948	0.6556	white	Breast	1
ABCA1	75	Hartigans' dip test for unimodality / multimodality	0.0481547538868986	0.2159	white	Breast	1
ABCA2	75	Hartigans' dip test for unimodality / multimodality	0.0285695346035072	0.9598	white	Breast	1
ABCA3	75	Hartigans' dip test for unimodality / multimodality	0.0260061781828246	0.9900	white	Breast	1
ABCA4	75	Hartigans' dip test for unimodality / multimodality	0.0379697299918593	0.6159	white	Breast	1
ABCA5	75	Hartigans' dip test for unimodality / multimodality	0.0379713309930184	0.6159	white	Breast	1
ABCA6	75	Hartigans' dip test for unimodality / multimodality	0.0247060341428871	0.9917	white	Breast	1
ABCA7	75	Hartigans' dip test for unimodality / multimodality	0.0264697898513417	0.9863	white	Breast	1
ABCA8	75	Hartigans' dip test for unimodality / multimodality	0.0358902338418669	0.7145	white	Breast	1
ABCA9	75	Hartigans' dip test for unimodality / multimodality	0.0289547412144627	0.9541	white	Breast	1
ABCA10	75	Hartigans' dip test for unimodality / multimodality	0.0359544821134256	0.7117	white	Breast	1
ABCA12	75	Hartigans' dip test for unimodality / multimodality	0.0421634236319998	0.4239	white	Breast	1
ABCA13	75	Hartigans' dip test for unimodality / multimodality	0.0417540494631721	0.4417	white	Breast	1
ABCB1	75	Hartigans' dip test for unimodality / multimodality	0.0244410794793495	0.9921	white	Breast	1
ABCB4	75	Hartigans' dip test for unimodality / multimodality	0.0535144351984911	0.1042	white	Breast	1
ABCB5	75	Hartigans' dip test for unimodality / multimodality	0.03199681073733	0.8719	white	Breast	1
ABCB6	75	Hartigans' dip test for unimodality / multimodality	0.0289735397005633	0.9538	white	Breast	1
ABCB7	75	Hartigans' dip test for unimodality / multimodality	0.0390462345633987	0.5648	white	Breast	1
ABCB8	75	Hartigans' dip test for unimodality / multimodality	0.043330846831068	0.3766	white	Breast	1
ABCB9	75	Hartigans' dip test for unimodality / multimodality	0.0285136286821663	0.9607	white	Breast	1
ABCB10	75	Hartigans' dip test for unimodality / multimodality	0.0313274188556787	0.8961	white	Breast	1
ABCB11	75	Hartigans' dip test for unimodality / multimodality	0.0435995100276745	0.3664	white	Breast	1
ABCC1	75	Hartigans' dip test for unimodality / multimodality	0.0288866145305235	0.9551	white	Breast	1
ABCC2	75	Hartigans' dip test for unimodality / multimodality	0.0357688380084583	0.7200	white	Breast	1
ABCC3	75	Hartigans' dip test for unimodality / multimodality	0.0359169950452183	0.7134	white	Breast	1
ABCC4	75	Hartigans' dip test for unimodality / multimodality	0.0345558302759048	0.7742	white	Breast	1
ABCC5	75	Hartigans' dip test for unimodality / multimodality	0.0397177805985809	0.5331	white	Breast	1
ABCC6	75	Hartigans' dip test for unimodality / multimodality	0.0298168067530637	0.9352	white	Breast	1
ABCC8	75	Hartigans' dip test for unimodality / multimodality	0.0337425066500635	0.8085	white	Breast	1
ABCC9	75	Hartigans' dip test for unimodality / multimodality	0.0390405342779227	0.5651	white	Breast	1
ABCC10	75	Hartigans' dip test for unimodality / multimodality	0.0300031034700731	0.9305	white	Breast	1
ABCC11	75	Hartigans' dip test for unimodality / multimodality	0.0275924237714407	0.9745	white	Breast	1
ABCC12	75	Hartigans' dip test for unimodality / multimodality	0.0547509995220226	0.0886	white	Breast	1
ABCD1	75	Hartigans' dip test for unimodality / multimodality	0.0249721694924434	0.9914	white	Breast	1
ABCD2	75	Hartigans' dip test for unimodality / multimodality	0.0366720676650918	0.6781	white	Breast	1
ABCD3	75	Hartigans' dip test for unimodality / multimodality	0.0365213969363709	0.6854	white	Breast	1
ABCD4	75	Hartigans' dip test for unimodality / multimodality	0.0300027909866977	0.9305	white	Breast	1
ABCE1	75	Hartigans' dip test for unimodality / multimodality	0.030589360242915	0.9158	white	Breast	1
ABCF1	75	Hartigans' dip test for unimodality / multimodality	0.0296300689338073	0.9398	white	Breast	1
ABCF2	75	Hartigans' dip test for unimodality / multimodality	0.0242346487143453	0.9924	white	Breast	1
ABCF3	75	Hartigans' dip test for unimodality / multimodality	0.036163968373856	0.7023	white	Breast	1
ABCG1	75	Hartigans' dip test for unimodality / multimodality	0.0289163273686219	0.9546	white	Breast	1
ABCG2	75	Hartigans' dip test for unimodality / multimodality	0.0202009465653926	0.9977	white	Breast	1
ABCG4	75	Hartigans' dip test for unimodality / multimodality	0.0294279215315489	0.9449	white	Breast	1
ABHD1	75	Hartigans' dip test for unimodality / multimodality	0.0291659285753526	0.9509	white	Breast	1
ABHD2	75	Hartigans' dip test for unimodality / multimodality	0.0246673050177546	0.9918	white	Breast	1
ABHD3	75	Hartigans' dip test for unimodality / multimodality	0.0364652247899245	0.6880	white	Breast	1
ABHD4	75	Hartigans' dip test for unimodality / multimodality	0.0295945377833932	0.9407	white	Breast	1
ABHD5	75	Hartigans' dip test for unimodality / multimodality	0.0274659941952941	0.9764	white	Breast	1
