Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	1905	Hartigans' dip test for unimodality / multimodality	0.00765787011455088	0.7035	white	GTEX	1
A2M	1905	Hartigans' dip test for unimodality / multimodality	0.00586164918099541	0.9754	white	GTEX	1
A2ML1	1905	Hartigans' dip test for unimodality / multimodality	0.0329656753914403	0.0000	white	GTEX	0
A4GALT	1905	Hartigans' dip test for unimodality / multimodality	0.00672251997334713	0.8841	white	GTEX	1
A4GNT	1905	Hartigans' dip test for unimodality / multimodality	0.0334465147557278	0.0000	white	GTEX	0
AAAS	1905	Hartigans' dip test for unimodality / multimodality	0.00885466368578028	0.4379	white	GTEX	1
AACS	1905	Hartigans' dip test for unimodality / multimodality	0.00707613865011236	0.8225	white	GTEX	1
AADAC	1905	Hartigans' dip test for unimodality / multimodality	0.0392523771429342	0.0000	white	GTEX	0
AADAT	1905	Hartigans' dip test for unimodality / multimodality	0.00720601168075028	0.7998	white	GTEX	1
AAED1	1905	Hartigans' dip test for unimodality / multimodality	0.00610792876434664	0.9578	white	GTEX	1
AAGAB	1905	Hartigans' dip test for unimodality / multimodality	0.00875318524079337	0.4590	white	GTEX	1
AAK1	1905	Hartigans' dip test for unimodality / multimodality	0.00592717775421845	0.9707	white	GTEX	1
AAMDC	1905	Hartigans' dip test for unimodality / multimodality	0.00642986733102975	0.9243	white	GTEX	1
AAMP	1905	Hartigans' dip test for unimodality / multimodality	0.00906759238168949	0.3944	white	GTEX	1
AANAT	1905	Hartigans' dip test for unimodality / multimodality	0.0622217093750464	0.0000	white	GTEX	0
AAR2	1905	Hartigans' dip test for unimodality / multimodality	0.0155809509213597	0.0033	white	GTEX	0.015234372623574143
AARD	1905	Hartigans' dip test for unimodality / multimodality	0.037007874015748	0.0000	white	GTEX	0
AARS	1905	Hartigans' dip test for unimodality / multimodality	0.0065128897146583	0.9143	white	GTEX	1
AARS2	1905	Hartigans' dip test for unimodality / multimodality	0.00736389705822165	0.7661	white	GTEX	1
AARSD1	1905	Hartigans' dip test for unimodality / multimodality	0.00914085194898174	0.3813	white	GTEX	1
AASDH	1905	Hartigans' dip test for unimodality / multimodality	0.0066240393812296	0.9009	white	GTEX	1
AASDHPPT	1905	Hartigans' dip test for unimodality / multimodality	0.00786487688712602	0.6564	white	GTEX	1
AASS	1905	Hartigans' dip test for unimodality / multimodality	0.00678162825893083	0.8738	white	GTEX	1
AATF	1905	Hartigans' dip test for unimodality / multimodality	0.00837901253679608	0.5399	white	GTEX	1
AATK	1905	Hartigans' dip test for unimodality / multimodality	0.00481935163562382	0.9947	white	GTEX	1
ABAT	1905	Hartigans' dip test for unimodality / multimodality	0.00747746153010278	0.7419	white	GTEX	1
ABCA1	1905	Hartigans' dip test for unimodality / multimodality	0.00691276214519424	0.8509	white	GTEX	1
ABCA2	1905	Hartigans' dip test for unimodality / multimodality	0.00601073379620459	0.9647	white	GTEX	1
ABCA3	1905	Hartigans' dip test for unimodality / multimodality	0.0121217135604154	0.0608	white	GTEX	0.24384267782426777
ABCA4	1905	Hartigans' dip test for unimodality / multimodality	0.0115485564304462	0.0907	white	GTEX	0.3523524744027304
ABCA5	1905	Hartigans' dip test for unimodality / multimodality	0.00690927347293583	0.8516	white	GTEX	1
ABCA6	1905	Hartigans' dip test for unimodality / multimodality	0.00558683716234308	0.9884	white	GTEX	1
ABCA7	1905	Hartigans' dip test for unimodality / multimodality	0.00580795226431773	0.9792	white	GTEX	1
ABCA8	1905	Hartigans' dip test for unimodality / multimodality	0.00913555041372256	0.3822	white	GTEX	1
ABCA9	1905	Hartigans' dip test for unimodality / multimodality	0.00490659756738356	0.9941	white	GTEX	1
ABCA10	1905	Hartigans' dip test for unimodality / multimodality	0.00519000052561188	0.9923	white	GTEX	1
ABCA12	1905	Hartigans' dip test for unimodality / multimodality	0.0357882230916765	0.0000	white	GTEX	0
ABCA13	1905	Hartigans' dip test for unimodality / multimodality	0.0198259693214329	0.0000	white	GTEX	0
ABCB1	1905	Hartigans' dip test for unimodality / multimodality	0.00545831152993312	0.9906	white	GTEX	1
ABCB4	1905	Hartigans' dip test for unimodality / multimodality	0.00736326182409681	0.7662	white	GTEX	1
ABCB5	1905	Hartigans' dip test for unimodality / multimodality	0.0350428664078306	0.0000	white	GTEX	0
ABCB6	1905	Hartigans' dip test for unimodality / multimodality	0.00695056792051735	0.8444	white	GTEX	1
ABCB7	1905	Hartigans' dip test for unimodality / multimodality	0.00813648293963255	0.5943	white	GTEX	1
ABCB8	1905	Hartigans' dip test for unimodality / multimodality	0.00880182040184105	0.4489	white	GTEX	1
ABCB9	1905	Hartigans' dip test for unimodality / multimodality	0.00690269055019219	0.8527	white	GTEX	1
ABCB10	1905	Hartigans' dip test for unimodality / multimodality	0.00791019985509895	0.6460	white	GTEX	1
ABCB11	1905	Hartigans' dip test for unimodality / multimodality	0.0498372956678406	0.0000	white	GTEX	0
ABCC1	1905	Hartigans' dip test for unimodality / multimodality	0.00568735319459589	0.9844	white	GTEX	1
ABCC2	1905	Hartigans' dip test for unimodality / multimodality	0.00763412394540337	0.7085	white	GTEX	1
ABCC3	1905	Hartigans' dip test for unimodality / multimodality	0.00680671857250078	0.8694	white	GTEX	1
ABCC4	1905	Hartigans' dip test for unimodality / multimodality	0.00557252090318307	0.9889	white	GTEX	1
ABCC5	1905	Hartigans' dip test for unimodality / multimodality	0.0067600484142678	0.8776	white	GTEX	1
ABCC6	1905	Hartigans' dip test for unimodality / multimodality	0.00807026657749308	0.6094	white	GTEX	1
ABCC8	1905	Hartigans' dip test for unimodality / multimodality	0.00662327902826013	0.9010	white	GTEX	1
ABCC9	1905	Hartigans' dip test for unimodality / multimodality	0.0157166685815025	0.0028	white	GTEX	0.012968870803662259
ABCC10	1905	Hartigans' dip test for unimodality / multimodality	0.00836149868605823	0.5438	white	GTEX	1
ABCC11	1905	Hartigans' dip test for unimodality / multimodality	0.0523045299499269	0.0000	white	GTEX	0
ABCC12	1905	Hartigans' dip test for unimodality / multimodality	0.0165793314630799	0.0011	white	GTEX	0.005240177870782109
ABCD1	1905	Hartigans' dip test for unimodality / multimodality	0.00960338359889321	0.2985	white	GTEX	0.9507173426573425
ABCD2	1905	Hartigans' dip test for unimodality / multimodality	0.00639391807761366	0.9286	white	GTEX	1
ABCD3	1905	Hartigans' dip test for unimodality / multimodality	0.00775573653508067	0.6813	white	GTEX	1
ABCD4	1905	Hartigans' dip test for unimodality / multimodality	0.00877206344086711	0.4551	white	GTEX	1
ABCE1	1905	Hartigans' dip test for unimodality / multimodality	0.00741651989255464	0.7549	white	GTEX	1
ABCF1	1905	Hartigans' dip test for unimodality / multimodality	0.00841887019322114	0.5309	white	GTEX	1
ABCF2	1905	Hartigans' dip test for unimodality / multimodality	0.00906640896825531	0.3946	white	GTEX	1
ABCF3	1905	Hartigans' dip test for unimodality / multimodality	0.00834471353689586	0.5476	white	GTEX	1
ABCG1	1905	Hartigans' dip test for unimodality / multimodality	0.00551257862710743	0.9902	white	GTEX	1
ABCG2	1905	Hartigans' dip test for unimodality / multimodality	0.00656583160135763	0.9079	white	GTEX	1
ABCG4	1905	Hartigans' dip test for unimodality / multimodality	0.00696547570565408	0.8418	white	GTEX	1
ABHD1	1905	Hartigans' dip test for unimodality / multimodality	0.00690210260572841	0.8528	white	GTEX	1
ABHD2	1905	Hartigans' dip test for unimodality / multimodality	0.00603401331445073	0.9631	white	GTEX	1
ABHD3	1905	Hartigans' dip test for unimodality / multimodality	0.0089787317133189	0.4121	white	GTEX	1
ABHD4	1905	Hartigans' dip test for unimodality / multimodality	0.00734701521237811	0.7697	white	GTEX	1
ABHD5	1905	Hartigans' dip test for unimodality / multimodality	0.00781156060713851	0.6686	white	GTEX	1
ABHD6	1905	Hartigans' dip test for unimodality / multimodality	0.0088200650846509	0.4451	white	GTEX	1
ABHD8	1905	Hartigans' dip test for unimodality / multimodality	0.00725176445289561	0.7900	white	GTEX	1
ABHD10	1905	Hartigans' dip test for unimodality / multimodality	0.00707776178534059	0.8222	white	GTEX	1
ABHD11	1905	Hartigans' dip test for unimodality / multimodality	0.00589418994162734	0.9731	white	GTEX	1
ABHD12	1905	Hartigans' dip test for unimodality / multimodality	0.00797294081315044	0.6316	white	GTEX	1
ABHD12B	1905	Hartigans' dip test for unimodality / multimodality	0.0320209973753281	0.0000	white	GTEX	0
ABHD13	1905	Hartigans' dip test for unimodality / multimodality	0.00791328330072769	0.6453	white	GTEX	1
ABHD14A	1905	Hartigans' dip test for unimodality / multimodality	0.00959886594626858	0.2992	white	GTEX	0.9521283243054343
ABHD14A-ACY1	1905	Hartigans' dip test for unimodality / multimodality	0.00712127959659799	0.8146	white	GTEX	1
ABHD14B	1905	Hartigans' dip test for unimodality / multimodality	0.00731340503411092	0.7769	white	GTEX	1
ABHD15	1905	Hartigans' dip test for unimodality / multimodality	0.00755460636442637	0.7255	white	GTEX	1
ABHD16A	1905	Hartigans' dip test for unimodality / multimodality	0.00882140541461215	0.4448	white	GTEX	1
ABHD16B	1905	Hartigans' dip test for unimodality / multimodality	0.00866483107355752	0.4774	white	GTEX	1
ABHD17A	1905	Hartigans' dip test for unimodality / multimodality	0.00790556181487524	0.6471	white	GTEX	1
ABHD17B	1905	Hartigans' dip test for unimodality / multimodality	0.00764245025378212	0.7068	white	GTEX	1
ABHD17C	1905	Hartigans' dip test for unimodality / multimodality	0.00823162854666356	0.5730	white	GTEX	1
ABI1	1905	Hartigans' dip test for unimodality / multimodality	0.00836871502705508	0.5422	white	GTEX	1
ABI2	1905	Hartigans' dip test for unimodality / multimodality	0.00697067308897192	0.8408	white	GTEX	1
ABI3	1905	Hartigans' dip test for unimodality / multimodality	0.0079766596315068	0.6308	white	GTEX	1
ABI3BP	1905	Hartigans' dip test for unimodality / multimodality	0.00710434074001012	0.8175	white	GTEX	1
ABL1	1905	Hartigans' dip test for unimodality / multimodality	0.00945737419496053	0.3244	white	GTEX	1
ABL2	1905	Hartigans' dip test for unimodality / multimodality	0.00661768942159596	0.9017	white	GTEX	1
ABLIM1	1905	Hartigans' dip test for unimodality / multimodality	0.0106573938623743	0.1665	white	GTEX	0.6090174733882305
ABLIM2	1905	Hartigans' dip test for unimodality / multimodality	0.00886919997752084	0.4349	white	GTEX	1
ABLIM3	1905	Hartigans' dip test for unimodality / multimodality	0.00688156872246272	0.8564	white	GTEX	1
