Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	52	Hartigans' dip test for unimodality / multimodality	0.0333120006809949	0.9671	white	KICH	1
A2M	52	Hartigans' dip test for unimodality / multimodality	0.0445990685316958	0.6340	white	KICH	1
A2ML1	52	Hartigans' dip test for unimodality / multimodality	0.0651300314397041	0.0866	white	KICH	0.946106298740252
A4GALT	52	Hartigans' dip test for unimodality / multimodality	0.0679397074232838	0.0600	white	KICH	0.7525619834710743
A4GNT	52	Hartigans' dip test for unimodality / multimodality	0.0826637373869556	0.0063	white	KICH	0.12706046511627908
AAAS	52	Hartigans' dip test for unimodality / multimodality	0.0340265928781061	0.9580	white	KICH	1
AACS	52	Hartigans' dip test for unimodality / multimodality	0.0435614617777684	0.6760	white	KICH	1
AADAC	52	Hartigans' dip test for unimodality / multimodality	0.0244487204173594	0.9968	white	KICH	1
AADAT	52	Hartigans' dip test for unimodality / multimodality	0.0273952447324453	0.9937	white	KICH	1
AAED1	52	Hartigans' dip test for unimodality / multimodality	0.0308317313891062	0.9900	white	KICH	1
AAGAB	52	Hartigans' dip test for unimodality / multimodality	0.0448723644034346	0.6230	white	KICH	1
AAK1	52	Hartigans' dip test for unimodality / multimodality	0.0540751787034278	0.2932	white	KICH	1
AAMDC	52	Hartigans' dip test for unimodality / multimodality	0.0338946552047377	0.9597	white	KICH	1
AAMP	52	Hartigans' dip test for unimodality / multimodality	0.0288461538461538	0.9922	white	KICH	1
AANAT	52	Hartigans' dip test for unimodality / multimodality	0.060959498934935	0.1462	white	KICH	1
AAR2	52	Hartigans' dip test for unimodality / multimodality	0.0384585147934225	0.8566	white	KICH	1
AARD	52	Hartigans' dip test for unimodality / multimodality	0.0865384615384615	0.0033	white	KICH	0.07597926675094817
AARS	52	Hartigans' dip test for unimodality / multimodality	0.0398342193375909	0.8147	white	KICH	1
AARS2	52	Hartigans' dip test for unimodality / multimodality	0.0400036078451709	0.8095	white	KICH	1
AARSD1	52	Hartigans' dip test for unimodality / multimodality	0.0336537389347308	0.9627	white	KICH	1
AASDH	52	Hartigans' dip test for unimodality / multimodality	0.0590806743198957	0.1776	white	KICH	1
AASDHPPT	52	Hartigans' dip test for unimodality / multimodality	0.0444491266924249	0.6401	white	KICH	1
AASS	52	Hartigans' dip test for unimodality / multimodality	0.0571620725334626	0.2148	white	KICH	1
AATF	52	Hartigans' dip test for unimodality / multimodality	0.0378996328079996	0.8736	white	KICH	1
AATK	52	Hartigans' dip test for unimodality / multimodality	0.0371475385930112	0.8966	white	KICH	1
ABAT	52	Hartigans' dip test for unimodality / multimodality	0.0377206787948557	0.8791	white	KICH	1
ABCA1	52	Hartigans' dip test for unimodality / multimodality	0.0526725616330682	0.3361	white	KICH	1
ABCA2	52	Hartigans' dip test for unimodality / multimodality	0.032518246540665	0.9772	white	KICH	1
ABCA3	52	Hartigans' dip test for unimodality / multimodality	0.0517970799626643	0.3640	white	KICH	1
ABCA4	52	Hartigans' dip test for unimodality / multimodality	0.0497360382295046	0.4343	white	KICH	1
ABCA5	52	Hartigans' dip test for unimodality / multimodality	0.0364196845427864	0.9129	white	KICH	1
ABCA6	52	Hartigans' dip test for unimodality / multimodality	0.0343109581300133	0.9544	white	KICH	1
ABCA7	52	Hartigans' dip test for unimodality / multimodality	0.0397902999985216	0.8160	white	KICH	1
ABCA8	52	Hartigans' dip test for unimodality / multimodality	0.0508161368077919	0.3952	white	KICH	1
