Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	166	Hartigans' dip test for unimodality / multimodality	0.0170379423065031	0.9917	white	KIRP	1
A2M	166	Hartigans' dip test for unimodality / multimodality	0.0196030318192134	0.9628	white	KIRP	1
A2ML1	166	Hartigans' dip test for unimodality / multimodality	0.0453108566387537	0.0146	white	KIRP	0.13510934959349594
A4GALT	166	Hartigans' dip test for unimodality / multimodality	0.0179016466093546	0.9901	white	KIRP	1
A4GNT	166	Hartigans' dip test for unimodality / multimodality	0.0183184527158336	0.9859	white	KIRP	1
AAAS	166	Hartigans' dip test for unimodality / multimodality	0.0232371544948905	0.8117	white	KIRP	1
AACS	166	Hartigans' dip test for unimodality / multimodality	0.0219068044030512	0.8821	white	KIRP	1
AADAC	166	Hartigans' dip test for unimodality / multimodality	0.026772169706229	0.5767	white	KIRP	1
AADAT	166	Hartigans' dip test for unimodality / multimodality	0.0246547929998778	0.7221	white	KIRP	1
AAED1	166	Hartigans' dip test for unimodality / multimodality	0.0161877512302359	0.9932	white	KIRP	1
AAGAB	166	Hartigans' dip test for unimodality / multimodality	0.0180722891566265	0.9889	white	KIRP	1
AAK1	166	Hartigans' dip test for unimodality / multimodality	0.01927984632682	0.9698	white	KIRP	1
AAMDC	166	Hartigans' dip test for unimodality / multimodality	0.0173198096649925	0.9912	white	KIRP	1
AAMP	166	Hartigans' dip test for unimodality / multimodality	0.0210863674991403	0.9175	white	KIRP	1
AANAT	166	Hartigans' dip test for unimodality / multimodality	0.0233152386217295	0.8076	white	KIRP	1
AAR2	166	Hartigans' dip test for unimodality / multimodality	0.0195790123538018	0.9633	white	KIRP	1
AARD	166	Hartigans' dip test for unimodality / multimodality	0.0431958903562267	0.0257	white	KIRP	0.22480710854947167
AARS	166	Hartigans' dip test for unimodality / multimodality	0.021688944232754	0.8936	white	KIRP	1
AARS2	166	Hartigans' dip test for unimodality / multimodality	0.0168662184008944	0.9920	white	KIRP	1
AARSD1	166	Hartigans' dip test for unimodality / multimodality	0.0320481753297934	0.2670	white	KIRP	1
AASDH	166	Hartigans' dip test for unimodality / multimodality	0.02346436253683	0.7997	white	KIRP	1
AASDHPPT	166	Hartigans' dip test for unimodality / multimodality	0.0190448690445836	0.9749	white	KIRP	1
