Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	159	Hartigans' dip test for unimodality / multimodality	0.0224365859542028	0.8776	white	LIHC	1
A2M	159	Hartigans' dip test for unimodality / multimodality	0.0193644568501539	0.9763	white	LIHC	1
A2ML1	159	Hartigans' dip test for unimodality / multimodality	0.0500863006965204	0.0048	white	LIHC	0.04026605251036388
A4GALT	159	Hartigans' dip test for unimodality / multimodality	0.0195920005444786	0.9714	white	LIHC	1
A4GNT	159	Hartigans' dip test for unimodality / multimodality	0.0699090628478684	0.0000	white	LIHC	0
AAAS	159	Hartigans' dip test for unimodality / multimodality	0.0186052306949121	0.9869	white	LIHC	1
AACS	159	Hartigans' dip test for unimodality / multimodality	0.0282013583088985	0.5174	white	LIHC	1
AADAC	159	Hartigans' dip test for unimodality / multimodality	0.016720084971033	0.9929	white	LIHC	1
AADAT	159	Hartigans' dip test for unimodality / multimodality	0.0262570789857242	0.6486	white	LIHC	1
AAED1	159	Hartigans' dip test for unimodality / multimodality	0.0234970849792897	0.8227	white	LIHC	1
AAGAB	159	Hartigans' dip test for unimodality / multimodality	0.0204440377224146	0.9533	white	LIHC	1
AAK1	159	Hartigans' dip test for unimodality / multimodality	0.0178412451936668	0.9909	white	LIHC	1
AAMDC	159	Hartigans' dip test for unimodality / multimodality	0.035505366094917	0.1654	white	LIHC	0.9834361083904667
AAMP	159	Hartigans' dip test for unimodality / multimodality	0.0209647307307886	0.9370	white	LIHC	1
AANAT	159	Hartigans' dip test for unimodality / multimodality	0.061926663964628	1e-04	white	LIHC	0.001139674593241552
AAR2	159	Hartigans' dip test for unimodality / multimodality	0.0188679245283019	0.9838	white	LIHC	1
AARD	159	Hartigans' dip test for unimodality / multimodality	0.0892159770064209	0.0000	white	LIHC	0
AARS	159	Hartigans' dip test for unimodality / multimodality	0.0250050126709402	0.7318	white	LIHC	1
AARS2	159	Hartigans' dip test for unimodality / multimodality	0.0226505672669545	0.8666	white	LIHC	1
AARSD1	159	Hartigans' dip test for unimodality / multimodality	0.0226419056657453	0.8670	white	LIHC	1
AASDH	159	Hartigans' dip test for unimodality / multimodality	0.0316005780220902	0.3176	white	LIHC	1
AASDHPPT	159	Hartigans' dip test for unimodality / multimodality	0.0231535726490646	0.8405	white	LIHC	1
AASS	159	Hartigans' dip test for unimodality / multimodality	0.0237060606850036	0.8119	white	LIHC	1
AATF	159	Hartigans' dip test for unimodality / multimodality	0.0209044797409888	0.9392	white	LIHC	1
AATK	159	Hartigans' dip test for unimodality / multimodality	0.020623378742552	0.9492	white	LIHC	1
