Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	368	Hartigans' dip test for unimodality / multimodality	0.0142885509293031	0.9239	white	LUAD	1
A2M	368	Hartigans' dip test for unimodality / multimodality	0.0134253125476277	0.9620	white	LUAD	1
A2ML1	368	Hartigans' dip test for unimodality / multimodality	0.0950282842732522	0.0000	white	LUAD	0
A4GALT	368	Hartigans' dip test for unimodality / multimodality	0.0180955141010073	0.5949	white	LUAD	1
A4GNT	368	Hartigans' dip test for unimodality / multimodality	0.0671990914021667	0.0000	white	LUAD	0
AAAS	368	Hartigans' dip test for unimodality / multimodality	0.0150807106605663	0.8733	white	LUAD	1
AACS	368	Hartigans' dip test for unimodality / multimodality	0.0157651106606728	0.8201	white	LUAD	1
AADAC	368	Hartigans' dip test for unimodality / multimodality	0.0196785106632488	0.4404	white	LUAD	1
AADAT	368	Hartigans' dip test for unimodality / multimodality	0.0154165731247006	0.8472	white	LUAD	1
AAED1	368	Hartigans' dip test for unimodality / multimodality	0.0205073819880827	0.3681	white	LUAD	1
AAGAB	368	Hartigans' dip test for unimodality / multimodality	0.0133965635723553	0.9629	white	LUAD	1
AAK1	368	Hartigans' dip test for unimodality / multimodality	0.0192484514862575	0.4804	white	LUAD	1
AAMDC	368	Hartigans' dip test for unimodality / multimodality	0.0119587442047147	0.9909	white	LUAD	1
AAMP	368	Hartigans' dip test for unimodality / multimodality	0.0152175549484363	0.8626	white	LUAD	1
AANAT	368	Hartigans' dip test for unimodality / multimodality	0.0828804347826087	0.0000	white	LUAD	0
AAR2	368	Hartigans' dip test for unimodality / multimodality	0.0162999086026853	0.7735	white	LUAD	1
AARD	368	Hartigans' dip test for unimodality / multimodality	0.0222554034915149	0.2426	white	LUAD	1
AARS	368	Hartigans' dip test for unimodality / multimodality	0.0120192197141539	0.9907	white	LUAD	1
AARS2	368	Hartigans' dip test for unimodality / multimodality	0.0134346786278091	0.9617	white	LUAD	1
AARSD1	368	Hartigans' dip test for unimodality / multimodality	0.0176643614016627	0.6389	white	LUAD	1
AASDH	368	Hartigans' dip test for unimodality / multimodality	0.0165177774939753	0.7526	white	LUAD	1
