Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	97	Hartigans' dip test for unimodality / multimodality	0.0277061843397451	0.9020	white	Liver	1
A2M	97	Hartigans' dip test for unimodality / multimodality	0.0322351875166428	0.6989	white	Liver	1
A2ML1	97	Hartigans' dip test for unimodality / multimodality	0.0510086109442909	0.0601	white	Liver	0.563035596707819
A4GALT	97	Hartigans' dip test for unimodality / multimodality	0.0284367646447355	0.8730	white	Liver	1
A4GNT	97	Hartigans' dip test for unimodality / multimodality	0.0663473980747337	0.0023	white	Liver	0.039001489757914336
AAAS	97	Hartigans' dip test for unimodality / multimodality	0.0295732672553819	0.8265	white	Liver	1
AACS	97	Hartigans' dip test for unimodality / multimodality	0.0230056443444289	0.9902	white	Liver	1
AADAC	97	Hartigans' dip test for unimodality / multimodality	0.0352233454330765	0.5387	white	Liver	1
AADAT	97	Hartigans' dip test for unimodality / multimodality	0.0476820205886887	0.1026	white	Liver	0.8536095020557333
AAED1	97	Hartigans' dip test for unimodality / multimodality	0.0450352681851571	0.1616	white	Liver	1
AAGAB	97	Hartigans' dip test for unimodality / multimodality	0.0257748268523829	0.9539	white	Liver	1
AAK1	97	Hartigans' dip test for unimodality / multimodality	0.0300243013884784	0.8081	white	Liver	1
AAMDC	97	Hartigans' dip test for unimodality / multimodality	0.0309288278379728	0.7645	white	Liver	1
AAMP	97	Hartigans' dip test for unimodality / multimodality	0.0249818627919043	0.9672	white	Liver	1
AANAT	97	Hartigans' dip test for unimodality / multimodality	0.0348581095530777	0.5581	white	Liver	1
AAR2	97	Hartigans' dip test for unimodality / multimodality	0.024182057907169	0.9804	white	Liver	1
AARD	97	Hartigans' dip test for unimodality / multimodality	0.0521805783417292	0.0477	white	Liver	0.4754857142857143
AARS	97	Hartigans' dip test for unimodality / multimodality	0.0238618566614532	0.9833	white	Liver	1
AARS2	97	Hartigans' dip test for unimodality / multimodality	0.0283402765892068	0.8769	white	Liver	1
AARSD1	97	Hartigans' dip test for unimodality / multimodality	0.0244830837299731	0.9756	white	Liver	1
AASDH	97	Hartigans' dip test for unimodality / multimodality	0.0334941094491946	0.6310	white	Liver	1
AASDHPPT	97	Hartigans' dip test for unimodality / multimodality	0.0384812104280764	0.3794	white	Liver	1
