Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	159	Hartigans' dip test for unimodality / multimodality	0.0222406435480301	0.8878	white	Stomach	1
A2M	159	Hartigans' dip test for unimodality / multimodality	0.0253427941006148	0.7102	white	Stomach	1
A2ML1	159	Hartigans' dip test for unimodality / multimodality	0.0267466959973966	0.6152	white	Stomach	1
A4GALT	159	Hartigans' dip test for unimodality / multimodality	0.0203211443801825	0.9559	white	Stomach	1
A4GNT	159	Hartigans' dip test for unimodality / multimodality	0.0583137541678756	4e-04	white	Stomach	0.00480210942649967
AAAS	159	Hartigans' dip test for unimodality / multimodality	0.0336699342063634	0.2258	white	Stomach	1
AACS	159	Hartigans' dip test for unimodality / multimodality	0.0259240052556771	0.6713	white	Stomach	1
AADAC	159	Hartigans' dip test for unimodality / multimodality	0.0306507031643815	0.3687	white	Stomach	1
AADAT	159	Hartigans' dip test for unimodality / multimodality	0.0254922254740167	0.7007	white	Stomach	1
AAED1	159	Hartigans' dip test for unimodality / multimodality	0.0227425720441124	0.8618	white	Stomach	1
AAGAB	159	Hartigans' dip test for unimodality / multimodality	0.022467292503192	0.8761	white	Stomach	1
AAK1	159	Hartigans' dip test for unimodality / multimodality	0.0240448730456666	0.7930	white	Stomach	1
AAMDC	159	Hartigans' dip test for unimodality / multimodality	0.0215073503830107	0.9177	white	Stomach	1
AAMP	159	Hartigans' dip test for unimodality / multimodality	0.0227797049634316	0.8599	white	Stomach	1
AANAT	159	Hartigans' dip test for unimodality / multimodality	0.0377358490566038	0.1026	white	Stomach	0.6381663934426229
AAR2	159	Hartigans' dip test for unimodality / multimodality	0.020664708216311	0.9477	white	Stomach	1
AARD	159	Hartigans' dip test for unimodality / multimodality	0.0229791124437074	0.8495	white	Stomach	1
AARS	159	Hartigans' dip test for unimodality / multimodality	0.019964453333642	0.9635	white	Stomach	1
AARS2	159	Hartigans' dip test for unimodality / multimodality	0.0178179595289599	0.9909	white	Stomach	1
AARSD1	159	Hartigans' dip test for unimodality / multimodality	0.0206670258315554	0.9476	white	Stomach	1
AASDH	159	Hartigans' dip test for unimodality / multimodality	0.0234079349177133	0.8273	white	Stomach	1
AASDHPPT	159	Hartigans' dip test for unimodality / multimodality	0.0186226191731229	0.9867	white	Stomach	1
AASS	159	Hartigans' dip test for unimodality / multimodality	0.0320367192811853	0.2954	white	Stomach	1
AATF	159	Hartigans' dip test for unimodality / multimodality	0.0232824068475916	0.8338	white	Stomach	1
AATK	159	Hartigans' dip test for unimodality / multimodality	0.0235886653072617	0.8180	white	Stomach	1
ABAT	159	Hartigans' dip test for unimodality / multimodality	0.0242942273655671	0.7771	white	Stomach	1
ABCA1	159	Hartigans' dip test for unimodality / multimodality	0.0247589573472606	0.7475	white	Stomach	1
ABCA2	159	Hartigans' dip test for unimodality / multimodality	0.0215034920003197	0.9179	white	Stomach	1
ABCA3	159	Hartigans' dip test for unimodality / multimodality	0.0173059310317864	0.9918	white	Stomach	1
ABCA4	159	Hartigans' dip test for unimodality / multimodality	0.0251572327044025	0.7220	white	Stomach	1
ABCA5	159	Hartigans' dip test for unimodality / multimodality	0.0183958627527038	0.9894	white	Stomach	1
ABCA6	159	Hartigans' dip test for unimodality / multimodality	0.0253819001060493	0.7077	white	Stomach	1
ABCA7	159	Hartigans' dip test for unimodality / multimodality	0.0234058714155801	0.8274	white	Stomach	1
ABCA8	159	Hartigans' dip test for unimodality / multimodality	0.0196952025905434	0.9692	white	Stomach	1
ABCA9	159	Hartigans' dip test for unimodality / multimodality	0.0232335806008616	0.8364	white	Stomach	1
ABCA10	159	Hartigans' dip test for unimodality / multimodality	0.0267640739221571	0.6140	white	Stomach	1
ABCA12	159	Hartigans' dip test for unimodality / multimodality	0.11422430268876	0.0000	white	Stomach	0
ABCA13	159	Hartigans' dip test for unimodality / multimodality	0.117427454671899	0.0000	white	Stomach	0
ABCB1	159	Hartigans' dip test for unimodality / multimodality	0.0220196953598012	0.8992	white	Stomach	1
ABCB4	159	Hartigans' dip test for unimodality / multimodality	0.0206714038097206	0.9475	white	Stomach	1
ABCB5	159	Hartigans' dip test for unimodality / multimodality	0.0706958896236305	0.0000	white	Stomach	0
ABCB6	159	Hartigans' dip test for unimodality / multimodality	0.0325888386476052	0.2718	white	Stomach	1
ABCB7	159	Hartigans' dip test for unimodality / multimodality	0.0304008601633938	0.3822	white	Stomach	1
ABCB8	159	Hartigans' dip test for unimodality / multimodality	0.0331218916730637	0.2491	white	Stomach	1
ABCB9	159	Hartigans' dip test for unimodality / multimodality	0.0230357741376699	0.8466	white	Stomach	1
ABCB10	159	Hartigans' dip test for unimodality / multimodality	0.0235847601960192	0.8182	white	Stomach	1
ABCB11	159	Hartigans' dip test for unimodality / multimodality	0.0640949157104378	0.0000	white	Stomach	0
ABCC1	159	Hartigans' dip test for unimodality / multimodality	0.0188674479721538	0.9838	white	Stomach	1
ABCC2	159	Hartigans' dip test for unimodality / multimodality	0.0173766917633894	0.9917	white	Stomach	1
ABCC3	159	Hartigans' dip test for unimodality / multimodality	0.0274058093503967	0.5707	white	Stomach	1
ABCC4	159	Hartigans' dip test for unimodality / multimodality	0.0207759696491937	0.9438	white	Stomach	1
ABCC5	159	Hartigans' dip test for unimodality / multimodality	0.019964585203897	0.9635	white	Stomach	1
ABCC6	159	Hartigans' dip test for unimodality / multimodality	0.0259858886254759	0.6671	white	Stomach	1
ABCC8	159	Hartigans' dip test for unimodality / multimodality	0.0200870183869604	0.9609	white	Stomach	1
ABCC9	159	Hartigans' dip test for unimodality / multimodality	0.0328269467490979	0.2617	white	Stomach	1
ABCC10	159	Hartigans' dip test for unimodality / multimodality	0.0188647503613563	0.9838	white	Stomach	1
ABCC11	159	Hartigans' dip test for unimodality / multimodality	0.0566037735849057	6e-04	white	Stomach	0.006924714828897337
ABCC12	159	Hartigans' dip test for unimodality / multimodality	0.0571237603531818	5e-04	white	Stomach	0.005909149902660609
ABCD1	159	Hartigans' dip test for unimodality / multimodality	0.0235844645627785	0.8182	white	Stomach	1
ABCD2	159	Hartigans' dip test for unimodality / multimodality	0.01799204266608	0.9906	white	Stomach	1
ABCD3	159	Hartigans' dip test for unimodality / multimodality	0.0289275260999706	0.4710	white	Stomach	1
ABCD4	159	Hartigans' dip test for unimodality / multimodality	0.0221787087504092	0.8910	white	Stomach	1
ABCE1	159	Hartigans' dip test for unimodality / multimodality	0.0184918655281209	0.9882	white	Stomach	1
ABCF1	159	Hartigans' dip test for unimodality / multimodality	0.0166544840135162	0.9930	white	Stomach	1
ABCF2	159	Hartigans' dip test for unimodality / multimodality	0.022890699901421	0.8541	white	Stomach	1
ABCF3	159	Hartigans' dip test for unimodality / multimodality	0.0173743354013544	0.9917	white	Stomach	1
ABCG1	159	Hartigans' dip test for unimodality / multimodality	0.024542727060031	0.7612	white	Stomach	1
