Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	3238	Hartigans' dip test for unimodality / multimodality	0.00542060317182923	0.8278	white	TCGA	0.9993913875598087
A2M	3238	Hartigans' dip test for unimodality / multimodality	0.00391968044576495	0.9929	white	TCGA	0.9993913875598087
A2ML1	3238	Hartigans' dip test for unimodality / multimodality	0.0356659869439382	0.0000	white	TCGA	0
A4GALT	3238	Hartigans' dip test for unimodality / multimodality	0.00516064539989047	0.8868	white	TCGA	0.9993913875598087
A4GNT	3238	Hartigans' dip test for unimodality / multimodality	0.0461215003610902	0.0000	white	TCGA	0
AAAS	3238	Hartigans' dip test for unimodality / multimodality	0.00885146018716907	0.0926	white	TCGA	0.37897330337078655
AACS	3238	Hartigans' dip test for unimodality / multimodality	0.00621700657678212	0.6066	white	TCGA	0.9993913875598087
AADAC	3238	Hartigans' dip test for unimodality / multimodality	0.0206248699023111	0.0000	white	TCGA	0
AADAT	3238	Hartigans' dip test for unimodality / multimodality	0.00447483077232216	0.9788	white	TCGA	0.9993913875598087
AAED1	3238	Hartigans' dip test for unimodality / multimodality	0.00637837003696082	0.5593	white	TCGA	0.9993913875598087
AAGAB	3238	Hartigans' dip test for unimodality / multimodality	0.00552995450935563	0.8030	white	TCGA	0.9993913875598087
AAK1	3238	Hartigans' dip test for unimodality / multimodality	0.0046687176456399	0.9607	white	TCGA	0.9993913875598087
AAMDC	3238	Hartigans' dip test for unimodality / multimodality	0.00636518760429166	0.5632	white	TCGA	0.9993913875598087
AAMP	3238	Hartigans' dip test for unimodality / multimodality	0.008306324751099	0.1530	white	TCGA	0.5878556962025316
AANAT	3238	Hartigans' dip test for unimodality / multimodality	0.0688134312412353	0.0000	white	TCGA	0
AAR2	3238	Hartigans' dip test for unimodality / multimodality	0.00857465031175634	0.1204	white	TCGA	0.4789700305810397
AARD	3238	Hartigans' dip test for unimodality / multimodality	0.0214552283281919	0.0000	white	TCGA	0
AARS	3238	Hartigans' dip test for unimodality / multimodality	0.0069905155794392	0.3905	white	TCGA	0.9993913875598087
AARS2	3238	Hartigans' dip test for unimodality / multimodality	0.00636117857222784	0.5643	white	TCGA	0.9993913875598087
AARSD1	3238	Hartigans' dip test for unimodality / multimodality	0.00673042279403038	0.4595	white	TCGA	0.9993913875598087
AASDH	3238	Hartigans' dip test for unimodality / multimodality	0.00779746963244001	0.2224	white	TCGA	0.7710544070055206
AASDHPPT	3238	Hartigans' dip test for unimodality / multimodality	0.00598867246271084	0.6745	white	TCGA	0.9993913875598087
