Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	70	Hartigans' dip test for unimodality / multimodality	0.0292765787871741	0.9630	white	UCEC	1
A2M	70	Hartigans' dip test for unimodality / multimodality	0.0327243388389716	0.8827	white	UCEC	1
A2ML1	70	Hartigans' dip test for unimodality / multimodality	0.0387439498181345	0.6371	white	UCEC	1
A4GALT	70	Hartigans' dip test for unimodality / multimodality	0.0407547332017953	0.5445	white	UCEC	1
A4GNT	70	Hartigans' dip test for unimodality / multimodality	0.105938032549341	0.0000	white	UCEC	0
AAAS	70	Hartigans' dip test for unimodality / multimodality	0.0248411466747887	0.9926	white	UCEC	1
AACS	70	Hartigans' dip test for unimodality / multimodality	0.0270157025486248	0.9887	white	UCEC	1
AADAC	70	Hartigans' dip test for unimodality / multimodality	0.0636860983870159	0.0303	white	UCEC	0.44430241545893717
AADAT	70	Hartigans' dip test for unimodality / multimodality	0.0461510616758756	0.3247	white	UCEC	1
AAED1	70	Hartigans' dip test for unimodality / multimodality	0.0298173115003301	0.9551	white	UCEC	1
AAGAB	70	Hartigans' dip test for unimodality / multimodality	0.0346034745442912	0.8167	white	UCEC	1
AAK1	70	Hartigans' dip test for unimodality / multimodality	0.0353514900376145	0.7882	white	UCEC	1
AAMDC	70	Hartigans' dip test for unimodality / multimodality	0.0307929651642042	0.9348	white	UCEC	1
AAMP	70	Hartigans' dip test for unimodality / multimodality	0.0323806782552611	0.8947	white	UCEC	1
AANAT	70	Hartigans' dip test for unimodality / multimodality	0.0642857142857143	0.0270	white	UCEC	0.40075305623471885
AAR2	70	Hartigans' dip test for unimodality / multimodality	0.0314856617549183	0.9181	white	UCEC	1
AARD	70	Hartigans' dip test for unimodality / multimodality	0.0379943081510055	0.6719	white	UCEC	1
AARS	70	Hartigans' dip test for unimodality / multimodality	0.0271433384961456	0.9877	white	UCEC	1
AARS2	70	Hartigans' dip test for unimodality / multimodality	0.046432319145162	0.3144	white	UCEC	1
AARSD1	70	Hartigans' dip test for unimodality / multimodality	0.025445216930544	0.9918	white	UCEC	1
AASDH	70	Hartigans' dip test for unimodality / multimodality	0.0333292364018846	0.8614	white	UCEC	1
AASDHPPT	70	Hartigans' dip test for unimodality / multimodality	0.0463239443666228	0.3183	white	UCEC	1
AASS	70	Hartigans' dip test for unimodality / multimodality	0.0350978345882785	0.7992	white	UCEC	1
AATF	70	Hartigans' dip test for unimodality / multimodality	0.0392855813907676	0.6119	white	UCEC	1
AATK	70	Hartigans' dip test for unimodality / multimodality	0.0274741320201492	0.9851	white	UCEC	1
ABAT	70	Hartigans' dip test for unimodality / multimodality	0.0400027047854105	0.5789	white	UCEC	1
ABCA1	70	Hartigans' dip test for unimodality / multimodality	0.0229982563738907	0.9949	white	UCEC	1
ABCA2	70	Hartigans' dip test for unimodality / multimodality	0.0302447905585134	0.9481	white	UCEC	1
ABCA3	70	Hartigans' dip test for unimodality / multimodality	0.0371175470025961	0.7117	white	UCEC	1
ABCA4	70	Hartigans' dip test for unimodality / multimodality	0.0303627103056378	0.9453	white	UCEC	1
ABCA5	70	Hartigans' dip test for unimodality / multimodality	0.0485632310191117	0.2494	white	UCEC	1
ABCA6	70	Hartigans' dip test for unimodality / multimodality	0.0289892759087575	0.9671	white	UCEC	1
ABCA7	70	Hartigans' dip test for unimodality / multimodality	0.0372674985442903	0.7052	white	UCEC	1
ABCA8	70	Hartigans' dip test for unimodality / multimodality	0.039106476390884	0.6202	white	UCEC	1
ABCA9	70	Hartigans' dip test for unimodality / multimodality	0.0251015475280605	0.9922	white	UCEC	1
ABCA10	70	Hartigans' dip test for unimodality / multimodality	0.0369397446512418	0.7194	white	UCEC	1
ABCA12	70	Hartigans' dip test for unimodality / multimodality	0.0357142857142857	0.7725	white	UCEC	1
ABCA13	70	Hartigans' dip test for unimodality / multimodality	0.0372962701175572	0.7040	white	UCEC	1
ABCB1	70	Hartigans' dip test for unimodality / multimodality	0.0376081332154067	0.6898	white	UCEC	1
ABCB4	70	Hartigans' dip test for unimodality / multimodality	0.0335486682120169	0.8537	white	UCEC	1
ABCB5	70	Hartigans' dip test for unimodality / multimodality	0.0843087086033233	4e-04	white	UCEC	0.014117829457364341
ABCB6	70	Hartigans' dip test for unimodality / multimodality	0.0390112932244232	0.6246	white	UCEC	1
ABCB7	70	Hartigans' dip test for unimodality / multimodality	0.0274800906975756	0.9850	white	UCEC	1
ABCB8	70	Hartigans' dip test for unimodality / multimodality	0.0311551988574868	0.9261	white	UCEC	1
ABCB9	70	Hartigans' dip test for unimodality / multimodality	0.0436455949925494	0.4189	white	UCEC	1
ABCB10	70	Hartigans' dip test for unimodality / multimodality	0.0398901202855559	0.5841	white	UCEC	1
ABCB11	70	Hartigans' dip test for unimodality / multimodality	0.0700009906053112	0.0091	white	UCEC	0.17067888774459322
ABCC1	70	Hartigans' dip test for unimodality / multimodality	0.0340050662466626	0.8377	white	UCEC	1
ABCC2	70	Hartigans' dip test for unimodality / multimodality	0.0366026588067205	0.7340	white	UCEC	1
ABCC3	70	Hartigans' dip test for unimodality / multimodality	0.0375255262919182	0.6936	white	UCEC	1
ABCC4	70	Hartigans' dip test for unimodality / multimodality	0.0380938510949776	0.6672	white	UCEC	1
ABCC5	70	Hartigans' dip test for unimodality / multimodality	0.0282032393402787	0.9786	white	UCEC	1
ABCC6	70	Hartigans' dip test for unimodality / multimodality	0.0437986335031271	0.4124	white	UCEC	1
ABCC8	70	Hartigans' dip test for unimodality / multimodality	0.063398317445261	0.0319	white	UCEC	0.46291856573705176
ABCC9	70	Hartigans' dip test for unimodality / multimodality	0.0529356191357965	0.1485	white	UCEC	1
ABCC10	70	Hartigans' dip test for unimodality / multimodality	0.0309524150030375	0.9310	white	UCEC	1
ABCC11	70	Hartigans' dip test for unimodality / multimodality	0.0598545934151611	0.0524	white	UCEC	0.6725220577871741
ABCC12	70	Hartigans' dip test for unimodality / multimodality	0.0676432008558726	0.0146	white	UCEC	0.2561610789980732
ABCD1	70	Hartigans' dip test for unimodality / multimodality	0.0602704170071292	0.0490	white	UCEC	0.6415442127965493
ABCD2	70	Hartigans' dip test for unimodality / multimodality	0.0527168109035413	0.1527	white	UCEC	1
ABCD3	70	Hartigans' dip test for unimodality / multimodality	0.0250017193913975	0.9924	white	UCEC	1
ABCD4	70	Hartigans' dip test for unimodality / multimodality	0.0357124478788558	0.7726	white	UCEC	1
ABCE1	70	Hartigans' dip test for unimodality / multimodality	0.0311208046174021	0.9269	white	UCEC	1
ABCF1	70	Hartigans' dip test for unimodality / multimodality	0.0306172956863586	0.9391	white	UCEC	1
ABCF2	70	Hartigans' dip test for unimodality / multimodality	0.0416192311203553	0.5049	white	UCEC	1
ABCF3	70	Hartigans' dip test for unimodality / multimodality	0.0341286665246558	0.8334	white	UCEC	1
ABCG1	70	Hartigans' dip test for unimodality / multimodality	0.0282067617442708	0.9785	white	UCEC	1
ABCG2	70	Hartigans' dip test for unimodality / multimodality	0.03673604402971	0.7282	white	UCEC	1
ABCG4	70	Hartigans' dip test for unimodality / multimodality	0.0365563729739303	0.7360	white	UCEC	1
ABHD1	70	Hartigans' dip test for unimodality / multimodality	0.0594838005701574	0.0564	white	UCEC	0.7162878661087866
ABHD2	70	Hartigans' dip test for unimodality / multimodality	0.0261973906743095	0.9908	white	UCEC	1
ABHD3	70	Hartigans' dip test for unimodality / multimodality	0.02988905194304	0.9541	white	UCEC	1
ABHD4	70	Hartigans' dip test for unimodality / multimodality	0.0323966837636697	0.8942	white	UCEC	1
ABHD5	70	Hartigans' dip test for unimodality / multimodality	0.0310962089848892	0.9275	white	UCEC	1
ABHD6	70	Hartigans' dip test for unimodality / multimodality	0.0291145529863051	0.9653	white	UCEC	1
ABHD8	70	Hartigans' dip test for unimodality / multimodality	0.0258369184189631	0.9913	white	UCEC	1
ABHD10	70	Hartigans' dip test for unimodality / multimodality	0.0285651169298384	0.9733	white	UCEC	1
ABHD11	70	Hartigans' dip test for unimodality / multimodality	0.0371434197079427	0.7106	white	UCEC	1
ABHD12	70	Hartigans' dip test for unimodality / multimodality	0.0375000388508863	0.6948	white	UCEC	1
ABHD12B	70	Hartigans' dip test for unimodality / multimodality	0.0401397545749527	0.5726	white	UCEC	1
ABHD13	70	Hartigans' dip test for unimodality / multimodality	0.0314516168441476	0.9189	white	UCEC	1
ABHD14A	70	Hartigans' dip test for unimodality / multimodality	0.0336764111893432	0.8492	white	UCEC	1
ABHD14A-ACY1	70	Hartigans' dip test for unimodality / multimodality	0.0260612195360845	0.9910	white	UCEC	1
ABHD14B	70	Hartigans' dip test for unimodality / multimodality	0.0353896499820597	0.7865	white	UCEC	1
ABHD15	70	Hartigans' dip test for unimodality / multimodality	0.0290809613785556	0.9658	white	UCEC	1
ABHD16A	70	Hartigans' dip test for unimodality / multimodality	0.0277286858948188	0.9830	white	UCEC	1
ABHD16B	70	Hartigans' dip test for unimodality / multimodality	0.028841034399195	0.9693	white	UCEC	1
ABHD17A	70	Hartigans' dip test for unimodality / multimodality	0.0295037749531739	0.9597	white	UCEC	1
ABHD17B	70	Hartigans' dip test for unimodality / multimodality	0.0375468726102445	0.6926	white	UCEC	1
ABHD17C	70	Hartigans' dip test for unimodality / multimodality	0.0407169394302785	0.5462	white	UCEC	1
ABI1	70	Hartigans' dip test for unimodality / multimodality	0.028738074381295	0.9708	white	UCEC	1
ABI2	70	Hartigans' dip test for unimodality / multimodality	0.0285732929534631	0.9732	white	UCEC	1
ABI3	70	Hartigans' dip test for unimodality / multimodality	0.0297906708846238	0.9555	white	UCEC	1
ABI3BP	70	Hartigans' dip test for unimodality / multimodality	0.0450385231390696	0.3654	white	UCEC	1
ABL1	70	Hartigans' dip test for unimodality / multimodality	0.0318471959677904	0.9093	white	UCEC	1
ABL2	70	Hartigans' dip test for unimodality / multimodality	0.0285266083730167	0.9739	white	UCEC	1
ABLIM1	70	Hartigans' dip test for unimodality / multimodality	0.0239481278668269	0.9937	white	UCEC	1
ABLIM2	70	Hartigans' dip test for unimodality / multimodality	0.0309482872352986	0.9311	white	UCEC	1
ABLIM3	70	Hartigans' dip test for unimodality / multimodality	0.028124706545364	0.9797	white	UCEC	1
ABR	70	Hartigans' dip test for unimodality / multimodality	0.036754853967237	0.7274	white	UCEC	1
ABRA	70	Hartigans' dip test for unimodality / multimodality	0.119508629985561	0.0000	white	UCEC	0
ABRACL	70	Hartigans' dip test for unimodality / multimodality	0.0327503129189253	0.8818	white	UCEC	1
ABT1	70	Hartigans' dip test for unimodality / multimodality	0.0322678730723413	0.8987	white	UCEC	1
ABTB1	70	Hartigans' dip test for unimodality / multimodality	0.0378049998891657	0.6806	white	UCEC	1
