Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	Kidney	0.99
A2M	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	Kidney	0.99
A2ML1	7	Hartigans' dip test for unimodality / multimodality	0.142857142857143	0.1182	black or african american	Kidney	0.99
A4GALT	7	Hartigans' dip test for unimodality / multimodality	0.111804019249908	0.5877	black or african american	Kidney	0.99
A4GNT	7	Hartigans' dip test for unimodality / multimodality	0.124745530082666	0.3915	black or african american	Kidney	0.99
AAAS	7	Hartigans' dip test for unimodality / multimodality	0.107186949534406	0.6489	black or african american	Kidney	0.99
AACS	7	Hartigans' dip test for unimodality / multimodality	0.130814162257421	0.2935	black or african american	Kidney	0.99
AADAC	7	Hartigans' dip test for unimodality / multimodality	0.0783138061119036	0.9187	black or african american	Kidney	0.99
AADAT	7	Hartigans' dip test for unimodality / multimodality	0.112246500866061	0.5813	black or african american	Kidney	0.99
AAED1	7	Hartigans' dip test for unimodality / multimodality	0.0928570330697406	0.8098	black or african american	Kidney	0.99
AAGAB	7	Hartigans' dip test for unimodality / multimodality	0.119050901660473	0.4806	black or african american	Kidney	0.99
AAK1	7	Hartigans' dip test for unimodality / multimodality	0.107145101775883	0.6495	black or african american	Kidney	0.99
AAMDC	7	Hartigans' dip test for unimodality / multimodality	0.0881455276764487	0.8480	black or african american	Kidney	0.99
AAMP	7	Hartigans' dip test for unimodality / multimodality	0.101192807305698	0.7223	black or african american	Kidney	0.99
AANAT	7	Hartigans' dip test for unimodality / multimodality	0.0860781720393631	0.8647	black or african american	Kidney	0.99
AAR2	7	Hartigans' dip test for unimodality / multimodality	0.119047147053498	0.4807	black or african american	Kidney	0.99
AARD	7	Hartigans' dip test for unimodality / multimodality	0.114705513870597	0.5453	black or african american	Kidney	0.99
AARS	7	Hartigans' dip test for unimodality / multimodality	0.142858432337719	0.1182	black or african american	Kidney	0.99
AARS2	7	Hartigans' dip test for unimodality / multimodality	0.135912425109591	0.2117	black or african american	Kidney	0.99
AARSD1	7	Hartigans' dip test for unimodality / multimodality	0.121210863025764	0.4469	black or african american	Kidney	0.99
AASDH	7	Hartigans' dip test for unimodality / multimodality	0.0816122672435462	0.9007	black or african american	Kidney	0.99
AASDHPPT	7	Hartigans' dip test for unimodality / multimodality	0.101501706542853	0.7190	black or african american	Kidney	0.99
AASS	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	Kidney	0.99
AATF	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	Kidney	0.99
AATK	7	Hartigans' dip test for unimodality / multimodality	0.142857142857143	0.1182	black or african american	Kidney	0.99
ABAT	7	Hartigans' dip test for unimodality / multimodality	0.143668660035879	0.1075	black or african american	Kidney	0.99
ABCA1	7	Hartigans' dip test for unimodality / multimodality	0.0776950939313045	0.9220	black or african american	Kidney	0.99
ABCA2	7	Hartigans' dip test for unimodality / multimodality	0.119051714537502	0.4806	black or african american	Kidney	0.99
ABCA3	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	Kidney	0.99
ABCA4	7	Hartigans' dip test for unimodality / multimodality	0.116064054847161	0.5255	black or african american	Kidney	0.99
ABCA5	7	Hartigans' dip test for unimodality / multimodality	0.122447010303217	0.4276	black or african american	Kidney	0.99
ABCA6	7	Hartigans' dip test for unimodality / multimodality	0.10795803562044	0.6389	black or african american	Kidney	0.99
ABCA7	7	Hartigans' dip test for unimodality / multimodality	0.136904133181636	0.1965	black or african american	Kidney	0.99
ABCA8	7	Hartigans' dip test for unimodality / multimodality	0.125746797803696	0.3753	black or african american	Kidney	0.99
ABCA9	7	Hartigans' dip test for unimodality / multimodality	0.114978913067183	0.5413	black or african american	Kidney	0.99
ABCA10	7	Hartigans' dip test for unimodality / multimodality	0.184142653009989	0.0100	black or african american	Kidney	0.99
ABCA12	7	Hartigans' dip test for unimodality / multimodality	0.0882433164044315	0.8472	black or african american	Kidney	0.99
ABCA13	7	Hartigans' dip test for unimodality / multimodality	0.0882681293416025	0.8470	black or african american	Kidney	0.99
ABCB1	7	Hartigans' dip test for unimodality / multimodality	0.0740719034563954	0.9418	black or african american	Kidney	0.99
ABCB4	7	Hartigans' dip test for unimodality / multimodality	0.088499369519469	0.8451	black or african american	Kidney	0.99
ABCB5	7	Hartigans' dip test for unimodality / multimodality	0.10734001231798	0.6469	black or african american	Kidney	0.99
ABCB6	7	Hartigans' dip test for unimodality / multimodality	0.117801072160741	0.5001	black or african american	Kidney	0.99
ABCB7	7	Hartigans' dip test for unimodality / multimodality	0.0925936514410326	0.8119	black or african american	Kidney	0.99
ABCB8	7	Hartigans' dip test for unimodality / multimodality	0.118369237291637	0.4912	black or african american	Kidney	0.99
ABCB9	7	Hartigans' dip test for unimodality / multimodality	0.117639043481982	0.5025	black or african american	Kidney	0.99
ABCB10	7	Hartigans' dip test for unimodality / multimodality	0.0841953112582439	0.8800	black or african american	Kidney	0.99
ABCB11	7	Hartigans' dip test for unimodality / multimodality	0.165701696761599	0.0386	black or african american	Kidney	0.99
ABCC1	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	Kidney	0.99
ABCC2	7	Hartigans' dip test for unimodality / multimodality	0.13858678684274	0.1744	black or african american	Kidney	0.99
ABCC3	7	Hartigans' dip test for unimodality / multimodality	0.111105484621348	0.5979	black or african american	Kidney	0.99
ABCC4	7	Hartigans' dip test for unimodality / multimodality	0.0960593549661623	0.7782	black or african american	Kidney	0.99
ABCC5	7	Hartigans' dip test for unimodality / multimodality	0.0942249792960166	0.7982	black or african american	Kidney	0.99
ABCC6	7	Hartigans' dip test for unimodality / multimodality	0.106121492957187	0.6627	black or african american	Kidney	0.99
ABCC8	7	Hartigans' dip test for unimodality / multimodality	0.0885029458147341	0.8451	black or african american	Kidney	0.99
ABCC9	7	Hartigans' dip test for unimodality / multimodality	0.118145372497816	0.4947	black or african american	Kidney	0.99
ABCC10	7	Hartigans' dip test for unimodality / multimodality	0.0904694555058661	0.8291	black or african american	Kidney	0.99
ABCC11	7	Hartigans' dip test for unimodality / multimodality	0.100185022589824	0.7333	black or african american	Kidney	0.99
ABCC12	7	Hartigans' dip test for unimodality / multimodality	0.0714285714285714	0.9900	black or african american	Kidney	0.99
ABCD1	7	Hartigans' dip test for unimodality / multimodality	0.118074346506893	0.4958	black or african american	Kidney	0.99
ABCD2	7	Hartigans' dip test for unimodality / multimodality	0.106939635129512	0.6521	black or african american	Kidney	0.99
ABCD3	7	Hartigans' dip test for unimodality / multimodality	0.138776317130081	0.1719	black or african american	Kidney	0.99
ABCD4	7	Hartigans' dip test for unimodality / multimodality	0.0892854286842903	0.8387	black or african american	Kidney	0.99
ABCE1	7	Hartigans' dip test for unimodality / multimodality	0.111806780321897	0.5877	black or african american	Kidney	0.99
ABCF1	7	Hartigans' dip test for unimodality / multimodality	0.130694443913388	0.2954	black or african american	Kidney	0.99
