Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	28	Hartigans' dip test for unimodality / multimodality	0.0491022937998959	0.8943	black or african american	LUSC	1
A2M	28	Hartigans' dip test for unimodality / multimodality	0.0519147304447902	0.8306	black or african american	LUSC	1
A2ML1	28	Hartigans' dip test for unimodality / multimodality	0.0595865444851036	0.6134	black or african american	LUSC	1
A4GALT	28	Hartigans' dip test for unimodality / multimodality	0.0610122655836444	0.5696	black or african american	LUSC	1
A4GNT	28	Hartigans' dip test for unimodality / multimodality	0.0892857142857143	0.0609	black or african american	LUSC	1
AAAS	28	Hartigans' dip test for unimodality / multimodality	0.0633916342777232	0.4970	black or african american	LUSC	1
AACS	28	Hartigans' dip test for unimodality / multimodality	0.0446438227217222	0.9604	black or african american	LUSC	1
AADAC	28	Hartigans' dip test for unimodality / multimodality	0.0541818924131281	0.7740	black or african american	LUSC	1
AADAT	28	Hartigans' dip test for unimodality / multimodality	0.0501435818539796	0.8707	black or african american	LUSC	1
AAED1	28	Hartigans' dip test for unimodality / multimodality	0.0592977991885594	0.6224	black or african american	LUSC	1
AAGAB	28	Hartigans' dip test for unimodality / multimodality	0.065475883051731	0.4391	black or african american	LUSC	1
AAK1	28	Hartigans' dip test for unimodality / multimodality	0.0478276962520458	0.9163	black or african american	LUSC	1
AAMDC	28	Hartigans' dip test for unimodality / multimodality	0.0389714844508913	0.9914	black or african american	LUSC	1
AAMP	28	Hartigans' dip test for unimodality / multimodality	0.0635889882704165	0.4915	black or african american	LUSC	1
AANAT	28	Hartigans' dip test for unimodality / multimodality	0.0645387420762357	0.4651	black or african american	LUSC	1
AAR2	28	Hartigans' dip test for unimodality / multimodality	0.044642001612039	0.9604	black or african american	LUSC	1
AARD	28	Hartigans' dip test for unimodality / multimodality	0.0424047638417941	0.9812	black or african american	LUSC	1
AARS	28	Hartigans' dip test for unimodality / multimodality	0.0602676527236729	0.5924	black or african american	LUSC	1
AARS2	28	Hartigans' dip test for unimodality / multimodality	0.0545708166823209	0.7630	black or african american	LUSC	1
AARSD1	28	Hartigans' dip test for unimodality / multimodality	0.0498408787554295	0.8775	black or african american	LUSC	1
AASDH	28	Hartigans' dip test for unimodality / multimodality	0.054520715114311	0.7644	black or african american	LUSC	1
AASDHPPT	28	Hartigans' dip test for unimodality / multimodality	0.0593002860736889	0.6223	black or african american	LUSC	1
AASS	28	Hartigans' dip test for unimodality / multimodality	0.0451585518981993	0.9554	black or african american	LUSC	1
AATF	28	Hartigans' dip test for unimodality / multimodality	0.0520055883299307	0.8285	black or african american	LUSC	1
AATK	28	Hartigans' dip test for unimodality / multimodality	0.0578886500225606	0.6660	black or african american	LUSC	1
ABAT	28	Hartigans' dip test for unimodality / multimodality	0.0640377602588985	0.4790	black or african american	LUSC	1
ABCA1	28	Hartigans' dip test for unimodality / multimodality	0.0505920071621592	0.8605	black or african american	LUSC	1
ABCA2	28	Hartigans' dip test for unimodality / multimodality	0.046776900608491	0.9331	black or african american	LUSC	1
ABCA3	28	Hartigans' dip test for unimodality / multimodality	0.0602778446845758	0.5921	black or african american	LUSC	1
ABCA4	28	Hartigans' dip test for unimodality / multimodality	0.0474543794259458	0.9223	black or african american	LUSC	1
ABCA5	28	Hartigans' dip test for unimodality / multimodality	0.0477587716520865	0.9174	black or african american	LUSC	1
ABCA6	28	Hartigans' dip test for unimodality / multimodality	0.0508091178016844	0.8556	black or african american	LUSC	1
ABCA7	28	Hartigans' dip test for unimodality / multimodality	0.101190981185898	0.0158	black or african american	LUSC	0.5920773662551442
ABCA8	28	Hartigans' dip test for unimodality / multimodality	0.0644093099569098	0.4687	black or african american	LUSC	1
ABCA9	28	Hartigans' dip test for unimodality / multimodality	0.0450585151200438	0.9564	black or african american	LUSC	1
ABCA10	28	Hartigans' dip test for unimodality / multimodality	0.0513939715585544	0.8424	black or african american	LUSC	1
ABCA12	28	Hartigans' dip test for unimodality / multimodality	0.0377045312152317	0.9923	black or african american	LUSC	1
ABCA13	28	Hartigans' dip test for unimodality / multimodality	0.0498809028455885	0.8766	black or african american	LUSC	1
ABCB1	28	Hartigans' dip test for unimodality / multimodality	0.0453294786779432	0.9538	black or african american	LUSC	1
ABCB4	28	Hartigans' dip test for unimodality / multimodality	0.0579044158214397	0.6655	black or african american	LUSC	1
ABCB5	28	Hartigans' dip test for unimodality / multimodality	0.0892857142857143	0.0609	black or african american	LUSC	1
ABCB6	28	Hartigans' dip test for unimodality / multimodality	0.0488718445944457	0.8995	black or african american	LUSC	1
ABCB7	28	Hartigans' dip test for unimodality / multimodality	0.063863260714874	0.4839	black or african american	LUSC	1
ABCB8	28	Hartigans' dip test for unimodality / multimodality	0.0502260522878922	0.8688	black or african american	LUSC	1
ABCB9	28	Hartigans' dip test for unimodality / multimodality	0.0567245756827979	0.7018	black or african american	LUSC	1
ABCB10	28	Hartigans' dip test for unimodality / multimodality	0.041670469038508	0.9852	black or african american	LUSC	1
ABCB11	28	Hartigans' dip test for unimodality / multimodality	0.0890731935557883	0.0624	black or african american	LUSC	1
ABCC1	28	Hartigans' dip test for unimodality / multimodality	0.0628666530777381	0.5128	black or african american	LUSC	1
ABCC2	28	Hartigans' dip test for unimodality / multimodality	0.0542211379563863	0.7729	black or african american	LUSC	1
ABCC3	28	Hartigans' dip test for unimodality / multimodality	0.0511325214817827	0.8483	black or african american	LUSC	1
ABCC4	28	Hartigans' dip test for unimodality / multimodality	0.0408254323060242	0.9899	black or african american	LUSC	1
ABCC5	28	Hartigans' dip test for unimodality / multimodality	0.0557641717112473	0.7291	black or african american	LUSC	1
