Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	13	Hartigans' dip test for unimodality / multimodality	0.122523300721857	0.0670	black or african american	Uterus	1
A2M	13	Hartigans' dip test for unimodality / multimodality	0.0830206598192485	0.6254	black or african american	Uterus	1
A2ML1	13	Hartigans' dip test for unimodality / multimodality	0.0853199052417199	0.5709	black or african american	Uterus	1
A4GALT	13	Hartigans' dip test for unimodality / multimodality	0.115385519192648	0.1124	black or african american	Uterus	1
A4GNT	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
AAAS	13	Hartigans' dip test for unimodality / multimodality	0.0707863448135381	0.8650	black or african american	Uterus	1
AACS	13	Hartigans' dip test for unimodality / multimodality	0.0502880841596202	0.9937	black or african american	Uterus	1
AADAC	13	Hartigans' dip test for unimodality / multimodality	0.069546962381139	0.8865	black or african american	Uterus	1
AADAT	13	Hartigans' dip test for unimodality / multimodality	0.077394984784056	0.7450	black or african american	Uterus	1
AAED1	13	Hartigans' dip test for unimodality / multimodality	0.0610488213486631	0.9718	black or african american	Uterus	1
AAGAB	13	Hartigans' dip test for unimodality / multimodality	0.0923087779188427	0.4075	black or african american	Uterus	1
AAK1	13	Hartigans' dip test for unimodality / multimodality	0.100766876472588	0.2704	black or african american	Uterus	1
AAMDC	13	Hartigans' dip test for unimodality / multimodality	0.105581985026762	0.2048	black or african american	Uterus	1
AAMP	13	Hartigans' dip test for unimodality / multimodality	0.0907295580419628	0.4430	black or african american	Uterus	1
AANAT	13	Hartigans' dip test for unimodality / multimodality	0.102381663849713	0.2484	black or african american	Uterus	1
AAR2	13	Hartigans' dip test for unimodality / multimodality	0.0809727124207724	0.6719	black or african american	Uterus	1
AARD	13	Hartigans' dip test for unimodality / multimodality	0.0724985225779342	0.8353	black or african american	Uterus	1
AARS	13	Hartigans' dip test for unimodality / multimodality	0.0724002819876163	0.8370	black or african american	Uterus	1
AARS2	13	Hartigans' dip test for unimodality / multimodality	0.0920916630504988	0.4124	black or african american	Uterus	1
AARSD1	13	Hartigans' dip test for unimodality / multimodality	0.0723956620335723	0.8371	black or african american	Uterus	1
AASDH	13	Hartigans' dip test for unimodality / multimodality	0.1023756255085	0.2485	black or african american	Uterus	1
AASDHPPT	13	Hartigans' dip test for unimodality / multimodality	0.0730816978811518	0.8252	black or african american	Uterus	1
AASS	13	Hartigans' dip test for unimodality / multimodality	0.0753923985470407	0.7835	black or african american	Uterus	1
AATF	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
AATK	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
ABAT	13	Hartigans' dip test for unimodality / multimodality	0.0602791280351218	0.9766	black or african american	Uterus	1
ABCA1	13	Hartigans' dip test for unimodality / multimodality	0.0826999304834558	0.6327	black or african american	Uterus	1
ABCA2	13	Hartigans' dip test for unimodality / multimodality	0.0953123762488689	0.3551	black or african american	Uterus	1
ABCA3	13	Hartigans' dip test for unimodality / multimodality	0.100870727695222	0.2690	black or african american	Uterus	1
ABCA4	13	Hartigans' dip test for unimodality / multimodality	0.0861657786444533	0.5501	black or african american	Uterus	1
ABCA5	13	Hartigans' dip test for unimodality / multimodality	0.0890811348952887	0.4801	black or african american	Uterus	1
ABCA6	13	Hartigans' dip test for unimodality / multimodality	0.091322123809304	0.4297	black or african american	Uterus	1
ABCA7	13	Hartigans' dip test for unimodality / multimodality	0.0848755164971349	0.5819	black or african american	Uterus	1
ABCA8	13	Hartigans' dip test for unimodality / multimodality	0.0952751551183716	0.3558	black or african american	Uterus	1
ABCA9	13	Hartigans' dip test for unimodality / multimodality	0.0769224056829389	0.7541	black or african american	Uterus	1
ABCA10	13	Hartigans' dip test for unimodality / multimodality	0.110510269410698	0.1576	black or african american	Uterus	1
ABCA12	13	Hartigans' dip test for unimodality / multimodality	0.208189311315856	0.0000	black or african american	Uterus	0
ABCA13	13	Hartigans' dip test for unimodality / multimodality	0.192307692307692	0.0000	black or african american	Uterus	0
ABCB1	13	Hartigans' dip test for unimodality / multimodality	0.0985416070968837	0.3009	black or african american	Uterus	1
ABCB4	13	Hartigans' dip test for unimodality / multimodality	0.0837069777947215	0.6098	black or african american	Uterus	1
ABCB5	13	Hartigans' dip test for unimodality / multimodality	0.11154585763391	0.1480	black or african american	Uterus	1
ABCB6	13	Hartigans' dip test for unimodality / multimodality	0.0725225456459342	0.8349	black or african american	Uterus	1
ABCB7	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
ABCB8	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
ABCB9	13	Hartigans' dip test for unimodality / multimodality	0.0490266208837862	0.9944	black or african american	Uterus	1
ABCB10	13	Hartigans' dip test for unimodality / multimodality	0.0721066536185437	0.8421	black or african american	Uterus	1
ABCB11	13	Hartigans' dip test for unimodality / multimodality	0.111107267391655	0.1520	black or african american	Uterus	1
ABCC1	13	Hartigans' dip test for unimodality / multimodality	0.0489486409740714	0.9945	black or african american	Uterus	1
ABCC2	13	Hartigans' dip test for unimodality / multimodality	0.0583366591155079	0.9845	black or african american	Uterus	1
ABCC3	13	Hartigans' dip test for unimodality / multimodality	0.106199320461335	0.1975	black or african american	Uterus	1
ABCC4	13	Hartigans' dip test for unimodality / multimodality	0.0641162107771932	0.9525	black or african american	Uterus	1
ABCC5	13	Hartigans' dip test for unimodality / multimodality	0.072677783313851	0.8322	black or african american	Uterus	1
ABCC6	13	Hartigans' dip test for unimodality / multimodality	0.0698544795626165	0.8812	black or african american	Uterus	1
ABCC8	13	Hartigans' dip test for unimodality / multimodality	0.0744252351061911	0.8019	black or african american	Uterus	1
ABCC9	13	Hartigans' dip test for unimodality / multimodality	0.0774407238913151	0.7441	black or african american	Uterus	1
ABCC10	13	Hartigans' dip test for unimodality / multimodality	0.0749489800543266	0.7920	black or african american	Uterus	1
ABCC11	13	Hartigans' dip test for unimodality / multimodality	0.115384615384615	0.1124	black or african american	Uterus	1
ABCC12	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
ABCD1	13	Hartigans' dip test for unimodality / multimodality	0.0789127807820424	0.7158	black or african american	Uterus	1
ABCD2	13	Hartigans' dip test for unimodality / multimodality	0.0842306917440591	0.5978	black or african american	Uterus	1
ABCD3	13	Hartigans' dip test for unimodality / multimodality	0.0747236600386981	0.7964	black or african american	Uterus	1
ABCD4	13	Hartigans' dip test for unimodality / multimodality	0.0694940188395023	0.8875	black or african american	Uterus	1
ABCE1	13	Hartigans' dip test for unimodality / multimodality	0.0524517592308859	0.9924	black or african american	Uterus	1
ABCF1	13	Hartigans' dip test for unimodality / multimodality	0.0865413125172635	0.5408	black or african american	Uterus	1
ABCF2	13	Hartigans' dip test for unimodality / multimodality	0.0850202596414766	0.5783	black or african american	Uterus	1
ABCF3	13	Hartigans' dip test for unimodality / multimodality	0.0787846975646918	0.7182	black or african american	Uterus	1
ABCG1	13	Hartigans' dip test for unimodality / multimodality	0.0609393631925689	0.9725	black or african american	Uterus	1
ABCG2	13	Hartigans' dip test for unimodality / multimodality	0.0953696786132284	0.3542	black or african american	Uterus	1
ABCG4	13	Hartigans' dip test for unimodality / multimodality	0.109352679119131	0.1683	black or african american	Uterus	1
ABHD1	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
ABHD2	13	Hartigans' dip test for unimodality / multimodality	0.0957627944954747	0.3476	black or african american	Uterus	1
ABHD3	13	Hartigans' dip test for unimodality / multimodality	0.0497694849294067	0.9940	black or african american	Uterus	1
ABHD4	13	Hartigans' dip test for unimodality / multimodality	0.108596768763936	0.1753	black or african american	Uterus	1
ABHD5	13	Hartigans' dip test for unimodality / multimodality	0.0649229868694781	0.9453	black or african american	Uterus	1
ABHD6	13	Hartigans' dip test for unimodality / multimodality	0.0714277617102519	0.8539	black or african american	Uterus	1
ABHD8	13	Hartigans' dip test for unimodality / multimodality	0.0728801675033064	0.8287	black or african american	Uterus	1
ABHD10	13	Hartigans' dip test for unimodality / multimodality	0.0887641104955663	0.4873	black or african american	Uterus	1
ABHD11	13	Hartigans' dip test for unimodality / multimodality	0.0757938009495945	0.7758	black or african american	Uterus	1
ABHD12	13	Hartigans' dip test for unimodality / multimodality	0.0846177641091372	0.5882	black or african american	Uterus	1
ABHD12B	13	Hartigans' dip test for unimodality / multimodality	0.0926129081486785	0.4006	black or african american	Uterus	1
ABHD13	13	Hartigans' dip test for unimodality / multimodality	0.076931521190664	0.7539	black or african american	Uterus	1
ABHD14A	13	Hartigans' dip test for unimodality / multimodality	0.0727401842162406	0.8311	black or african american	Uterus	1
ABHD14A-ACY1	13	Hartigans' dip test for unimodality / multimodality	0.0842843950231684	0.5965	black or african american	Uterus	1
ABHD14B	13	Hartigans' dip test for unimodality / multimodality	0.0530530941416872	0.9921	black or african american	Uterus	1
ABHD15	13	Hartigans' dip test for unimodality / multimodality	0.0854573602688433	0.5676	black or african american	Uterus	1
ABHD16A	13	Hartigans' dip test for unimodality / multimodality	0.072928171832032	0.8279	black or african american	Uterus	1
ABHD16B	13	Hartigans' dip test for unimodality / multimodality	0.0613637405842214	0.9698	black or african american	Uterus	1
ABHD17A	13	Hartigans' dip test for unimodality / multimodality	0.0769241486655334	0.7540	black or african american	Uterus	1
ABHD17B	13	Hartigans' dip test for unimodality / multimodality	0.0769161531280488	0.7542	black or african american	Uterus	1
ABHD17C	13	Hartigans' dip test for unimodality / multimodality	0.0806970967146906	0.6781	black or african american	Uterus	1
ABI1	13	Hartigans' dip test for unimodality / multimodality	0.107283724480935	0.1875	black or african american	Uterus	1
ABI2	13	Hartigans' dip test for unimodality / multimodality	0.0952056804016834	0.3569	black or african american	Uterus	1
ABI3	13	Hartigans' dip test for unimodality / multimodality	0.077342286950417	0.7460	black or african american	Uterus	1
ABI3BP	13	Hartigans' dip test for unimodality / multimodality	0.0758927184811619	0.7739	black or african american	Uterus	1
ABL1	13	Hartigans' dip test for unimodality / multimodality	0.12564159835725	0.0497	black or african american	Uterus	1
ABL2	13	Hartigans' dip test for unimodality / multimodality	0.085382352754258	0.5694	black or african american	Uterus	1
ABLIM1	13	Hartigans' dip test for unimodality / multimodality	0.0630780269752317	0.9591	black or african american	Uterus	1
ABLIM2	13	Hartigans' dip test for unimodality / multimodality	0.101259260878428	0.2637	black or african american	Uterus	1
ABLIM3	13	Hartigans' dip test for unimodality / multimodality	0.0737229736799756	0.8141	black or african american	Uterus	1
ABR	13	Hartigans' dip test for unimodality / multimodality	0.0692361143212989	0.8919	black or african american	Uterus	1
ABRA	13	Hartigans' dip test for unimodality / multimodality	0.0696802103550834	0.8842	black or african american	Uterus	1
ABRACL	13	Hartigans' dip test for unimodality / multimodality	0.0846175665091959	0.5883	black or african american	Uterus	1
ABT1	13	Hartigans' dip test for unimodality / multimodality	0.0923032986899184	0.4076	black or african american	Uterus	1
ABTB1	13	Hartigans' dip test for unimodality / multimodality	0.0641015710408451	0.9526	black or african american	Uterus	1
ABTB2	13	Hartigans' dip test for unimodality / multimodality	0.0648707410108186	0.9459	black or african american	Uterus	1
AC002310.13	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC002365.1	13	Hartigans' dip test for unimodality / multimodality	0.160383269930263	0.0016	black or african american	Uterus	0.28567843137254906
AC002398.9	13	Hartigans' dip test for unimodality / multimodality	0.115384615384615	0.1124	black or african american	Uterus	1
AC002985.3	13	Hartigans' dip test for unimodality / multimodality	0.0597469572676702	0.9799	black or african american	Uterus	1
AC003002.4	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC003002.6	13	Hartigans' dip test for unimodality / multimodality	0.0791793774136219	0.7106	black or african american	Uterus	1
AC003005.4	13	Hartigans' dip test for unimodality / multimodality	0.0643432187995041	0.9511	black or african american	Uterus	1
AC003006.7	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
AC003101.1	13	Hartigans' dip test for unimodality / multimodality	0.138818780821081	0.0163	black or african american	Uterus	0.8530333333333333
AC003102.1	13	Hartigans' dip test for unimodality / multimodality	0.0558935047660488	0.9904	black or african american	Uterus	1
AC004017.1	13	Hartigans' dip test for unimodality / multimodality	0.180961898232604	1e-04	black or african american	Uterus	0.030353333333333336
AC004076.7	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC004076.9	13	Hartigans' dip test for unimodality / multimodality	0.153846153846154	0.0037	black or african american	Uterus	0.33031568627450986
AC004381.6	13	Hartigans' dip test for unimodality / multimodality	0.0998831923883884	0.2825	black or african american	Uterus	1
AC004466.1	13	Hartigans' dip test for unimodality / multimodality	0.0891491879678205	0.4786	black or african american	Uterus	1
AC005003.1	13	Hartigans' dip test for unimodality / multimodality	0.078400783840004	0.7256	black or african american	Uterus	1
AC005082.1	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC005481.5	13	Hartigans' dip test for unimodality / multimodality	0.10340740347775	0.2344	black or african american	Uterus	1
AC005544.1	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC005609.1	13	Hartigans' dip test for unimodality / multimodality	0.0842140758074107	0.5982	black or african american	Uterus	1
AC005779.2	13	Hartigans' dip test for unimodality / multimodality	0.127612563270606	0.0440	black or african american	Uterus	1
AC005841.1	13	Hartigans' dip test for unimodality / multimodality	0.0967683999092841	0.3307	black or african american	Uterus	1
AC006116.20	13	Hartigans' dip test for unimodality / multimodality	0.0685945333598538	0.9021	black or african american	Uterus	1
AC006126.3	13	Hartigans' dip test for unimodality / multimodality	0.152385678754243	0.0043	black or african american	Uterus	0.3676600938967136
AC006132.1	13	Hartigans' dip test for unimodality / multimodality	0.0620709968337807	0.9654	black or african american	Uterus	1
AC006449.1	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
AC006486.1	13	Hartigans' dip test for unimodality / multimodality	0.0997227107875224	0.2846	black or african american	Uterus	1
AC006486.9	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC006538.4	13	Hartigans' dip test for unimodality / multimodality	0.0905253217956413	0.4476	black or african american	Uterus	1
AC006547.14	13	Hartigans' dip test for unimodality / multimodality	0.070725982812063	0.8661	black or african american	Uterus	1
AC007040.11	13	Hartigans' dip test for unimodality / multimodality	0.0973598172938986	0.3208	black or african american	Uterus	1
AC007382.1	13	Hartigans' dip test for unimodality / multimodality	0.0950840370480205	0.3590	black or african american	Uterus	1
AC007390.5	13	Hartigans' dip test for unimodality / multimodality	0.0874122787203564	0.5194	black or african american	Uterus	1
AC007401.2	13	Hartigans' dip test for unimodality / multimodality	0.153846153846154	0.0037	black or african american	Uterus	0.33031568627450986
AC007405.2	13	Hartigans' dip test for unimodality / multimodality	0.11808528375823	0.0922	black or african american	Uterus	1
AC007461.1	13	Hartigans' dip test for unimodality / multimodality	0.0778254003510616	0.7367	black or african american	Uterus	1
AC007557.1	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC007773.3	13	Hartigans' dip test for unimodality / multimodality	0.120372560149012	0.0793	black or african american	Uterus	1
AC007919.2	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC007952.5	13	Hartigans' dip test for unimodality / multimodality	0.100916091641609	0.2684	black or african american	Uterus	1
AC007952.6	13	Hartigans' dip test for unimodality / multimodality	0.0649221435230191	0.9453	black or african american	Uterus	1
AC007956.1	13	Hartigans' dip test for unimodality / multimodality	0.117970777707667	0.0929	black or african american	Uterus	1
AC008132.13	13	Hartigans' dip test for unimodality / multimodality	0.0769230769230769	0.7540	black or african american	Uterus	1
AC008443.1	13	Hartigans' dip test for unimodality / multimodality	0.0806756694746783	0.6786	black or african american	Uterus	1
AC008948.1	13	Hartigans' dip test for unimodality / multimodality	0.108915036749191	0.1723	black or african american	Uterus	1
AC008964.1	13	Hartigans' dip test for unimodality / multimodality	0.0621856070080191	0.9646	black or african american	Uterus	1
AC009060.1	13	Hartigans' dip test for unimodality / multimodality	0.0801108737749701	0.6914	black or african american	Uterus	1
AC009065.1	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC009403.2	13	Hartigans' dip test for unimodality / multimodality	0.0837189090415777	0.6096	black or african american	Uterus	1
AC010327.2	13	Hartigans' dip test for unimodality / multimodality	0.0715348247675069	0.8521	black or african american	Uterus	1
AC010336.1	13	Hartigans' dip test for unimodality / multimodality	0.156563273917871	0.0027	black or african american	Uterus	0.33031568627450986
AC010441.1	13	Hartigans' dip test for unimodality / multimodality	0.0638650552989353	0.9541	black or african american	Uterus	1
AC010536.1	13	Hartigans' dip test for unimodality / multimodality	0.123219211207955	0.0631	black or african american	Uterus	1
AC010547.9	13	Hartigans' dip test for unimodality / multimodality	0.0732392381985443	0.8225	black or african american	Uterus	1
AC010642.1	13	Hartigans' dip test for unimodality / multimodality	0.103639344221682	0.2312	black or african american	Uterus	1
AC010646.3	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC011239.1	13	Hartigans' dip test for unimodality / multimodality	0.116421094944379	0.1028	black or african american	Uterus	1
AC011298.1	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC011484.1	13	Hartigans' dip test for unimodality / multimodality	0.100129861936164	0.2791	black or african american	Uterus	1
AC011530.4	13	Hartigans' dip test for unimodality / multimodality	0.0948637269036527	0.3627	black or african american	Uterus	1
AC011551.3	13	Hartigans' dip test for unimodality / multimodality	0.174216133149328	2e-04	black or african american	Uterus	0.05518787878787879
AC011897.1	13	Hartigans' dip test for unimodality / multimodality	0.0801642095619664	0.6902	black or african american	Uterus	1
AC011997.1	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC012215.1	13	Hartigans' dip test for unimodality / multimodality	0.145809796245814	0.0084	black or african american	Uterus	0.5708238805970149
AC012414.1	13	Hartigans' dip test for unimodality / multimodality	0.0384615384615385	1.0000	black or african american	Uterus	1
AC013449.1	13	Hartigans' dip test for unimodality / multimodality	0.18728562695454	0.0000	black or african american	Uterus	0
AC015688.3	13	Hartigans' dip test for unimodality / multimodality	0.0628445707173765	0.9605	black or african american	Uterus	1
AC015987.2	13	Hartigans' dip test for unimodality / multimodality	0.0719610095827483	0.8447	black or african american	Uterus	1
AC016251.1	13	Hartigans' dip test for unimodality / multimodality	0.148153290746395	0.0067	black or african american	Uterus	0.5021415637860083
