Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	112	Hartigans' dip test for unimodality / multimodality	0.031874947250255	0.5976	white	ESCA	1
A2M	112	Hartigans' dip test for unimodality / multimodality	0.0283120565530553	0.7961	white	ESCA	1
A2ML1	112	Hartigans' dip test for unimodality / multimodality	0.0392897909607735	0.2426	white	ESCA	1
A4GALT	112	Hartigans' dip test for unimodality / multimodality	0.0231662042016069	0.9704	white	ESCA	1
A4GNT	112	Hartigans' dip test for unimodality / multimodality	0.0214662149364965	0.9903	white	ESCA	1
AAAS	112	Hartigans' dip test for unimodality / multimodality	0.0290621454274413	0.7558	white	ESCA	1
AACS	112	Hartigans' dip test for unimodality / multimodality	0.0225415616457506	0.9809	white	ESCA	1
AADAC	112	Hartigans' dip test for unimodality / multimodality	0.0310412997993299	0.6457	white	ESCA	1
AADAT	112	Hartigans' dip test for unimodality / multimodality	0.0202536002937226	0.9922	white	ESCA	1
AAED1	112	Hartigans' dip test for unimodality / multimodality	0.0245591938577696	0.9423	white	ESCA	1
AAGAB	112	Hartigans' dip test for unimodality / multimodality	0.0281430717078033	0.8042	white	ESCA	1
AAK1	112	Hartigans' dip test for unimodality / multimodality	0.0306350288120565	0.6691	white	ESCA	1
AAMDC	112	Hartigans' dip test for unimodality / multimodality	0.040940768189109	0.1887	white	ESCA	1
AAMP	112	Hartigans' dip test for unimodality / multimodality	0.0216840219030052	0.9895	white	ESCA	1
AANAT	112	Hartigans' dip test for unimodality / multimodality	0.047418689209295	0.0633	white	ESCA	0.6323749862863411
AAR2	112	Hartigans' dip test for unimodality / multimodality	0.0357159110967776	0.3902	white	ESCA	1
AARD	112	Hartigans' dip test for unimodality / multimodality	0.0357142857142857	0.3902	white	ESCA	1
AARS	112	Hartigans' dip test for unimodality / multimodality	0.0296427100342617	0.7246	white	ESCA	1
AARS2	112	Hartigans' dip test for unimodality / multimodality	0.0238280668899189	0.9586	white	ESCA	1
AARSD1	112	Hartigans' dip test for unimodality / multimodality	0.028694446336175	0.7756	white	ESCA	1
AASDH	112	Hartigans' dip test for unimodality / multimodality	0.0276829908476106	0.8244	white	ESCA	1
AASDHPPT	112	Hartigans' dip test for unimodality / multimodality	0.0258382769251199	0.9036	white	ESCA	1
AASS	112	Hartigans' dip test for unimodality / multimodality	0.0274914694864183	0.8328	white	ESCA	1
AATF	112	Hartigans' dip test for unimodality / multimodality	0.0255071140580601	0.9136	white	ESCA	1
AATK	112	Hartigans' dip test for unimodality / multimodality	0.0256900307687125	0.9081	white	ESCA	1
ABAT	112	Hartigans' dip test for unimodality / multimodality	0.0277423901972651	0.8218	white	ESCA	1
ABCA1	112	Hartigans' dip test for unimodality / multimodality	0.0285073023864463	0.7856	white	ESCA	1
ABCA2	112	Hartigans' dip test for unimodality / multimodality	0.0177542714665819	0.9963	white	ESCA	1
ABCA3	112	Hartigans' dip test for unimodality / multimodality	0.0235491220117842	0.9636	white	ESCA	1
ABCA4	112	Hartigans' dip test for unimodality / multimodality	0.023811947560348	0.9588	white	ESCA	1
ABCA5	112	Hartigans' dip test for unimodality / multimodality	0.0293825205762669	0.7386	white	ESCA	1
ABCA6	112	Hartigans' dip test for unimodality / multimodality	0.0235354484892622	0.9638	white	ESCA	1
ABCA7	112	Hartigans' dip test for unimodality / multimodality	0.0293297544717036	0.7414	white	ESCA	1
ABCA8	112	Hartigans' dip test for unimodality / multimodality	0.0225286296337009	0.9811	white	ESCA	1
ABCA9	112	Hartigans' dip test for unimodality / multimodality	0.0227366012850082	0.9782	white	ESCA	1
ABCA10	112	Hartigans' dip test for unimodality / multimodality	0.0197410152681843	0.9931	white	ESCA	1
ABCA12	112	Hartigans' dip test for unimodality / multimodality	0.0200857549154784	0.9925	white	ESCA	1
