Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	337	Hartigans' dip test for unimodality / multimodality	0.0149414998984689	0.9220	white	LUSC	1
A2M	337	Hartigans' dip test for unimodality / multimodality	0.01452450178628	0.9433	white	LUSC	1
A2ML1	337	Hartigans' dip test for unimodality / multimodality	0.0195029949536516	0.5344	white	LUSC	1
A4GALT	337	Hartigans' dip test for unimodality / multimodality	0.0154387441360676	0.8950	white	LUSC	1
A4GNT	337	Hartigans' dip test for unimodality / multimodality	0.0726556558023188	0.0000	white	LUSC	0
AAAS	337	Hartigans' dip test for unimodality / multimodality	0.0131778909574955	0.9840	white	LUSC	1
AACS	337	Hartigans' dip test for unimodality / multimodality	0.017668005768841	0.7124	white	LUSC	1
AADAC	337	Hartigans' dip test for unimodality / multimodality	0.0129352255593361	0.9881	white	LUSC	1
AADAT	337	Hartigans' dip test for unimodality / multimodality	0.0129001257971445	0.9887	white	LUSC	1
AAED1	337	Hartigans' dip test for unimodality / multimodality	0.0155085363662857	0.8898	white	LUSC	1
AAGAB	337	Hartigans' dip test for unimodality / multimodality	0.0114972321987545	0.9933	white	LUSC	1
AAK1	337	Hartigans' dip test for unimodality / multimodality	0.0163753570886434	0.8252	white	LUSC	1
AAMDC	337	Hartigans' dip test for unimodality / multimodality	0.0116340319938159	0.9930	white	LUSC	1
AAMP	337	Hartigans' dip test for unimodality / multimodality	0.0170288353924331	0.7711	white	LUSC	1
AANAT	337	Hartigans' dip test for unimodality / multimodality	0.0326409495548961	0.0127	white	LUSC	0.1044209480812641
AAR2	337	Hartigans' dip test for unimodality / multimodality	0.0161289835991289	0.8436	white	LUSC	1
AARD	337	Hartigans' dip test for unimodality / multimodality	0.0194547767648336	0.5391	white	LUSC	1
AARS	337	Hartigans' dip test for unimodality / multimodality	0.0147857154704041	0.9299	white	LUSC	1
AARS2	337	Hartigans' dip test for unimodality / multimodality	0.0205181002519197	0.4413	white	LUSC	1
