Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	269	Hartigans' dip test for unimodality / multimodality	0.0127377275563376	0.9934	white	Lung	1
A2M	269	Hartigans' dip test for unimodality / multimodality	0.0137546652021981	0.9912	white	Lung	1
A2ML1	269	Hartigans' dip test for unimodality / multimodality	0.0300536073587394	0.0874	white	Lung	0.7030604240282686
A4GALT	269	Hartigans' dip test for unimodality / multimodality	0.0138835037740598	0.9909	white	Lung	1
A4GNT	269	Hartigans' dip test for unimodality / multimodality	0.0297397769516729	0.0938	white	Lung	0.7350626506024096
AAAS	269	Hartigans' dip test for unimodality / multimodality	0.0216822907901781	0.5400	white	Lung	1
AACS	269	Hartigans' dip test for unimodality / multimodality	0.0175576518027164	0.8718	white	Lung	1
AADAC	269	Hartigans' dip test for unimodality / multimodality	0.0205220278031386	0.6408	white	Lung	1
AADAT	269	Hartigans' dip test for unimodality / multimodality	0.0130099547601053	0.9928	white	Lung	1
AAED1	269	Hartigans' dip test for unimodality / multimodality	0.0129377009611297	0.9930	white	Lung	1
AAGAB	269	Hartigans' dip test for unimodality / multimodality	0.0208114572434565	0.6154	white	Lung	1
AAK1	269	Hartigans' dip test for unimodality / multimodality	0.0182994661993861	0.8223	white	Lung	1
AAMDC	269	Hartigans' dip test for unimodality / multimodality	0.0162631953188867	0.9399	white	Lung	1
AAMP	269	Hartigans' dip test for unimodality / multimodality	0.0144051229150606	0.9883	white	Lung	1
AANAT	269	Hartigans' dip test for unimodality / multimodality	0.0427794845174774	0.0012	white	Lung	0.0141452427184466
AAR2	269	Hartigans' dip test for unimodality / multimodality	0.0231261991364449	0.4214	white	Lung	1
AARD	269	Hartigans' dip test for unimodality / multimodality	0.0166854887694836	0.9206	white	Lung	1
AARS	269	Hartigans' dip test for unimodality / multimodality	0.0156130766413949	0.9618	white	Lung	1
AARS2	269	Hartigans' dip test for unimodality / multimodality	0.0214159729238889	0.5630	white	Lung	1
AARSD1	269	Hartigans' dip test for unimodality / multimodality	0.0189481889259838	0.7741	white	Lung	1
AASDH	269	Hartigans' dip test for unimodality / multimodality	0.01379040153703	0.9911	white	Lung	1
