Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	139	Hartigans' dip test for unimodality / multimodality	0.0190441402374832	0.9908	white	PRAD	1
A2M	139	Hartigans' dip test for unimodality / multimodality	0.0170471768186355	0.9943	white	PRAD	1
A2ML1	139	Hartigans' dip test for unimodality / multimodality	0.0219703012641714	0.9490	white	PRAD	1
A4GALT	139	Hartigans' dip test for unimodality / multimodality	0.0168835669475637	0.9946	white	PRAD	1
A4GNT	139	Hartigans' dip test for unimodality / multimodality	0.106924101317182	0.0000	white	PRAD	0
AAAS	139	Hartigans' dip test for unimodality / multimodality	0.0245229382888898	0.8471	white	PRAD	1
AACS	139	Hartigans' dip test for unimodality / multimodality	0.034123636564384	0.2957	white	PRAD	1
AADAC	139	Hartigans' dip test for unimodality / multimodality	0.0403059508702411	0.0999	white	PRAD	0.8896717848410758
AADAT	139	Hartigans' dip test for unimodality / multimodality	0.0166343840768656	0.9950	white	PRAD	1
AAED1	139	Hartigans' dip test for unimodality / multimodality	0.0196088239288916	0.9892	white	PRAD	1
AAGAB	139	Hartigans' dip test for unimodality / multimodality	0.0206838750906887	0.9751	white	PRAD	1
AAK1	139	Hartigans' dip test for unimodality / multimodality	0.0225448975078818	0.9298	white	PRAD	1
AAMDC	139	Hartigans' dip test for unimodality / multimodality	0.0229322400087314	0.9168	white	PRAD	1
AAMP	139	Hartigans' dip test for unimodality / multimodality	0.0251798561151079	0.8152	white	PRAD	1
AANAT	139	Hartigans' dip test for unimodality / multimodality	0.0877286434419472	0.0000	white	PRAD	0
AAR2	139	Hartigans' dip test for unimodality / multimodality	0.0239879158247658	0.8731	white	PRAD	1
AARD	139	Hartigans' dip test for unimodality / multimodality	0.0258068860623229	0.7812	white	PRAD	1
AARS	139	Hartigans' dip test for unimodality / multimodality	0.0215861912668507	0.9571	white	PRAD	1
AARS2	139	Hartigans' dip test for unimodality / multimodality	0.0297379305684879	0.5365	white	PRAD	1
AARSD1	139	Hartigans' dip test for unimodality / multimodality	0.0268440153090143	0.7193	white	PRAD	1
AASDH	139	Hartigans' dip test for unimodality / multimodality	0.0236685417493676	0.8886	white	PRAD	1
AASDHPPT	139	Hartigans' dip test for unimodality / multimodality	0.0290088965349202	0.5824	white	PRAD	1
AASS	139	Hartigans' dip test for unimodality / multimodality	0.0238710654264094	0.8788	white	PRAD	1
AATF	139	Hartigans' dip test for unimodality / multimodality	0.0274760968583439	0.6802	white	PRAD	1
AATK	139	Hartigans' dip test for unimodality / multimodality	0.0242765674055699	0.8591	white	PRAD	1
ABAT	139	Hartigans' dip test for unimodality / multimodality	0.0226392557026599	0.9266	white	PRAD	1
