Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	89	Hartigans' dip test for unimodality / multimodality	0.0364432437719244	0.5477	white	Prostate	1
A2M	89	Hartigans' dip test for unimodality / multimodality	0.0379638944231173	0.4723	white	Prostate	1
A2ML1	89	Hartigans' dip test for unimodality / multimodality	0.0282297395355486	0.9175	white	Prostate	1
A4GALT	89	Hartigans' dip test for unimodality / multimodality	0.0325463456672056	0.7456	white	Prostate	1
A4GNT	89	Hartigans' dip test for unimodality / multimodality	0.0516807288476295	0.0761	white	Prostate	0.9123984200131666
AAAS	89	Hartigans' dip test for unimodality / multimodality	0.0287095608592869	0.9045	white	Prostate	1
AACS	89	Hartigans' dip test for unimodality / multimodality	0.0271523537032956	0.9468	white	Prostate	1
AADAC	89	Hartigans' dip test for unimodality / multimodality	0.036002064989312	0.5702	white	Prostate	1
AADAT	89	Hartigans' dip test for unimodality / multimodality	0.0345106044678352	0.6471	white	Prostate	1
AAED1	89	Hartigans' dip test for unimodality / multimodality	0.0261535004665586	0.9642	white	Prostate	1
AAGAB	89	Hartigans' dip test for unimodality / multimodality	0.0319078296316567	0.7764	white	Prostate	1
AAK1	89	Hartigans' dip test for unimodality / multimodality	0.0261694460869295	0.9640	white	Prostate	1
AAMDC	89	Hartigans' dip test for unimodality / multimodality	0.0292156070127743	0.8866	white	Prostate	1
AAMP	89	Hartigans' dip test for unimodality / multimodality	0.0440798425900531	0.2308	white	Prostate	1
AANAT	89	Hartigans' dip test for unimodality / multimodality	0.0674157303370786	0.0034	white	Prostate	0.05994269119070668
AAR2	89	Hartigans' dip test for unimodality / multimodality	0.0406309266176783	0.3538	white	Prostate	1
AARD	89	Hartigans' dip test for unimodality / multimodality	0.0310726420668155	0.8136	white	Prostate	1
AARS	89	Hartigans' dip test for unimodality / multimodality	0.0345113738159508	0.6471	white	Prostate	1
AARS2	89	Hartigans' dip test for unimodality / multimodality	0.0213501835954841	0.9940	white	Prostate	1
AARSD1	89	Hartigans' dip test for unimodality / multimodality	0.036885217036943	0.5251	white	Prostate	1
AASDH	89	Hartigans' dip test for unimodality / multimodality	0.0280869560267006	0.9214	white	Prostate	1
AASDHPPT	89	Hartigans' dip test for unimodality / multimodality	0.027327256931898	0.9420	white	Prostate	1
AASS	89	Hartigans' dip test for unimodality / multimodality	0.0264947377611045	0.9587	white	Prostate	1
AATF	89	Hartigans' dip test for unimodality / multimodality	0.0400753610629038	0.3765	white	Prostate	1
AATK	89	Hartigans' dip test for unimodality / multimodality	0.0254168457166514	0.9762	white	Prostate	1
ABAT	89	Hartigans' dip test for unimodality / multimodality	0.0224704121978919	0.9923	white	Prostate	1
ABCA1	89	Hartigans' dip test for unimodality / multimodality	0.0594242757658195	0.0181	white	Prostate	0.2654083735909823
ABCA2	89	Hartigans' dip test for unimodality / multimodality	0.0397781640936971	0.3886	white	Prostate	1
ABCA3	89	Hartigans' dip test for unimodality / multimodality	0.0256824133529926	0.9719	white	Prostate	1
ABCA4	89	Hartigans' dip test for unimodality / multimodality	0.0240769343739774	0.9899	white	Prostate	1
ABCA5	89	Hartigans' dip test for unimodality / multimodality	0.0249060727723871	0.9824	white	Prostate	1
ABCA6	89	Hartigans' dip test for unimodality / multimodality	0.0312192485864399	0.8079	white	Prostate	1
ABCA7	89	Hartigans' dip test for unimodality / multimodality	0.025972907002583	0.9672	white	Prostate	1
ABCA8	89	Hartigans' dip test for unimodality / multimodality	0.031552260013481	0.7936	white	Prostate	1
ABCA9	89	Hartigans' dip test for unimodality / multimodality	0.0272010173644486	0.9455	white	Prostate	1
ABCA10	89	Hartigans' dip test for unimodality / multimodality	0.0295541034585623	0.8733	white	Prostate	1
ABCA12	89	Hartigans' dip test for unimodality / multimodality	0.0739604713648256	6e-04	white	Prostate	0.012885849056603772
ABCA13	89	Hartigans' dip test for unimodality / multimodality	0.133796391038308	0.0000	white	Prostate	0
ABCB1	89	Hartigans' dip test for unimodality / multimodality	0.0378582317731646	0.4773	white	Prostate	1
ABCB4	89	Hartigans' dip test for unimodality / multimodality	0.0276726590535061	0.9326	white	Prostate	1
ABCB5	89	Hartigans' dip test for unimodality / multimodality	0.0786516853932584	2e-04	white	Prostate	0.004718134715025907
ABCB6	89	Hartigans' dip test for unimodality / multimodality	0.0312055995375619	0.8084	white	Prostate	1
ABCB7	89	Hartigans' dip test for unimodality / multimodality	0.0316001037082877	0.7913	white	Prostate	1
ABCB8	89	Hartigans' dip test for unimodality / multimodality	0.0266881201130146	0.9556	white	Prostate	1
ABCB9	89	Hartigans' dip test for unimodality / multimodality	0.0243974401542746	0.9870	white	Prostate	1
ABCB10	89	Hartigans' dip test for unimodality / multimodality	0.0382265844117371	0.4599	white	Prostate	1
ABCB11	89	Hartigans' dip test for unimodality / multimodality	0.0952902676067185	0.0000	white	Prostate	0
ABCC1	89	Hartigans' dip test for unimodality / multimodality	0.0337146578491375	0.6884	white	Prostate	1
ABCC2	89	Hartigans' dip test for unimodality / multimodality	0.0268310174240977	0.9533	white	Prostate	1
ABCC3	89	Hartigans' dip test for unimodality / multimodality	0.0287959796387739	0.9021	white	Prostate	1
ABCC4	89	Hartigans' dip test for unimodality / multimodality	0.0240282471693533	0.9900	white	Prostate	1
ABCC5	89	Hartigans' dip test for unimodality / multimodality	0.0267363534964531	0.9548	white	Prostate	1
ABCC6	89	Hartigans' dip test for unimodality / multimodality	0.0275963430463457	0.9347	white	Prostate	1
ABCC8	89	Hartigans' dip test for unimodality / multimodality	0.0257995990340463	0.9700	white	Prostate	1
ABCC9	89	Hartigans' dip test for unimodality / multimodality	0.024348923062157	0.9874	white	Prostate	1
ABCC10	89	Hartigans' dip test for unimodality / multimodality	0.0255440387395246	0.9741	white	Prostate	1
ABCC11	89	Hartigans' dip test for unimodality / multimodality	0.0313056408794007	0.8045	white	Prostate	1
ABCC12	89	Hartigans' dip test for unimodality / multimodality	0.0317974222544265	0.7818	white	Prostate	1
ABCD1	89	Hartigans' dip test for unimodality / multimodality	0.024352068889503	0.9874	white	Prostate	1
ABCD2	89	Hartigans' dip test for unimodality / multimodality	0.0260732383005587	0.9655	white	Prostate	1
ABCD3	89	Hartigans' dip test for unimodality / multimodality	0.0318407996412906	0.7797	white	Prostate	1
ABCD4	89	Hartigans' dip test for unimodality / multimodality	0.0270593159368618	0.9493	white	Prostate	1
ABCE1	89	Hartigans' dip test for unimodality / multimodality	0.0355793735157752	0.5919	white	Prostate	1
ABCF1	89	Hartigans' dip test for unimodality / multimodality	0.0360681759078349	0.5669	white	Prostate	1
ABCF2	89	Hartigans' dip test for unimodality / multimodality	0.0348683858122998	0.6286	white	Prostate	1
ABCF3	89	Hartigans' dip test for unimodality / multimodality	0.0359066846176116	0.5751	white	Prostate	1
ABCG1	89	Hartigans' dip test for unimodality / multimodality	0.0248797421183323	0.9827	white	Prostate	1
ABCG2	89	Hartigans' dip test for unimodality / multimodality	0.0221346839246592	0.9928	white	Prostate	1
ABCG4	89	Hartigans' dip test for unimodality / multimodality	0.0552159664338457	0.0417	white	Prostate	0.5444017204301076
ABHD1	89	Hartigans' dip test for unimodality / multimodality	0.0326680236099132	0.7397	white	Prostate	1
ABHD2	89	Hartigans' dip test for unimodality / multimodality	0.0223972965538959	0.9924	white	Prostate	1
ABHD3	89	Hartigans' dip test for unimodality / multimodality	0.0298209972815316	0.8628	white	Prostate	1
ABHD4	89	Hartigans' dip test for unimodality / multimodality	0.0294933927695441	0.8757	white	Prostate	1
ABHD5	89	Hartigans' dip test for unimodality / multimodality	0.0323082711848244	0.7571	white	Prostate	1
ABHD6	89	Hartigans' dip test for unimodality / multimodality	0.0324154001659465	0.7519	white	Prostate	1
ABHD8	89	Hartigans' dip test for unimodality / multimodality	0.0343189935596902	0.6571	white	Prostate	1
ABHD10	89	Hartigans' dip test for unimodality / multimodality	0.0341547041730954	0.6656	white	Prostate	1
ABHD11	89	Hartigans' dip test for unimodality / multimodality	0.0283636765423236	0.9139	white	Prostate	1
ABHD12	89	Hartigans' dip test for unimodality / multimodality	0.0304418960564776	0.8384	white	Prostate	1
ABHD12B	89	Hartigans' dip test for unimodality / multimodality	0.0561797752808989	0.0359	white	Prostate	0.4789822710622711
ABHD13	89	Hartigans' dip test for unimodality / multimodality	0.0255107797021103	0.9746	white	Prostate	1
ABHD14A	89	Hartigans' dip test for unimodality / multimodality	0.0309306523292839	0.8192	white	Prostate	1
ABHD14A-ACY1	89	Hartigans' dip test for unimodality / multimodality	0.0240538381146261	0.9900	white	Prostate	1
ABHD14B	89	Hartigans' dip test for unimodality / multimodality	0.0350641298055287	0.6184	white	Prostate	1
ABHD15	89	Hartigans' dip test for unimodality / multimodality	0.0326126633054447	0.7424	white	Prostate	1
ABHD16A	89	Hartigans' dip test for unimodality / multimodality	0.0280898876404494	0.9213	white	Prostate	1
ABHD16B	89	Hartigans' dip test for unimodality / multimodality	0.0235931506416565	0.9907	white	Prostate	1
ABHD17A	89	Hartigans' dip test for unimodality / multimodality	0.0474963175019424	0.1470	white	Prostate	1
ABHD17B	89	Hartigans' dip test for unimodality / multimodality	0.0318255259011948	0.7804	white	Prostate	1
ABHD17C	89	Hartigans' dip test for unimodality / multimodality	0.0425882135587327	0.2792	white	Prostate	1
ABI1	89	Hartigans' dip test for unimodality / multimodality	0.0335466257315759	0.6971	white	Prostate	1
ABI2	89	Hartigans' dip test for unimodality / multimodality	0.0288898864629375	0.8994	white	Prostate	1
ABI3	89	Hartigans' dip test for unimodality / multimodality	0.028522633183576	0.9096	white	Prostate	1
ABI3BP	89	Hartigans' dip test for unimodality / multimodality	0.0292605046568711	0.8848	white	Prostate	1
ABL1	89	Hartigans' dip test for unimodality / multimodality	0.0262166888951063	0.9632	white	Prostate	1
ABL2	89	Hartigans' dip test for unimodality / multimodality	0.0241832057045008	0.9889	white	Prostate	1
ABLIM1	89	Hartigans' dip test for unimodality / multimodality	0.0219885430221269	0.9930	white	Prostate	1
ABLIM2	89	Hartigans' dip test for unimodality / multimodality	0.0239629928148395	0.9901	white	Prostate	1
ABLIM3	89	Hartigans' dip test for unimodality / multimodality	0.024500206152332	0.9861	white	Prostate	1
ABR	89	Hartigans' dip test for unimodality / multimodality	0.0306157480388706	0.8316	white	Prostate	1
ABRA	89	Hartigans' dip test for unimodality / multimodality	0.0368418333402376	0.5273	white	Prostate	1
ABRACL	89	Hartigans' dip test for unimodality / multimodality	0.0242307369404952	0.9885	white	Prostate	1
ABT1	89	Hartigans' dip test for unimodality / multimodality	0.0349448637617395	0.6246	white	Prostate	1
ABTB1	89	Hartigans' dip test for unimodality / multimodality	0.0224739772379962	0.9923	white	Prostate	1
ABTB2	89	Hartigans' dip test for unimodality / multimodality	0.0298397974514627	0.8621	white	Prostate	1
AC002310.13	89	Hartigans' dip test for unimodality / multimodality	0.00561797752808989	1.0000	white	Prostate	1
AC002365.1	89	Hartigans' dip test for unimodality / multimodality	0.136224060253803	0.0000	white	Prostate	0
AC002398.9	89	Hartigans' dip test for unimodality / multimodality	0.0786516853932584	2e-04	white	Prostate	0.004718134715025907
AC002985.3	89	Hartigans' dip test for unimodality / multimodality	0.0564771147305031	0.0341	white	Prostate	0.4719066869300912
AC003002.4	89	Hartigans' dip test for unimodality / multimodality	0.00561797752808989	1.0000	white	Prostate	1
AC003002.6	89	Hartigans' dip test for unimodality / multimodality	0.0898876404494382	0.0000	white	Prostate	0
AC003005.4	89	Hartigans' dip test for unimodality / multimodality	0.0660078296249159	0.0045	white	Prostate	0.07753453169347209
AC003006.7	89	Hartigans' dip test for unimodality / multimodality	0.149071298344808	0.0000	white	Prostate	0
AC003101.1	89	Hartigans' dip test for unimodality / multimodality	0.0145286314685962	1.0000	white	Prostate	1
AC003102.1	89	Hartigans' dip test for unimodality / multimodality	0.0507136014691593	0.0877	white	Prostate	1
AC004017.1	89	Hartigans' dip test for unimodality / multimodality	0.0955056179775281	0.0000	white	Prostate	0
AC004076.7	89	Hartigans' dip test for unimodality / multimodality	0.0233562145284965	0.9910	white	Prostate	1
AC004076.9	89	Hartigans' dip test for unimodality / multimodality	0.050561797752809	0.0895	white	Prostate	1
AC004381.6	89	Hartigans' dip test for unimodality / multimodality	0.0280756815293913	0.9217	white	Prostate	1
AC004466.1	89	Hartigans' dip test for unimodality / multimodality	0.0328193394069804	0.7324	white	Prostate	1
AC005003.1	89	Hartigans' dip test for unimodality / multimodality	0.033998080863197	0.6737	white	Prostate	1
AC005082.1	89	Hartigans' dip test for unimodality / multimodality	0.00561797752808989	1.0000	white	Prostate	1
AC005481.5	89	Hartigans' dip test for unimodality / multimodality	0.049804064914987	0.0986	white	Prostate	1
