Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
A1BG	292	Hartigans' dip test for unimodality / multimodality	0.0165518452110873	0.8943	white	THCA	1
A2M	292	Hartigans' dip test for unimodality / multimodality	0.0198750929009026	0.6269	white	THCA	1
A2ML1	292	Hartigans' dip test for unimodality / multimodality	0.074575038095245	0.0000	white	THCA	0
A4GALT	292	Hartigans' dip test for unimodality / multimodality	0.0199613972522861	0.6191	white	THCA	1
A4GNT	292	Hartigans' dip test for unimodality / multimodality	0.117868511927051	0.0000	white	THCA	0
AAAS	292	Hartigans' dip test for unimodality / multimodality	0.0202648089994001	0.5915	white	THCA	1
AACS	292	Hartigans' dip test for unimodality / multimodality	0.0137000981914857	0.9901	white	THCA	1
AADAC	292	Hartigans' dip test for unimodality / multimodality	0.0535130925766377	0.0000	white	THCA	0
AADAT	292	Hartigans' dip test for unimodality / multimodality	0.0144657564951879	0.9772	white	THCA	1
AAED1	292	Hartigans' dip test for unimodality / multimodality	0.0157578229506993	0.9339	white	THCA	1
AAGAB	292	Hartigans' dip test for unimodality / multimodality	0.0213992806163391	0.4903	white	THCA	1
AAK1	292	Hartigans' dip test for unimodality / multimodality	0.0136269999120033	0.9903	white	THCA	1
AAMDC	292	Hartigans' dip test for unimodality / multimodality	0.0163886947982548	0.9039	white	THCA	1
AAMP	292	Hartigans' dip test for unimodality / multimodality	0.0214672485556009	0.4846	white	THCA	1
AANAT	292	Hartigans' dip test for unimodality / multimodality	0.0530821917808219	0.0000	white	THCA	0
AAR2	292	Hartigans' dip test for unimodality / multimodality	0.0296566874382086	0.0712	white	THCA	0.5197171943887775
AARD	292	Hartigans' dip test for unimodality / multimodality	0.023728519744141	0.3100	white	THCA	1
AARS	292	Hartigans' dip test for unimodality / multimodality	0.012230830890035	0.9935	white	THCA	1
AARS2	292	Hartigans' dip test for unimodality / multimodality	0.0169151045533979	0.8691	white	THCA	1
AARSD1	292	Hartigans' dip test for unimodality / multimodality	0.0171237936705842	0.8546	white	THCA	1
AASDH	292	Hartigans' dip test for unimodality / multimodality	0.0173838247786565	0.8365	white	THCA	1
AASDHPPT	292	Hartigans' dip test for unimodality / multimodality	0.0234093382067707	0.3331	white	THCA	1
AASS	292	Hartigans' dip test for unimodality / multimodality	0.0141469300953649	0.9835	white	THCA	1
AATF	292	Hartigans' dip test for unimodality / multimodality	0.0218275540408038	0.4546	white	THCA	1
AATK	292	Hartigans' dip test for unimodality / multimodality	0.0174545857005383	0.8316	white	THCA	1
ABAT	292	Hartigans' dip test for unimodality / multimodality	0.0165111574358739	0.8971	white	THCA	1
ABCA1	292	Hartigans' dip test for unimodality / multimodality	0.0154094702518533	0.9503	white	THCA	1
ABCA2	292	Hartigans' dip test for unimodality / multimodality	0.0161907439629483	0.9133	white	THCA	1
ABCA3	292	Hartigans' dip test for unimodality / multimodality	0.0199601548184271	0.6192	white	THCA	1
ABCA4	292	Hartigans' dip test for unimodality / multimodality	0.0157359623491471	0.9349	white	THCA	1
ABCA5	292	Hartigans' dip test for unimodality / multimodality	0.0162002760069143	0.9128	white	THCA	1
ABCA6	292	Hartigans' dip test for unimodality / multimodality	0.0153597790117993	0.9517	white	THCA	1
ABCA7	292	Hartigans' dip test for unimodality / multimodality	0.014014746659597	0.9856	white	THCA	1
ABCA8	292	Hartigans' dip test for unimodality / multimodality	0.0182310970187678	0.7724	white	THCA	1
ABCA9	292	Hartigans' dip test for unimodality / multimodality	0.0199893674585686	0.6165	white	THCA	1
ABCA10	292	Hartigans' dip test for unimodality / multimodality	0.0137619020374516	0.9896	white	THCA	1
ABCA12	292	Hartigans' dip test for unimodality / multimodality	0.092611106651605	0.0000	white	THCA	0
ABCA13	292	Hartigans' dip test for unimodality / multimodality	0.0143084561863561	0.9809	white	THCA	1
ABCB1	292	Hartigans' dip test for unimodality / multimodality	0.0140319940670122	0.9853	white	THCA	1
ABCB4	292	Hartigans' dip test for unimodality / multimodality	0.016429250531779	0.9019	white	THCA	1
ABCB5	292	Hartigans' dip test for unimodality / multimodality	0.0699744660444235	0.0000	white	THCA	0
ABCB6	292	Hartigans' dip test for unimodality / multimodality	0.0185906694876013	0.7416	white	THCA	1
ABCB7	292	Hartigans' dip test for unimodality / multimodality	0.0162684544933611	0.9096	white	THCA	1
ABCB8	292	Hartigans' dip test for unimodality / multimodality	0.015982545021552	0.9232	white	THCA	1
ABCB9	292	Hartigans' dip test for unimodality / multimodality	0.0143007823367859	0.9811	white	THCA	1
ABCB10	292	Hartigans' dip test for unimodality / multimodality	0.0227331563517003	0.3819	white	THCA	1
ABCB11	292	Hartigans' dip test for unimodality / multimodality	0.073299726619548	0.0000	white	THCA	0
ABCC1	292	Hartigans' dip test for unimodality / multimodality	0.018368223285299	0.7606	white	THCA	1
ABCC2	292	Hartigans' dip test for unimodality / multimodality	0.0195968327960542	0.6524	white	THCA	1
ABCC3	292	Hartigans' dip test for unimodality / multimodality	0.0160713582539573	0.9190	white	THCA	1
ABCC4	292	Hartigans' dip test for unimodality / multimodality	0.0158325469852344	0.9303	white	THCA	1
ABCC5	292	Hartigans' dip test for unimodality / multimodality	0.0138636337677325	0.9880	white	THCA	1
ABCC6	292	Hartigans' dip test for unimodality / multimodality	0.0148433226595289	0.9664	white	THCA	1
ABCC8	292	Hartigans' dip test for unimodality / multimodality	0.0183295080920043	0.7640	white	THCA	1
ABCC9	292	Hartigans' dip test for unimodality / multimodality	0.0114328515945092	0.9953	white	THCA	1
ABCC10	292	Hartigans' dip test for unimodality / multimodality	0.0167021978008589	0.8838	white	THCA	1
ABCC11	292	Hartigans' dip test for unimodality / multimodality	0.0129644663567969	0.9918	white	THCA	1
ABCC12	292	Hartigans' dip test for unimodality / multimodality	0.0678665829061204	0.0000	white	THCA	0
ABCD1	292	Hartigans' dip test for unimodality / multimodality	0.0156467572656518	0.9392	white	THCA	1
ABCD2	292	Hartigans' dip test for unimodality / multimodality	0.0298430413616645	0.0672	white	THCA	0.492097466827503
ABCD3	292	Hartigans' dip test for unimodality / multimodality	0.0201251404760784	0.6041	white	THCA	1
ABCD4	292	Hartigans' dip test for unimodality / multimodality	0.0176959206662943	0.8148	white	THCA	1
ABCE1	292	Hartigans' dip test for unimodality / multimodality	0.0161607597732677	0.9147	white	THCA	1
ABCF1	292	Hartigans' dip test for unimodality / multimodality	0.0171314182087953	0.8540	white	THCA	1
ABCF2	292	Hartigans' dip test for unimodality / multimodality	0.0154067062069039	0.9504	white	THCA	1
ABCF3	292	Hartigans' dip test for unimodality / multimodality	0.0184969710941079	0.7496	white	THCA	1
ABCG1	292	Hartigans' dip test for unimodality / multimodality	0.0152717387165091	0.9542	white	THCA	1
ABCG2	292	Hartigans' dip test for unimodality / multimodality	0.015062517292479	0.9602	white	THCA	1
ABCG4	292	Hartigans' dip test for unimodality / multimodality	0.0166544920551366	0.8872	white	THCA	1
ABHD1	292	Hartigans' dip test for unimodality / multimodality	0.0171410077854174	0.8534	white	THCA	1
ABHD2	292	Hartigans' dip test for unimodality / multimodality	0.0140140690011392	0.9856	white	THCA	1
ABHD3	292	Hartigans' dip test for unimodality / multimodality	0.0191738257242981	0.6910	white	THCA	1
ABHD4	292	Hartigans' dip test for unimodality / multimodality	0.0180793021199256	0.7854	white	THCA	1
ABHD5	292	Hartigans' dip test for unimodality / multimodality	0.0145506291287565	0.9748	white	THCA	1
ABHD6	292	Hartigans' dip test for unimodality / multimodality	0.0158945938445317	0.9274	white	THCA	1
ABHD8	292	Hartigans' dip test for unimodality / multimodality	0.0173989522941449	0.8354	white	THCA	1
ABHD10	292	Hartigans' dip test for unimodality / multimodality	0.0136986301369863	0.9901	white	THCA	1
ABHD11	292	Hartigans' dip test for unimodality / multimodality	0.0184400376930678	0.7545	white	THCA	1
ABHD12	292	Hartigans' dip test for unimodality / multimodality	0.0195071017335264	0.6606	white	THCA	1
ABHD12B	292	Hartigans' dip test for unimodality / multimodality	0.023972602739726	0.2940	white	THCA	1
ABHD13	292	Hartigans' dip test for unimodality / multimodality	0.0188320011509265	0.7209	white	THCA	1
ABHD14A	292	Hartigans' dip test for unimodality / multimodality	0.0136547365011385	0.9902	white	THCA	1
ABHD14A-ACY1	292	Hartigans' dip test for unimodality / multimodality	0.0183809106154141	0.7596	white	THCA	1
ABHD14B	292	Hartigans' dip test for unimodality / multimodality	0.0174315938157826	0.8332	white	THCA	1
ABHD15	292	Hartigans' dip test for unimodality / multimodality	0.0199577244172303	0.6194	white	THCA	1
ABHD16A	292	Hartigans' dip test for unimodality / multimodality	0.0201209607001325	0.6045	white	THCA	1
ABHD16B	292	Hartigans' dip test for unimodality / multimodality	0.0189268212538036	0.7128	white	THCA	1
ABHD17A	292	Hartigans' dip test for unimodality / multimodality	0.0143813462393132	0.9796	white	THCA	1
ABHD17B	292	Hartigans' dip test for unimodality / multimodality	0.0169937966293634	0.8636	white	THCA	1
ABHD17C	292	Hartigans' dip test for unimodality / multimodality	0.014268856060342	0.9816	white	THCA	1
ABI1	292	Hartigans' dip test for unimodality / multimodality	0.0234924268916696	0.3271	white	THCA	1
ABI2	292	Hartigans' dip test for unimodality / multimodality	0.0256799087961377	0.1980	white	THCA	1
ABI3	292	Hartigans' dip test for unimodality / multimodality	0.0180117711512101	0.7912	white	THCA	1
ABI3BP	292	Hartigans' dip test for unimodality / multimodality	0.0158175934878022	0.9311	white	THCA	1
ABL1	292	Hartigans' dip test for unimodality / multimodality	0.016549976741098	0.8944	white	THCA	1
ABL2	292	Hartigans' dip test for unimodality / multimodality	0.0192538067343513	0.6837	white	THCA	1
ABLIM1	292	Hartigans' dip test for unimodality / multimodality	0.0162882904980813	0.9086	white	THCA	1
ABLIM2	292	Hartigans' dip test for unimodality / multimodality	0.0144765617759313	0.9769	white	THCA	1
ABLIM3	292	Hartigans' dip test for unimodality / multimodality	0.0191845946851993	0.6900	white	THCA	1
ABR	292	Hartigans' dip test for unimodality / multimodality	0.0150679202228645	0.9600	white	THCA	1
ABRA	292	Hartigans' dip test for unimodality / multimodality	0.11723542247339	0.0000	white	THCA	0
ABRACL	292	Hartigans' dip test for unimodality / multimodality	0.0161481914563896	0.9153	white	THCA	1
ABT1	292	Hartigans' dip test for unimodality / multimodality	0.0190478840960984	0.7024	white	THCA	1
ABTB1	292	Hartigans' dip test for unimodality / multimodality	0.0165386379656417	0.8952	white	THCA	1
ABTB2	292	Hartigans' dip test for unimodality / multimodality	0.0145534512306291	0.9747	white	THCA	1
AC002310.13	292	Hartigans' dip test for unimodality / multimodality	0.00831347421578773	1.0000	white	THCA	1
AC002365.1	292	Hartigans' dip test for unimodality / multimodality	0.071482639333622	0.0000	white	THCA	0
AC002398.9	292	Hartigans' dip test for unimodality / multimodality	0.0393835616438356	0.0024	white	THCA	0.02101384615384615
AC002985.3	292	Hartigans' dip test for unimodality / multimodality	0.0653238267933595	0.0000	white	THCA	0
AC003002.4	292	Hartigans' dip test for unimodality / multimodality	0.00864245752804015	1.0000	white	THCA	1
AC003002.6	292	Hartigans' dip test for unimodality / multimodality	0.0154109589041096	0.9503	white	THCA	1
AC003005.4	292	Hartigans' dip test for unimodality / multimodality	0.049797065899597	0.0000	white	THCA	0
