ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	458	-0.393629843349475	-2.06469542903598	0.000321027287319422	0.007174688057041	0.0053475935828877	5141	tags=49%, list=31%, signal=35%	ZNF83/MAP3K7/OAS2/BCL2/IFNAR2/ZNF44/ZNF778/ZNF667/ZNF256/ZNF630/ZNF620/TNFSF14/ZFP82/ZNF519/ZNF177/ZNF585B/MAVS/BIRC3/ZNF431/ZNF248/ZNF223/ZNF160/ZNF417/ZNF470/ZNF773/ZNF726/ZNF529/DDX58/ZNF398/CHUK/ZNF107/ZNF891/ZNF571/TLR2/CCL2/ZNF331/EIF2S1/ZNF549/NFKB1/ZNF284/ZNF662/ZNF556/SRPK1/ZNF222/BIRC2/ZNF189/ZNF471/IRAK4/PIK3CB/ZNF442/ZNF33B/ZNF141/ZFP37/ZNF93/ZNF566/ZNF20/ZNF823/JAK2/C5/ZNF286A/ZNF506/ZNF552/ZNF610/ZFP28/ZNF551/ZNF582/ZNF461/ZNF879/PPP1CC/ZNF416/ZNF568/ZNF175/ZNF275/ZNF12/ZNF878/ZNF560/ZNF677/ZNF234/ZNF383/ZNF766/ZNF37A/ZNF670/ZNF540/EIF2AK2/ZNF528/ZNF548/ZNF790/ZNF415/RNASEL/ZFP90/ZNF780B/APAF1/ZNF669/POU2F3/ZNF567/ZNF627/ZNF25/ZNF623/ZNF320/ZNF124/ZNF180/ZNF600/ZNF546/ZNF227/ZNF33A/ZNF473/ZNF597/ZNF607/ZNF230/ZNF621/ZNF382/ZNF184/ZNF17/ZNF605/ZNF860/ZNF619/ZNF543/IFNGR1/ZNF624/ZNF136/ZNF439/ZNF429/ZNF41/ZNF674/HCFC2/ZNF454/ZNF14/ZNF229/ZNF614/ZNF181/ZNF587/ZNF420/ZNF680/ZFP14/ZNF557/AKT3/ZNF665/JAK1/FASLG/ZNF569/ZNF658/ZNF91/ZNF45/ZNF267/TRAF6/ZNF257/IFNAR1/ZNF721/ZNF611/IL1B/ZNF436/ZNF440/ZNF765/TAB2/PIK3R3/ZNF583/RBAK/FAS/ZNF225/ZNF709/ZNF713/PTPN11/ZNF430/ZIK1/ZNF468/ZNF283/ZNF132/ZNF304/ZNF791/ZNF595/ZNF253/ZFP1/ZNF484/IL6/ZNF675/ZNF81/HLA-DPA1/POU2F1/ZNF561/ZFP69B/ZNF850/ZNF85/ZNF701/ZNF616/ZNF699/PPP1CB/ZNF460/ZNF208/ZNF254/ZNF555/ZFP30/ZNF268/ZNF708/ZNF112/ZNF772/ZNF100/ZNF43/ZNF737/ZNF615/ZNF829/ZNF813/ZNF816/ZNF570/ZNF510/ZNF214/EIF2AK3/ZNF347/HLA-DRB5/PIK3CA/ZNF354C/ZNF845/ZNF98/ZNF676/ZNF562/ZNF649/ZNF221/ZNF426/PIK3R1/ZNF727/ZNF749/TLR3/ITGB3/ZNF730/ZNF492/ZNF490
hsa04151	PI3K-Akt signaling pathway	330	-0.354232839945636	-1.79817743371989	0.000329924117452986	0.007174688057041	0.0053475935828877	2807	tags=28%, list=17%, signal=24%	MAGI1/LPAR3/COL6A3/INSR/IL7R/EIF4E/MAGI2/PHLPP2/PPP2R2A/G6PC2/TNR/PKN2/GNG2/ITGA9/AKT3/PDPK1/SOS2/KDR/JAK1/FASLG/THBS1/FGF7/FGF5/F2R/IFNAR1/FGFR2/PPP2R2B/ITGB6/PIK3R3/ITGB1/FGF9/ATF2/THBS2/IGF1/KRAS/GHR/TEK/TNN/PDGFD/IL6/VWF/SOS1/HGF/CREB3L2/CREB1/LPAR1/GNG4/PRKAA1/PTEN/COL4A6/PPP2R1B/LAMC1/PIK3AP1/MAPK1/PCK1/ITGAV/ITGA6/PPP2R5E/C8orf44-SGK3/ERBB4/ANGPT2/PIK3CG/LPAR4/LAMC2/LAMA2/PIK3CA/MET/PPP2R3A/ITGA4/TLR4/CDK6/EFNA5/TNC/OSMR/FLT1/IGF2/PIK3R1/PDGFC/ITGA2/ITGB3/GNG12/GNB4/EGFR/FGF2/NTRK2/ITGA1/KITLG/PRLR/ITGB8/PDGFRA/KIT/PRKAA2/IBSP
hsa05205	Proteoglycans in cancer	198	-0.368907305576621	-1.77422243846985	0.000337040781934614	0.007174688057041	0.0053475935828877	3590	tags=36%, list=22%, signal=28%	CDC42/BRAF/SMAD2/PPP1CC/CAMK2D/MMP2/FRS2/CD44/MRAS/COL1A2/ESR1/CAV2/PDCD4/FZD5/RRAS2/MAPK14/CAV1/FZD10/LUM/FZD6/ROCK1/AKT3/PDPK1/SOS2/KDR/FASLG/THBS1/TIMP3/CTNNB1/PIK3R3/ITGB1/FAS/PTPN11/IGF1/KRAS/FZD4/ROCK2/PTCH1/HIF1A/PPP1R12B/SOS1/HGF/PPP1CB/GPC3/ITPR1/DCN/FZD3/ANK2/PPP1R12A/VAV3/WNT5A/MAPK1/CBL/GAB1/RDX/ITGAV/ERBB4/PIK3CA/MET/TLR4/IGF2/ARHGEF12/PIK3R1/PRKACB/TGFB2/ITGA2/ITGB3/ITPR2/EGFR/FGF2
hsa04510	Focal adhesion	196	-0.355669800841571	-1.70768363616826	0.000337381916329285	0.007174688057041	0.0053475935828877	3622	tags=36%, list=22%, signal=29%	THBS4/CDC42/COL4A5/BRAF/PPP1CC/CCND2/LAMB3/CRK/MAPK8/PIP5K1B/COL1A2/ARHGAP35/CAV2/COL6A3/CAV1/TNR/ITGA9/MYL7/ROCK1/AKT3/PDPK1/SOS2/KDR/THBS1/VCL/PARVA/CTNNB1/SHC3/ITGB6/PIK3R3/ITGB1/CAPN2/THBS2/MYLK/IGF1/ROCK2/TNN/PDGFD/PPP1R12B/VWF/SOS1/HGF/PAK2/PPP1CB/PTEN/COL4A6/LAMC1/PPP1R12A/VAV3/MAPK1/ITGAV/ITGA6/LAMC2/LAMA2/PIK3CA/MET/ITGA4/TNC/FLT1/PIK3R1/PAK3/PDGFC/ARHGAP5/ITGA2/ITGB3/EGFR/ITGA1/ITGB8/PDGFRA/IBSP
hsa04810	Regulation of actin cytoskeleton	204	-0.355084292324369	-1.71326049146908	0.000337837837837838	0.007174688057041	0.0053475935828877	2987	tags=33%, list=18%, signal=27%	CDC42/BRAF/PPP1CC/FGF20/WASL/CXCL12/CRK/MRAS/MYH10/PIP5K1B/ARHGAP35/WASF2/NCKAP1/ABI2/RRAS2/ITGA9/GNA13/MYL7/ROCK1/SOS2/FGF7/DIAPH2/VCL/FGF5/F2R/FGFR2/ITGB6/PIK3R3/IQGAP2/ITGB1/FGF9/MYLK/KRAS/ROCK2/CFL2/PDGFD/PPP1R12B/ENAH/SOS1/PIKFYVE/LPAR1/PAK2/PPP1CB/PPP1R12A/VAV3/MAPK1/RDX/ITGAV/ITGA6/LPAR4/PIK3CA/ITGA4/APC/ARHGEF12/PIK3R1/PAK3/PDGFC/ITGA2/ITGB3/GNG12/EGFR/MYH11/FGF2/ITGA1/ITGB8/PDGFRA
hsa04015	Rap1 signaling pathway	201	-0.322194359817032	-1.54979743151265	0.00033921302578019	0.007174688057041	0.0053475935828877	2987	tags=30%, list=18%, signal=25%	MRAS/RALA/MAGI1/LPAR3/INSR/CALML3/MAGI2/DOCK4/FPR1/MAPK14/RAPGEF4/PRKCI/PRKD1/AKT3/KDR/SKAP1/RAPGEF6/THBS1/FGF7/FGF5/F2R/FGFR2/GNAQ/CTNNB1/ADCY2/PIK3R3/ITGB1/FGF9/PLCB4/IGF1/KRAS/PRKD3/TEK/PDGFD/GNAI1/ENAH/HGF/LPAR1/MAGI3/RAPGEF5/VAV3/RAPGEF2/MAPK1/ANGPT2/CNR1/LPAR4/PIK3CA/MET/PLCB1/EFNA5/FLT1/PIK3R1/PDGFC/ITGB3/EGFR/P2RY1/FGF2/KITLG/PDGFRA/KIT
hsa04360	Axon guidance	176	-0.402744110159516	-1.90509657201597	0.000341763499658237	0.007174688057041	0.0053475935828877	2019	tags=27%, list=12%, signal=24%	ROCK1/TRPC1/DPYSL2/PLXNA4/PIK3R3/ITGB1/PTPN11/KRAS/ROCK2/SEMA3A/DPYSL5/PTCH1/CFL2/GNAI1/ENAH/PAK2/TRPC6/NRP1/EPHA4/FZD3/WNT5A/PPP3CA/MAPK1/SLIT2/SEMA3C/NFATC3/PDK1/UNC5C/BMPR2/EPHA3/PIK3CA/MET/EFNA5/ARHGEF12/PIK3R1/ROBO1/NTNG1/PAK3/SEMA6D/SEMA3E/LRRC4C/ABLIM1/ROBO2/SEMA3D/NTN4/BMPR1B/SEMA5A
hsa05206	MicroRNAs in cancer	160	-0.378419597617389	-1.76806700289889	0.000342583076396026	0.007174688057041	0.0053475935828877	2667	tags=29%, list=16%, signal=24%	HMGA2/GLS/TNR/ZEB2/RPS6KA5/SPRY2/ROCK1/SOS2/RECK/THBS1/TIMP3/ATM/CCNG1/EP300/BMI1/PIK3R3/MMP16/KRAS/TNN/SOS1/DICER1/PTEN/FZD3/MAPK1/RDX/CYP24A1/ZEB1/NOTCH2/BMPR2/PIK3CA/MET/FOXP1/ZFPM2/CDK6/EFNA5/TNC/CYP1B1/APC/PIK3R1/TGFB2/ITGB3/EGFR/TP63/PTGS2/PDGFRA
hsa04022	cGMP-PKG signaling pathway	159	-0.336427297494647	-1.5705220223135	0.000343524562006183	0.007174688057041	0.0053475935828877	2676	tags=26%, list=16%, signal=22%	CALML3/ATP2A2/ATP2B1/PPP3R1/MEF2A/GNA13/ROCK1/AKT3/EDNRB/GNAQ/ADCY2/PLCB4/MEF2C/ATF2/PLN/MYLK/ROCK2/MRVI1/GNAI1/CREB3L2/CREB1/PPP1CB/ITPR1/TRPC6/PRKG1/PDE3B/SLC8A1/PPP1R12A/PPP3CA/MAPK1/EDNRA/PIK3CG/NFATC3/PDE3A/PLCB1/ATP1B1/ITPR2/AGTR1/GUCY1A2/PRKG2/ATP1A4
hsa05215	Prostate cancer	96	-0.42927233199648	-1.85757769495327	0.00034794711203897	0.007174688057041	0.0053475935828877	2008	tags=29%, list=12%, signal=26%	PDPK1/SOS2/ERG/FGFR2/CTNNB1/EP300/ETV5/PIK3R3/NKX3-1/IGF1/KRAS/PDGFD/FOXO1/SOS1/CREB3L2/CREB1/PTEN/MAPK1/ZEB1/RB1/PIK3CA/AR/PIK3R1/PDGFC/EGFR/MMP3/PDGFRA
