ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	457	0.337781756430371	1.58655381545459	0.000314366551398931	0.0260897747528764	0.0231132035241239	4048	tags=39%, list=24%, signal=30%	ZFP37/ZNF285/ZNF569/ZNF454/ZNF534/ZNF879/ZIK1/ZNF354C/ITGB3/ZNF662/HLA-G/AKT3/ZNF300/ZNF100/ZNF223/ZNF334/CFP/ZNF154/BCL2/ZNF677/ZNF714/ZNF284/ZNF699/ZNF471/ZNF311/ZNF780A/ZNF177/ZNF620/ZNF233/ZNF582/ZNF155/ZNF671/ZNF676/ZNF442/ZNF549/ZNF302/ZNF705A/TLR2/ZNF225/ZNF224/ZNF763/NXF5/ZNF684/ZNF415/ZNF135/ZNF585B/ZNF540/ZNF845/ZNF841/ZNF14/IFNGR1/ZNF782/ZNF41/ZNF547/ZNF584/TNFSF14/ZSCAN32/ZNF737/ZNF275/ZNF700/ZNF354B/ZNF44/ZNF425/ZNF470/ZNF799/ZNF669/NXF3/ZNF486/ZNF560/ZNF510/ZNF611/ZNF160/ZNF557/ZNF596/ZNF34/HLA-DQA2/ZNF792/ZNF234/ZNF791/ZFP28/ZNF658/ZNF226/ZNF606/ZNF566/ZNF30/ZNF383/ZNF419/ZNF667/ZNF382/IRAK4/ZNF221/ZNF182/ZFP1/TRAF5/ZNF559/ZNF701/ZNF432/ZNF235/ZNF443/ZNF17/ZNF416/ZNF398/ZNF564/ZNF420/ZNF878/ZNF583/ZNF621/ZNF597/ZNF222/IFNAR2/ZNF10/ZNF347/ZNF181/JAK2/MAP3K7/B2M/ZNF616/ZNF709/ZNF554/ZNF555/ZNF529/ZNF417/ZNF713/ZNF43/ZNF141/STAT2/ZNF613/ZNF256/ZNF649/HLA-E/RNASEL/ZFP30/ZNF7/CHUK/C5/ZNF112/MTOR/ZNF354A/ZNF551/ZNF778/ZNF790/ZNF343/ZNF333/ZNF25/PIK3CA/ZNF26/BIRC2/ZNF426/ZNF736/ZNF331/ZNF184/ZFP69/ZNF429/ZNF253/ZNF79/ZFP14/ZNF132/ZNF619/ZNF175/JAK1/ZNF337/ZNF211/TNFRSF14/ZNF563/ZNF350/ZNF641/ZNF180/ZNF439/ZNF627/ZNF543/ZNF81/ZNF230/ZNF780B/EIF2AK3/SRPK1/RBAK
hsa05414	Dilated cardiomyopathy	90	0.554990645610575	2.13700547110635	0.000352112676056338	0.0260897747528764	0.0231132035241239	2933	tags=37%, list=18%, signal=30%	CACNG6/ACTC1/TNNI3/ADCY1/DES/LAMA1/ITGA9/MYL2/CACNA2D1/MYL3/ADCY8/ITGB3/ADCY4/MYH7/LAMA2/RYR2/SLC8A2/IGF1/SGCA/PLN/ITGA10/TTN/ATP2A1/SLC8A3/TNNC1/ADCY3/CACNA1S/MYBPC3/CACNG8/ITGA1/ADRB1/CACNA2D4/SGCD
hsa05410	Hypertrophic cardiomyopathy	86	0.524958549930412	2.00567856320597	0.000355492356914326	0.0260897747528764	0.0231132035241239	2933	tags=37%, list=18%, signal=31%	CACNG6/ACTC1/TNNI3/DES/LAMA1/ITGA9/MYL2/CACNA2D1/MYL3/ITGB3/MYH7/LAMA2/PRKAA2/RYR2/SLC8A2/IGF1/SGCA/ITGA10/TTN/ATP2A1/SLC8A3/TNNC1/PRKAB2/CACNA1S/MYBPC3/PRKAA1/CACNG8/ITGA1/PRKAG1/CACNA2D4/PRKAB1/SGCD
hsa05322	Systemic lupus erythematosus	122	-0.642086435315906	-2.68951561494844	0.000474833808167142	0.0260897747528764	0.0231132035241239	1389	tags=43%, list=8%, signal=40%	H2AFY2/HLA-DMA/H2AFX/HLA-DPA1/HIST1H2AL/HIST1H3I/HIST2H4A/C8B/HIST1H2BB/HIST1H2BI/HIST1H2AI/HIST1H3A/HIST3H2BB/HIST1H2BK/HIST2H2BE/HIST1H2BL/HIST2H3A/HIST3H2A/HIST1H3B/HIST1H2AB/HIST1H2BH/H2AFB1/HIST1H4E/HIST1H2BM/HIST2H2AB/HLA-DQB1/HIST2H2BF/IL10/HIST1H3C/HIST1H2AE/HLA-DRB5/HIST1H2AC/HIST1H2BF/HIST2H2AC/HIST1H4H/HIST1H2BE/HIST1H3G/HIST1H3H/HIST2H2AA3/HIST2H2AA4/HIST1H2BD/HIST1H2BO/HIST1H3D/IFNG/HIST1H4D/HIST1H2AG/HIST1H2BJ/HIST1H2BC/HIST1H2BG/HIST1H2AD/HIST1H2AM/HIST1H4J
hsa05034	Alcoholism	173	-0.621446834333956	-2.73317829518876	0.000483325277912035	0.0260897747528764	0.0231132035241239	2126	tags=38%, list=13%, signal=34%	GRIN1/GNGT2/H2AFJ/ADORA2A/HIST1H4I/HIST2H4B/CREB3L3/HIST2H3D/ADORA2B/H2AFY2/PKIA/GRIN2D/H2AFX/NTRK2/HIST1H2AL/GNG3/HIST1H3I/HIST2H4A/HIST1H2BB/HIST1H2BI/PPP1R1B/HIST1H2AI/HIST1H3A/HIST3H2BB/HIST1H2BK/SHC3/HIST2H2BE/HIST1H2BL/HIST2H3A/HIST3H2A/HIST1H3B/HIST1H2AB/HIST1H2BH/H2AFB1/HIST1H4E/CALML6/HIST1H2BM/HIST2H2AB/HIST2H2BF/HIST1H3C/HIST1H2AE/HIST1H2AC/HIST1H2BF/HIST2H2AC/HIST1H4H/HIST1H2BE/HIST1H3G/NPY/HIST1H3H/HIST2H2AA3/HIST2H2AA4/CALML3/HIST1H2BD/HIST1H2BO/FOSB/HIST1H3D/TH/HIST1H4D/HIST1H2AG/HIST1H2BJ/HIST1H2BC/HIST1H2BG/HIST1H2AD/HIST1H2AM/HIST1H4J
hsa05203	Viral carcinogenesis	193	-0.41767667377052	-1.8633060675999	0.000486144871171609	0.0260897747528764	0.0231132035241239	2184	tags=24%, list=13%, signal=21%	TRAF2/RELA/HLA-A/CDKN1A/MAPKAPK2/HDAC10/BAD/HLA-C/HIST1H4I/HIST2H4B/CREB3L3/JUN/GTF2A1L/MAD1L1/RBL1/EGR2/HIST2H4A/EGR3/PMAIP1/IRF7/HIST1H2BB/HIST1H2BI/ATP6V0D2/HIST3H2BB/HIST1H2BK/HIST2H2BE/HIST1H2BL/HIST1H2BH/HIST1H4E/CDC20/HPN/HIST1H2BM/HIST2H2BF/CCND1/HIST1H2BF/HIST1H4H/HIST1H2BE/HIST1H2BD/HIST1H2BO/HIST1H4D/HIST1H2BJ/HIST1H2BC/HIST1H2BG/PIK3R2/HIST1H4J
hsa04742	Taste transduction	62	0.521195856656831	1.87729668652084	0.000710732054015636	0.0326936744847193	0.0289636671636447	2087	tags=34%, list=13%, signal=30%	TAS2R19/SCNN1B/TAS2R20/PKD2L1/TAS2R14/TAS1R3/ADCY8/TAS2R31/CHRM3/GABRA5/SCN9A/P2RY1/ADCY4/PDE1A/HTR1D/KCNK5/TAS2R43/SCN3A/SCN2A/GRM4/TAS2R4
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	72	0.467844997528945	1.73809197739537	0.00106269925611052	0.0423016290068313	0.0374754542688829	2933	tags=31%, list=18%, signal=25%	CACNG6/DES/LAMA1/ITGA9/CACNA2D1/ACTN2/ITGB3/LAMA2/RYR2/SLC8A2/SGCA/ITGA10/TCF7L2/ATP2A1/SLC8A3/CACNA1S/CTNNA3/CTNNB1/CACNG8/ITGA1/CACNA2D4/SGCD
hsa04612	Antigen processing and presentation	67	-0.464272812757763	-1.7659762091297	0.00136116152450091	0.0423016290068313	0.0374754542688829	2822	tags=39%, list=17%, signal=32%	HLA-DQA1/KLRC4/RFXANK/HLA-DOA/HLA-A/KIR2DL3/KIR2DL1/HSPA5/HLA-DRA/HLA-C/HLA-DRB1/CD74/HSPA1A/HLA-DPB1/HLA-DMA/HSPA1B/HLA-DPA1/CIITA/CD8A/CD8B/HLA-DQB1/KIR3DL1/HLA-DRB5/IFNG/KLRC3
hsa00982	Drug metabolism - cytochrome P450	58	0.491559884991372	1.74106102341495	0.00143112701252236	0.0423016290068313	0.0374754542688829	1469	tags=31%, list=9%, signal=28%	GSTM1/ADH1B/GSTT2/FMO2/GSTT2B/GSTM3/FMO3/ALDH3A1/ADH4/FMO4/GSTM4/CYP2C8/FMO5/AOX1/CYP3A5/UGT1A10/UGT1A6/CYP2E1
hsa04217	Necroptosis	144	-0.376104407178579	-1.61278411364681	0.00144508670520231	0.0423016290068313	0.0374754542688829	2522	tags=23%, list=15%, signal=20%	TRADD/TRAF2/FADD/SLC25A4/ZBP1/SHARPIN/PLA2G4B/CHMP1A/H2AFJ/SPATA2L/RIPK3/TICAM1/H2AFY2/H2AFX/HIST1H2AL/HIST1H2AI/CAMK2B/HIST3H2A/HIST1H2AB/H2AFB1/HIST2H2AB/ALOX15/PYCARD/HIST1H2AE/HIST1H2AC/HIST2H2AC/HIST2H2AA3/HIST2H2AA4/IFNG/HIST1H2AG/HIST1H2AD/HIST1H2AM
hsa04917	Prolactin signaling pathway	68	-0.452581003687749	-1.7236397696687	0.0018140589569161	0.0486772486772487	0.0431236822214266	2619	tags=26%, list=16%, signal=22%	CISH/RELA/CYP17A1/CGA/ELF5/GCK/SOCS1/PRL/LHB/ESR2/SHC3/ESR1/SOCS3/CCND1/FOS/TH/PIK3R2
