ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	262	0.535521219499713	1.92435425550495	0.000208159866777685	0.00709516779410793	0.00558985105714289	2020	tags=32%, list=12%, signal=29%	CCL3L3/CCL4L1/CCL4L2/PF4V1/CCL3L1/XCL2/TNFRSF13B/CCL13/IL1B/CXCL10/TNF/XCR1/FASLG/CCL22/CXCL11/TNFRSF17/CCL17/CCL15/CCL3/CCL24/CCL25/CCL8/CCR6/CSF2RB/CXCR3/IL2RB/CCL5/CXCL9/ACKR4/TNFRSF18/TNFRSF13C/CCR4/CD40LG/GDF5/CCR5/CXCR6/IL21R/CD27/CSF1R/BMP3/IL12RB1/BMP8A/CXCL6/CCR2/CCR9/CCL28/CCL4/CCL19/CX3CR1/XCL1/IFNG/IL18/LTB/IL22RA1/IFNL1/IL27/CCL18/CD4/CXCL1/BMP5/IL23A/GDF10/IL16/IL12B/IL5/TNFRSF4/IL5RA/IL2RG/CXCL5/CRLF2/CXCL14/CCR3/CCL7/TNFSF10/EDAR/CCR1/CXCL3/IFNLR1/BMP6/CCL11/TNFRSF11A/IL2RA/IL17RE/BMP4/OSM
hsa04062	Chemokine signaling pathway	186	0.588664854229074	2.06619299637491	0.000215749730312837	0.00709516779410793	0.00558985105714289	2650	tags=34%, list=16%, signal=29%	CCL3L3/CCL4L1/CCL4L2/PF4V1/CCL3L1/XCL2/CCL13/CXCL10/XCR1/CCL22/CXCL11/CCL17/CCL15/CCL3/CCL24/CCL25/CCL8/CCR6/CXCR3/CCL5/CXCL9/GRK1/CCR4/GNG8/CCR5/CXCR6/VAV1/CXCL6/CCR2/CCR9/CCL28/RAC2/CCL4/GNGT1/NCF1/CCL19/CX3CR1/XCL1/ADCY1/PRKCB/GNG7/CCL18/CXCL1/PIK3CG/CXCL5/CXCL14/CCR3/CCL7/CCR1/CXCL3/DOCK2/CCL11/VAV3/PTK2B/GNAI1/HCK/PLCG2/ADCY7/STAT1/WAS/CCR10/PIK3R6/PLCB2
hsa04972	Pancreatic secretion	97	0.580732979227582	1.91452684155832	0.000234027615258601	0.00709516779410793	0.00558985105714289	3564	tags=46%, list=21%, signal=37%	PLA2G10/CLCA1/SLC26A3/CFTR/CPA3/PLA2G2D/PLA2G12B/CLCA4/SCT/CEL/CD38/ADCY1/CA2/PRSS3/SCTR/RAB27B/PRKCB/SLC4A4/CELA3A/ATP2A1/ATP1B1/ATP2A3/ATP1A2/PRKCG/KCNQ1/PLA2G3/CPA1/ATP1A4/ITPR2/ATP2B1/ADCY7/CTRL/CELA2A/CELA3B/CTRB2/CELA2B/PLCB2/PNLIPRP1/AMY2A/CHRM3/RYR2/CLCA2/AMY1A/FXYD2/PLA2G1B
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.714647104786323	2.35577780815032	0.000234082397003745	0.00709516779410793	0.00558985105714289	1924	tags=50%, list=12%, signal=44%	CCL3L3/CCL4L1/CCL4L2/PF4V1/CCL3L1/XCL2/CCL13/CXCL10/TNF/XCR1/CCL22/CXCL11/CCL17/CCL15/CCL3/CCL24/CCL25/CCL8/CCR6/CXCR3/IL2RB/CCL5/CXCL9/ACKR4/CCR4/CCR5/CSF1R/CXCL6/CCR2/CCR9/CCL28/CCL4/CCL19/CX3CR1/XCL1/IL18/IL22RA1/CCL18/CXCL1/IL2RG/CXCL5/CXCL14/CCR3/CCL7/TNFSF10/CCR1/CXCL3/CCL11/IL2RA
hsa04640	Hematopoietic cell lineage	92	0.59594345440591	1.95052442899492	0.000235849056603774	0.00709516779410793	0.00558985105714289	3139	tags=49%, list=19%, signal=40%	CD1E/CD1C/CR2/IL1B/TNF/FCER2/HLA-DQA1/CD1B/CD3D/CD3G/CD2/CD8A/CD3E/FCGR1A/HLA-DOA/MS4A1/HLA-DQB1/CSF1R/CD7/FLT3/CD5/CD38/HLA-DRA/HLA-DMB/CD4/CD14/IL5/IL5RA/CD19/GP9/HLA-DPB1/ITGA4/IL2RA/HLA-DOB/CD8B/GP5/IL4/CD37/IL3RA/FLT3LG/TFRC/CR1L/CD1D/KIT/CSF2RA
hsa04658	Th1 and Th2 cell differentiation	89	0.527092576450407	1.7199371775303	0.000236742424242424	0.00709516779410793	0.00558985105714289	2186	tags=29%, list=13%, signal=26%	HLA-DQA1/CD3D/CD3G/IL2RB/CD3E/FOS/RUNX3/LCK/HLA-DOA/HLA-DQB1/IL12RB1/HLA-DRA/IFNG/HLA-DMB/CD4/TBX21/ZAP70/IL12B/IL5/IL2RG/HLA-DPB1/CD247/IL2RA/HLA-DOB/MAPK13/PRKCQ
hsa04620	Toll-like receptor signaling pathway	90	0.589334058617472	1.92328207736992	0.000236798484489699	0.00709516779410793	0.00558985105714289	2944	tags=33%, list=18%, signal=28%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/IL1B/CXCL10/TNF/CXCL11/CCL3/CCL5/CXCL9/CD80/FOS/TLR7/CCL4/TLR6/CD14/IL12B/CD86/MAP2K6/IKBKE/IRF7/MAPK13/STAT1/RIPK1/MYD88/IRF5/TLR3/TIRAP/JUN
hsa05323	Rheumatoid arthritis	87	0.602666986078915	1.95897696643989	0.000237925291458482	0.00709516779410793	0.00558985105714289	1989	tags=34%, list=12%, signal=31%	CCL3L3/CCL3L1/IL1B/TNF/HLA-DQA1/ATP6V0D2/CCL3/CCL5/CD80/FOS/ITGAL/HLA-DOA/HLA-DQB1/CXCL6/HLA-DRA/IFNG/ACP5/IL18/HLA-DMB/ATP6V0E2/LTB/CXCL1/IL23A/CXCL5/CD86/CTLA4/HLA-DPB1/CXCL3/TNFRSF11A/HLA-DOB
hsa04976	Bile secretion	77	0.576826310648858	1.85149414093267	0.000241429261226461	0.00709516779410793	0.00558985105714289	2489	tags=36%, list=15%, signal=31%	UGT1A10/SLCO1B3/UGT1A1/SLC9A3/CFTR/AQP8/UGT1A6/SLC51B/NR1H4/SCT/ABCB11/ADCY1/CA2/SCTR/SLC10A1/SLC4A4/UGT1A7/UGT2B17/ATP1B1/ATP1A2/HMGCR/ABCG2/ATP1A4/SLC5A1/ABCB1/ADCY7/SLC51A/UGT2A3
hsa04612	Antigen processing and presentation	67	0.602321073466945	1.89783114333061	0.000244618395303327	0.00709516779410793	0.00558985105714289	3473	tags=51%, list=21%, signal=40%	KLRC1/TNF/HLA-DQA1/KLRD1/KIR2DL4/KIR3DL2/CD8A/HLA-DOA/KLRC3/HLA-DQB1/CTSS/HLA-DRA/IFNG/HLA-DMB/CD4/CIITA/LGMN/CD74/HLA-G/HLA-DPB1/KLRC4/HLA-DOB/CD8B/KIR3DL1/HSPA6/IFI30/KIR2DL3/TAP1/KIR2DL1/HLA-F/HLA-A/HLA-DPA1/KLRC2/TAP2
