ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04950	Maturity onset diabetes of the young	23	-0.73785619279909	-2.07383695268532	0.000468384074941452	0.0380614657210402	0.031852681348762	2476	tags=61%, list=15%, signal=52%	MNX1/HHEX/SLC2A2/BHLHA15/NR5A2/NEUROG3/HNF1B/FOXA2/HNF1A/PDX1/FOXA3/HNF4G/HNF4A
hsa04672	Intestinal immune network for IgA production	44	-0.732294741627547	-2.37424669177774	0.000522193211488251	0.0380614657210402	0.031852681348762	3307	tags=66%, list=20%, signal=53%	ICOS/CXCL12/CD80/CCR9/IL15RA/IL4/ITGA4/AICDA/IL5/MADCAM1/HLA-DPB1/TNFSF13B/HLA-DQA1/CXCR4/HLA-DRA/TNFSF13/HLA-DOB/HLA-DOA/HLA-DMA/CCL28/HLA-DMB/HLA-DRB1/HLA-DPA1/CCL25/TNFRSF13B/HLA-DQB1/HLA-DRB5/PIGR
hsa04610	Complement and coagulation cascades	80	-0.509313507058225	-1.85644542239523	0.000596658711217184	0.0380614657210402	0.031852681348762	3368	tags=54%, list=20%, signal=43%	C1QC/C3/C8B/ITGB2/C1QB/C3AR1/SERPING1/CLU/C8G/F13A1/C1QA/VSIG4/F2R/ITGAM/F10/ITGAX/C5AR1/PLAUR/CFHR1/F7/SERPINE1/VTN/C6/TFPI/CFI/C4B/C2/CD55/CFB/F2RL3/CR1/C4A/KLKB1/F3/CR2/F2RL2/SERPINA5/C7/C4BPA/SERPINA1/F5/C4BPB
hsa05217	Basal cell carcinoma	61	0.592112128941106	1.84944365736678	0.000614817091915155	0.0380614657210402	0.031852681348762	2009	tags=38%, list=12%, signal=33%	WNT7B/WNT10A/WNT3A/WNT4/GLI1/FZD10/WNT7A/SMO/WNT9A/FZD7/GLI2/TCF7L1/GLI3/LEF1/KIF7/WNT10B/WNT2B/WNT6/PTCH1/PTCH2/WNT5A/FZD9/DVL3
hsa04640	Hematopoietic cell lineage	92	-0.50407419367652	-1.88335344071305	0.000624219725343321	0.0380614657210402	0.031852681348762	2697	tags=46%, list=16%, signal=38%	IL9R/EPOR/IL4/THPO/ITGA5/CD37/ITGA4/CD5/CD1C/IL5/CD22/HLA-DPB1/CD8B/CD1D/ITGAM/CSF3R/IL2RA/HLA-DQA1/CD19/IL7R/ITGB3/HLA-DRA/CSF2RA/FLT3/KIT/HLA-DOB/HLA-DOA/HLA-DMA/ITGA1/HLA-DMB/HLA-DRB1/HLA-DPA1/ANPEP/FCER2/MME/CD55/CR1/CR2/HLA-DQB1/MS4A1/HLA-DRB5
hsa05310	Asthma	25	-0.689650821751882	-1.98036519537004	0.000941176470588235	0.0380614657210402	0.031852681348762	2949	tags=68%, list=18%, signal=56%	IL13/IL4/IL5/HLA-DPB1/HLA-DQA1/FCER1A/HLA-DRA/HLA-DOB/HLA-DOA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DPA1/MS4A2/HLA-DQB1/HLA-DRB5
hsa05330	Allograft rejection	35	-0.640725342456445	-1.97958293401532	0.00100300902708124	0.0380614657210402	0.031852681348762	2775	tags=46%, list=17%, signal=38%	HLA-G/IL4/IL5/HLA-DPB1/HLA-DQA1/HLA-DRA/HLA-DOB/HLA-DOA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DPA1/IL12A/HLA-DQB1/HLA-DRB5
hsa05320	Autoimmune thyroid disease	38	-0.672908162650565	-2.12193169786791	0.00100401606425703	0.0380614657210402	0.031852681348762	2775	tags=50%, list=17%, signal=42%	HLA-G/IL4/TSHB/IL5/CTLA4/TSHR/HLA-DPB1/HLA-DQA1/HLA-DRA/HLA-DOB/HLA-DOA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DPA1/CGA/HLA-DQB1/HLA-DRB5
hsa04110	Cell cycle	124	0.482762415080307	1.6730796012535	0.00111794298490777	0.0380614657210402	0.031852681348762	4196	tags=40%, list=25%, signal=30%	SFN/E2F2/PKMYT1/CCNA1/ESPL1/MCM2/CDC45/ORC6/CDC20/MCM4/BUB1/CCNB1/ORC1/PTTG1/CCNA2/PLK1/CDC7/CDC25A/CCND1/CCNB2/SKP2/MCM5/MAD2L1/CCNE2/MCM6/CDKN2C/RBL1/TFDP2/SMC1B/RBL2/SMAD2/CUL1/CDKN2B/SMAD3/TFDP1/ANAPC7/ATR/CREBBP/CDC6/BUB1B/PRKDC/GSK3B/YWHAQ/TGFB1/FZR1/ANAPC1/MCM3/WEE1/MCM7/STAG1
hsa04260	Cardiac muscle contraction	77	-0.473765288143753	-1.71840903673461	0.00118203309692671	0.0380614657210402	0.031852681348762	2965	tags=27%, list=18%, signal=23%	TPM2/TNNI3/HRC/COX7A1/CACNA2D4/TPM3/ATP1B1/COX6B2/ATP1A4/SLC8A3/MYL4/SLC9A7/CACNG8/CASQ2/ATP2A3/TNNC1/FXYD2/TPM1/MYL2/ACTC1
