ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	262	0.479095150464006	1.63718685251091	0.00020185708518369	0.00371717171717172	0.00281916913495861	1945	tags=27%, list=12%, signal=25%	CCL3L3/CCL4L1/CCR6/IL18/CXCR6/CXCL10/IL21R/CSF1R/CCL24/CCL4L2/CXCL5/XCR1/IL7R/CCL13/IL13RA2/CXCL9/CD40LG/CCR1/CXCL11/TNFRSF11A/CCL17/IL10/IL10RA/CCL3L1/TNFRSF13C/CCL7/CCL21/TGFB2/IL2RG/CCR5/BMP6/CCL15/CCL14/LTB/IL33/CXCL6/IL27RA/CXCR3/EDA/LEPR/TNF/IL32/IL15/CCL23/AMHR2/CCL22/IL4/LIFR/IL12RB1/CCL20/CD27/EDA2R/IL16/TNFSF15/CCL5/EDAR/IL17D/CTF1/CCL19/IL20RB/XCL2/NGFR/TNFRSF17/TNFRSF25/IL1B/TNFSF8/MPL/ACKR4/LEP/ACVRL1/CSF2RB/CD4
hsa05170	Human immunodeficiency virus 1 infection	190	0.493462550850696	1.65848612078547	0.000204540805890775	0.00371717171717172	0.00281916913495861	4148	tags=34%, list=25%, signal=26%	HLA-G/GNG8/CD3D/CD3G/BST2/AP1M2/HLA-B/PRKCB/RAC2/HLA-A/HLA-F/CCR5/APOBEC3F/CD3E/APOBEC3C/TNF/TAP2/CCNB2/APOBEC3G/B2M/APOBEC3D/TLR2/PAK3/TLR4/PIK3CD/ITPR3/TAP1/SAMHD1/GNG3/AP1S2/CDK1/PIK3R3/CALML4/GNG11/GNG4/MAPK12/CD4/GNGT2/MAPK11/APOBEC3H/AP1S3/CASP8/BCL2/GNG2/AKT3/GNB4/PLCG1/PAK1/AP1G2/MAPK13/GNG5/PAK6/TRAF5/AP1B1/LIMK1/PTK2B/CXCR4/CCNB1/PIK3R1/HLA-E/TNFRSF1B/NFATC1/GNG7/CCNB3/CALM3
hsa04062	Chemokine signaling pathway	186	0.552413994123292	1.85416858092033	0.000204876049989756	0.00371717171717172	0.00281916913495861	2046	tags=30%, list=12%, signal=27%	CCL3L3/CCL4L1/CCR6/GNG8/CXCR6/CXCL10/CCL24/CCL4L2/CXCL5/VAV1/XCR1/CCL13/CXCL9/PRKCB/RAC2/CCR1/CXCL11/PIK3CG/CCL17/PLCB2/CCL3L1/CCL7/VAV3/CCL21/CCR5/CCL15/CCL14/CXCL6/CXCR3/HCK/ITK/STAT1/PLCB1/DOCK2/CCL23/ADCY7/ADCY4/CCL22/PREX1/CCL20/PIK3CD/CCL5/PIK3R6/GNG3/CCL19/ADCY2/FGR/XCL2/PIK3R5/PRKCD/WAS/PIK3R3/GNG11/GNG4/GNGT2/NCF1
hsa05152	Tuberculosis	162	0.495256793736252	1.65069832452018	0.000205888408482602	0.00371717171717172	0.00281916913495861	2879	tags=33%, list=17%, signal=27%	HLA-DQA2/IL18/FCGR2B/FCGR3A/CLEC4M/TLR6/FCGR1A/IL10/IL10RA/CORO1A/TLR1/ITGB2/TGFB2/CD74/HLA-DRA/CTSS/SYK/FCER1G/TNF/NOD2/STAT1/TLR2/CARD9/LSP1/TLR4/CIITA/RFX5/ATP6V0D2/CLEC7A/HLA-DMB/IL1B/ITGAM/ATP6V1H/CALML4/HLA-DPB1/MAPK12/CD209/MAPK11/HLA-DQA1/CASP8/BCL2/TGFB1/LBP/LAMP2/APAF1/TCIRG1/CTSD/LAMP1/ITGAX/AKT3/HLA-DOA/IL12A/JAK2
hsa05164	Influenza A	152	0.488558006773742	1.61890379716303	0.000207382828701783	0.00371717171717172	0.00281916913495861	2879	tags=31%, list=17%, signal=26%	HLA-DQA2/IL18/PRSS3/CXCL10/RSAD2/TLR7/PRKCB/IKBKE/IL33/HLA-DRA/OAS2/OAS3/TNF/MX2/PLG/STAT1/PRSS1/PYCARD/TLR4/PIK3CD/TMPRSS4/CIITA/CCL5/IFIH1/HLA-DMB/NLRP3/IL1B/TLR3/PIK3R3/HLA-DPB1/HLA-DQA1/CASP8/OAS1/TNFRSF10A/NXF2B/SLC25A4/NXF3/KPNA2/CASP1/MX1/APAF1/AKT3/ADAR/HLA-DOA/DDX58/IL12A/JAK2
hsa04145	Phagosome	144	0.479404214079296	1.58169993979442	0.000207943439384487	0.00371717171717172	0.00281916913495861	2771	tags=33%, list=17%, signal=28%	HLA-DQA2/MARCO/TUBB4A/HLA-G/FCGR2B/FCGR3A/CYBB/HLA-B/CLEC4M/MSR1/TLR6/HLA-A/FCGR1A/HLA-F/TUBA3E/CORO1A/ITGB2/HLA-DRA/CTSS/COLEC12/TAP2/CD36/TUBB8/CYBA/TLR2/TLR4/TAP1/SFTPA1/ATP6V0D2/CLEC7A/HLA-DMB/ITGB3/TUBB2A/ITGAM/ATP6V1H/SFTPA2/HLA-DPB1/CD209/NCF1/HLA-DQA1/LAMP2/STX7/TCIRG1/TUBA1C/LAMP1/TUBB4B/DYNC1I2/HLA-DOA
hsa04514	Cell adhesion molecules	136	0.532027202762545	1.74714020776544	0.000209117524048515	0.00371717171717172	0.00281916913495861	2771	tags=40%, list=17%, signal=34%	HLA-DQA2/HLA-G/HLA-B/VCAM1/CD40LG/CLDN19/HLA-A/CD86/VTCN1/HLA-F/CD2/CTLA4/SPN/SELP/ITGB2/CLDN5/SIGLEC1/ITGA6/CLDN6/PTPRC/LRRC4/NRXN2/CLDN10/HLA-DRA/CD6/CLDN4/CDH15/SELPLG/CD80/CD8A/ICOS/PDCD1LG2/CDH5/CD8B/ICAM2/CDH4/SDC3/HLA-DMB/CD34/CD58/ITGA4/PTPRM/ITGAM/HLA-DPB1/CD4/HLA-DQA1/ITGAL/NEO1/SELE/ITGB7/NRXN3/PDCD1/CD40/CD226/HLA-DOA
hsa04380	Osteoclast differentiation	123	0.548988360032303	1.78977882954151	0.000210526315789474	0.00371717171717172	0.00281916913495861	2371	tags=30%, list=14%, signal=26%	TREM2/CSF1R/FCGR2B/LILRB2/ACP5/LILRB4/FCGR3A/LILRA3/FCGR1A/TNFRSF11A/LILRA1/LCP2/LILRB1/LILRB5/TGFB2/LCK/SYK/TYROBP/SPI1/TNF/STAT1/CYBA/PIK3CD/BTK/ITGB3/LILRA2/IL1B/PIK3R3/MAPK12/OSCAR/MITF/NCF1/PPARG/MAPK11/LILRA4/TGFB1/LILRA6
hsa05145	Toxoplasmosis	110	0.502591601782208	1.62396011134757	0.000212539851222104	0.00371717171717172	0.00281916913495861	2879	tags=32%, list=17%, signal=27%	HLA-DQA2/CD40LG/LAMC2/PIK3CG/IL10/IL10RA/LAMA3/TGFB2/CCR5/LY96/ITGA6/HLA-DRA/TNF/STAT1/TLR2/TLR4/CIITA/PIK3R6/ALOX5/HLA-DMB/PIK3R5/LAMC1/HLA-DPB1/MAPK12/MAPK11/HLA-DQA1/CASP8/BCL2/TGFB1/BIRC3/CD40/AKT3/HLA-DOA/IL12A/JAK2
hsa04660	T cell receptor signaling pathway	99	0.546359678554386	1.74876067330002	0.000215100021510002	0.00371717171717172	0.00281916913495861	4034	tags=42%, list=24%, signal=32%	CD3D/CD3G/VAV1/CD40LG/IL10/LCP2/CTLA4/VAV3/PTPRC/CD3E/LCK/TNF/ITK/CD8A/ICOS/IL4/CD8B/PAK3/PIK3CD/NFKBIE/PIK3R3/MAPK12/CD4/RASGRP1/MAPK11/PDCD1/AKT3/PRKCQ/PLCG1/NCK1/PAK1/MAPK13/PAK6/PTPN6/CD28/CSF2/GSK3B/NCK2/GRAP2/PIK3R1/IL2/NFATC1
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.612353775742466	1.95672484173225	0.000215470803706098	0.00371717171717172	0.00281916913495861	1555	tags=35%, list=9%, signal=32%	CCL3L3/CCL4L1/CCR6/IL18/CXCL10/CSF1R/CCL24/CCL4L2/CXCL5/XCR1/CCL13/CXCL9/CCR1/CXCL11/CCL17/IL10/IL10RA/CCL3L1/CCL7/CCL21/IL2RG/CCR5/CCL15/CCL14/CXCL6/CXCR3/TNF/CCL23/CCL22/CCL20/CCL5/CCL19/IL20RB/XCL2
hsa04972	Pancreatic secretion	97	0.599525223201231	1.91252241906463	0.000215936082919456	0.00371717171717172	0.00281916913495861	1773	tags=36%, list=11%, signal=32%	PLA2G2A/PLA2G2D/SCTR/CCK/PRSS3/KCNQ1/CHRM3/PRKCB/PLA2G1B/FXYD2/PLCB2/AMY2A/CEL/CFTR/SLC12A2/PLCB1/PRSS1/ADCY7/ADCY4/PNLIP/CPA2/ATP1A4/ITPR3/ATP1A3/CELA3A/CTRB1/CPB1/CPA1/ADCY2/CTRL/CELA2A/ATP1A2/CTRB2/CPB2/CELA3B
hsa04640	Hematopoietic cell lineage	92	0.598365545411242	1.90270040391753	0.000216403375892664	0.00371717171717172	0.00281916913495861	3059	tags=47%, list=18%, signal=38%	CD1E/HLA-DQA2/CD3D/CD3G/CSF1R/IL7R/CD5/FCGR1A/CD2/CD37/ITGA6/GP1BA/CD3E/HLA-DRA/CD1B/CD33/CD1C/TNF/CD36/CD8A/FCER2/IL4/CD8B/MS4A1/FLT3/HLA-DMB/ITGB3/CD34/IL1B/ITGA4/ITGA2B/MME/ITGAM/HLA-DPB1/CD4/HLA-DQA1/IL5RA/CSF2RA/CSF1/HLA-DOA/EPO/FLT3LG/CD44
hsa04620	Toll-like receptor signaling pathway	90	0.617419952119664	1.95780496788904	0.000216872695727608	0.00371717171717172	0.00281916913495861	2851	tags=37%, list=17%, signal=31%	CCL3L3/CCL4L1/CXCL10/CCL4L2/TLR7/CXCL9/SPP1/TLR6/CXCL11/CD86/IKBKE/CCL3L1/TLR1/TLR8/LY96/CD80/TNF/STAT1/TLR2/TLR4/PIK3CD/CCL5/IL1B/TLR3/PIK3R3/MAPK12/MAPK11/CASP8/LBP/TICAM2/CD40/AKT3/IL12A
