ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	458	0.437890555683942	1.76381789185263	0.00026267402153927	0.00476148227013279	0.00342440699388432	4973	tags=46%, list=30%, signal=33%	ZNF860/ZNF610/ZNF677/ZNF737/ZNF667/ZNF135/ZNF350/AKT3/ZNF285/ZNF233/ZNF560/ZNF613/ZNF471/ZNF43/ZNF615/ZNF415/ZNF649/ZNF793/ZNF320/ZNF714/ZFP28/ZNF813/ZNF614/ZNF665/ZNF595/ZNF853/ZIK1/ZNF311/ZNF229/ZNF14/ZNF93/ZNF589/ZNF630/ZNF816/ZNF549/ZNF577/ZNF347/ZNF708/ZNF85/ZNF426/ZNF177/ZNF430/ZNF354C/ZFP82/ZNF556/ZNF132/ZNF850/BCL2/ZNF432/ZNF100/ZNF404/ZNF607/ZNF83/ZNF772/ZNF431/PPP1CB/POU2F3/ZFP37/ZNF300/ZNF701/ZNF829/ZNF879/POU2F2/ZNF506/ZNF90/ZNF528/ZNF141/PIK3R3/ZNF599/ZNF112/ZNF552/ZNF568/ZNF331/ZNF107/ZNF440/ZNF470/ZNF709/ZNF782/ZNF534/ZNF587/ZNF468/ZNF283/EIF2AK3/ZNF382/ZNF582/ZNF550/ZNF783/ZNF570/ZFP30/ZNF160/ZNF713/SRC/ZNF773/ZFP69B/ZNF436/ZNF585B/ZNF454/ZNF736/ZNF460/ZNF227/ZNF606/ZNF730/ZNF765/ZNF8/ZNF417/ZNF814/ZNF235/ZNF559/ZNF256/ZNF544/ZNF841/ZNF439/ZNF334/PIK3CB/ZNF551/ZNF418/TP53/ZNF248/ZNF420/ZNF74/ZFP90/ZNF510/ZNF583/ZNF845/ZNF253/ZNF304/ZNF611/ZNF136/ZNF354A/ZNF30/ZNF214/ZNF543/ZNF519/ZNF540/ZNF562/ZNF429/ZNF699/ZNF627/ZNF425/ZNF286A/MAVS/ZNF10/AKT1/ZNF41/EIF2AK4/ZNF91/ZNF674/ZNF792/ZNF486/ZNF273/ZNF25/ZNF184/ZNF254/ZNF620/ZNF566/ZNF616/ZNF766/ZNF234/ZNF624/ZNF180/HLA-DOA/ZNF717/ZNF529/IKBKB/TAB2/ZNF484/ZNF284/ZNF623/ZNF169/IFNGR2/HLA-DQA1/ZNF836/ZNF597/ZNF223/ZNF221/EIF2AK2/ZNF37A/ZNF605/ZFP14/ZNF155/EIF2B4/ZNF251/ZNF778/ZNF211/ZNF45/ZNF140/ZNF416/ZNF571/ZNF398/ZNF791/ZNF785/ZNF33B/ZNF84/ZNF763/ZNF621/POU2F1/ZNF275/ZNF567/ZNF324/ZNF565/ZNF333/ZNF707/ZNF548/ZNF354B/ZNF777/ZNF662/ZNF175/ZNF433/SRSF6/ZNF561/ZNF547/ZNF682
hsa05034	Alcoholism	173	0.508630755553559	1.86184433891804	0.000293341155764154	0.00476148227013279	0.00342440699388432	2802	tags=35%, list=17%, signal=29%	NPY/PPP1R1B/HIST3H2A/CREB3L1/GNG4/HIST2H3C/HIST3H2BB/SLC6A3/PKIA/HIST1H2BH/HIST1H2BG/HIST4H4/GRIN1/HIST2H2BE/CREB3L4/HIST2H3D/HIST1H2BF/CAMKK1/HIST1H2BL/HIST1H2AE/HIST2H2BF/HIST1H2AK/HIST1H4H/HIST1H4E/CAMKK2/HIST1H2AD/HIST2H4B/H2AFJ/HIST1H3E/CAMK4/HIST2H2AA3/HIST1H2BI/HIST2H2AA4/HIST1H2BC/HIST1H2AM/HIST1H4D/HIST1H2BM/HDAC9/HIST2H4A/HIST1H4B/HIST1H2AH/HIST1H3D/PPP1CB/GRIN3A/HIST1H2AI/HIST1H3H/SLC29A2/HIST1H2BE/HIST1H3F/PRKACB/HIST1H3J/ADCY5/HIST1H2BN/BRAF/MAOA/DRD2/HIST1H2BD/FOSB/GNG7/GNB4
hsa00260	Glycine, serine and threonine metabolism	38	-0.774123808983566	-2.33009872450258	0.000529100529100529	0.00476148227013279	0.00342440699388432	1319	tags=45%, list=8%, signal=41%	SHMT2/ALAS1/CTH/SARDH/AMT/SHMT1/MAOB/DMGDH/GLYCTK/SDS/GLDC/GATM/PIPOX/DAO/BHMT/AGXT
hsa00380	Tryptophan metabolism	38	-0.771072421682562	-2.3209141036764	0.000529100529100529	0.00476148227013279	0.00342440699388432	1242	tags=42%, list=7%, signal=39%	CAT/IDO2/ACAT1/CYP1A1/ALDH2/EHHADH/MAOB/KYNU/HAAO/KMO/AOX1/ALDH8A1/DDC/ACMSD/TDO2
hsa00620	Pyruvate metabolism	38	-0.633996728714695	-1.90831873632281	0.000529100529100529	0.00476148227013279	0.00342440699388432	2205	tags=47%, list=13%, signal=41%	GRHPR/PDHA1/ALDH3A2/MDH1/ACACB/HAGH/ACSS2/FH/LDHC/PC/ME1/ACAT1/ALDH2/PCK2/ACOT12/PKLR/PCK1
hsa04979	Cholesterol metabolism	47	-0.817745531574703	-2.56356226427274	0.000530222693531283	0.00476148227013279	0.00342440699388432	998	tags=49%, list=6%, signal=46%	LRP1/LCAT/CYP27A1/LPA/SOAT2/CD36/LIPG/ANGPTL4/ABCB11/APOE/CYP7A1/APOA4/APOC1/ANGPTL3/LIPC/PCSK9/APOC2/APOB/APOA1/APOC3/APOH/APOA2
hsa00860	Porphyrin and chlorophyll metabolism	36	-0.843592125580857	-2.51838786159106	0.00053134962805526	0.00476148227013279	0.00342440699388432	1130	tags=47%, list=7%, signal=44%	ALAD/UGT1A7/UGT1A10/HMOX1/UGT2B17/UGT2A1/UGT1A9/CP/UGT2A3/UGT2B11/UGT1A1/UGT1A6/UGT2B4/UGT1A4/UGT1A8/UGT2B7
hsa05143	African trypanosomiasis	36	-0.654890047854205	-1.95505280002135	0.00053134962805526	0.00476148227013279	0.00342440699388432	2151	tags=39%, list=13%, signal=34%	FASLG/HBA1/TNF/HBB/PRKCA/VCAM1/ICAM1/APOL1/IDO2/HBA2/HPR/KNG1/APOA1
hsa00350	Tyrosine metabolism	34	-0.728664666073092	-2.14476788777664	0.00053276505061268	0.00476148227013279	0.00342440699388432	972	tags=44%, list=6%, signal=42%	HGD/GOT1/DBH/FAH/MAOB/ALDH3A1/AOX1/DDC/ADH6/ADH1B/HPD/TAT/ADH4/ADH1A
hsa04950	Maturity onset diabetes of the young	23	-0.723994392204615	-1.96842515730002	0.00053276505061268	0.00476148227013279	0.00342440699388432	1535	tags=61%, list=9%, signal=55%	GCK/MAFA/HNF1B/PDX1/NR5A2/HHEX/HNF1A/FOXA3/ONECUT1/FOXA2/PKLR/HNF4A/SLC2A2
