ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	458	-0.408340812872269	-1.37217147360519	0.0001999600079984	0.00382904844578686	0.00244087756432964	5855	tags=45%, list=35%, signal=30%	ZNF431/IFNAR2/ZNF304/ZNF189/ZNF567/EIF2AK3/IL12A/ZNF112/ZNF548/ZNF611/IKBKB/ZNF641/ZNF175/ZNF766/ZNF45/TLR2/ZNF627/PPP1CB/ZFP30/ZNF674/ZNF682/ZNF619/ZNF442/ZNF605/ZNF184/ZNF284/HLA-DQA1/ZNF221/ZNF565/HLA-E/ZNF2/ZNF547/ZNF20/ZNF836/IL12B/ZNF527/ZNF616/ZNF599/NFKBIA/TNFRSF1A/ZNF684/ZNF429/ZNF564/ZFP37/ZNF177/ZNF230/IL1B/ZNF846/ZNF546/ZNF785/OAS1/ZNF253/ZNF891/PML/APAF1/TLR9/PIK3CA/ZNF484/DDX58/ZNF658/ZNF814/ZNF222/ZNF560/ZNF14/ZNF709/ZNF708/ZFP90/SOCS3/ZNF43/HLA-DOB/ZNF8/ZNF749/ZNF248/HLA-F/ZNF624/POU2F2/HLA-DRB1/ZNF714/ZNF234/ZFP1/ZNF793/ZNF33B/ZNF354A/ZNF850/SP100/ZNF737/ZNF791/ZNF225/EIF2AK2/ZNF461/ZNF181/B2M/ZNF773/HLA-DMA/ZNF519/ZNF439/ZNF561/ZNF37A/JAK1/ZNF566/JAK2/PIK3R3/ZNF662/ZNF600/ZNF490/ZNF430/ZFP69B/ZNF571/HLA-DMB/ZNF543/ZNF607/ZNF157/ZNF136/CFP/ZNF554/TAB2/ZNF510/ZNF559/C5/ZNF257/CD74/ZFP92/ZNF597/ZFP14/IFNG/ZNF534/ZNF544/LTA/OAS2/ZNF879/ZNF333/IL6/ZNF506/ZNF10/STAT2/ZNF596/RNASEL/ZNF569/HLA-DRA/ZNF853/ZNF813/ZNF418/ZNF83/ZNF169/BCL2/ZNF436/ZNF426/ZNF460/ZNF132/ZNF790/ZNF583/ZNF610/ZNF425/ZNF347/ZNF256/ZNF763/TMEM173/HLA-DPB1/PIK3CD/ITGA5/ZNF562/FAS/ZNF699/ZFP69/CCL5/ZNF154/ZNF671/ZNF570/ITGB3/AKT3/ZNF878/PIK3R1/ZNF555/HCFC2/ZNF433/ZNF582/ZIK1/CCL2/ZNF354C/ZNF25/TNFSF14/ZNF300/ZNF331/ZFP82/ZNF208/ZNF420/HLA-DOA/HLA-DRB5/ZNF568/ZFP28/PIK3R2/HLA-DPA1/PILRA/ZFP57/ZNF829/ZNF540/BST2/ZNF382/ZNF667/ZNF665/ZNF135/ZNF471/C3/ZNF454/TLR3/ZNF677/HLA-DQA2
hsa04151	PI3K-Akt signaling pathway	330	-0.459501638363052	-1.53189783386123	0.000200240288346015	0.00382904844578686	0.00244087756432964	3948	tags=39%, list=24%, signal=30%	KRAS/LAMC1/TCL1B/FGF17/LPAR3/SPP1/JAK1/JAK2/PIK3R3/GNG11/EGFR/PTEN/C8orf44-SGK3/MCL1/ITGA7/NR4A1/FLT3LG/ANGPT4/SGK1/CDKN1B/LAMB1/PRKAA2/JAK3/EPOR/TEK/FGFR2/IL6R/LAMB2/IL6/PDGFD/ANGPT1/LPAR6/GNG2/OSM/ITGB1/PPP2R3A/COL6A6/IL2RB/ITGA10/BCL2/ITGB7/ITGA8/DDIT4/CDKN1A/IL2RA/ITGB6/COL9A1/PIK3CD/ITGA5/MAGI2/LAMA3/ITGAV/KITLG/COL6A1/TGFA/LAMA4/FGF20/FLT3/ITGB3/AKT3/PIK3R1/FN1/CREB5/GNGT2/CHAD/IL7R/ITGA1/PDGFC/FGF18/FGF5/GNG7/F2R/PIK3R6/ITGA4/NTRK1/EFNA5/COL1A1/PDGFRB/NTF4/FGFR1/GH1/COL6A2/PIK3R5/PIK3R2/CSF3R/VEGFC/KIT/CD19/TLR4/FGF1/HGF/CREB3L1/PIK3CG/CCND2/IGF2/ITGA9/PPP2R2B/ITGA11/TNC/COL1A2/CSF1R/COL4A5/COL4A3/PDGFRA/TNN/GHR/COL6A3/COL4A6/LPAR1/NGFR/TCL1A/LPAR4/THBS1/LAMA2/COL4A4/RELN/FGF2/GNB4/NGF/TNXB/FGF7/COMP/THBS2/FGF10/IGF1/CHRM2/THBS4
hsa04010	MAPK signaling pathway	281	-0.436076304224522	-1.44709021397025	0.000200440970134295	0.00382904844578686	0.00244087756432964	3756	tags=34%, list=23%, signal=27%	RASGRP1/CACNG7/MAP4K1/EGFR/MAPK7/PRKACA/PPP3CB/NR4A1/TAB2/FLT3LG/ANGPT4/CACNA1B/PLA2G4A/TAOK3/DUSP4/TEK/TGFB1/CD14/MAP3K3/PRKACB/FGFR2/RPS6KA2/PTPN7/RAC2/PDGFD/ANGPT1/CACNA2D2/CACNA1A/CACNG8/MAP3K5/PRKCG/MEF2C/FAS/DUSP5/HSPA6/PPP3CC/KITLG/MECOM/HSPB1/NFATC1/TGFA/FGF20/FLT3/AKT3/HSPA1A/HSPA1L/JUN/CACNG6/PDGFC/FGF18/MAP3K12/FGF5/NTRK1/EFNA5/CACNA1E/PDGFRB/NTF4/FGFR1/CACNB2/VEGFC/KIT/RASGRP2/CACNA1G/IL1R1/TGFBR1/FGF1/HGF/FLNA/MAPT/HSPA2/IGF2/CACNA1H/RASGRP4/FOS/CSF1R/CACNA2D3/TGFB3/PDGFRA/RPS6KA6/MRAS/CACNA2D1/FLNC/MAPK10/PTPN5/NGFR/PRKCB/GADD45B/DUSP1/CACNA1C/FGF2/NGF/FGF7/FGF10/IGF1
hsa04080	Neuroactive ligand-receptor interaction	285	-0.506815056891848	-1.6822153290171	0.000200481154771451	0.00382904844578686	0.00244087756432964	3032	tags=41%, list=18%, signal=34%	CHRNB2/CCKBR/CALCRL/PTH1R/OPRL1/GRM7/GABRA5/RXFP1/UCN3/S1PR3/LPAR6/CALCA/P2RY1/S1PR1/GABRB3/UTS2B/PTGIR/GRID1/EDN1/CNR2/PTAFR/AGT/EDN2/GRIA2/GZMA/ADRA1A/AVPR2/GRM6/CHRNE/FPR2/GABBR1/CHRNA6/HTR1E/CRHR1/GAL/FPR1/F2R/NPY5R/PRLHR/TAAR1/SSTR2/PYY/HTR7/GIPR/NR3C1/GH1/AVPR1A/S1PR4/P2RY13/POMC/CYSLTR2/GRIN2A/PTGDR/C5AR1/P2RY10/ADORA1/P2RX2/TSHR/GRPR/S1PR2/NMUR1/CHRM4/LEP/EDNRA/NPY/P2RX1/LEPR/FPR3/C3AR1/GRIA1/GLP2R/ADCYAP1R1/ADRA2A/PTGER4/NPY4R/HTR1B/CRHR2/GRIK2/C3/CGA/CYSLTR1/CHRNB4/MLNR/TAC3/GHR/F2RL2/GLRB/P2RX7/LPAR1/ADORA3/P2RY14/HRH2/LPAR4/PTGFR/ADRB2/SCT/VIPR2/GABRP/GHRL/ADRB3/TAC1/HTR2A/GRP/TACR1/CHRNA3/AGTR1/HTR2B/VIP/PTGER3/TACR2/CHRM2/CTSG/ADCYAP1/SST/PENK
hsa04060	Cytokine-cytokine receptor interaction	262	-0.464693621961123	-1.53980646709587	0.000200803212851406	0.00382904844578686	0.00244087756432964	3246	tags=41%, list=19%, signal=34%	EPOR/IL17B/IFNL1/IFNG/TGFB1/BMPR1B/CXCL13/LTA/TNFRSF8/IL6R/CCL13/IL6/BMPR2/OSM/CCR9/IL31RA/IL2RB/CSF2RB/BMP8A/IL27/CCL18/IL2RA/TNFSF12/CXCR3/CCR10/CD70/CXCR4/FAS/CD4/CXCL12/CCL5/GDF5/CD40LG/IL11RA/CCR1/CCR7/TNFSF18/CXCL11/CCL22/IL13/CCR8/CCL3/CCL4L1/CCL24/CCR4/CCL2/IL7R/IL6ST/GDF1/ACKR4/TNFSF14/CCL4/TNFSF13B/GDF7/IL9R/IL21/LIFR/GDF3/TSLP/CCL8/TNFSF9/TNFSF4/GH1/CXCL9/AMH/CSF3R/IL1RL1/IL16/IL1RN/CXCL10/IL1R1/TGFBR1/TNFSF8/EDA2R/CXCR2/LEP/TNFRSF17/CCL26/LEPR/IL5RA/CD27/TNFRSF13B/IL10RA/CXCR1/CSF1R/TNFRSF13C/BMPR1A/CCR5/TGFB3/CCL7/IFNE/INHBA/BMP3/CCL14/GHR/CCL11/CX3CR1/IL10/IL33/NGFR/XCR1/NGF/CCL21/GDF6/CCR2/GDF10/CCL19
hsa04810	Regulation of actin cytoskeleton	204	-0.461245942693703	-1.51463793507457	0.000201734920314706	0.00382904844578686	0.00244087756432964	3547	tags=37%, list=21%, signal=29%	MYL12A/MYH10/BDKRB1/ITGA7/APC/SSH1/VAV1/ENAH/MYL7/ACTN1/FGFR2/PIP4K2A/APC2/RAC2/PDGFD/PPP1R12A/ITGB1/WASF1/ITGA10/PIP5K1C/ITGB7/ITGA8/IQGAP2/ITGB6/PIK3CD/ITGA5/CXCR4/ITGAV/MSN/CXCL12/ITGAM/FGF20/ARHGEF6/ITGAX/ITGB3/PIK3R1/FN1/ITGAL/MYL2/TIAM1/INSRR/ITGA1/PDGFC/FGF18/FGF5/F2R/ITGA4/ARHGEF4/PDGFRB/FGFR1/PIK3R2/NCKAP1L/FGF1/CHRM4/VCL/GSN/ITGA9/ITGB2/ITGA11/PPP1R12B/CFL2/PDGFRA/MRAS/LPAR1/PAK3/LPAR4/ITGAD/FGF2/FGF7/MYL9/FGF10/MYLK/CHRM2/MYH11
hsa04024	cAMP signaling pathway	201	-0.523632420438439	-1.71836750501132	0.00020185708518369	0.00382904844578686	0.00244087756432964	2376	tags=31%, list=14%, signal=27%	EDN1/PIK3CD/ADCY9/PDE4B/NFATC1/EDN2/GRIA2/AKT3/PIK3R1/ATP2A3/GABBR1/TIAM1/CREB5/HTR1E/JUN/F2R/ADCY7/SSTR2/PDE4C/RAPGEF3/CAMK4/GIPR/AMH/PDE4D/PIK3R2/POMC/ATP1B2/GRIN2A/ADORA1/TSHR/FXYD1/EDNRA/NPY/ATP2B4/CREB3L1/GRIA1/ADCYAP1R1/PDE3A/FOS/HTR1B/CGA/PDE10A/SUCNR1/CAMK2A/MAPK10/ADRB2/VIPR2/ADCY5/GLI3/CACNA1C/GHRL/MYL9/HHIP/GLI1/ADCY2/VIP/ATP1A2/PTGER3/PLN/CHRM2/ADCYAP1/SST
hsa04510	Focal adhesion	196	-0.55447301607994	-1.81688221006448	0.000201938610662359	0.00382904844578686	0.00244087756432964	3547	tags=41%, list=21%, signal=33%	MYL12A/PTEN/ITGA7/CAV2/ZYX/VAV1/SHC4/LAMB1/MYL7/CAV3/ACTN1/LAMB2/RAC2/PDGFD/PPP1R12A/ITGB1/COL6A6/ITGA10/PIP5K1C/BCL2/PARVG/ITGB7/ITGA8/ITGB6/COL9A1/PRKCG/PIK3CD/ITGA5/LAMA3/ITGAV/COL6A1/PARVA/LAMA4/ILK/ITGB3/AKT3/PIK3R1/FN1/MYL2/CHAD/JUN/ITGA1/CAV1/PDGFC/ITGA4/COL1A1/PDGFRB/COL6A2/PIK3R2/VEGFC/HGF/FLNA/CCND2/VCL/ITGA9/ITGA11/TNC/COL1A2/PPP1R12B/COL4A5/COL4A3/PDGFRA/TNN/COL6A3/COL4A6/PAK3/FLNC/MAPK10/PRKCB/THBS1/LAMA2/COL4A4/RELN/TNXB/COMP/MYL9/THBS2/MYLK/IGF1/THBS4
hsa05205	Proteoglycans in cancer	198	-0.480860655214304	-1.5766010522875	0.000201938610662359	0.00382904844578686	0.00244087756432964	3692	tags=46%, list=22%, signal=36%	MDM2/RDX/TGFB2/CBL/WNT5A/WNT16/FRS2/PIK3CA/WNT1/ACTB/WNT4/FZD10/MAPK11/HSPG2/CAMK2G/RRAS/KRAS/PIK3R3/GAB1/SMO/EGFR/PRKACA/CAV2/VAV1/CAMK2B/TGFB1/CAV3/WNT7B/WNT10B/PRKACB/HBEGF/PLCG2/PPP1R12A/ITGB1/NANOG/CDKN1A/PRKCG/HCLS1/PTCH1/ANK1/PIK3CD/ITGA5/FAS/SDC1/ITGAV/MSN/WNT2/FZD4/HPSE2/ESR1/ITGB3/AKT3/PIK3R1/FN1/TIAM1/ITPR2/CAV1/SDC2/FZD2/MMP2/COL1A1/FZD1/FGFR1/WNT5B/WNT2B/FZD8/PIK3R2/ANK2/TLR4/ITPR1/HGF/FLNA/IGF2/LUM/HSPB2/WNT9B/COL1A2/PPP1R12B/MRAS/TIMP3/CAMK2A/FLNC/PRKCB/THBS1/DCN/FGF2/TWIST2/TWIST1/WNT9A/IGF1
hsa04020	Calcium signaling pathway	189	-0.497922150394878	-1.62811981993945	0.000202224469160768	0.00382904844578686	0.00244087756432964	3693	tags=42%, list=22%, signal=33%	CAMK1/ADCY4/EGFR/BDKRB1/PRKACA/PPP3CB/DRD5/GNA15/CACNA1B/CAMK2B/PHKG1/PRKACB/CCKBR/GNAQ/PLCG2/PDGFD/PDE1C/HRC/GNAL/CACNA1A/CASQ1/PRKCG/PDE1B/CXCR4/ADCY9/PPP3CC/PTAFR/PLCZ1/ADRA1A/ATP2A3/ITPR2/PDGFC/F2R/ADCY7/CAMK4/HTR7/RYR3/CACNA1E/ITPKB/SLC8A3/PDGFRB/AVPR1A/CYSLTR2/GRIN2A/CAMK1D/SLC8A2/CACNA1G/P2RX2/SLC8A1/GRPR/ITPR1/EDNRA/ATP2B4/P2RX1/NOS1/CACNA1H/PDGFRA/PDE1A/CYSLTR1/P2RX7/CAMK2A/HRH2/PRKCB/PTGFR/ADRB2/CACNA1C/ADRB3/HTR2A/CASQ2/TACR1/ADCY2/AGTR1/HTR2B/MYLK/PTGER3/TACR2/PLN/CHRM2
