ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04062	Chemokine signaling pathway	186	0.514621791114566	1.86217772582116	0.000216919739696312	0.0212737843551797	0.0193334816957828	1997	tags=24%, list=12%, signal=21%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/CCL15/PF4V1/CCR6/XCL2/CXCR3/GRK1/CX3CR1/CCL13/CXCR6/XCR1/CCL5/VAV1/CCR5/CXCL10/CCL22/CCL8/CX3CL1/PLCB2/RAC2/CXCL14/CCR2/PIK3CG/CCL3/CCL28/ADCY1/CXCL11/GNG7/CCR4/ADCY8/CCL17/CCL25/VAV3/CXCL5/CXCL9/GNG8/GNAI1/CCR1/PAK1/CCR9/CCL4
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.595832127333392	2.02821829740662	0.000232991612301957	0.0212737843551797	0.0193334816957828	2137	tags=40%, list=13%, signal=35%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/CCL15/PF4V1/CCR6/XCL2/CXCR3/CX3CR1/CSF1R/CCL13/XCR1/CCL5/ACKR4/CCR5/CXCL10/TNF/CCL22/CCL8/CX3CL1/CXCL14/CCR2/CCL3/CCL28/CXCL11/CCR4/TNFSF10/CCL17/CCL25/CXCL5/CXCL9/IL2RG/CCR1/CCR9/CCL4/IL10RA/IL2/IL2RB
hsa04620	Toll-like receptor signaling pathway	90	0.573202110088237	1.93008315662597	0.000235737859500236	0.0212737843551797	0.0193334816957828	2498	tags=30%, list=15%, signal=26%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/TLR7/CCL5/TLR6/CXCL10/TNF/TLR1/IL1B/CD14/IKBKE/LBP/CCL3/CXCL11/FOS/CXCL9/CD80/SPP1/CD86/CCL4/TIRAP/TLR8/STAT1/RIPK1/TLR3
hsa05340	Primary immunodeficiency	36	0.680637272891882	1.99294298367987	0.000264270613107822	0.0212737843551797	0.0193334816957828	2053	tags=47%, list=12%, signal=41%	CD79A/CD3D/CD40LG/CD3E/LCK/TNFRSF13B/RAG1/ICOS/ZAP70/CD8A/TNFRSF13C/CD4/BLNK/IL2RG/RAG2/RFX5/PTPRC
hsa00980	Metabolism of xenobiotics by cytochrome P450	63	0.590904304293977	1.88696719342668	0.000495785820525533	0.0245239908606245	0.0222872489678118	1515	tags=35%, list=9%, signal=32%	GSTM1/GSTT2/GSTM3/GSTT2B/GSTM4/AKR7A3/UGT1A10/GSTM5/ALDH3A1/CYP1A1/CYP2D6/CYP2C9/CYP2S1/UGT1A9/UGT1A1/UGT2B17/GSTA1/DHDH/ADH4/HPGDS/CYP2B6/UGT1A4
hsa00982	Drug metabolism - cytochrome P450	58	0.581715786957934	1.83957357552964	0.000499126528574994	0.0245239908606245	0.0222872489678118	1515	tags=34%, list=9%, signal=31%	GSTM1/GSTT2/GSTM3/GSTT2B/GSTM4/UGT1A10/FMO4/GSTM5/FMO5/ALDH3A1/CYP2D6/CYP2C9/UGT1A9/UGT1A1/UGT2B17/GSTA1/ADH4/HPGDS/CYP2B6/UGT1A4
hsa04060	Cytokine-cytokine receptor interaction	262	0.405349387843959	1.50514575468139	0.000630252100840336	0.0245239908606245	0.0222872489678118	2178	tags=25%, list=13%, signal=22%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/TNFRSF17/CCL15/PF4V1/CCR6/XCL2/CXCR3/CD40LG/CX3CR1/CSF1R/CCL13/CXCR6/XCR1/BMP8A/CCL5/PRLR/CD27/ACKR4/GDF5/CCR5/IL12RB1/CXCL10/TNF/TNFRSF13B/IL1B/CCL22/IL5RA/CCL8/CX3CL1/BMP3/CXCL14/IL23A/CCR2/LTB/CCL3/CCL28/CXCL11/IL21R/CCR4/TNFSF10/CCL17/MPL/CCL25/IL16/FASLG/CXCL5/CXCL9/TNFRSF13C/CD4/INHBC/IL2RG/CCR1/TNFSF13/IFNL1/CSF2RB/BMP6/CCR9/CCL4/EDAR/IL10RA/IL2/IL2RB/ACVR2A
hsa05204	Chemical carcinogenesis	68	0.54449591925647	1.75964826168897	0.00073837066207236	0.0245239908606245	0.0222872489678118	1515	tags=29%, list=9%, signal=27%	GSTM1/GSTT2/GSTM3/GSTT2B/SULT1A1/GSTM4/UGT1A10/GSTM5/NAT1/ALDH3A1/CYP1A1/CYP2C9/UGT1A9/UGT1A1/UGT2B17/GSTA1/CYP3A7/ADH4/HPGDS/UGT1A4
hsa04742	Taste transduction	62	0.553713716208381	1.76498171120601	0.000746268656716418	0.0245239908606245	0.0222872489678118	3520	tags=47%, list=21%, signal=37%	GABRA5/TAS1R3/TAS2R31/TAS2R10/SCN2A/PKD2L1/PLCB2/GABBR2/TAS1R1/TAS2R14/ADCY8/TAS2R20/HTR1E/TAS2R3/GABRA3/ASIC2/TRPM5/TAS2R5/TAS2R19/TAS2R50/TAS2R4/HTR3A/P2RX3/HCN4/SCNN1B/PRKACB/TAS2R43/CHRM3/GABRA4
hsa00480	Glutathione metabolism	53	0.583905309919847	1.81433781745083	0.000761614623000762	0.0245239908606245	0.0222872489678118	1349	tags=23%, list=8%, signal=21%	GSTM1/GSTT2/GSTM3/GSTT2B/GSTM4/NAT8/GSTM5/GPX7/GGT6/GGT1/GSTA1/HPGDS
hsa04976	Bile secretion	77	0.521907543140914	1.72068511666525	0.0014499758337361	0.0424447471330023	0.0385735197874294	4026	tags=44%, list=24%, signal=34%	SCTR/CFTR/UGT1A10/SLC10A1/SLC9A3/FXYD2/SLC4A4/ATP1B1/UGT1A9/ADCY1/UGT1A1/NR0B2/ADCY8/UGT2B17/SLC5A1/SLC22A8/UGT1A4/NR1H4/SLC51B/UGT1A6/SLCO1A2/ATP1A2/NCEH1/ATP1A3/ABCC4/UGT1A8/ADCY7/ABCB11/PRKACB/AQP1/HMGCR/SCT/SLC27A5/UGT1A7
hsa05144	Malaria	47	-0.514259463273322	-1.88530858577288	0.00178094390026714	0.0442307692307692	0.0401966454598034	1262	tags=40%, list=8%, signal=37%	IL10/SELE/TLR9/CD40/COMP/IL12A/THBS4/TGFB3/HGF/THBS2/GYPC/THBS1/GYPB/CD36/IL6/HBA1/HBB/CSF3/HBA2
hsa03010	Ribosome	133	-0.379356944589815	-1.65589326219372	0.00178571428571429	0.0442307692307692	0.0401966454598034	4055	tags=50%, list=25%, signal=38%	RPS7/MRPL12/RPL22/RPL21/RPL5/RPS15A/RPL8/RPS27/MRPL21/RPL35A/RPS27A/MRPS5/MRPS15/UBA52/RPL36A/RPSA/MRPL14/RPL31/RPS17/RPL28/RPL26/RPL19/RPL7/RPL36/RPS11/RPS16/RPL38/RPL3/MRPS10/RPL6/RPS3/RPL12/RPL7A/RPL39/MRPS7/RPL17/RPLP0/RPL24/RPS8/RPL22L1/RPS27L/RPL13A/RPL34/RPS15/RPL15/RPS14/RPL4/RPS19/RPL37A/RPL10/RPL35/RPS12/RPL18/RPS24/RPS25/RPL17-C18orf32/RPLP1/RPS3A/RPL13/RPS20/RPS2/RPL29/RPS5/RPS6/RPL18A/RPS28
