ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04062	Chemokine signaling pathway	186	-0.4411968249686	-1.87169596949463	0.000369549150036955	0.00272373540856031	0.00199449732434622	2948	tags=34%, list=18%, signal=29%	ROCK2/AKT3/CCL13/CCR7/GNAI3/WAS/PRKCB/VAV1/GNAQ/CXCR4/PF4/GRK5/RAP1B/SHC1/PRKACB/NRAS/TIAM1/SOS1/SHC4/HCK/GNG12/STAT1/XCR1/CXCR5/GNG2/MAPK1/GNGT2/DOCK2/ELMO1/CCR1/JAK3/CXCR1/RAC2/ITK/CXCR2/GNB4/CCL3/CCL26/CXCR6/CCL8/CCR4/CCL15/CX3CR1/CCL19/GNG4/PIK3CG/PIK3R2/CXCR3/CCL4/CCL5/CCR5/CCR2/CXCL10/XCL1/CCR8/XCL2/PLCB1/CXCL9/CCR6/CXCL11/CXCL5/CCL20/CXCL13
hsa05416	Viral myocarditis	57	-0.54577431348326	-1.90793281888449	0.000370233246945576	0.00272373540856031	0.00199449732434622	3104	tags=53%, list=19%, signal=43%	CCND1/CASP8/HLA-C/ABL2/HLA-DQB1/SGCB/HLA-B/HLA-DMA/CXADR/CD80/HLA-DMB/ITGB2/CD86/ITGAL/HLA-DPB1/CD40/RAC2/HLA-DQA1/ICAM1/HLA-DOB/HLA-DRA/HLA-DRB1/CD28/PRF1/CD40LG/HLA-DPA1/HLA-DQA2/HLA-DRB5/CAV1
hsa04015	Rap1 signaling pathway	201	-0.387184123424707	-1.65642914996103	0.00037147102526003	0.00272373540856031	0.00199449732434622	3424	tags=34%, list=21%, signal=28%	RAPGEF4/CALM3/SIPA1L2/PDGFD/NGFR/TEK/PARD6B/RALA/AKT3/MAPK13/ENAH/GNAI3/PRKCB/VAV1/CTNND1/RASSF5/GNAQ/RAPGEF6/FGF10/LPAR4/EFNA1/ITGB1/RRAS/RAP1B/FGF20/NRAS/TIAM1/RALB/CSF1/ITGB2/MAPK1/THBS1/IGF1/ITGB3/ITGAL/PARD6G/ADORA2B/HGF/MET/PDGFRA/EFNA3/RAC2/INSR/RGS14/RAPGEF5/LCP2/PLCE1/EGFR/LPAR1/F2R/NGF/FGF5/PDGFRB/KDR/FLT1/CNR1/ANGPT4/APBB1IP/ANGPT1/VEGFA/FGF7/PIK3R2/P2RY1/EFNA5/PGF/GRIN2A/PLCB1/ANGPT2
hsa05163	Human cytomegalovirus infection	207	-0.382186423171888	-1.63890282474525	0.00037147102526003	0.00272373540856031	0.00199449732434622	4057	tags=37%, list=24%, signal=29%	PPP3CC/MDM2/KRAS/PDIA3/CCL4L2/CRKL/PTGER4/MAPK3/PTK2/ROCK1/SP1/PPP3CA/PLCB4/GNA13/TAPBP/ITPR3/CALM3/PTGER2/PPP3R1/ATF2/HLA-A/CCND1/GNG8/CASP8/ROCK2/AKT3/E2F2/MAPK13/GNAI3/PRKCB/HLA-C/NFATC2/CREB1/GNAQ/CXCR4/B2M/IL10RA/TAP1/MYC/PRKACB/NRAS/CALR/SOS1/GNG12/IL10RB/RB1/EIF4EBP1/HLA-B/GNG2/MAPK1/TMEM173/NFATC3/CREB3L2/GNGT2/ITGB3/CCR1/PDGFRA/ITGAV/RAC2/CXCR2/GNB4/CCL3/EGFR/IL1B/GNG4/VEGFA/PIK3R2/CCL4/CCL5/CCR5/PTGS2/FASLG/PLCB1/IL6/PTGER3/CREB3L3
hsa05321	Inflammatory bowel disease	61	-0.691364081643388	-2.44857201676827	0.000371609067261241	0.00272373540856031	0.00199449732434622	2718	tags=51%, list=16%, signal=43%	TLR2/TGFB1/IFNGR2/HLA-DQB1/STAT4/STAT1/HLA-DMA/GATA3/NOD2/HLA-DMB/IL12RB1/TLR4/IL12B/HLA-DPB1/HLA-DQA1/HLA-DOB/HLA-DRA/FOXP3/IL2RG/HLA-DRB1/IL18R1/IL12RB2/IL1B/IL21R/IL10/HLA-DPA1/HLA-DQA2/HLA-DRB5/IFNG/IL6
hsa04621	NOD-like receptor signaling pathway	163	-0.423771331455489	-1.76265606380397	0.00037202380952381	0.00272373540856031	0.00199449732434622	4588	tags=40%, list=28%, signal=30%	XIAP/IL18/HSP90AB1/ITPR1/JAK1/IFNAR2/CASR/DEFA1/GBP3/IFNAR1/PKN2/TXNIP/IRAK4/MAPK3/MAPK9/PLCB4/ATG12/MYD88/ITPR3/STAT2/BCL2/NAMPT/NEK7/PANX1/PYCARD/CASP8/TANK/MAPK13/TNFAIP3/OAS1/CARD17/CASP4/RIPK2/ANTXR1/DEFA3/OAS3/TRPV2/STAT1/RBCK1/NOD2/MEFV/MAPK1/CARD16/TMEM173/TLR4/ANTXR2/CASP1/NAIP/NLRP6/NLRC4/CYBB/IFI16/OAS2/CASP5/P2RX7/IL1B/GBP4/GBP5/AIM2/BIRC3/GBP2/CCL5/GBP1/PLCB1/IL6
hsa05169	Epstein-Barr virus infection	184	-0.414376664783443	-1.75353782869684	0.000372162262746558	0.00272373540856031	0.00199449732434622	4429	tags=42%, list=27%, signal=31%	JAK1/HLA-E/IFNAR2/CDKN1B/FAS/IFNAR1/PSMC2/LYN/MDM2/PDIA3/SAP30L/IRAK4/MAPK9/CIR1/MYD88/BTK/TAPBP/STAT2/BCL2/PSMD8/PSMD12/HLA-A/RUNX3/CCND1/CASP8/AKT3/ISG15/E2F2/MAPK13/TNFAIP3/OAS1/EIF2AK2/POLK/HLA-C/B2M/TLR2/TAP1/MYC/HLA-DQB1/CCNE2/CALR/NFKBIE/OAS3/CCND2/RB1/HLA-B/STAT1/HLA-DMA/SAP30/RBPJ/HLA-DMB/ENTPD1/CD44/ITGAL/JAK3/HLA-DPB1/CCNA2/CD40/HLA-DQA1/ICAM1/HLA-DOB/HLA-DRA/NEDD4/DDX58/HLA-DRB1/CD247/VIM/OAS2/PIK3R2/CD3D/HLA-DPA1/CD3G/CD3E/CXCL10/HLA-DQA2/HLA-DRB5/IL6
hsa05206	MicroRNAs in cancer	160	-0.445547033066319	-1.84987108419855	0.00037243947858473	0.00272373540856031	0.00199449732434622	4086	tags=40%, list=24%, signal=30%	MDM2/SIRT1/KRAS/CRKL/MAPK3/ROCK1/PRKCE/PTEN/BCL2/EZH2/CYP1B1/PLAU/ABCB1/MARCKS/CCND1/E2F2/RPS6KA5/PRKCB/STMN1/BMPR2/ZEB1/ERBB3/EFNA1/ZEB2/MYC/SHC1/CCNG1/CCNE2/RDX/NRAS/SOS1/SHC4/CCND2/TP63/KIF23/MAPK1/THBS1/CD44/CDCA5/TPM1/ITGB3/MET/PDGFRA/EFNA3/TNR/ITGA5/ZFPM2/EGFR/HMOX1/NOTCH3/VIM/HOXD10/IGF2BP1/TNN/MMP9/CDC25C/PDGFRB/VEGFA/CYP24A1/PIK3R2/EFNA5/PTGS2/MMP16
hsa05164	Influenza A	152	-0.411362532434213	-1.69610334074505	0.0003725782414307	0.00272373540856031	0.00199449732434622	2889	tags=28%, list=17%, signal=24%	AKT3/OAS1/PRKCB/EIF2AK2/MX2/CALCOCO2/IFNGR2/HLA-DQB1/IFIH1/OAS3/DNAJC3/STAT1/HLA-DMA/HLA-DMB/MAPK1/TLR4/IL12B/HLA-DPB1/CASP1/NXT2/HLA-DQA1/ICAM1/HLA-DOB/HLA-DRA/TNFSF10/DDX58/HLA-DRB1/OAS2/IL1B/TPSD1/IL33/TLR7/PIK3R2/HLA-DPA1/CCL5/TLR3/CXCL10/FASLG/HLA-DQA2/HLA-DRB5/IFNG/IL6
hsa04151	PI3K-Akt signaling pathway	330	-0.393330000668058	-1.76955982809474	0.000372856077554064	0.00272373540856031	0.00199449732434622	2667	tags=28%, list=16%, signal=24%	CREB1/HSP90B1/COL4A2/SGK3/FGF10/LPAR4/TLR2/ERBB3/EFNA1/ITGB1/YWHAZ/MYC/FGF20/G6PC/CCNE2/NRAS/SOS1/ITGA2/GNG12/CCND2/EIF4EBP1/AREG/PRKAA2/MYB/CSF1/EREG/GNG2/MAPK1/THBS1/IGF1/CREB3L2/GNGT2/ITGB3/TLR4/HGF/JAK3/G6PC2/MET/PDGFRA/EFNA3/TNR/ITGAV/ITGA5/IL2RA/OSMR/INSR/BDNF/COL4A1/GNB4/COL6A2/THBS2/IL2RG/OSM/EGFR/VWF/ITGA8/IL7R/MTCP1/LAMA4/FN1/TNN/COL1A1/LPAR1/F2R/NGF/GHR/TGFA/FGF5/PDGFRB/IL7/KDR/FLT1/GNG4/ANGPT4/PIK3CG/ANGPT1/ITGA4/VEGFA/ITGA1/FGF7/PIK3R2/COL1A2/EFNA5/COL6A3/PGF/IL2RB/FASLG/COMP/EPO/ANGPT2/IL6/IBSP/CREB3L3
