ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	458	0.479639369408674	1.90503909942665	0.000218007412252017	0.00316231929604023	0.0022432928644679	4625	tags=46%, list=28%, signal=34%	HLA-DQA1/ZNF667/TNF/ZNF556/CCL5/ZNF471/FASLG/HLA-DQB1/ZNF285/POU2F3/ZNF676/HLA-DRA/ZNF878/HLA-DOA/PIK3R3/ZNF229/HLA-G/IL1B/HLA-DQA2/ZNF439/ZNF233/OAS2/HLA-DPB1/ZNF154/BST2/ZNF93/HLA-DRB1/HLA-DOB/ZNF726/CCL2/ZNF98/CD74/ZNF208/POU2F2/ZFP28/ZNF671/NXF2B/BIRC3/LTA/ZNF155/IL6/ZNF100/ZNF433/ZFP82/IFNG/ZFP57/ZIK1/ZNF404/ZNF418/ZFP37/TMEM173/IFIH1/ZNF222/C5/IFNAR2/ZNF714/TAP2/ZNF223/NXF2/ZNF708/HLA-DPA1/ZNF10/HLA-DMA/B2M/ZNF415/TNFSF14/ZNF677/ZNF540/ZNF331/ZNF283/ZNF257/ZNF614/TRAF5/ZNF582/ZNF613/HLA-E/ZNF350/ZNF549/ZNF177/ZNF304/ITGA5/ZNF891/ZNF773/ZNF829/ZNF615/ZNF568/STAT1/BAK1/ZNF699/CFP/ZNF530/ZNF419/ZNF649/ZNF605/PTPN11/ZNF442/ZNF235/SYK/ZNF211/ZNF44/ZNF814/C3/ZNF772/ZNF426/ZNF284/ZNF780A/ZNF585A/HLA-F/ZNF85/ZNF792/ZNF606/JAK2/ZNF470/ZNF8/ZNF763/SOCS3/ZNF275/ZNF569/ZNF112/ZNF234/CARD9/TAP1/NXF3/HLA-B/ZNF256/ZNF225/ZNF641/ZNF585B/TLR2/ZNF417/ZNF552/ZNF135/ZNF570/ZNF30/ZNF584/ZNF253/ZNF132/TRAF3/ZNF41/ZNF490/ZNF791/ZNF354C/ZNF684/HLA-DMB/ZNF101/ZNF621/ZNF709/ZNF17/ZNF180/ZNF45/ZNF429/ZNF184/SRSF5/ZNF577/IFNGR1/ZNF443/IRF7/ZNF879/ZNF440/ZNF175/ZNF589/ZNF619/ZNF780B/ZNF33B/AKT2/ZNF544/ZNF224/ZNF547/ZNF675/OAS3/PILRA/ZNF554/ZNF43/ZNF416/ZNF527/ZNF529/BAD/HCFC2/ZNF736/ZNF799/ZNF543/ZNF571/ZNF793/ZNF140/NFKBIA/CYCS/IFNAR1/ZFP30/ZNF230/TNFRSF14/ZNF563/ZNF302/ZNF567/SP100/ZNF587/ZNF841/ZNF107/PML/ZNF550/ZNF846/TSC1/ZNF583/TBK1/ZNF227/ZNF506/TAB2/PPP1CC/ZNF169/ZNF14
hsa04060	Cytokine-cytokine receptor interaction	262	0.500967293259022	1.90866744534044	0.000234192037470726	0.00316231929604023	0.0022432928644679	2300	tags=35%, list=14%, signal=30%	CCL3L3/CCL3L1/CXCL9/CCL4L1/CXCR6/CXCL11/TNF/CD40LG/CXCR3/CXCL10/CCR2/CXCL3/CCL14/CCL8/XCR1/CCL5/THPO/FASLG/IL2RB/CX3CR1/IL15RA/XCL2/CCL22/CCR5/NGF/CCL4L2/IL16/CCR4/CSF2RB/NGFR/IL2RG/IL1R2/CCR7/CCR6/IL7R/CXCL2/CCR3/CXCL5/IL1B/TNFRSF11A/IL1RL1/CD27/IL21R/TNFRSF17/ACVR1C/TNFSF13B/IL3RA/IL17RE/IL12RB1/CSF2RA/CCL2/AMHR2/IL18RAP/TGFB1/CXCR4/CCL16/CCL20/LTA/CCL17/IL23A/INHA/IL6/LTB/IFNG/XCL1/TNFRSF4/IL10RA/TNFSF15/IL36B/TNFSF13/IL17D/IFNAR2/CCL21/IL2/IL24/CXCR1/EPOR/TNFSF14/TNFSF8/CSF1R/TNFSF4/CD4/CRLF2/BMP5/CCL4/TNFRSF1B/TNFRSF10C/EPO/ACKR3/INHBB/IL9R
hsa04014	Ras signaling pathway	219	0.424755735432345	1.59514713746971	0.000240384615384615	0.00316231929604023	0.0022432928644679	2951	tags=29%, list=18%, signal=24%	FLT3/PLA2G4F/GRIN2A/KIT/KDR/FASLG/NGF/TEK/RASAL3/PGF/NGFR/PIK3R3/ZAP70/RASGRF2/RASGRP3/FLT1/HTR7/PAK6/ETS1/PLA2G4C/RASSF5/RAC2/EFNA5/RASAL1/FLT4/NTRK1/TGFA/FGF2/RASGRP2/PDGFB/FGFR2/VEGFA/GNG2/PRKCG/ANGPT1/EGF/HGF/RASA4B/ANGPT2/PDGFRB/RAPGEF5/GNG10/RASGRP4/CSF1R/KITLG/NTF3/RASGRP1/GNG7/IGF1/VEGFC/GAB2/KRAS/PTPN11/GNG3/RALBP1/KSR2/PRKCB/KSR1/ETS2/SHC2/INSR/PLA2G10/PLA2G3/GNGT2
hsa05163	Human cytomegalovirus infection	207	0.424971794721304	1.58545595275199	0.000242836328314716	0.00316231929604023	0.0022432928644679	2951	tags=26%, list=18%, signal=22%	CCL3L3/CCL3L1/CCL4L1/TNF/PTGER3/CCL5/FASLG/CREB3L1/CCR5/CCL4L2/PLCB4/PIK3R3/HLA-G/CCR3/ADCY8/IL1B/ADCY4/PTGER4/CCL2/RAC2/CXCR4/ITPR2/IL6/GNAO1/ITPR1/VEGFA/IL10RA/GNG2/NFATC2/PRKCG/TMEM173/TAP2/PXN/B2M/PTK2B/GNG10/TRAF5/PLCB2/HLA-E/GNG7/CCL4/BAK1/KRAS/ITPR3/CDK6/GNG3/CXCL12/HLA-F/PRKCB/PLCB1/TAP1/HLA-B/RB1/GNGT2
hsa04020	Calcium signaling pathway	189	0.463297066709358	1.71491918778592	0.000245639891918448	0.00316231929604023	0.0022432928644679	2833	tags=32%, list=17%, signal=27%	MCOLN3/P2RX5/ATP2A3/PDE1A/GRIN2A/PDE1B/PTGER3/CYSLTR2/MCOLN2/PLCB4/ATP2B2/TBXA2R/PTAFR/SLC8A3/ADCY8/PTGFR/ADCY4/HTR7/P2RX1/ADRB2/ERBB4/EDNRA/CAMK4/CYSLTR1/CXCR4/GNA14/ITPR2/CD38/ADORA2A/ITPKA/ITPR1/PDGFB/CASQ1/CHRM3/PRKCG/NOS3/CACNA1C/ITPKB/EGF/TACR2/PDGFRB/PTK2B/CACNA1E/CHRNA7/PLCB2/CAMK1G/F2R/P2RX7/ITPR3/ORAI1/CAMK2B/ATP2B1/CACNA1H/HTR2A/PRKCB/PLCB1/HRH2/AGTR1/CHRM1/PDE1C/CAMK2A
hsa05169	Epstein-Barr virus infection	184	0.465607732095053	1.72044565058931	0.000245941957697983	0.00316231929604023	0.0022432928644679	4147	tags=36%, list=25%, signal=28%	HLA-DQA1/TNF/CD3G/CXCL10/BLNK/CD3E/CD3D/HLA-DQB1/HLA-DRA/ITGAL/CD247/HLA-DOA/PIK3R3/HLA-G/HLA-DQA2/OAS2/HLA-DPB1/CD44/HLA-DRB1/HLA-DOB/IL6/RUNX3/LYN/CR2/IFNAR2/TAP2/HLA-DPA1/HLA-DMA/B2M/TNFAIP3/ICAM1/TRAF5/HLA-E/BTK/STAT1/BAK1/RELB/CDK6/SYK/NFKBIE/GADD45B/HLA-F/CCNA1/TAP1/HLA-B/RB1/TLR2/TRAF3/HLA-DMB/MAPK8/NFKB2/PSMD6/IRF7/NCOR2/ENTPD1/AKT2/BCL2L11/CD58/OAS3/JAK3/CDKN1B/CIR1/CCND1/MAPK10/NFKBIA/CYCS/IFNAR1
hsa04062	Chemokine signaling pathway	186	0.552836221506149	2.04378928176437	0.000246244767298695	0.00316231929604023	0.0022432928644679	2712	tags=37%, list=16%, signal=31%	CCL3L3/CCL3L1/CXCL9/CCL4L1/CXCR6/CXCL11/CXCR3/CXCL10/CCR2/CXCL3/CCL14/CCL8/XCR1/CCL5/CX3CR1/XCL2/CCL22/CCR5/CCL4L2/PLCB4/CCR4/ITK/PIK3R3/CCR7/CCR6/CXCL2/CCR3/ADCY8/CXCL5/ADCY4/PREX1/CCL2/PIK3CG/RAC2/CXCR4/CCL16/VAV1/CCL20/CCL17/PIK3R6/ELMO1/XCL1/RASGRP2/GNG2/LYN/CCL21/PIK3R5/DOCK2/PXN/CXCR1/PTK2B/WAS/GNG10/PLCB2/FGR/GNG7/CCL4/STAT1/GRK1/KRAS/CXCL13/GNG3/CXCL12/HCK/PRKCB/JAK2/PLCB1/SHC2
hsa04621	NOD-like receptor signaling pathway	163	0.455622553424983	1.66141437933475	0.000250312891113892	0.00316231929604023	0.0022432928644679	3368	tags=32%, list=20%, signal=26%	TNF/GBP5/CXCL3/GBP4/CCL5/PLCB4/RIPK3/CXCL2/IL1B/OAS2/GBP3/CASP12/CASP5/CCL2/ITPR2/CASP1/NOD2/BIRC3/IL6/CARD16/ITPR1/NLRP3/TRPM2/TRPV2/TMEM173/IFNAR2/DEFB4A/TNFAIP3/TRAF5/NLRP12/PLCB2/PSTPIP1/TRPM7/STAT1/DEFA6/P2RX7/ITPR3/GBP1/TLR4/DNM1L/CASR/PLCB1/CARD9/IFI16/DEFA5/GABARAPL1/TRAF3/NEK7/CARD6/CYBB/CARD8/MAPK8
hsa05152	Tuberculosis	162	0.487817979830263	1.77762752702883	0.000250438266967193	0.00316231929604023	0.0022432928644679	4146	tags=43%, list=25%, signal=32%	HLA-DQA1/TNF/CR1L/HLA-DQB1/HLA-DRA/HLA-DOA/ATP6V0D2/CIITA/IL1B/LBP/HLA-DQA2/CTSS/HLA-DPB1/HLA-DRB1/HLA-DOB/CD74/TGFB1/NOD2/CYP27B1/IL23A/IL6/IFNG/CLEC7A/FCGR2A/IL10RA/FCGR3A/CORO1A/TLR1/TLR6/HLA-DPA1/HLA-DMA/CTSD/FCGR2B/FCER1G/FCGR3B/LSP1/STAT1/CASP10/SYK/CAMK2B/C3/TLR4/KSR1/JAK2/CARD9/CAMK2A/TLR2/ATP6V0A2/TIRAP/ATP6AP1/HLA-DMB/MAPK8/RAB5A/IFNGR1/ITGAM/VDR/AKT2/EEA1/NOS2/LAMP2/BCL10/BAD/IRAK2/ITGAX/CLEC4M/CLEC4E/RAB5B/MAPK10/CYCS
hsa05164	Influenza A	152	0.547932950333419	1.98222326329553	0.000252270433905146	0.00316231929604023	0.0022432928644679	1654	tags=24%, list=10%, signal=22%	PLG/HLA-DQA1/TPSAB1/TNF/TPSD1/CXCL10/CCL5/FASLG/HLA-DQB1/TMPRSS4/HLA-DRA/HLA-DOA/PIK3R3/CIITA/IL1B/HLA-DQA2/OAS2/HLA-DPB1/TLR7/HLA-DRB1/MX2/MX1/HLA-DOB/CCL2/RSAD2/CASP1/NXF2B/IL6/IFNG/NLRP3/IFIH1/IFNAR2/NXF2/HLA-DPA1/TMPRSS2/HLA-DMA
