ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	458	-0.492948819241063	-2.26569416801248	0.00033167495854063	0.0146830825353397	0.0124319005447956	5166	tags=55%, list=31%, signal=39%	ZFP1/HLA-DQB1/IL6/ZNF383/ZNF337/ZNF223/ZFP28/ZNF550/ZNF227/PIK3CB/ZNF674/ZFP92/ZNF3/ZNF454/ZNF850/ZNF530/TP53/ZNF585B/HLA-DQA1/ZNF17/IL12B/OAS2/ZNF616/ZNF782/ITGB3/HLA-E/ZNF548/ZNF676/EIF2AK3/ZNF324/ZNF442/ZNF418/CFP/TBK1/ZNF200/ZNF700/ZNF33A/ZNF34/ZNF132/ZNF534/PILRA/ZNF551/IKBKB/POU2F1/ZFP90/ZNF763/ZNF879/ZNF529/ZNF473/ZNF169/ZNF568/FADD/ZNF248/ZNF684/HLA-DRB1/ZNF81/ZNF225/ZNF233/POU2F2/NFKB1/DAXX/ITGA5/HLA-F/ZNF221/IL1B/BIRC2/ZNF587/ZNF57/ZNF41/ZNF667/ZNF84/ZNF470/ZNF45/ZNF558/ZNF613/ZNF569/ZNF736/HLA-DOB/MYD88/ZNF436/ZNF670/ZNF90/ZNF543/ZNF566/BID/ZNF845/ZNF606/ZFP69B/ZNF772/ZNF333/ZNF582/ZNF74/ZNF764/ZNF614/ZNF649/HCFC2/ZFP30/ZNF2/PPP1CC/ZNF546/JAK1/HLA-DPB1/PIK3R3/ZNF432/HLA-DOA/TAP1/ZNF510/ZNF77/HLA-B/ZNF222/CHUK/ZNF671/C3/ZNF416/IFIH1/ZNF124/ZNF304/ZNF596/IFNAR2/ZNF230/SYK/STAT1/ZNF675/ZNF44/HLA-DMA/ZNF177/PIK3R2/ZNF354C/ZNF765/ZNF37A/ZNF324B/ZNF713/ZNF785/NXF3/TLR3/ZNF561/ZNF599/HLA-A/ZNF440/ZFP69/ZNF680/ZNF175/ZNF688/ZNF347/ZNF791/ZNF254/ZNF823/CD74/ZNF564/ZNF669/BCL2/ZFP82/ZNF560/ZNF557/ZNF354A/HLA-DMB/TLR2/ZNF714/ZFP14/ZNF14/ZNF10/ZNF184/ZNF157/ZNF611/ZNF311/ZNF555/ZNF25/ZNF571/ZNF431/ZNF91/TMEM173/ZNF267/ZNF701/ZNF420/ZNF100/ZNF519/ZNF181/ZNF577/B2M/ZNF891/AKT3/ZNF562/DDX58/ZNF547/ZNF425/ZNF471/ZNF605/ZNF689/APAF1/ZNF836/ZNF404/ZNF563/ZNF627/ZNF101/ZNF140/ZNF20/ZNF528/CCL2/ZNF136/ZNF85/ZNF382/ZNF83/ZNF490/ZNF552/ZNF615/ZNF273/ZNF799/ZNF699/HLA-DRA/ZNF540/ZNF597/ZNF792/ZNF492/HLA-DQA2/ZNF583/FASLG/HLA-C/BIRC3/ZNF93/JAK2/ZNF214/ZNF682/ZNF468/ZNF709/ZNF253/ZNF443/LTA/ZNF320/ZNF426/ZNF816/ZNF430/ZNF708/ZNF43/ZNF506/ZNF595/POU2F3/ZFP37/HLA-DRB5/ZNF600/FAS/HLA-DPA1/ZFP57/ZNF439/TNF/ZNF486/CCL5/ZNF749/IFNG/ZNF662/ZNF665/ZNF737/ZNF208/ZNF429
hsa04060	Cytokine-cytokine receptor interaction	262	-0.371128891331982	-1.61329560081915	0.000340947834981248	0.0146830825353397	0.0124319005447956	2372	tags=34%, list=14%, signal=30%	TNFSF8/TNFSF11/IL27RA/CCR6/CCR4/CCL16/IL23A/TGFBR2/IL2RA/NODAL/IL10RA/ACVRL1/GDF1/EPOR/IL17B/GDF5/BMPR2/IL2/IL2RG/IL12RB1/TNFSF12/CCR10/IL21R/CD4/BMP8A/CD40/TNFRSF4/IL34/PF4V1/CTF1/TNFSF13/CCL15/CXCL14/CXCR6/CCR5/CD40LG/CCL2/IL10/CCL4/CCR1/CCL1/CCL18/CCL13/IL1R1/IL17RA/IL2RB/TNFSF4/CCL14/IL21/FASLG/AMHR2/TNFSF13B/CSF2RB/CD70/GDF3/LTA/CD27/TNFRSF19/BMPR1A/TGFB3/CCL11/CCL17/FAS/XCR1/CX3CR1/EDA2R/TNFRSF17/ACKR4/TNF/IL32/OSM/CCL5/CCL7/IFNG/CCL19/CCL8/BMP4/CXCL12/CXCR3/TNFRSF11B/IL27/CXCL11/IL9R/CCR2/CXCL10/CXCL13/LEP/CXCL9
hsa04514	Cell adhesion molecules	136	-0.490393447372775	-1.9674569118801	0.000354107648725212	0.0146830825353397	0.0124319005447956	3243	tags=46%, list=19%, signal=37%	CNTN2/ICOS/HLA-DPB1/HLA-DOA/HLA-B/IGSF11/CD34/CLDN16/CLDN6/HLA-DMA/CDH5/ESAM/MADCAM1/CLDN24/TIGIT/NCAM1/ITGB2/HLA-A/CLDN22/ITGAM/ITGA9/SELE/ICAM1/MAG/HLA-DMB/JAM3/ICAM2/JAM2/SELPLG/CD4/CLDN19/CD40/CD28/PTPRC/ITGAL/CDH4/CDH2/ICAM3/CD40LG/CNTN1/CD8A/HLA-DRA/CD274/CD2/HLA-DQA2/HLA-C/ITGA8/NTNG1/PDCD1LG2/ITGA4/CADM1/NLGN4X/CLDN3/HLA-DRB5/CNTNAP1/VCAN/HLA-DPA1/CD8B/VCAM1/NCAM2/NEGR1
hsa05330	Allograft rejection	35	-0.649066561169973	-2.04502205332898	0.000359066427289048	0.0146830825353397	0.0124319005447956	3929	tags=71%, list=24%, signal=55%	HLA-F/GZMB/HLA-DOB/HLA-DPB1/HLA-DOA/HLA-B/HLA-DMA/HLA-A/PRF1/HLA-DMB/IL2/CD40/CD28/CD40LG/IL10/HLA-DRA/HLA-DQA2/FASLG/HLA-C/HLA-DRB5/FAS/HLA-DPA1/TNF/IFNG
hsa05320	Autoimmune thyroid disease	38	-0.610302233094069	-1.95464820488024	0.000360490266762797	0.0146830825353397	0.0124319005447956	3929	tags=63%, list=24%, signal=48%	HLA-F/GZMB/HLA-DOB/HLA-DPB1/HLA-DOA/HLA-B/HLA-DMA/HLA-A/PRF1/HLA-DMB/IL2/CD40/CD28/CD40LG/IL10/HLA-DRA/HLA-DQA2/FASLG/HLA-C/HLA-DRB5/TSHR/FAS/HLA-DPA1
hsa00983	Drug metabolism - other enzymes	72	0.536187968134468	1.98011372414082	0.000442282176028306	0.0146830825353397	0.0124319005447956	1185	tags=22%, list=7%, signal=21%	GSTM1/UGT1A6/GSTT2B/GSTA1/GSTM3/UGT1A7/UGT1A4/UGT1A1/UGT1A8/UGT2A1/XDH/GSTT2/UPP1/CES1/GSTM2/GSTA3
hsa00980	Metabolism of xenobiotics by cytochrome P450	63	0.619200329661187	2.23031251796352	0.000443066016836509	0.0146830825353397	0.0124319005447956	1390	tags=41%, list=8%, signal=38%	GSTM1/ADH7/CYP3A5/ALDH3A1/AKR1C1/UGT1A6/GSTT2B/GSTA1/GSTM3/UGT1A7/UGT1A4/ADH4/UGT1A1/UGT1A8/UGT2A1/GSTT2/CBR3/ADH1A/CYP2B6/CYP2D6/CBR1/CYP1A1/GSTM2/GSTA3/CYP2C9/CYP2S1
hsa05204	Chemical carcinogenesis	68	0.570908669366512	2.08212330457785	0.000446827524575514	0.0146830825353397	0.0124319005447956	1317	tags=34%, list=8%, signal=31%	GSTM1/ADH7/AKR1C2/CYP3A5/ALDH3A1/UGT1A6/GSTT2B/GSTA1/GSTM3/UGT1A7/UGT1A4/ADH4/UGT1A1/UGT1A8/UGT2A1/GSTT2/ADH1A/SULT1A1/CBR1/CYP1A1/GSTM2/GSTA3/CYP2C9
hsa00140	Steroid hormone biosynthesis	51	0.534156891373139	1.83718447954922	0.000455996352029184	0.0146830825353397	0.0124319005447956	1539	tags=35%, list=9%, signal=32%	AKR1C2/AKR1C3/CYP3A5/AKR1C1/UGT1A6/UGT1A7/UGT1A4/UGT1A1/HSD17B3/UGT1A8/UGT2A1/AKR1C4/HSD17B2/SULT2B1/CYP1A1/HSD11B2/CYP19A1/AKR1D1
hsa00480	Glutathione metabolism	53	0.571532758661832	1.98216017205018	0.000455996352029184	0.0146830825353397	0.0124319005447956	1455	tags=34%, list=9%, signal=31%	GSTM1/GSTT2B/GSTA1/GPX2/GSTM3/PGD/ODC1/GSTT2/GCLC/OPLAH/GPX3/GSR/G6PD/GSTM2/GSTA3/GCLM/SMS/RRM2
