ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04510	Focal adhesion	196	0.468520341722043	1.8095430195147	0.000245338567222767	0.00982006709362611	0.00815396221569477	3519	tags=41%, list=21%, signal=33%	COMP/COL1A2/COL4A6/FN1/THBS4/IGF1/SHC4/VAV1/CCND1/COL1A1/SPP1/FLNC/EGF/PARVG/MYLK3/ITGB3/LAMB4/COL4A5/COL4A2/RAC2/TNC/COL6A2/COL6A3/LAMB1/SHC2/MYLK/PRKCB/THBS3/ITGA11/ITGA7/PAK3/LAMC1/ITGA9/COL4A3/MYL7/PDGFC/CAPN2/SHC3/MYL9/THBS1/ITGB7/MYLK4/PDGFD/COL4A1/CAV1/THBS2/PPP1R12B/ITGA5/CAV3/CTNNB1/PDGFA/LAMA2/TNN/JUN/VASP/COL4A4/ITGA3/ACTN1/SRC/ITGAV/ACTN4/COL9A2/CHAD/COL6A1/PAK1/IBSP/CAV2/ZYX/PGF/RELN/ITGA4/PDGFB/ITGB1/BCAR1/ITGB5/PIK3R1/PPP1R12A/PARVA/XIAP/ITGA8
hsa04145	Phagosome	144	0.476036816947936	1.77934364290767	0.000256016385048643	0.00982006709362611	0.00815396221569477	2586	tags=30%, list=16%, signal=25%	COMP/CLEC7A/ATP6V0D2/THBS4/CD209/CYBB/CORO1A/ITGB3/ITGAM/ATP6V0E2/TLR6/NCF2/FCGR1A/MRC2/CD14/FCGR2B/ITGB2/NCF4/MSR1/NCF1/CD36/TUBB8/TUBB2A/FCGR3B/TUBB6/TLR2/HLA-DOB/THBS3/TUBB3/FCGR3A/TUBA1A/CTSS/TUBB4A/CYBA/TUBA3E/THBS1/COLEC11/THBS2/ITGA5/C1R/MARCO/TUBB1/FCGR2A
hsa04380	Osteoclast differentiation	123	0.513678853902417	1.88071989413494	0.000262605042016807	0.00982006709362611	0.00815396221569477	2586	tags=35%, list=16%, signal=30%	LILRB4/TREM2/SPI1/LILRB2/CSF1R/TYROBP/LILRB5/ITGB3/TGFB2/NCF2/LILRA3/FCGR1A/SIRPG/FCGR2B/TNFRSF11A/SYK/NCF4/LCP2/NCF1/LILRA2/OSCAR/LILRA5/FCGR3B/NFATC1/PPARG/BLNK/BTK/FCGR3A/FHL2/FOS/TGFBR1/LILRA6/FOSB/LCK/LILRA1/CYBA/FOSL1/CSF1/CALCR/GAB2/TGFB1/JUN/FCGR2A
hsa05414	Dilated cardiomyopathy	90	0.581146525242785	2.03255383131262	0.000278784499581823	0.00982006709362611	0.00815396221569477	3925	tags=60%, list=24%, signal=46%	SGCD/ACTC1/DES/IGF1/TNNI3/SGCA/AGT/ADCY5/ITGB3/TGFB2/CACNG4/ADCY7/MYH6/TNNT2/MYL3/TPM1/TTN/ITGA11/ITGA7/CACNB4/ITGA9/CACNA1C/TPM2/CACNB1/SLC8A3/ITGB7/CACNB2/LMNA/PLN/DMD/ADCY1/CACNG7/ITGA5/ADCY3/ADRB1/TGFB3/LAMA2/TGFB1/ITGA3/ITGAV/TPM4/ITGA4/MYBPC3/CACNA1D/ITGB1/ATP2A3/ITGB5/CACNA2D4/ITGA8/SGCB/TPM3/PRKACB/ITGA1/ACTB
hsa04512	ECM-receptor interaction	85	0.563535206368468	1.95433191048208	0.00028184892897407	0.00982006709362611	0.00815396221569477	3219	tags=56%, list=19%, signal=46%	COMP/COL1A2/COL4A6/FN1/THBS4/COL1A1/SV2B/SPP1/FRAS1/ITGB3/LAMB4/COL4A5/CD44/COL4A2/GP1BA/TNC/COL6A2/CD36/COL6A3/LAMB1/THBS3/ITGA11/ITGA7/SV2A/LAMC1/ITGA9/COL4A3/GP9/THBS1/ITGB7/HSPG2/COL4A1/THBS2/ITGA5/LAMA2/TNN/COL4A4/ITGA3/ITGAV/COL9A2/CHAD/COL6A1/IBSP/AGRN/RELN/ITGA4/ITGB1/GP1BB
hsa05150	Staphylococcus aureus infection	81	0.544795216964183	1.8789088879648	0.000282087447108604	0.00982006709362611	0.00815396221569477	2618	tags=44%, list=16%, signal=38%	KRT9/C1QB/C1QA/C1QC/ITGAL/DEFB1/CFH/PTAFR/ITGAM/C2/KRT14/FCGR1A/KRT27/FCGR2B/ITGB2/IL10/CAMP/SELPLG/FCGR3B/MASP2/FPR3/C3AR1/C4B/C4A/KRT17/HLA-DOB/FCGR3A/KRT34/CFB/DEFB4B/C1R/FPR2/FPR1/KRT39/FCGR2A/KRT24
hsa05410	Hypertrophic cardiomyopathy	86	0.582533421878655	2.02282012910116	0.000282087447108604	0.00982006709362611	0.00815396221569477	3925	tags=60%, list=24%, signal=46%	SGCD/ACTC1/DES/IGF1/TNNI3/SGCA/AGT/ITGB3/TGFB2/CACNG4/IL6/MYH6/TNNT2/MYL3/TPM1/TTN/ITGA11/ITGA7/CACNB4/ITGA9/CACNA1C/TPM2/CACNB1/SLC8A3/ITGB7/CACNB2/LMNA/DMD/CACNG7/PRKAA1/ITGA5/TGFB3/LAMA2/PRKAG2/TGFB1/ITGA3/ITGAV/TPM4/ITGA4/MYBPC3/CACNA1D/ITGB1/EDN1/ATP2A3/ITGB5/CACNA2D4/ITGA8/SGCB/PRKAA2/TPM3/ITGA1/ACTB
hsa04610	Complement and coagulation cascades	80	0.548881313456368	1.88956286351711	0.00028312570781427	0.00982006709362611	0.00815396221569477	2367	tags=39%, list=14%, signal=33%	F13A1/C1QB/C1QA/C7/VSIG4/C1QC/F5/CFH/C6/ITGAM/SERPINC1/C4BPB/C2/SERPIND1/ITGB2/SERPINE1/MASP2/C3AR1/CR1/C4B/C4A/F12/F2RL2/CR2/PLAT/ITGAX/CFB/PLAU/C1R/F2R/TFPI
hsa04662	B cell receptor signaling pathway	79	0.550089621668804	1.89121441548952	0.00028312570781427	0.00982006709362611	0.00815396221569477	1844	tags=32%, list=11%, signal=28%	LILRB4/VAV1/LILRB2/LILRB5/PIK3AP1/CD79A/LILRA3/RAC2/FCGR2B/SYK/CD72/LILRA2/LILRA5/NFATC1/PRKCB/BLNK/RASGRP3/CR2/CD79B/BTK/FOS/INPPL1/LILRA6/LILRA1/PTPN6
hsa05340	Primary immunodeficiency	36	0.655352847338708	1.95986593922888	0.000304971027752364	0.00982006709362611	0.00815396221569477	1654	tags=42%, list=10%, signal=38%	CD3D/CD4/CD3E/CD79A/TNFRSF13B/CD8B/CD8A/PTPRC/ZAP70/IL2RG/IL7R/BLNK/CD40LG/BTK/LCK
