Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	12	75	Two-sample Kolmogorov-Smirnov test	0.3	0.3096	Breast	1
A2M	12	75	Two-sample Kolmogorov-Smirnov test	0.14	0.9873	Breast	1
A2ML1	12	75	Two-sample Kolmogorov-Smirnov test	0.166666666666667	0.9361	Breast	1
A4GALT	12	75	Two-sample Kolmogorov-Smirnov test	0.256666666666667	0.5032	Breast	1
A4GNT	12	75	Two-sample Kolmogorov-Smirnov test	0.35	0.1585	Breast	1
AAAS	12	75	Two-sample Kolmogorov-Smirnov test	0.183333333333333	0.8777	Breast	1
AACS	12	75	Two-sample Kolmogorov-Smirnov test	0.27	0.4378	Breast	1
AADAC	12	75	Two-sample Kolmogorov-Smirnov test	0.17	0.9260	Breast	1
AADAT	12	75	Two-sample Kolmogorov-Smirnov test	0.233333333333333	0.6264	Breast	1
AAED1	12	75	Two-sample Kolmogorov-Smirnov test	0.256666666666667	0.5032	Breast	1
AAGAB	12	75	Two-sample Kolmogorov-Smirnov test	0.213333333333333	0.7341	Breast	1
AAK1	12	75	Two-sample Kolmogorov-Smirnov test	0.283333333333333	0.3773	Breast	1
AAMDC	12	75	Two-sample Kolmogorov-Smirnov test	0.273333333333333	0.4222	Breast	1
AAMP	12	75	Two-sample Kolmogorov-Smirnov test	0.166666666666667	0.9361	Breast	1
AANAT	12	75	Two-sample Kolmogorov-Smirnov test	0.46	0.0251	Breast	1
AAR2	12	75	Two-sample Kolmogorov-Smirnov test	0.27	0.4378	Breast	1
AARD	12	75	Two-sample Kolmogorov-Smirnov test	0.183333333333333	0.8777	Breast	1
AARS	12	75	Two-sample Kolmogorov-Smirnov test	0.23	0.6444	Breast	1
AARS2	12	75	Two-sample Kolmogorov-Smirnov test	0.246666666666667	0.5550	Breast	1
AARSD1	12	75	Two-sample Kolmogorov-Smirnov test	0.28	0.3919	Breast	1
AASDH	12	75	Two-sample Kolmogorov-Smirnov test	0.21	0.7516	Breast	1
AASDHPPT	12	75	Two-sample Kolmogorov-Smirnov test	0.316666666666667	0.2507	Breast	1
AASS	12	75	Two-sample Kolmogorov-Smirnov test	0.436666666666667	0.0387	Breast	1
AATF	12	75	Two-sample Kolmogorov-Smirnov test	0.17	0.9260	Breast	1
AATK	12	75	Two-sample Kolmogorov-Smirnov test	0.29	0.3492	Breast	1
ABAT	12	75	Two-sample Kolmogorov-Smirnov test	0.22	0.6986	Breast	1
ABCA1	12	75	Two-sample Kolmogorov-Smirnov test	0.393333333333333	0.0814	Breast	1
ABCA2	12	75	Two-sample Kolmogorov-Smirnov test	0.313333333333333	0.2617	Breast	1
ABCA3	12	75	Two-sample Kolmogorov-Smirnov test	0.173333333333333	0.9151	Breast	1
ABCA4	12	75	Two-sample Kolmogorov-Smirnov test	0.233333333333333	0.6264	Breast	1
ABCA5	12	75	Two-sample Kolmogorov-Smirnov test	0.493333333333333	0.0130	Breast	1
ABCA6	12	75	Two-sample Kolmogorov-Smirnov test	0.29	0.3492	Breast	1
ABCA7	12	75	Two-sample Kolmogorov-Smirnov test	0.286666666666667	0.3631	Breast	1
ABCA8	12	75	Two-sample Kolmogorov-Smirnov test	0.506666666666667	0.0099	Breast	1
ABCA9	12	75	Two-sample Kolmogorov-Smirnov test	0.403333333333333	0.0691	Breast	1
ABCA10	12	75	Two-sample Kolmogorov-Smirnov test	0.37	0.1177	Breast	1
ABCA12	12	75	Two-sample Kolmogorov-Smirnov test	0.253333333333333	0.5203	Breast	1
ABCA13	12	75	Two-sample Kolmogorov-Smirnov test	0.3	0.3096	Breast	1
ABCB1	12	75	Two-sample Kolmogorov-Smirnov test	0.14	0.9873	Breast	1
ABCB4	12	75	Two-sample Kolmogorov-Smirnov test	0.256666666666667	0.5032	Breast	1
ABCB5	12	75	Two-sample Kolmogorov-Smirnov test	0.333333333333333	0.2005	Breast	1
ABCB6	12	75	Two-sample Kolmogorov-Smirnov test	0.32	0.2400	Breast	1
ABCB7	12	75	Two-sample Kolmogorov-Smirnov test	0.206666666666667	0.7689	Breast	1
ABCB8	12	75	Two-sample Kolmogorov-Smirnov test	0.203333333333333	0.7858	Breast	1
ABCB9	12	75	Two-sample Kolmogorov-Smirnov test	0.106666666666667	0.9998	Breast	1
ABCB10	12	75	Two-sample Kolmogorov-Smirnov test	0.3	0.3096	Breast	1
ABCB11	12	75	Two-sample Kolmogorov-Smirnov test	0.31	0.2732	Breast	1
ABCC1	12	75	Two-sample Kolmogorov-Smirnov test	0.266666666666667	0.4537	Breast	1
ABCC2	12	75	Two-sample Kolmogorov-Smirnov test	0.24	0.5904	Breast	1
ABCC3	12	75	Two-sample Kolmogorov-Smirnov test	0.326666666666667	0.2196	Breast	1
ABCC4	12	75	Two-sample Kolmogorov-Smirnov test	0.353333333333333	0.1510	Breast	1
ABCC5	12	75	Two-sample Kolmogorov-Smirnov test	0.14	0.9873	Breast	1
ABCC6	12	75	Two-sample Kolmogorov-Smirnov test	0.236666666666667	0.6083	Breast	1
ABCC8	12	75	Two-sample Kolmogorov-Smirnov test	0.156666666666667	0.9614	Breast	1
ABCC9	12	75	Two-sample Kolmogorov-Smirnov test	0.28	0.3919	Breast	1
ABCC10	12	75	Two-sample Kolmogorov-Smirnov test	0.236666666666667	0.6083	Breast	1
ABCC11	12	75	Two-sample Kolmogorov-Smirnov test	0.166666666666667	0.9361	Breast	1
ABCC12	12	75	Two-sample Kolmogorov-Smirnov test	0.25	0.5375	Breast	1
ABCD1	12	75	Two-sample Kolmogorov-Smirnov test	0.203333333333333	0.7858	Breast	1
ABCD2	12	75	Two-sample Kolmogorov-Smirnov test	0.226666666666667	0.6625	Breast	1
ABCD3	12	75	Two-sample Kolmogorov-Smirnov test	0.273333333333333	0.4222	Breast	1
ABCD4	12	75	Two-sample Kolmogorov-Smirnov test	0.293333333333333	0.3356	Breast	1
ABCE1	12	75	Two-sample Kolmogorov-Smirnov test	0.233333333333333	0.6264	Breast	1
ABCF1	12	75	Two-sample Kolmogorov-Smirnov test	0.163333333333333	0.9454	Breast	1
ABCF2	12	75	Two-sample Kolmogorov-Smirnov test	0.196666666666667	0.8185	Breast	1
ABCF3	12	75	Two-sample Kolmogorov-Smirnov test	0.173333333333333	0.9151	Breast	1
ABCG1	12	75	Two-sample Kolmogorov-Smirnov test	0.18	0.8909	Breast	1
ABCG2	12	75	Two-sample Kolmogorov-Smirnov test	0.193333333333333	0.8341	Breast	1
ABCG4	12	75	Two-sample Kolmogorov-Smirnov test	0.33	0.2099	Breast	1
ABHD1	12	75	Two-sample Kolmogorov-Smirnov test	0.203333333333333	0.7858	Breast	1
ABHD2	12	75	Two-sample Kolmogorov-Smirnov test	0.473333333333333	0.0194	Breast	1
ABHD3	12	75	Two-sample Kolmogorov-Smirnov test	0.173333333333333	0.9151	Breast	1
ABHD4	12	75	Two-sample Kolmogorov-Smirnov test	0.403333333333333	0.0691	Breast	1
ABHD5	12	75	Two-sample Kolmogorov-Smirnov test	0.17	0.9260	Breast	1
ABHD6	12	75	Two-sample Kolmogorov-Smirnov test	0.353333333333333	0.1510	Breast	1
ABHD8	12	75	Two-sample Kolmogorov-Smirnov test	0.236666666666667	0.6083	Breast	1
ABHD10	12	75	Two-sample Kolmogorov-Smirnov test	0.233333333333333	0.6264	Breast	1
ABHD11	12	75	Two-sample Kolmogorov-Smirnov test	0.226666666666667	0.6625	Breast	1
