Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	54	188	Two-sample Kolmogorov-Smirnov test	0.249408983451537	0.0108	COAD	0.1549957446808511
A2M	54	188	Two-sample Kolmogorov-Smirnov test	0.148936170212766	0.3099	COAD	0.7209886050076648
A2ML1	54	188	Two-sample Kolmogorov-Smirnov test	0.0713159968479117	0.9833	COAD	1
A4GALT	54	188	Two-sample Kolmogorov-Smirnov test	0.24113475177305	0.0152	COAD	0.18404464993394978
A4GNT	54	188	Two-sample Kolmogorov-Smirnov test	0.0508274231678487	0.9999	COAD	1
AAAS	54	188	Two-sample Kolmogorov-Smirnov test	0.0990937746256895	0.8046	COAD	1
AACS	54	188	Two-sample Kolmogorov-Smirnov test	0.118203309692671	0.6010	COAD	0.9214861087725206
AADAC	54	188	Two-sample Kolmogorov-Smirnov test	0.165878644602049	0.1986	COAD	0.6023152706078269
AADAT	54	188	Two-sample Kolmogorov-Smirnov test	0.114460204885737	0.6417	COAD	0.9422430379746837
AAED1	54	188	Two-sample Kolmogorov-Smirnov test	0.175728920409771	0.1498	COAD	0.5301511076564321
AAGAB	54	188	Two-sample Kolmogorov-Smirnov test	0.078408195429472	0.9587	COAD	1
AAK1	54	188	Two-sample Kolmogorov-Smirnov test	0.14736012608353	0.3221	COAD	0.7317970558882235
AAMDC	54	188	Two-sample Kolmogorov-Smirnov test	0.130811662726556	0.4695	COAD	0.8435807024467246
AAMP	54	188	Two-sample Kolmogorov-Smirnov test	0.112687155240347	0.6611	COAD	0.9538107581399035
AANAT	54	188	Two-sample Kolmogorov-Smirnov test	0.139479905437352	0.3881	COAD	0.7886718589600535
AAR2	54	188	Two-sample Kolmogorov-Smirnov test	0.145981087470449	0.3330	COAD	0.7405783367932592
AARD	54	188	Two-sample Kolmogorov-Smirnov test	0.126871552403467	0.5092	COAD	0.869123748828491
AARS	54	188	Two-sample Kolmogorov-Smirnov test	0.252955082742317	0.0093	COAD	0.14365699745547073
AARS2	54	188	Two-sample Kolmogorov-Smirnov test	0.0902285263987391	0.8842	COAD	1
AARSD1	54	188	Two-sample Kolmogorov-Smirnov test	0.274428684003152	0.0036	COAD	0.08824118438761776
AASDH	54	188	Two-sample Kolmogorov-Smirnov test	0.0665878644602049	0.9923	COAD	1
AASDHPPT	54	188	Two-sample Kolmogorov-Smirnov test	0.126083530338849	0.5173	COAD	0.8732104550931504
AASS	54	188	Two-sample Kolmogorov-Smirnov test	0.139873916469661	0.3846	COAD	0.7862971710821732
AATF	54	188	Two-sample Kolmogorov-Smirnov test	0.149724192277384	0.3039	COAD	0.715068062015504
AATK	54	188	Two-sample Kolmogorov-Smirnov test	0.093183609141056	0.8596	COAD	1
ABAT	54	188	Two-sample Kolmogorov-Smirnov test	0.168636721828211	0.1839	COAD	0.583278787878788
ABCA1	54	188	Two-sample Kolmogorov-Smirnov test	0.152679275019701	0.2821	COAD	0.6963411764705882
ABCA2	54	188	Two-sample Kolmogorov-Smirnov test	0.130811662726556	0.4695	COAD	0.8435807024467246
ABCA3	54	188	Two-sample Kolmogorov-Smirnov test	0.102442868400315	0.7708	COAD	1
ABCA4	54	188	Two-sample Kolmogorov-Smirnov test	0.142434988179669	0.3624	COAD	0.7671775892130652
ABCA5	54	188	Two-sample Kolmogorov-Smirnov test	0.365248226950355	0.0000	COAD	0
ABCA6	54	188	Two-sample Kolmogorov-Smirnov test	0.146178092986604	0.3315	COAD	0.7393188831741366
ABCA7	54	188	Two-sample Kolmogorov-Smirnov test	0.254728132387707	0.0086	COAD	0.13763022847100173
ABCA8	54	188	Two-sample Kolmogorov-Smirnov test	0.151694247438928	0.2892	COAD	0.7015064464571125
ABCA9	54	188	Two-sample Kolmogorov-Smirnov test	0.107368006304177	0.7189	COAD	0.9793258134490238
ABCA10	54	188	Two-sample Kolmogorov-Smirnov test	0.281520882584712	0.0026	COAD	0.07528012718600954
ABCA12	54	188	Two-sample Kolmogorov-Smirnov test	0.0955476753349094	0.8384	COAD	1
ABCA13	54	188	Two-sample Kolmogorov-Smirnov test	0.177304964539007	0.1430	COAD	0.5203428571428571
ABCB1	54	188	Two-sample Kolmogorov-Smirnov test	0.147557131599685	0.3205	COAD	0.7308973203105434
ABCB4	54	188	Two-sample Kolmogorov-Smirnov test	0.166666666666667	0.1943	COAD	0.5975331982438365
ABCB5	54	188	Two-sample Kolmogorov-Smirnov test	0.179669030732861	0.1332	COAD	0.504122693266833
ABCB6	54	188	Two-sample Kolmogorov-Smirnov test	0.169621749408983	0.1788	COAD	0.5768477590788308
ABCB7	54	188	Two-sample Kolmogorov-Smirnov test	0.130023640661938	0.4773	COAD	0.8483884052313098
ABCB8	54	188	Two-sample Kolmogorov-Smirnov test	0.201142631993696	0.0671	COAD	0.3735937633751147
ABCB9	54	188	Two-sample Kolmogorov-Smirnov test	0.222025216706068	0.0320	COAD	0.2591302801244998
ABCB10	54	188	Two-sample Kolmogorov-Smirnov test	0.099290780141844	0.8026	COAD	1
ABCB11	54	188	Two-sample Kolmogorov-Smirnov test	0.0937746256895193	0.8544	COAD	1
ABCC1	54	188	Two-sample Kolmogorov-Smirnov test	0.182427107959023	0.1225	COAD	0.48605010893246187
ABCC2	54	188	Two-sample Kolmogorov-Smirnov test	0.151103230890465	0.2936	COAD	0.705973488249274
ABCC3	54	188	Two-sample Kolmogorov-Smirnov test	0.334121355397951	2e-04	COAD	0.016188444444444446
ABCC4	54	188	Two-sample Kolmogorov-Smirnov test	0.119976359338061	0.5818	COAD	0.9094276542786027
ABCC5	54	188	Two-sample Kolmogorov-Smirnov test	0.259850275807723	0.0069	COAD	0.12319882352941176
ABCC6	54	188	Two-sample Kolmogorov-Smirnov test	0.108944050433412	0.7019	COAD	0.9706152467729687
ABCC8	54	188	Two-sample Kolmogorov-Smirnov test	0.0845153664302601	0.9254	COAD	1
ABCC9	54	188	Two-sample Kolmogorov-Smirnov test	0.265563435776202	0.0054	COAD	0.10878849557522124
ABCC10	54	188	Two-sample Kolmogorov-Smirnov test	0.343774625689519	1e-04	COAD	0.009635978835978836
ABCC11	54	188	Two-sample Kolmogorov-Smirnov test	0.108550039401103	0.7061	COAD	0.9739826706051654
ABCC12	54	188	Two-sample Kolmogorov-Smirnov test	0.0212765957446808	1.0000	COAD	1
ABCD1	54	188	Two-sample Kolmogorov-Smirnov test	0.116430260047281	0.6203	COAD	0.9324724391250515
