Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	41	292	Two-sample Kolmogorov-Smirnov test	0.137570998997661	0.5043	Colon	1
A2M	41	292	Two-sample Kolmogorov-Smirnov test	0.166638823922486	0.2709	Colon	1
A2ML1	41	292	Two-sample Kolmogorov-Smirnov test	0.124874707651186	0.6293	Colon	1
A4GALT	41	292	Two-sample Kolmogorov-Smirnov test	0.116104243234213	0.7176	Colon	1
A4GNT	41	292	Two-sample Kolmogorov-Smirnov test	0.182676244570665	0.1814	Colon	1
AAAS	41	292	Two-sample Kolmogorov-Smirnov test	0.162545940527898	0.2982	Colon	1
AACS	41	292	Two-sample Kolmogorov-Smirnov test	0.174072836618777	0.2260	Colon	1
AADAC	41	292	Two-sample Kolmogorov-Smirnov test	0.13464751085867	0.5322	Colon	1
AADAT	41	292	Two-sample Kolmogorov-Smirnov test	0.123538255930504	0.6428	Colon	1
AAED1	41	292	Two-sample Kolmogorov-Smirnov test	0.150016705646509	0.3934	Colon	1
AAGAB	41	292	Two-sample Kolmogorov-Smirnov test	0.140661543601737	0.4754	Colon	1
AAK1	41	292	Two-sample Kolmogorov-Smirnov test	0.138907450718343	0.4917	Colon	1
AAMDC	41	292	Two-sample Kolmogorov-Smirnov test	0.117023053792182	0.7085	Colon	1
AAMP	41	292	Two-sample Kolmogorov-Smirnov test	0.163214166388239	0.2936	Colon	1
AANAT	41	292	Two-sample Kolmogorov-Smirnov test	0.0803541597059806	0.9744	Colon	1
AAR2	41	292	Two-sample Kolmogorov-Smirnov test	0.109756097560976	0.7794	Colon	1
AARD	41	292	Two-sample Kolmogorov-Smirnov test	0.122034747744738	0.6580	Colon	1
AARS	41	292	Two-sample Kolmogorov-Smirnov test	0.17866688940862	0.2013	Colon	1
AARS2	41	292	Two-sample Kolmogorov-Smirnov test	0.113681924490478	0.7415	Colon	1
AARSD1	41	292	Two-sample Kolmogorov-Smirnov test	0.0826929502171734	0.9666	Colon	1
AASDH	41	292	Two-sample Kolmogorov-Smirnov test	0.151186100902105	0.3838	Colon	1
AASDHPPT	41	292	Two-sample Kolmogorov-Smirnov test	0.117190110257267	0.7068	Colon	1
AASS	41	292	Two-sample Kolmogorov-Smirnov test	0.121032408954226	0.6681	Colon	1
AATF	41	292	Two-sample Kolmogorov-Smirnov test	0.165887069829602	0.2758	Colon	1
AATK	41	292	Two-sample Kolmogorov-Smirnov test	0.184263280988974	0.1740	Colon	1
ABAT	41	292	Two-sample Kolmogorov-Smirnov test	0.122201804209823	0.6563	Colon	1
ABCA1	41	292	Two-sample Kolmogorov-Smirnov test	0.107250250584698	0.8027	Colon	1
