Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	5	112	Two-sample Kolmogorov-Smirnov test	0.380357142857143	0.4929	ESCA	0.940164935064935
A2M	5	112	Two-sample Kolmogorov-Smirnov test	0.4125	0.3894	ESCA	0.8847109415384614
A2ML1	5	112	Two-sample Kolmogorov-Smirnov test	0.567857142857143	0.0913	ESCA	0.5856835505459669
A4GALT	5	112	Two-sample Kolmogorov-Smirnov test	0.5625	0.0967	ESCA	0.5977937542430414
A4GNT	5	112	Two-sample Kolmogorov-Smirnov test	0.294642857142857	0.8003	ESCA	1
AAAS	5	112	Two-sample Kolmogorov-Smirnov test	0.275	0.8621	ESCA	1
AACS	5	112	Two-sample Kolmogorov-Smirnov test	0.660714285714286	0.0306	ESCA	0.4651813021702838
AADAC	5	112	Two-sample Kolmogorov-Smirnov test	0.367857142857143	0.5364	ESCA	0.9627559322033898
AADAT	5	112	Two-sample Kolmogorov-Smirnov test	0.3625	0.5555	ESCA	0.9682968989280245
AAED1	5	112	Two-sample Kolmogorov-Smirnov test	0.403571428571429	0.4167	ESCA	0.9036472218959238
AAGAB	5	112	Two-sample Kolmogorov-Smirnov test	0.607142857142857	0.0587	ESCA	0.5209768031189084
AAK1	5	112	Two-sample Kolmogorov-Smirnov test	0.339285714285714	0.6402	ESCA	0.9983151297200102
AAMDC	5	112	Two-sample Kolmogorov-Smirnov test	0.510714285714286	0.1646	ESCA	0.6909422423556059
AAMP	5	112	Two-sample Kolmogorov-Smirnov test	0.308928571428571	0.7509	ESCA	1
AANAT	5	112	Two-sample Kolmogorov-Smirnov test	0.392857142857143	0.4510	ESCA	0.9227740703291766
AAR2	5	112	Two-sample Kolmogorov-Smirnov test	0.576785714285714	0.0828	ESCA	0.5720613050075872
AARD	5	112	Two-sample Kolmogorov-Smirnov test	0.442857142857143	0.3049	ESCA	0.8170745732783992
AARS	5	112	Two-sample Kolmogorov-Smirnov test	0.439285714285714	0.3141	ESCA	0.825300014214641
AARS2	5	112	Two-sample Kolmogorov-Smirnov test	0.407142857142857	0.4057	ESCA	0.8940716844143273
AARSD1	5	112	Two-sample Kolmogorov-Smirnov test	0.403571428571429	0.4167	ESCA	0.9036472218959238
AASDH	5	112	Two-sample Kolmogorov-Smirnov test	0.541071428571429	0.1213	ESCA	0.6251034521788342
AASDHPPT	5	112	Two-sample Kolmogorov-Smirnov test	0.207142857142857	0.9864	ESCA	1
AASS	5	112	Two-sample Kolmogorov-Smirnov test	0.633928571428571	0.0427	ESCA	0.48451862928348916
AATF	5	112	Two-sample Kolmogorov-Smirnov test	0.2125	0.9821	ESCA	1
AATK	5	112	Two-sample Kolmogorov-Smirnov test	0.473214285714286	0.2341	ESCA	0.7544557069545214
ABAT	5	112	Two-sample Kolmogorov-Smirnov test	0.273214285714286	0.8673	ESCA	1
ABCA1	5	112	Two-sample Kolmogorov-Smirnov test	0.3125	0.7382	ESCA	1
ABCA2	5	112	Two-sample Kolmogorov-Smirnov test	0.205357142857143	0.9876	ESCA	1
ABCA3	5	112	Two-sample Kolmogorov-Smirnov test	0.464285714285714	0.2535	ESCA	0.770998997995992
ABCA4	5	112	Two-sample Kolmogorov-Smirnov test	0.355357142857143	0.5812	ESCA	0.9788908359246387
ABCA5	5	112	Two-sample Kolmogorov-Smirnov test	0.214285714285714	0.9805	ESCA	1
ABCA6	5	112	Two-sample Kolmogorov-Smirnov test	0.460714285714286	0.2616	ESCA	0.7807701081612587
ABCA7	5	112	Two-sample Kolmogorov-Smirnov test	0.291071428571429	0.8121	ESCA	1
ABCA8	5	112	Two-sample Kolmogorov-Smirnov test	0.501785714285714	0.1794	ESCA	0.7025343479179877
ABCA9	5	112	Two-sample Kolmogorov-Smirnov test	0.4875	0.2054	ESCA	0.7269228138359891
ABCA10	5	112	Two-sample Kolmogorov-Smirnov test	0.510714285714286	0.1646	ESCA	0.6909422423556059
ABCA12	5	112	Two-sample Kolmogorov-Smirnov test	0.785714285714286	0.0054	ESCA	0.4488265402843602
ABCA13	5	112	Two-sample Kolmogorov-Smirnov test	0.675	0.0255	ESCA	0.464661308411215
ABCB1	5	112	Two-sample Kolmogorov-Smirnov test	0.464285714285714	0.2535	ESCA	0.770998997995992
ABCB4	5	112	Two-sample Kolmogorov-Smirnov test	0.607142857142857	0.0587	ESCA	0.5209768031189084
ABCB5	5	112	Two-sample Kolmogorov-Smirnov test	0.189285714285714	0.9955	ESCA	1
ABCB6	5	112	Two-sample Kolmogorov-Smirnov test	0.558928571428571	0.1005	ESCA	0.5997070773263434
ABCB7	5	112	Two-sample Kolmogorov-Smirnov test	0.589285714285714	0.0720	ESCA	0.5528094435075885
ABCB8	5	112	Two-sample Kolmogorov-Smirnov test	0.366071428571429	0.5427	ESCA	0.9627559322033898
ABCB9	5	112	Two-sample Kolmogorov-Smirnov test	0.446428571428571	0.2959	ESCA	0.8092702808229464
ABCB10	5	112	Two-sample Kolmogorov-Smirnov test	0.303571428571429	0.7698	ESCA	1
ABCB11	5	112	Two-sample Kolmogorov-Smirnov test	0.321428571428571	0.7059	ESCA	1
ABCC1	5	112	Two-sample Kolmogorov-Smirnov test	0.866071428571428	0.0015	ESCA	0.4488265402843602
ABCC2	5	112	Two-sample Kolmogorov-Smirnov test	0.319642857142857	0.7124	ESCA	1
ABCC3	5	112	Two-sample Kolmogorov-Smirnov test	0.517857142857143	0.1534	ESCA	0.6731857349397591
ABCC4	5	112	Two-sample Kolmogorov-Smirnov test	0.330357142857143	0.6731	ESCA	1
