Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	80	564	Two-sample Kolmogorov-Smirnov test	0.105939716312057	0.4113	Esophagus	0.9939749999999999
A2M	80	564	Two-sample Kolmogorov-Smirnov test	0.0896276595744682	0.6268	Esophagus	1
A2ML1	80	564	Two-sample Kolmogorov-Smirnov test	0.0484929078014185	0.9965	Esophagus	1
A4GALT	80	564	Two-sample Kolmogorov-Smirnov test	0.113829787234042	0.3241	Esophagus	0.9471292041078306
A4GNT	80	564	Two-sample Kolmogorov-Smirnov test	0.229343971631206	0.0013	Esophagus	0.086407299270073
AAAS	80	564	Two-sample Kolmogorov-Smirnov test	0.0916666666666667	0.5982	Esophagus	1
AACS	80	564	Two-sample Kolmogorov-Smirnov test	0.107624113475177	0.3916	Esophagus	0.9811279680836429
AADAC	80	564	Two-sample Kolmogorov-Smirnov test	0.061081560283688	0.9563	Esophagus	1
AADAT	80	564	Two-sample Kolmogorov-Smirnov test	0.0981382978723404	0.5097	Esophagus	1
AAED1	80	564	Two-sample Kolmogorov-Smirnov test	0.160815602836879	0.0534	Esophagus	0.5644345908299477
AAGAB	80	564	Two-sample Kolmogorov-Smirnov test	0.189893617021277	0.0128	Esophagus	0.31802673942701226
AAK1	80	564	Two-sample Kolmogorov-Smirnov test	0.148581560283688	0.0907	Esophagus	0.6775342083675144
AAMDC	80	564	Two-sample Kolmogorov-Smirnov test	0.100797872340425	0.4749	Esophagus	1
AAMP	80	564	Two-sample Kolmogorov-Smirnov test	0.0777482269503547	0.7908	Esophagus	1
AANAT	80	564	Two-sample Kolmogorov-Smirnov test	0.0925531914893617	0.5858	Esophagus	1
AAR2	80	564	Two-sample Kolmogorov-Smirnov test	0.0863475177304964	0.6731	Esophagus	1
AARD	80	564	Two-sample Kolmogorov-Smirnov test	0.0820921985815602	0.7325	Esophagus	1
AARS	80	564	Two-sample Kolmogorov-Smirnov test	0.111347517730496	0.3501	Esophagus	0.9596660445514751
AARS2	80	564	Two-sample Kolmogorov-Smirnov test	0.0601950354609929	0.9614	Esophagus	1
