Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	292	1905	Two-sample Kolmogorov-Smirnov test	0.103449825621112	0.0089	GTEX	0.08468484848484849
A2M	292	1905	Two-sample Kolmogorov-Smirnov test	0.0774817531370222	0.0957	GTEX	0.3531688753799392
A2ML1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0499748319131341	0.5520	GTEX	0.8423851181498241
A4GALT	292	1905	Two-sample Kolmogorov-Smirnov test	0.0512332362564268	0.5196	GTEX	0.8212232231189793
A4GNT	292	1905	Two-sample Kolmogorov-Smirnov test	0.108868155179233	0.0049	GTEX	0.057058056265984654
AAAS	292	1905	Two-sample Kolmogorov-Smirnov test	0.10902995002337	0.0049	GTEX	0.057058056265984654
AACS	292	1905	Two-sample Kolmogorov-Smirnov test	0.0784543199223385	0.0886	GTEX	0.3387034424853064
AADAC	292	1905	Two-sample Kolmogorov-Smirnov test	0.045124582029986	0.6811	GTEX	0.9186249870399171
AADAT	292	1905	Two-sample Kolmogorov-Smirnov test	0.0784579153633193	0.0886	GTEX	0.3387034424853064
AAED1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0775806277639952	0.0949	GTEX	0.35121292420239786
AAGAB	292	1905	Two-sample Kolmogorov-Smirnov test	0.0454535648797325	0.6723	GTEX	0.9138594183445191
AAK1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0803760831265955	0.0759	GTEX	0.3097223392336993
AAMDC	292	1905	Two-sample Kolmogorov-Smirnov test	0.0768094056736059	0.1008	GTEX	0.3621561649240482
AAMP	292	1905	Two-sample Kolmogorov-Smirnov test	0.0771779383741416	0.0980	GTEX	0.3569552
AANAT	292	1905	Two-sample Kolmogorov-Smirnov test	0.0410095998274188	0.7881	GTEX	0.9716847221282069
AAR2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0823535756660555	0.0645	GTEX	0.28230569574621484
AARD	292	1905	Two-sample Kolmogorov-Smirnov test	0.0432495595584799	0.7308	GTEX	0.9438571448833416
AARS	292	1905	Two-sample Kolmogorov-Smirnov test	0.113853234099162	0.0028	GTEX	0.03919569561875481
AARS2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0596357818286413	0.3288	GTEX	0.6683489124372559
AARSD1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0569625714593895	0.3840	GTEX	0.7179353249153064
AASDH	292	1905	Two-sample Kolmogorov-Smirnov test	0.115325567180815	0.0024	GTEX	0.03562249388753056
AASDHPPT	292	1905	Two-sample Kolmogorov-Smirnov test	0.0882536943156078	0.0387	GTEX	0.2112723021582734
AASS	292	1905	Two-sample Kolmogorov-Smirnov test	0.0512584043432927	0.5189	GTEX	0.8207579294771583
AATF	292	1905	Two-sample Kolmogorov-Smirnov test	0.0712382698738	0.1530	GTEX	0.4524904189671971
AATK	292	1905	Two-sample Kolmogorov-Smirnov test	0.0413493690001079	0.7796	GTEX	0.9679625852195255
ABAT	292	1905	Two-sample Kolmogorov-Smirnov test	0.0809477582425485	0.0724	GTEX	0.30124487091615265
ABCA1	292	1905	Two-sample Kolmogorov-Smirnov test	0.0420037392586201	0.7630	GTEX	0.9611783910908211
ABCA2	292	1905	Two-sample Kolmogorov-Smirnov test	0.0509995325926725	0.5255	GTEX	0.8259606455510485
ABCA3	292	1905	Two-sample Kolmogorov-Smirnov test	0.0423542947542516	0.7541	GTEX	0.9562441102756892
ABCA4	292	1905	Two-sample Kolmogorov-Smirnov test	0.0640581742350699	0.2499	GTEX	0.582737362355954
ABCA5	292	1905	Two-sample Kolmogorov-Smirnov test	0.114446481861	0.0026	GTEX	0.037255074744295825
ABCA6	292	1905	Two-sample Kolmogorov-Smirnov test	0.0839787149893934	0.0562	GTEX	0.2621706967213115
ABCA7	292	1905	Two-sample Kolmogorov-Smirnov test	0.0670711537770107	0.2048	GTEX	0.5237036787419265
ABCA8	292	1905	Two-sample Kolmogorov-Smirnov test	0.0461852371193327	0.6526	GTEX	0.9031269908814589
ABCA9	292	1905	Two-sample Kolmogorov-Smirnov test	0.0696005465070291	0.1720	GTEX	0.47940985613712883
ABCA10	292	1905	Two-sample Kolmogorov-Smirnov test	0.056315392082839	0.3982	GTEX	0.7298730273752012
ABCA12	292	1905	Two-sample Kolmogorov-Smirnov test	0.0303329378348254	0.9740	GTEX	1
