Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	4	52	Two-sample Kolmogorov-Smirnov test	0.288461538461538	0.9167	KICH	1
A2M	4	52	Two-sample Kolmogorov-Smirnov test	0.461538461538462	0.4074	KICH	1
A2ML1	4	52	Two-sample Kolmogorov-Smirnov test	0.192307692307692	0.9991	KICH	1
A4GALT	4	52	Two-sample Kolmogorov-Smirnov test	0.384615384615385	0.6419	KICH	1
A4GNT	4	52	Two-sample Kolmogorov-Smirnov test	0.384615384615385	0.6419	KICH	1
AAAS	4	52	Two-sample Kolmogorov-Smirnov test	0.288461538461538	0.9167	KICH	1
AACS	4	52	Two-sample Kolmogorov-Smirnov test	0.288461538461538	0.9167	KICH	1
AADAC	4	52	Two-sample Kolmogorov-Smirnov test	0.115384615384615	1.0000	KICH	1
AADAT	4	52	Two-sample Kolmogorov-Smirnov test	0.519230769230769	0.2693	KICH	1
AAED1	4	52	Two-sample Kolmogorov-Smirnov test	0.557692307692308	0.1982	KICH	1
AAGAB	4	52	Two-sample Kolmogorov-Smirnov test	0.423076923076923	0.5193	KICH	1
AAK1	4	52	Two-sample Kolmogorov-Smirnov test	0.269230769230769	0.9506	KICH	1
AAMDC	4	52	Two-sample Kolmogorov-Smirnov test	0.442307692307692	0.4616	KICH	1
AAMP	4	52	Two-sample Kolmogorov-Smirnov test	0.480769230769231	0.3571	KICH	1
AANAT	4	52	Two-sample Kolmogorov-Smirnov test	0.461538461538462	0.4074	KICH	1
AAR2	4	52	Two-sample Kolmogorov-Smirnov test	0.365384615384615	0.7043	KICH	1
AARD	4	52	Two-sample Kolmogorov-Smirnov test	0.576923076923077	0.1686	KICH	1
AARS	4	52	Two-sample Kolmogorov-Smirnov test	0.384615384615385	0.6419	KICH	1
AARS2	4	52	Two-sample Kolmogorov-Smirnov test	0.423076923076923	0.5193	KICH	1
AARSD1	4	52	Two-sample Kolmogorov-Smirnov test	0.384615384615385	0.6419	KICH	1
AASDH	4	52	Two-sample Kolmogorov-Smirnov test	0.346153846153846	0.7650	KICH	1
AASDHPPT	4	52	Two-sample Kolmogorov-Smirnov test	0.288461538461538	0.9167	KICH	1
AASS	4	52	Two-sample Kolmogorov-Smirnov test	0.576923076923077	0.1686	KICH	1
AATF	4	52	Two-sample Kolmogorov-Smirnov test	0.596153846153846	0.1427	KICH	1
AATK	4	52	Two-sample Kolmogorov-Smirnov test	0.269230769230769	0.9506	KICH	1
ABAT	4	52	Two-sample Kolmogorov-Smirnov test	0.307692307692308	0.8734	KICH	1
ABCA1	4	52	Two-sample Kolmogorov-Smirnov test	0.269230769230769	0.9506	KICH	1
ABCA2	4	52	Two-sample Kolmogorov-Smirnov test	0.538461538461539	0.2317	KICH	1
ABCA3	4	52	Two-sample Kolmogorov-Smirnov test	0.403846153846154	0.5798	KICH	1
ABCA4	4	52	Two-sample Kolmogorov-Smirnov test	0.557692307692308	0.1982	KICH	1
