Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	46	410	Two-sample Kolmogorov-Smirnov test	0.214952279957582	0.0438	KIRC	0.15540338983050847
A2M	46	410	Two-sample Kolmogorov-Smirnov test	0.150689289501591	0.3046	KIRC	0.5198065217391304
A2ML1	46	410	Two-sample Kolmogorov-Smirnov test	0.137327677624602	0.4164	KIRC	0.6329057586379568
A4GALT	46	410	Two-sample Kolmogorov-Smirnov test	0.225026511134677	0.0303	KIRC	0.1236440958996191
A4GNT	46	410	Two-sample Kolmogorov-Smirnov test	0.127783669141039	0.5091	KIRC	0.7105317802130432
AAAS	46	410	Two-sample Kolmogorov-Smirnov test	0.14305408271474	0.3657	KIRC	0.582892385786802
AACS	46	410	Two-sample Kolmogorov-Smirnov test	0.214103923647932	0.0451	KIRC	0.15859455493338484
AADAC	46	410	Two-sample Kolmogorov-Smirnov test	0.145068928950159	0.3489	KIRC	0.5663250267379679
AADAT	46	410	Two-sample Kolmogorov-Smirnov test	0.0959703075291622	0.8407	KIRC	0.9505698392003477
AAED1	46	410	Two-sample Kolmogorov-Smirnov test	0.314209968186638	6e-04	KIRC	0.009906799637352675
AAGAB	46	410	Two-sample Kolmogorov-Smirnov test	0.178154825026511	0.1448	KIRC	0.3298021010505253
AAK1	46	410	Two-sample Kolmogorov-Smirnov test	0.142523860021209	0.3702	KIRC	0.5869315225907547
AAMDC	46	410	Two-sample Kolmogorov-Smirnov test	0.233085896076352	0.0224	KIRC	0.10175824395111001
AAMP	46	410	Two-sample Kolmogorov-Smirnov test	0.0941675503711559	0.8568	KIRC	0.9593041682036149
AANAT	46	410	Two-sample Kolmogorov-Smirnov test	0.222269353128314	0.0336	KIRC	0.13193686934023285
AAR2	46	410	Two-sample Kolmogorov-Smirnov test	0.0909862142099682	0.8833	KIRC	0.9729442119269385
AARD	46	410	Two-sample Kolmogorov-Smirnov test	0.161823966065748	0.2289	KIRC	0.4366073313782991
AARS	46	410	Two-sample Kolmogorov-Smirnov test	0.0935312831389184	0.8623	KIRC	0.9625625252834814
AARS2	46	410	Two-sample Kolmogorov-Smirnov test	0.166595970307529	0.2012	KIRC	0.40399717750826897
AARSD1	46	410	Two-sample Kolmogorov-Smirnov test	0.206150583244963	0.0595	KIRC	0.18898046738751306
AASDH	46	410	Two-sample Kolmogorov-Smirnov test	0.0956521739130435	0.8436	KIRC	0.9515448532144185
AASDHPPT	46	410	Two-sample Kolmogorov-Smirnov test	0.27592788971368	0.0037	KIRC	0.03224133971291866
AASS	46	410	Two-sample Kolmogorov-Smirnov test	0.154506892895016	0.2769	KIRC	0.49022093904928543
AATF	46	410	Two-sample Kolmogorov-Smirnov test	0.307953340402969	8e-04	KIRC	0.01190326797385621
AATK	46	410	Two-sample Kolmogorov-Smirnov test	0.346977730646872	1e-04	KIRC	0.0027469079939668175
ABAT	46	410	Two-sample Kolmogorov-Smirnov test	0.140827147401909	0.3849	KIRC	0.6015961894953656
ABCA1	46	410	Two-sample Kolmogorov-Smirnov test	0.22152704135737	0.0345	KIRC	0.1339403112342784
ABCA2	46	410	Two-sample Kolmogorov-Smirnov test	0.241039236479321	0.0164	KIRC	0.08411061672768234
ABCA3	46	410	Two-sample Kolmogorov-Smirnov test	0.228207847295864	0.0269	KIRC	0.1143030331311246
ABCA4	46	410	Two-sample Kolmogorov-Smirnov test	0.131177094379639	0.4751	KIRC	0.6830758032683351
ABCA5	46	410	Two-sample Kolmogorov-Smirnov test	0.205196182396607	0.0614	KIRC	0.19253044077134987
ABCA6	46	410	Two-sample Kolmogorov-Smirnov test	0.106574761399788	0.7354	KIRC	0.8808935017100763
ABCA7	46	410	Two-sample Kolmogorov-Smirnov test	0.354188759278897	1e-04	KIRC	0.0027469079939668175
ABCA8	46	410	Two-sample Kolmogorov-Smirnov test	0.247401908801697	0.0127	KIRC	0.0720761607977563
ABCA9	46	410	Two-sample Kolmogorov-Smirnov test	0.109119830328738	0.7083	KIRC	0.862039534883721
ABCA10	46	410	Two-sample Kolmogorov-Smirnov test	0.192576882290562	0.0930	KIRC	0.25177880184331797
ABCA12	46	410	Two-sample Kolmogorov-Smirnov test	0.165323435843054	0.2083	KIRC	0.4124779384581929
ABCA13	46	410	Two-sample Kolmogorov-Smirnov test	0.217921527041357	0.0394	KIRC	0.1449894524146292
