Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	49	166	Two-sample Kolmogorov-Smirnov test	0.0834767641996558	0.9547	KIRP	1
A2M	49	166	Two-sample Kolmogorov-Smirnov test	0.123555446274896	0.6104	KIRP	1
A2ML1	49	166	Two-sample Kolmogorov-Smirnov test	0.131300713056307	0.5318	KIRP	0.976817105395865
A4GALT	49	166	Two-sample Kolmogorov-Smirnov test	0.151462994836489	0.3506	KIRP	0.887996006101789
A4GNT	49	166	Two-sample Kolmogorov-Smirnov test	0.12441603147283	0.6015	KIRP	1
AAAS	49	166	Two-sample Kolmogorov-Smirnov test	0.151462994836489	0.3506	KIRP	0.887996006101789
AACS	49	166	Two-sample Kolmogorov-Smirnov test	0.151954757806737	0.3467	KIRP	0.8864427813459929
AADAC	49	166	Two-sample Kolmogorov-Smirnov test	0.0849520531104009	0.9477	KIRP	1
AADAT	49	166	Two-sample Kolmogorov-Smirnov test	0.143717728055077	0.4152	KIRP	0.9270102243471864
AAED1	49	166	Two-sample Kolmogorov-Smirnov test	0.0812638308335383	0.9640	KIRP	1
AAGAB	49	166	Two-sample Kolmogorov-Smirnov test	0.112982542414556	0.7196	KIRP	1
AAK1	49	166	Two-sample Kolmogorov-Smirnov test	0.147283009589378	0.3846	KIRP	0.9090636210253082
AAMDC	49	166	Two-sample Kolmogorov-Smirnov test	0.0914679124661913	0.9096	KIRP	1
AAMP	49	166	Two-sample Kolmogorov-Smirnov test	0.0904843865256947	0.9161	KIRP	1
AANAT	49	166	Two-sample Kolmogorov-Smirnov test	0.0891320383575116	0.9246	KIRP	1
AAR2	49	166	Two-sample Kolmogorov-Smirnov test	0.112367838701746	0.7259	KIRP	1
AARD	49	166	Two-sample Kolmogorov-Smirnov test	0.119621342512909	0.6512	KIRP	1
AARS	49	166	Two-sample Kolmogorov-Smirnov test	0.104991394148021	0.7985	KIRP	1
AARS2	49	166	Two-sample Kolmogorov-Smirnov test	0.200270469633637	0.0962	KIRP	0.5999980821917809
AARSD1	49	166	Two-sample Kolmogorov-Smirnov test	0.180108187853455	0.1717	KIRP	0.7277171049569466
AASDH	49	166	Two-sample Kolmogorov-Smirnov test	0.153798868945169	0.3324	KIRP	0.8771859000288933
AASDHPPT	49	166	Two-sample Kolmogorov-Smirnov test	0.142242439144332	0.4283	KIRP	0.9330317743662978
AASS	49	166	Two-sample Kolmogorov-Smirnov test	0.136587164986477	0.4804	KIRP	0.9553444856955667
AATF	49	166	Two-sample Kolmogorov-Smirnov test	0.172117039586919	0.2123	KIRP	0.7752972929617005
AATK	49	166	Two-sample Kolmogorov-Smirnov test	0.132284238996803	0.5221	KIRP	0.9746294792947929
ABAT	49	166	Two-sample Kolmogorov-Smirnov test	0.177772313744775	0.1829	KIRP	0.7400521661852921
ABCA1	49	166	Two-sample Kolmogorov-Smirnov test	0.155520039341038	0.3195	KIRP	0.8687099598034838
ABCA2	49	166	Two-sample Kolmogorov-Smirnov test	0.154659454143103	0.3259	KIRP	0.8734791464311995
ABCA3	49	166	Two-sample Kolmogorov-Smirnov test	0.232726825670027	0.0332	KIRP	0.41814550484094054
ABCA4	49	166	Two-sample Kolmogorov-Smirnov test	0.136464224243914	0.4816	KIRP	0.9556302141071622
ABCA5	49	166	Two-sample Kolmogorov-Smirnov test	0.187853454634866	0.1384	KIRP	0.6810431775195893
ABCA6	49	166	Two-sample Kolmogorov-Smirnov test	0.0860585197934596	0.9420	KIRP	1
ABCA7	49	166	Two-sample Kolmogorov-Smirnov test	0.108802557167445	0.7617	KIRP	1
ABCA8	49	166	Two-sample Kolmogorov-Smirnov test	0.206540447504303	0.0793	KIRP	0.5719649900990099
ABCA9	49	166	Two-sample Kolmogorov-Smirnov test	0.0869191049913942	0.9374	KIRP	1
ABCA10	49	166	Two-sample Kolmogorov-Smirnov test	0.200885173346447	0.0944	KIRP	0.5969488888888889
ABCA12	49	166	Two-sample Kolmogorov-Smirnov test	0.126383083353823	0.5814	KIRP	0.9955255395008444
ABCA13	49	166	Two-sample Kolmogorov-Smirnov test	0.140275387263339	0.4461	KIRP	0.9370411568920004
ABCB1	49	166	Two-sample Kolmogorov-Smirnov test	0.140152446520777	0.4472	KIRP	0.9370411568920004
ABCB4	49	166	Two-sample Kolmogorov-Smirnov test	0.194861076960905	0.1130	KIRP	0.6347797655768045
ABCB5	49	166	Two-sample Kolmogorov-Smirnov test	0.0985984755347922	0.8556	KIRP	1
ABCB6	49	166	Two-sample Kolmogorov-Smirnov test	0.213671010572904	0.0632	KIRP	0.533610755679184
ABCB7	49	166	Two-sample Kolmogorov-Smirnov test	0.137447750184411	0.4723	KIRP	0.9499202208724462
ABCB8	49	166	Two-sample Kolmogorov-Smirnov test	0.121219572166216	0.6346	KIRP	1
ABCB9	49	166	Two-sample Kolmogorov-Smirnov test	0.242439144332432	0.0234	KIRP	0.35872121212121216
ABCB10	49	166	Two-sample Kolmogorov-Smirnov test	0.102163757069093	0.8246	KIRP	1
ABCB11	49	166	Two-sample Kolmogorov-Smirnov test	0.117408409146791	0.6741	KIRP	1
ABCC1	49	166	Two-sample Kolmogorov-Smirnov test	0.169904106220802	0.2248	KIRP	0.7891398612181959
ABCC2	49	166	Two-sample Kolmogorov-Smirnov test	0.114457831325301	0.7046	KIRP	1
ABCC3	49	166	Two-sample Kolmogorov-Smirnov test	0.128227194492255	0.5626	KIRP	0.9897599159342758
ABCC4	49	166	Two-sample Kolmogorov-Smirnov test	0.134988935333169	0.4957	KIRP	0.9628507252559727
ABCC5	49	166	Two-sample Kolmogorov-Smirnov test	0.128718957462503	0.5577	KIRP	0.988499503649635
ABCC6	49	166	Two-sample Kolmogorov-Smirnov test	0.164740595033194	0.2560	KIRP	0.8186605794556628
ABCC8	49	166	Two-sample Kolmogorov-Smirnov test	0.0901155642980084	0.9184	KIRP	1
ABCC9	49	166	Two-sample Kolmogorov-Smirnov test	0.109294320137694	0.7568	KIRP	1
ABCC10	49	166	Two-sample Kolmogorov-Smirnov test	0.0942955495451192	0.8896	KIRP	1
ABCC11	49	166	Two-sample Kolmogorov-Smirnov test	0.151954757806737	0.3467	KIRP	0.8864427813459929
ABCC12	49	166	Two-sample Kolmogorov-Smirnov test	0.0408163265306124	1.0000	KIRP	1
ABCD1	49	166	Two-sample Kolmogorov-Smirnov test	0.0915908532087535	0.9088	KIRP	1
ABCD2	49	166	Two-sample Kolmogorov-Smirnov test	0.252151462994837	0.0163	KIRP	0.30858170478170477
ABCD3	49	166	Two-sample Kolmogorov-Smirnov test	0.134374231620359	0.5017	KIRP	0.9674765930599368
ABCD4	49	166	Two-sample Kolmogorov-Smirnov test	0.143717728055077	0.4152	KIRP	0.9270102243471864
ABCE1	49	166	Two-sample Kolmogorov-Smirnov test	0.0740103270223751	0.9857	KIRP	1
ABCF1	49	166	Two-sample Kolmogorov-Smirnov test	0.0944184902876812	0.8887	KIRP	1
ABCF2	49	166	Two-sample Kolmogorov-Smirnov test	0.178141135972461	0.1811	KIRP	0.7373559579700426
ABCF3	49	166	Two-sample Kolmogorov-Smirnov test	0.140644209491025	0.4427	KIRP	0.9362968760887236
ABCG1	49	166	Two-sample Kolmogorov-Smirnov test	0.0813867715761003	0.9636	KIRP	1
ABCG2	49	166	Two-sample Kolmogorov-Smirnov test	0.175190558150971	0.1959	KIRP	0.7549155311045281
ABCG4	49	166	Two-sample Kolmogorov-Smirnov test	0.237398573887386	0.0281	KIRP	0.3921511111111111
ABHD1	49	166	Two-sample Kolmogorov-Smirnov test	0.177157610031965	0.1859	KIRP	0.7422957246217935
ABHD2	49	166	Two-sample Kolmogorov-Smirnov test	0.14974182444062	0.3644	KIRP	0.8954868168938064
ABHD3	49	166	Two-sample Kolmogorov-Smirnov test	0.128350135234817	0.5614	KIRP	0.9897599159342758
ABHD4	49	166	Two-sample Kolmogorov-Smirnov test	0.13265306122449	0.5185	KIRP	0.9736978758506908
ABHD5	49	166	Two-sample Kolmogorov-Smirnov test	0.176542906319154	0.1890	KIRP	0.747078147987884
ABHD6	49	166	Two-sample Kolmogorov-Smirnov test	0.123678387017458	0.6091	KIRP	1
ABHD8	49	166	Two-sample Kolmogorov-Smirnov test	0.111384312761249	0.7359	KIRP	1
ABHD10	49	166	Two-sample Kolmogorov-Smirnov test	0.09847553479223	0.8566	KIRP	1
ABHD11	49	166	Two-sample Kolmogorov-Smirnov test	0.135357757560856	0.4922	KIRP	0.9622097896092744
ABHD12	49	166	Two-sample Kolmogorov-Smirnov test	0.151954757806737	0.3467	KIRP	0.8864427813459929
ABHD12B	49	166	Two-sample Kolmogorov-Smirnov test	0.107573149741824	0.7737	KIRP	1
ABHD13	49	166	Two-sample Kolmogorov-Smirnov test	0.160068846815835	0.2870	KIRP	0.8444012924071082
ABHD14A	49	166	Two-sample Kolmogorov-Smirnov test	0.177157610031965	0.1859	KIRP	0.7422957246217935
ABHD14A-ACY1	49	166	Two-sample Kolmogorov-Smirnov test	0.149373002212933	0.3674	KIRP	0.8975303554661301
ABHD14B	49	166	Two-sample Kolmogorov-Smirnov test	0.0869191049913942	0.9374	KIRP	1
ABHD15	49	166	Two-sample Kolmogorov-Smirnov test	0.192894025079911	0.1197	KIRP	0.650156993736952
ABHD16A	49	166	Two-sample Kolmogorov-Smirnov test	0.0845832308827145	0.9495	KIRP	1
ABHD16B	49	166	Two-sample Kolmogorov-Smirnov test	0.183427587902631	0.1567	KIRP	0.7095934814814815
ABHD17A	49	166	Two-sample Kolmogorov-Smirnov test	0.0713056306860094	0.9906	KIRP	1
