Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	7	25	Two-sample Kolmogorov-Smirnov test	0.274285714285714	0.8052	Kidney	1
A2M	7	25	Two-sample Kolmogorov-Smirnov test	0.2	0.9810	Kidney	1
A2ML1	7	25	Two-sample Kolmogorov-Smirnov test	0.274285714285714	0.8052	Kidney	1
A4GALT	7	25	Two-sample Kolmogorov-Smirnov test	0.394285714285714	0.3630	Kidney	1
A4GNT	7	25	Two-sample Kolmogorov-Smirnov test	0.24	0.9111	Kidney	1
AAAS	7	25	Two-sample Kolmogorov-Smirnov test	0.68	0.0127	Kidney	0.9546169184290031
AACS	7	25	Two-sample Kolmogorov-Smirnov test	0.2	0.9810	Kidney	1
AADAC	7	25	Two-sample Kolmogorov-Smirnov test	0.417142857142857	0.2972	Kidney	1
AADAT	7	25	Two-sample Kolmogorov-Smirnov test	0.297142857142857	0.7197	Kidney	1
AAED1	7	25	Two-sample Kolmogorov-Smirnov test	0.331428571428571	0.5852	Kidney	1
AAGAB	7	25	Two-sample Kolmogorov-Smirnov test	0.697142857142857	0.0098	Kidney	0.9546169184290031
AAK1	7	25	Two-sample Kolmogorov-Smirnov test	0.257142857142857	0.8625	Kidney	1
AAMDC	7	25	Two-sample Kolmogorov-Smirnov test	0.291428571428571	0.7417	Kidney	1
AAMP	7	25	Two-sample Kolmogorov-Smirnov test	0.308571428571429	0.6750	Kidney	1
AANAT	7	25	Two-sample Kolmogorov-Smirnov test	0.457142857142857	0.2032	Kidney	1
AAR2	7	25	Two-sample Kolmogorov-Smirnov test	0.297142857142857	0.7197	Kidney	1
AARD	7	25	Two-sample Kolmogorov-Smirnov test	0.617142857142857	0.0310	Kidney	0.9546169184290031
AARS	7	25	Two-sample Kolmogorov-Smirnov test	0.32	0.6300	Kidney	1
AARS2	7	25	Two-sample Kolmogorov-Smirnov test	0.377142857142857	0.4181	Kidney	1
AARSD1	7	25	Two-sample Kolmogorov-Smirnov test	0.48	0.1608	Kidney	1
AASDH	7	25	Two-sample Kolmogorov-Smirnov test	0.2	0.9810	Kidney	1
AASDHPPT	7	25	Two-sample Kolmogorov-Smirnov test	0.314285714285714	0.6525	Kidney	1
AASS	7	25	Two-sample Kolmogorov-Smirnov test	0.217142857142857	0.9587	Kidney	1
AATF	7	25	Two-sample Kolmogorov-Smirnov test	0.434285714285714	0.2537	Kidney	1
AATK	7	25	Two-sample Kolmogorov-Smirnov test	0.617142857142857	0.0310	Kidney	0.9546169184290031
ABAT	7	25	Two-sample Kolmogorov-Smirnov test	0.32	0.5159	Kidney	1
ABCA1	7	25	Two-sample Kolmogorov-Smirnov test	0.314285714285714	0.6525	Kidney	1
ABCA2	7	25	Two-sample Kolmogorov-Smirnov test	0.434285714285714	0.2537	Kidney	1
ABCA3	7	25	Two-sample Kolmogorov-Smirnov test	0.394285714285714	0.3630	Kidney	1
ABCA4	7	25	Two-sample Kolmogorov-Smirnov test	0.44	0.2402	Kidney	1
ABCA5	7	25	Two-sample Kolmogorov-Smirnov test	0.4	0.2624	Kidney	1
ABCA6	7	25	Two-sample Kolmogorov-Smirnov test	0.205714285714286	0.9748	Kidney	1
ABCA7	7	25	Two-sample Kolmogorov-Smirnov test	0.434285714285714	0.1938	Kidney	1
ABCA8	7	25	Two-sample Kolmogorov-Smirnov test	0.291428571428571	0.7417	Kidney	1
ABCA9	7	25	Two-sample Kolmogorov-Smirnov test	0.24	0.9111	Kidney	1
ABCA10	7	25	Two-sample Kolmogorov-Smirnov test	0.331428571428571	0.5852	Kidney	1
ABCA12	7	25	Two-sample Kolmogorov-Smirnov test	0.377142857142857	0.4181	Kidney	1
ABCA13	7	25	Two-sample Kolmogorov-Smirnov test	0.24	0.9111	Kidney	1
ABCB1	7	25	Two-sample Kolmogorov-Smirnov test	0.417142857142857	0.2972	Kidney	1
ABCB4	7	25	Two-sample Kolmogorov-Smirnov test	0.434285714285714	0.2537	Kidney	1
ABCB5	7	25	Two-sample Kolmogorov-Smirnov test	0.434285714285714	0.2537	Kidney	1
ABCB6	7	25	Two-sample Kolmogorov-Smirnov test	0.337142857142857	0.5631	Kidney	1
ABCB7	7	25	Two-sample Kolmogorov-Smirnov test	0.331428571428571	0.5852	Kidney	1
ABCB8	7	25	Two-sample Kolmogorov-Smirnov test	0.394285714285714	0.3630	Kidney	1
ABCB9	7	25	Two-sample Kolmogorov-Smirnov test	0.32	0.6300	Kidney	1
ABCB10	7	25	Two-sample Kolmogorov-Smirnov test	0.314285714285714	0.6525	Kidney	1
ABCB11	7	25	Two-sample Kolmogorov-Smirnov test	0.228571428571429	0.9375	Kidney	1
ABCC1	7	25	Two-sample Kolmogorov-Smirnov test	0.274285714285714	0.7115	Kidney	1
ABCC2	7	25	Two-sample Kolmogorov-Smirnov test	0.52	0.1039	Kidney	0.9885759071117561
ABCC3	7	25	Two-sample Kolmogorov-Smirnov test	0.474285714285714	0.1268	Kidney	1
ABCC4	7	25	Two-sample Kolmogorov-Smirnov test	0.52	0.1039	Kidney	0.9885759071117561
ABCC5	7	25	Two-sample Kolmogorov-Smirnov test	0.28	0.6836	Kidney	1
ABCC6	7	25	Two-sample Kolmogorov-Smirnov test	0.457142857142857	0.1445	Kidney	1
ABCC8	7	25	Two-sample Kolmogorov-Smirnov test	0.52	0.1039	Kidney	0.9885759071117561
ABCC9	7	25	Two-sample Kolmogorov-Smirnov test	0.234285714285714	0.8603	Kidney	1
ABCC10	7	25	Two-sample Kolmogorov-Smirnov test	0.32	0.6300	Kidney	1
