Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	15	159	Two-sample Kolmogorov-Smirnov test	0.186163522012579	0.7291	LIHC	1
A2M	15	159	Two-sample Kolmogorov-Smirnov test	0.216352201257862	0.5425	LIHC	1
A2ML1	15	159	Two-sample Kolmogorov-Smirnov test	0.0880503144654089	0.9999	LIHC	1
A4GALT	15	159	Two-sample Kolmogorov-Smirnov test	0.238993710691824	0.4140	LIHC	1
A4GNT	15	159	Two-sample Kolmogorov-Smirnov test	0.231446540880503	0.4549	LIHC	1
AAAS	15	159	Two-sample Kolmogorov-Smirnov test	0.162264150943396	0.8633	LIHC	1
AACS	15	159	Two-sample Kolmogorov-Smirnov test	0.167295597484277	0.8376	LIHC	1
AADAC	15	159	Two-sample Kolmogorov-Smirnov test	0.148427672955975	0.9233	LIHC	1
AADAT	15	159	Two-sample Kolmogorov-Smirnov test	0.178616352201258	0.7743	LIHC	1
AAED1	15	159	Two-sample Kolmogorov-Smirnov test	0.193710691823899	0.6825	LIHC	1
AAGAB	15	159	Two-sample Kolmogorov-Smirnov test	0.20125786163522	0.6354	LIHC	1
AAK1	15	159	Two-sample Kolmogorov-Smirnov test	0.369811320754717	0.0471	LIHC	1
AAMDC	15	159	Two-sample Kolmogorov-Smirnov test	0.186163522012579	0.7291	LIHC	1
AAMP	15	159	Two-sample Kolmogorov-Smirnov test	0.213836477987421	0.5577	LIHC	1
AANAT	15	159	Two-sample Kolmogorov-Smirnov test	0.20377358490566	0.6197	LIHC	1
AAR2	15	159	Two-sample Kolmogorov-Smirnov test	0.222641509433962	0.5052	LIHC	1
AARD	15	159	Two-sample Kolmogorov-Smirnov test	0.39622641509434	0.0270	LIHC	1
AARS	15	159	Two-sample Kolmogorov-Smirnov test	0.30314465408805	0.1610	LIHC	1
AARS2	15	159	Two-sample Kolmogorov-Smirnov test	0.384905660377359	0.0344	LIHC	1
AARSD1	15	159	Two-sample Kolmogorov-Smirnov test	0.421383647798742	0.0154	LIHC	0.9876727272727273
AASDH	15	159	Two-sample Kolmogorov-Smirnov test	0.173584905660377	0.8033	LIHC	1
AASDHPPT	15	159	Two-sample Kolmogorov-Smirnov test	0.128301886792453	0.9777	LIHC	1
AASS	15	159	Two-sample Kolmogorov-Smirnov test	0.176100628930818	0.7889	LIHC	1
AATF	15	159	Two-sample Kolmogorov-Smirnov test	0.523270440251572	0.0011	LIHC	0.72848
AATK	15	159	Two-sample Kolmogorov-Smirnov test	0.221383647798742	0.5126	LIHC	1
ABAT	15	159	Two-sample Kolmogorov-Smirnov test	0.220125786163522	0.5200	LIHC	1
ABCA1	15	159	Two-sample Kolmogorov-Smirnov test	0.184905660377358	0.7367	LIHC	1
ABCA2	15	159	Two-sample Kolmogorov-Smirnov test	0.140880503144654	0.9484	LIHC	1
ABCA3	15	159	Two-sample Kolmogorov-Smirnov test	0.147169811320755	0.9279	LIHC	1
ABCA4	15	159	Two-sample Kolmogorov-Smirnov test	0.132075471698113	0.9706	LIHC	1
