Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	48	368	Two-sample Kolmogorov-Smirnov test	0.167572463768116	0.1841	LUAD	0.5960585244444445
A2M	48	368	Two-sample Kolmogorov-Smirnov test	0.135869565217391	0.4133	LUAD	0.8064087850867796
A2ML1	48	368	Two-sample Kolmogorov-Smirnov test	0.121376811594203	0.5590	LUAD	0.8953045466537685
A4GALT	48	368	Two-sample Kolmogorov-Smirnov test	0.0769927536231884	0.9628	LUAD	1
A4GNT	48	368	Two-sample Kolmogorov-Smirnov test	0.0815217391304348	0.9404	LUAD	1
AAAS	48	368	Two-sample Kolmogorov-Smirnov test	0.192934782608696	0.0847	LUAD	0.44186662847321684
AACS	48	368	Two-sample Kolmogorov-Smirnov test	0.113224637681159	0.6477	LUAD	0.9387165685182239
AADAC	48	368	Two-sample Kolmogorov-Smirnov test	0.136775362318841	0.4049	LUAD	0.8004818497611811
AADAT	48	368	Two-sample Kolmogorov-Smirnov test	0.17481884057971	0.1492	LUAD	0.5453001003411599
AAED1	48	368	Two-sample Kolmogorov-Smirnov test	0.123188405797101	0.5397	LUAD	0.8850982800540297
AAGAB	48	368	Two-sample Kolmogorov-Smirnov test	0.078804347826087	0.9546	LUAD	1
AAK1	48	368	Two-sample Kolmogorov-Smirnov test	0.189311594202899	0.0953	LUAD	0.4630745997865528
AAMDC	48	368	Two-sample Kolmogorov-Smirnov test	0.167572463768116	0.1841	LUAD	0.5960585244444445
AAMP	48	368	Two-sample Kolmogorov-Smirnov test	0.124094202898551	0.5302	LUAD	0.8813437751004016
AANAT	48	368	Two-sample Kolmogorov-Smirnov test	0.129528985507246	0.4744	LUAD	0.8513769018525817
AAR2	48	368	Two-sample Kolmogorov-Smirnov test	0.0570652173913044	0.9991	LUAD	1
AARD	48	368	Two-sample Kolmogorov-Smirnov test	0.14945652173913	0.2991	LUAD	0.7144817943336831
AARS	48	368	Two-sample Kolmogorov-Smirnov test	0.129528985507246	0.4744	LUAD	0.8513769018525817
AARS2	48	368	Two-sample Kolmogorov-Smirnov test	0.17481884057971	0.1492	LUAD	0.5453001003411599
AARSD1	48	368	Two-sample Kolmogorov-Smirnov test	0.328804347826087	2e-04	LUAD	0.048565333333333335
AASDH	48	368	Two-sample Kolmogorov-Smirnov test	0.146739130434783	0.3200	LUAD	0.732140703517588
AASDHPPT	48	368	Two-sample Kolmogorov-Smirnov test	0.117753623188406	0.5981	LUAD	0.9165766745203634
AASS	48	368	Two-sample Kolmogorov-Smirnov test	0.173007246376812	0.1574	LUAD	0.5558597634283499
AATF	48	368	Two-sample Kolmogorov-Smirnov test	0.134057971014493	0.4303	LUAD	0.818788381569324
AATK	48	368	Two-sample Kolmogorov-Smirnov test	0.121376811594203	0.5590	LUAD	0.8953045466537685
ABAT	48	368	Two-sample Kolmogorov-Smirnov test	0.129528985507246	0.4744	LUAD	0.8513769018525817
ABCA1	48	368	Two-sample Kolmogorov-Smirnov test	0.140398550724638	0.3725	LUAD	0.776820107637696
ABCA2	48	368	Two-sample Kolmogorov-Smirnov test	0.208333333333333	0.0501	LUAD	0.35613629976580796
ABCA3	48	368	Two-sample Kolmogorov-Smirnov test	0.104166666666667	0.7462	LUAD	0.9834849037487334
ABCA4	48	368	Two-sample Kolmogorov-Smirnov test	0.0579710144927536	0.9988	LUAD	1
ABCA5	48	368	Two-sample Kolmogorov-Smirnov test	0.21195652173913	0.0441	LUAD	0.3394544378698225
ABCA6	48	368	Two-sample Kolmogorov-Smirnov test	0.17481884057971	0.1492	LUAD	0.5453001003411599
ABCA7	48	368	Two-sample Kolmogorov-Smirnov test	0.273550724637681	0.0035	LUAD	0.13447679324894515
ABCA8	48	368	Two-sample Kolmogorov-Smirnov test	0.141304347826087	0.3647	LUAD	0.770345209928091
ABCA9	48	368	Two-sample Kolmogorov-Smirnov test	0.167572463768116	0.1841	LUAD	0.5960585244444445
ABCA10	48	368	Two-sample Kolmogorov-Smirnov test	0.167572463768116	0.1841	LUAD	0.5960585244444445
ABCA12	48	368	Two-sample Kolmogorov-Smirnov test	0.304347826086956	8e-04	LUAD	0.08373333333333334
ABCA13	48	368	Two-sample Kolmogorov-Smirnov test	0.0923913043478261	0.8616	LUAD	1
ABCB1	48	368	Two-sample Kolmogorov-Smirnov test	0.0960144927536232	0.8286	LUAD	1
ABCB4	48	368	Two-sample Kolmogorov-Smirnov test	0.0869565217391304	0.9052	LUAD	1
ABCB5	48	368	Two-sample Kolmogorov-Smirnov test	0.145833333333333	0.3271	LUAD	0.73891654676259
ABCB6	48	368	Two-sample Kolmogorov-Smirnov test	0.181159420289855	0.1232	LUAD	0.5085490480507707
ABCB7	48	368	Two-sample Kolmogorov-Smirnov test	0.213768115942029	0.0413	LUAD	0.3313460792951542
ABCB8	48	368	Two-sample Kolmogorov-Smirnov test	0.132246376811594	0.4476	LUAD	0.8312115019883756
ABCB9	48	368	Two-sample Kolmogorov-Smirnov test	0.0688405797101449	0.9878	LUAD	1
ABCB10	48	368	Two-sample Kolmogorov-Smirnov test	0.184782608695652	0.1101	LUAD	0.4896559706959707
ABCB11	48	368	Two-sample Kolmogorov-Smirnov test	0.0878623188405797	0.8984	LUAD	1
ABCC1	48	368	Two-sample Kolmogorov-Smirnov test	0.116847826086957	0.6080	LUAD	0.9223570179092045
ABCC2	48	368	Two-sample Kolmogorov-Smirnov test	0.123188405797101	0.5397	LUAD	0.8850982800540297
ABCC3	48	368	Two-sample Kolmogorov-Smirnov test	0.133152173913043	0.4389	LUAD	0.8252371257485029
ABCC4	48	368	Two-sample Kolmogorov-Smirnov test	0.0951086956521739	0.8371	LUAD	1
ABCC5	48	368	Two-sample Kolmogorov-Smirnov test	0.0806159420289855	0.9454	LUAD	1
ABCC6	48	368	Two-sample Kolmogorov-Smirnov test	0.0751811594202898	0.9700	LUAD	1
ABCC8	48	368	Two-sample Kolmogorov-Smirnov test	0.098731884057971	0.8022	LUAD	1
ABCC9	48	368	Two-sample Kolmogorov-Smirnov test	0.172101449275362	0.1616	LUAD	0.5612241037376048
ABCC10	48	368	Two-sample Kolmogorov-Smirnov test	0.14945652173913	0.2991	LUAD	0.7144817943336831
ABCC11	48	368	Two-sample Kolmogorov-Smirnov test	0.0905797101449275	0.8769	LUAD	1
ABCC12	48	368	Two-sample Kolmogorov-Smirnov test	0.0851449275362319	0.9179	LUAD	1
ABCD1	48	368	Two-sample Kolmogorov-Smirnov test	0.155797101449275	0.2540	LUAD	0.6715807200929153
ABCD2	48	368	Two-sample Kolmogorov-Smirnov test	0.142210144927536	0.3570	LUAD	0.7654443136331528
ABCD3	48	368	Two-sample Kolmogorov-Smirnov test	0.218297101449275	0.0350	LUAD	0.31400000000000006
ABCD4	48	368	Two-sample Kolmogorov-Smirnov test	0.165760869565217	0.1938	LUAD	0.608951966873706
ABCE1	48	368	Two-sample Kolmogorov-Smirnov test	0.16304347826087	0.2090	LUAD	0.6282072949331572
ABCF1	48	368	Two-sample Kolmogorov-Smirnov test	0.199275362318841	0.0686	LUAD	0.40962072131147537
ABCF2	48	368	Two-sample Kolmogorov-Smirnov test	0.140398550724638	0.3725	LUAD	0.776820107637696
ABCF3	48	368	Two-sample Kolmogorov-Smirnov test	0.185688405797101	0.1070	LUAD	0.4839046436553266
ABCG1	48	368	Two-sample Kolmogorov-Smirnov test	0.183876811594203	0.1132	LUAD	0.49238079770718896
ABCG2	48	368	Two-sample Kolmogorov-Smirnov test	0.228260869565217	0.0240	LUAD	0.2755914249684741
ABCG4	48	368	Two-sample Kolmogorov-Smirnov test	0.106884057971014	0.7171	LUAD	0.9703414220967381
ABHD1	48	368	Two-sample Kolmogorov-Smirnov test	0.138586956521739	0.3885	LUAD	0.7882533422459893
ABHD2	48	368	Two-sample Kolmogorov-Smirnov test	0.154891304347826	0.2602	LUAD	0.6768693615197828
ABHD3	48	368	Two-sample Kolmogorov-Smirnov test	0.128623188405797	0.4835	LUAD	0.8575673938449552
ABHD4	48	368	Two-sample Kolmogorov-Smirnov test	0.206521739130435	0.0535	LUAD	0.3668456325301205
