Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	28	337	Two-sample Kolmogorov-Smirnov test	0.328317083509962	0.0076	LUSC	1
A2M	28	337	Two-sample Kolmogorov-Smirnov test	0.141903348876643	0.6752	LUSC	1
A2ML1	28	337	Two-sample Kolmogorov-Smirnov test	0.165112335735481	0.4814	LUSC	1
A4GALT	28	337	Two-sample Kolmogorov-Smirnov test	0.145188639253921	0.6470	LUSC	1
A4GNT	28	337	Two-sample Kolmogorov-Smirnov test	0.239296311996609	0.1035	LUSC	1
AAAS	28	337	Two-sample Kolmogorov-Smirnov test	0.168821534548537	0.4527	LUSC	1
AACS	28	337	Two-sample Kolmogorov-Smirnov test	0.129610004239084	0.7779	LUSC	1
AADAC	28	337	Two-sample Kolmogorov-Smirnov test	0.218948707079271	0.1676	LUSC	1
AADAT	28	337	Two-sample Kolmogorov-Smirnov test	0.242793556591776	0.0949	LUSC	1
AAED1	28	337	Two-sample Kolmogorov-Smirnov test	0.198813056379822	0.2585	LUSC	1
AAGAB	28	337	Two-sample Kolmogorov-Smirnov test	0.179737176769818	0.3739	LUSC	1
AAK1	28	337	Two-sample Kolmogorov-Smirnov test	0.217994913098771	0.1713	LUSC	1
AAMDC	28	337	Two-sample Kolmogorov-Smirnov test	0.201250529885545	0.2459	LUSC	1
AAMP	28	337	Two-sample Kolmogorov-Smirnov test	0.106612971598135	0.9306	LUSC	1
AANAT	28	337	Two-sample Kolmogorov-Smirnov test	0.105129292072912	0.9375	LUSC	1
AAR2	28	337	Two-sample Kolmogorov-Smirnov test	0.182598558711318	0.3547	LUSC	1
AARD	28	337	Two-sample Kolmogorov-Smirnov test	0.159071640525646	0.5299	LUSC	1
AARS	28	337	Two-sample Kolmogorov-Smirnov test	0.164900381517592	0.4831	LUSC	1
AARS2	28	337	Two-sample Kolmogorov-Smirnov test	0.115727002967359	0.8792	LUSC	1
AARSD1	28	337	Two-sample Kolmogorov-Smirnov test	0.310194997880458	0.0138	LUSC	1
AASDH	28	337	Two-sample Kolmogorov-Smirnov test	0.109050445103858	0.9183	LUSC	1
AASDHPPT	28	337	Two-sample Kolmogorov-Smirnov test	0.120178041543027	0.8493	LUSC	1
AASS	28	337	Two-sample Kolmogorov-Smirnov test	0.0971810089020771	0.9676	LUSC	1
AATF	28	337	Two-sample Kolmogorov-Smirnov test	0.129610004239084	0.7779	LUSC	1
AATK	28	337	Two-sample Kolmogorov-Smirnov test	0.224459516744383	0.1478	LUSC	1
ABAT	28	337	Two-sample Kolmogorov-Smirnov test	0.167549809241204	0.4624	LUSC	1
ABCA1	28	337	Two-sample Kolmogorov-Smirnov test	0.200826621449767	0.2481	LUSC	1
ABCA2	28	337	Two-sample Kolmogorov-Smirnov test	0.108838490885969	0.9194	LUSC	1
ABCA3	28	337	Two-sample Kolmogorov-Smirnov test	0.145082662144977	0.6479	LUSC	1
ABCA4	28	337	Two-sample Kolmogorov-Smirnov test	0.0899745654938534	0.9849	LUSC	1
ABCA5	28	337	Two-sample Kolmogorov-Smirnov test	0.24194573972022	0.0969	LUSC	1
ABCA6	28	337	Two-sample Kolmogorov-Smirnov test	0.307545570156846	0.0150	LUSC	1
ABCA7	28	337	Two-sample Kolmogorov-Smirnov test	0.18524798643493	0.3376	LUSC	1
ABCA8	28	337	Two-sample Kolmogorov-Smirnov test	0.171153030945316	0.4351	LUSC	1
ABCA9	28	337	Two-sample Kolmogorov-Smirnov test	0.197965239508266	0.2630	LUSC	1
ABCA10	28	337	Two-sample Kolmogorov-Smirnov test	0.272573124205172	0.0429	LUSC	1
ABCA12	28	337	Two-sample Kolmogorov-Smirnov test	0.254557015684612	0.0701	LUSC	1
ABCA13	28	337	Two-sample Kolmogorov-Smirnov test	0.149957609156422	0.6062	LUSC	1
ABCB1	28	337	Two-sample Kolmogorov-Smirnov test	0.173060618906316	0.4210	LUSC	1
ABCB4	28	337	Two-sample Kolmogorov-Smirnov test	0.112653666807969	0.8981	LUSC	1
ABCB5	28	337	Two-sample Kolmogorov-Smirnov test	0.147732089868588	0.6252	LUSC	1
ABCB6	28	337	Two-sample Kolmogorov-Smirnov test	0.103433658329801	0.9449	LUSC	1
ABCB7	28	337	Two-sample Kolmogorov-Smirnov test	0.152501059771089	0.5846	LUSC	1
