Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	15	97	Two-sample Kolmogorov-Smirnov test	0.290034364261168	0.2245	Liver	1
A2M	15	97	Two-sample Kolmogorov-Smirnov test	0.207560137457045	0.6303	Liver	1
A2ML1	15	97	Two-sample Kolmogorov-Smirnov test	0.193814432989691	0.7136	Liver	1
A4GALT	15	97	Two-sample Kolmogorov-Smirnov test	0.195876288659794	0.7012	Liver	1
A4GNT	15	97	Two-sample Kolmogorov-Smirnov test	0.150515463917526	0.9301	Liver	1
AAAS	15	97	Two-sample Kolmogorov-Smirnov test	0.111340206185567	0.9971	Liver	1
AACS	15	97	Two-sample Kolmogorov-Smirnov test	0.19106529209622	0.7300	Liver	1
AADAC	15	97	Two-sample Kolmogorov-Smirnov test	0.301718213058419	0.1877	Liver	1
AADAT	15	97	Two-sample Kolmogorov-Smirnov test	0.169072164948454	0.8516	Liver	1
AAED1	15	97	Two-sample Kolmogorov-Smirnov test	0.130584192439863	0.9797	Liver	1
AAGAB	15	97	Two-sample Kolmogorov-Smirnov test	0.187628865979381	0.7503	Liver	1
AAK1	15	97	Two-sample Kolmogorov-Smirnov test	0.353264604810997	0.0781	Liver	1
AAMDC	15	97	Two-sample Kolmogorov-Smirnov test	0.309278350515464	0.1665	Liver	1
AAMP	15	97	Two-sample Kolmogorov-Smirnov test	0.101030927835052	0.9994	Liver	1
AANAT	15	97	Two-sample Kolmogorov-Smirnov test	0.12233676975945	0.9900	Liver	1
AAR2	15	97	Two-sample Kolmogorov-Smirnov test	0.168384879725086	0.8550	Liver	1
AARD	15	97	Two-sample Kolmogorov-Smirnov test	0.121649484536082	0.9907	Liver	1
AARS	15	97	Two-sample Kolmogorov-Smirnov test	0.121649484536082	0.9907	Liver	1
AARS2	15	97	Two-sample Kolmogorov-Smirnov test	0.160137457044674	0.8930	Liver	1
AARSD1	15	97	Two-sample Kolmogorov-Smirnov test	0.186941580756014	0.7543	Liver	1
AASDH	15	97	Two-sample Kolmogorov-Smirnov test	0.274226804123711	0.2827	Liver	1
AASDHPPT	15	97	Two-sample Kolmogorov-Smirnov test	0.264604810996564	0.3230	Liver	1
AASS	15	97	Two-sample Kolmogorov-Smirnov test	0.254982817869416	0.3670	Liver	1
AATF	15	97	Two-sample Kolmogorov-Smirnov test	0.14020618556701	0.9604	Liver	1
AATK	15	97	Two-sample Kolmogorov-Smirnov test	0.163573883161512	0.8778	Liver	1
ABAT	15	97	Two-sample Kolmogorov-Smirnov test	0.281786941580756	0.2536	Liver	1
ABCA1	15	97	Two-sample Kolmogorov-Smirnov test	0.182817869415808	0.7780	Liver	1
