Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	39	269	Two-sample Kolmogorov-Smirnov test	0.104851777714231	0.8481	Lung	0.9976487017181243
A2M	39	269	Two-sample Kolmogorov-Smirnov test	0.158516823944333	0.3590	Lung	0.7314489057615008
A2ML1	39	269	Two-sample Kolmogorov-Smirnov test	0.161853016871604	0.3342	Lung	0.7107329059330925
A4GALT	39	269	Two-sample Kolmogorov-Smirnov test	0.0853112191402154	0.9653	Lung	1
A4GNT	39	269	Two-sample Kolmogorov-Smirnov test	0.180535697264322	0.2169	Lung	0.6017950639853747
AAAS	39	269	Two-sample Kolmogorov-Smirnov test	0.139929463349538	0.5173	Lung	0.8395568365803755
AACS	39	269	Two-sample Kolmogorov-Smirnov test	0.257077494995711	0.0222	Lung	0.24488576620230165
AADAC	39	269	Two-sample Kolmogorov-Smirnov test	0.180821656658088	0.2153	Lung	0.5994562910869897
AADAT	39	269	Two-sample Kolmogorov-Smirnov test	0.256314936612334	0.0228	Lung	0.24642943620178043
AAED1	39	269	Two-sample Kolmogorov-Smirnov test	0.237250977027929	0.0432	Lung	0.3177537964458805
AAGAB	39	269	Two-sample Kolmogorov-Smirnov test	0.0784481936898294	0.9848	Lung	1
AAK1	39	269	Two-sample Kolmogorov-Smirnov test	0.0717758078352874	0.9947	Lung	1
AAMDC	39	269	Two-sample Kolmogorov-Smirnov test	0.194452387760938	0.1521	Lung	0.5184437956204381
AAMP	39	269	Two-sample Kolmogorov-Smirnov test	0.183299971404061	0.2026	Lung	0.5843761799176433
AANAT	39	269	Two-sample Kolmogorov-Smirnov test	0.162996854446669	0.3259	Lung	0.703984201162377
AAR2	39	269	Two-sample Kolmogorov-Smirnov test	0.181965494233152	0.2094	Lung	0.5930342538008068
AARD	39	269	Two-sample Kolmogorov-Smirnov test	0.106853493470594	0.8315	Lung	0.991292106467857
AARS	39	269	Two-sample Kolmogorov-Smirnov test	0.213135068153655	0.0906	Lung	0.4217418005610814
AARS2	39	269	Two-sample Kolmogorov-Smirnov test	0.297493089314651	0.0048	Lung	0.13346198473282442
AARSD1	39	269	Two-sample Kolmogorov-Smirnov test	0.238394814602993	0.0416	Lung	0.3115210526315789
AASDH	39	269	Two-sample Kolmogorov-Smirnov test	0.183014012010295	0.2040	Lung	0.5848021407209193
AASDHPPT	39	269	Two-sample Kolmogorov-Smirnov test	0.137641788199409	0.5388	Lung	0.8515686539963551
AASS	39	269	Two-sample Kolmogorov-Smirnov test	0.119149747402535	0.7189	Lung	0.9432713832853026
AATF	39	269	Two-sample Kolmogorov-Smirnov test	0.178819940901725	0.2261	Lung	0.6098538507109005
AATK	39	269	Two-sample Kolmogorov-Smirnov test	0.14850824516252	0.4403	Lung	0.794198042511122
ABAT	39	269	Two-sample Kolmogorov-Smirnov test	0.113049280335526	0.7767	Lung	0.9679253045025317
ABCA1	39	269	Two-sample Kolmogorov-Smirnov test	0.177104184539129	0.2357	Lung	0.6209114318706698
ABCA2	39	269	Two-sample Kolmogorov-Smirnov test	0.27585549518635	0.0112	Lung	0.18747647058823527
ABCA3	39	269	Two-sample Kolmogorov-Smirnov test	0.132494519111619	0.5882	Lung	0.8801943719747313
ABCA4	39	269	Two-sample Kolmogorov-Smirnov test	0.167667524544848	0.2937	Lung	0.6783594673430565
ABCA5	39	269	Two-sample Kolmogorov-Smirnov test	0.268897149938042	0.0145	Lung	0.20679248238057948
ABCA6	39	269	Two-sample Kolmogorov-Smirnov test	0.14145458011629	0.5032	Lung	0.8307401574803149
ABCA7	39	269	Two-sample Kolmogorov-Smirnov test	0.128395767800972	0.6283	Lung	0.8995910189982728
ABCA8	39	269	Two-sample Kolmogorov-Smirnov test	0.159946620913164	0.3482	Lung	0.7227511283337132
ABCA9	39	269	Two-sample Kolmogorov-Smirnov test	0.176436945953675	0.2395	Lung	0.6236986301369863
ABCA10	39	269	Two-sample Kolmogorov-Smirnov test	0.149938042131351	0.4281	Lung	0.7861017543859649
ABCA12	39	269	Two-sample Kolmogorov-Smirnov test	0.0740634829854161	0.9921	Lung	1
ABCA13	39	269	Two-sample Kolmogorov-Smirnov test	0.141168620722524	0.5058	Lung	0.8319000812787863
ABCB1	39	269	Two-sample Kolmogorov-Smirnov test	0.195691545133924	0.1472	Lung	0.5127785768936496
