Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
A1BG	7	139	Two-sample Kolmogorov-Smirnov test	0.306269270298047	0.5594	PRAD	1
A2M	7	139	Two-sample Kolmogorov-Smirnov test	0.175745118191161	0.9862	PRAD	1
A2ML1	7	139	Two-sample Kolmogorov-Smirnov test	0.36896197327852	0.3244	PRAD	1
A4GALT	7	139	Two-sample Kolmogorov-Smirnov test	0.238437821171634	0.8431	PRAD	1
A4GNT	7	139	Two-sample Kolmogorov-Smirnov test	0.118191161356629	1.0000	PRAD	1
AAAS	7	139	Two-sample Kolmogorov-Smirnov test	0.359712230215827	0.3545	PRAD	1
AACS	7	139	Two-sample Kolmogorov-Smirnov test	0.2672147995889	0.7281	PRAD	1
AADAC	7	139	Two-sample Kolmogorov-Smirnov test	0.149023638232271	0.9984	PRAD	1
AADAT	7	139	Two-sample Kolmogorov-Smirnov test	0.290853031860226	0.6257	PRAD	1
AAED1	7	139	Two-sample Kolmogorov-Smirnov test	0.228160328879753	0.8785	PRAD	1
AAGAB	7	139	Two-sample Kolmogorov-Smirnov test	0.503597122302158	0.0681	PRAD	1
AAK1	7	139	Two-sample Kolmogorov-Smirnov test	0.303186022610483	0.5725	PRAD	1
AAMDC	7	139	Two-sample Kolmogorov-Smirnov test	0.419321685508736	0.1918	PRAD	1
AAMP	7	139	Two-sample Kolmogorov-Smirnov test	0.205549845837616	0.9409	PRAD	1
AANAT	7	139	Two-sample Kolmogorov-Smirnov test	0.275436793422405	0.6928	PRAD	1
AAR2	7	139	Two-sample Kolmogorov-Smirnov test	0.345323741007194	0.4046	PRAD	1
AARD	7	139	Two-sample Kolmogorov-Smirnov test	0.326824254881809	0.4749	PRAD	1
AARS	7	139	Two-sample Kolmogorov-Smirnov test	0.26207605344296	0.7498	PRAD	1
AARS2	7	139	Two-sample Kolmogorov-Smirnov test	0.291880781089414	0.6213	PRAD	1
AARSD1	7	139	Two-sample Kolmogorov-Smirnov test	0.253854059609455	0.7837	PRAD	1
AASDH	7	139	Two-sample Kolmogorov-Smirnov test	0.258992805755396	0.7627	PRAD	1
AASDHPPT	7	139	Two-sample Kolmogorov-Smirnov test	0.223021582733813	0.8947	PRAD	1
AASS	7	139	Two-sample Kolmogorov-Smirnov test	0.534429599177801	0.0444	PRAD	1
AATF	7	139	Two-sample Kolmogorov-Smirnov test	0.287769784172662	0.6391	PRAD	1
AATK	7	139	Two-sample Kolmogorov-Smirnov test	0.456320657759507	0.1246	PRAD	1
ABAT	7	139	Two-sample Kolmogorov-Smirnov test	0.281603288797533	0.6660	PRAD	1
ABCA1	7	139	Two-sample Kolmogorov-Smirnov test	0.397738951695786	0.2424	PRAD	1
ABCA2	7	139	Two-sample Kolmogorov-Smirnov test	0.21377183967112	0.9209	PRAD	1
ABCA3	7	139	Two-sample Kolmogorov-Smirnov test	0.354573484069887	0.3719	PRAD	1
ABCA4	7	139	Two-sample Kolmogorov-Smirnov test	0.353545734840699	0.3754	PRAD	1
ABCA5	7	139	Two-sample Kolmogorov-Smirnov test	0.166495375128469	0.9927	PRAD	1
ABCA6	7	139	Two-sample Kolmogorov-Smirnov test	0.18191161356629	0.9801	PRAD	1
ABCA7	7	139	Two-sample Kolmogorov-Smirnov test	0.25693730729702	0.7711	PRAD	1
ABCA8	7	139	Two-sample Kolmogorov-Smirnov test	0.302158273381295	0.5769	PRAD	1
ABCA9	7	139	Two-sample Kolmogorov-Smirnov test	0.252826310380267	0.7878	PRAD	1
ABCA10	7	139	Two-sample Kolmogorov-Smirnov test	0.424460431654676	0.1810	PRAD	1
ABCA12	7	139	Two-sample Kolmogorov-Smirnov test	0.633093525179856	0.0096	PRAD	1
ABCA13	7	139	Two-sample Kolmogorov-Smirnov test	0.356628982528263	0.3649	PRAD	1
ABCB1	7	139	Two-sample Kolmogorov-Smirnov test	0.448098663926002	0.1376	PRAD	1
ABCB4	7	139	Two-sample Kolmogorov-Smirnov test	0.295991778006166	0.6035	PRAD	1
ABCB5	7	139	Two-sample Kolmogorov-Smirnov test	0.304213771839671	0.5682	PRAD	1
ABCB6	7	139	Two-sample Kolmogorov-Smirnov test	0.210688591983556	0.9288	PRAD	1
ABCB7	7	139	Two-sample Kolmogorov-Smirnov test	0.191161356628982	0.9680	PRAD	1
ABCB8	7	139	Two-sample Kolmogorov-Smirnov test	0.220966084275437	0.9008	PRAD	1
ABCB9	7	139	Two-sample Kolmogorov-Smirnov test	0.375128468653649	0.3054	PRAD	1
ABCB10	7	139	Two-sample Kolmogorov-Smirnov test	0.381294964028777	0.2872	PRAD	1
ABCB11	7	139	Two-sample Kolmogorov-Smirnov test	0.212744090441932	0.9236	PRAD	1
ABCC1	7	139	Two-sample Kolmogorov-Smirnov test	0.294964028776978	0.6079	PRAD	1
ABCC2	7	139	Two-sample Kolmogorov-Smirnov test	0.369989722507708	0.3212	PRAD	1
ABCC3	7	139	Two-sample Kolmogorov-Smirnov test	0.504624871531346	0.0671	PRAD	1
ABCC4	7	139	Two-sample Kolmogorov-Smirnov test	0.355601233299075	0.3684	PRAD	1
ABCC5	7	139	Two-sample Kolmogorov-Smirnov test	0.184994861253854	0.9765	PRAD	1
ABCC6	7	139	Two-sample Kolmogorov-Smirnov test	0.36382322713258	0.3409	PRAD	1
ABCC8	7	139	Two-sample Kolmogorov-Smirnov test	0.273381294964029	0.7016	PRAD	1
ABCC9	7	139	Two-sample Kolmogorov-Smirnov test	0.37410071942446	0.3085	PRAD	1
ABCC10	7	139	Two-sample Kolmogorov-Smirnov test	0.25693730729702	0.7711	PRAD	1
ABCC11	7	139	Two-sample Kolmogorov-Smirnov test	0.326824254881809	0.4749	PRAD	1
ABCC12	7	139	Two-sample Kolmogorov-Smirnov test	0.316546762589928	0.5165	PRAD	1
ABCD1	7	139	Two-sample Kolmogorov-Smirnov test	0.254881808838643	0.7795	PRAD	1
ABCD2	7	139	Two-sample Kolmogorov-Smirnov test	0.482014388489209	0.0904	PRAD	1
ABCD3	7	139	Two-sample Kolmogorov-Smirnov test	0.245632065775951	0.8162	PRAD	1
ABCD4	7	139	Two-sample Kolmogorov-Smirnov test	0.291880781089414	0.6213	PRAD	1
ABCE1	7	139	Two-sample Kolmogorov-Smirnov test	0.180883864337102	0.9813	PRAD	1
ABCF1	7	139	Two-sample Kolmogorov-Smirnov test	0.330935251798561	0.4588	PRAD	1
ABCF2	7	139	Two-sample Kolmogorov-Smirnov test	0.425488180883864	0.1790	PRAD	1
ABCF3	7	139	Two-sample Kolmogorov-Smirnov test	0.345323741007194	0.4046	PRAD	1
ABCG1	7	139	Two-sample Kolmogorov-Smirnov test	0.454265159301131	0.1278	PRAD	1
ABCG2	7	139	Two-sample Kolmogorov-Smirnov test	0.334018499486125	0.4469	PRAD	1
ABCG4	7	139	Two-sample Kolmogorov-Smirnov test	0.356628982528263	0.3649	PRAD	1
ABHD1	7	139	Two-sample Kolmogorov-Smirnov test	0.280575539568345	0.6705	PRAD	1
ABHD2	7	139	Two-sample Kolmogorov-Smirnov test	0.227132579650565	0.8818	PRAD	1
ABHD3	7	139	Two-sample Kolmogorov-Smirnov test	0.334018499486125	0.4469	PRAD	1
ABHD4	7	139	Two-sample Kolmogorov-Smirnov test	0.26207605344296	0.7498	PRAD	1
ABHD5	7	139	Two-sample Kolmogorov-Smirnov test	0.275436793422405	0.6928	PRAD	1
ABHD6	7	139	Two-sample Kolmogorov-Smirnov test	0.34737923946557	0.3972	PRAD	1
ABHD8	7	139	Two-sample Kolmogorov-Smirnov test	0.227132579650565	0.8818	PRAD	1
ABHD10	7	139	Two-sample Kolmogorov-Smirnov test	0.37410071942446	0.3085	PRAD	1
ABHD11	7	139	Two-sample Kolmogorov-Smirnov test	0.174717368961973	0.9871	PRAD	1
ABHD12	7	139	Two-sample Kolmogorov-Smirnov test	0.338129496402878	0.4312	PRAD	1
ABHD12B	7	139	Two-sample Kolmogorov-Smirnov test	0.219938335046249	0.9039	PRAD	1
ABHD13	7	139	Two-sample Kolmogorov-Smirnov test	0.377183967112025	0.2993	PRAD	1
ABHD14A	7	139	Two-sample Kolmogorov-Smirnov test	0.210688591983556	0.9288	PRAD	1
ABHD14A-ACY1	7	139	Two-sample Kolmogorov-Smirnov test	0.719424460431655	0.0020	PRAD	1
ABHD14B	7	139	Two-sample Kolmogorov-Smirnov test	0.199383350462487	0.9537	PRAD	1
ABHD15	7	139	Two-sample Kolmogorov-Smirnov test	0.245632065775951	0.8162	PRAD	1
ABHD16A	7	139	Two-sample Kolmogorov-Smirnov test	0.239465570400822	0.8393	PRAD	1
ABHD16B	7	139	Two-sample Kolmogorov-Smirnov test	0.266187050359712	0.7325	PRAD	1
ABHD17A	7	139	Two-sample Kolmogorov-Smirnov test	0.324768756423433	0.4831	PRAD	1
ABHD17B	7	139	Two-sample Kolmogorov-Smirnov test	0.341212744090442	0.4197	PRAD	1
ABHD17C	7	139	Two-sample Kolmogorov-Smirnov test	0.371017471736896	0.3180	PRAD	1
ABI1	7	139	Two-sample Kolmogorov-Smirnov test	0.270298047276465	0.7149	PRAD	1
ABI2	7	139	Two-sample Kolmogorov-Smirnov test	0.216855087358685	0.9126	PRAD	1
ABI3	7	139	Two-sample Kolmogorov-Smirnov test	0.433710174717369	0.1629	PRAD	1
ABI3BP	7	139	Two-sample Kolmogorov-Smirnov test	0.210688591983556	0.9288	PRAD	1
ABL1	7	139	Two-sample Kolmogorov-Smirnov test	0.2672147995889	0.7281	PRAD	1
ABL2	7	139	Two-sample Kolmogorov-Smirnov test	0.275436793422405	0.6928	PRAD	1
ABLIM1	7	139	Two-sample Kolmogorov-Smirnov test	0.295991778006166	0.6035	PRAD	1
ABLIM2	7	139	Two-sample Kolmogorov-Smirnov test	0.352517985611511	0.3790	PRAD	1
ABLIM3	7	139	Two-sample Kolmogorov-Smirnov test	0.291880781089414	0.6213	PRAD	1
ABR	7	139	Two-sample Kolmogorov-Smirnov test	0.273381294964029	0.7016	PRAD	1
ABRA	7	139	Two-sample Kolmogorov-Smirnov test	0.218910585817061	0.9068	PRAD	1
ABRACL	7	139	Two-sample Kolmogorov-Smirnov test	0.335046248715313	0.4429	PRAD	1
ABT1	7	139	Two-sample Kolmogorov-Smirnov test	0.154162384378212	0.9974	PRAD	1
ABTB1	7	139	Two-sample Kolmogorov-Smirnov test	0.47070914696814	0.1043	PRAD	1
ABTB2	7	139	Two-sample Kolmogorov-Smirnov test	0.28365878725591	0.6570	PRAD	1
